gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition
AASDHPPT,ENSG00000149313,PAS30468_AATAAA_0.3,0.0457160268159931,0,5.661026637351824,1,0.017345966746182526,0.05686473291044172,0.5700506784592961,0.4446818752899088,-0.1253688031693873,chr11,106098692,106098693,+,0.5073662768746025,2,TUTR,distal pA,HUB_N_DMSO_vs_T_DMSO
ABCC3,ENSG00000108846,PAS43065_AATAAA_0.3,1.8502627038457926e-16,0.0014509785087298075,12.994135358324684,1,3.124681052056738e-4,0.0021929926164129918,0.6180571132998434,0.782444496742413,0.16438738344256965,chr17,50691700,50691701,+,0.7002508050211282,3,ALE,distal pA,HUB_N_DMSO_vs_T_DMSO
ABHD17C,ENSG00000136379,PAS38908_AATAAA_0.15,0.00412717196867051,0,10.922648441698584,1,9.499570679888464e-4,0.005581422078893121,0.7943382665224487,0.9057911707473364,0.11145290422488774,chr15,80755618,80755619,+,0.8500647186348925,2,TUTR,distal pA,HUB_N_DMSO_vs_T_DMSO
ABHD2,ENSG00000140526,PAS38967_AATAAA_0.05,6.674172041191729e-21,3.1293933557831543e-20,88.95381335150614,1,4.0413879908971015e-21,1.2241151519796223e-18,0.6485163406642998,0.2921392148626956,-0.3563771258016042,chr15,89202353,89202354,+,0.47032777776349766,2,TUTR,distal pA,HUB_N_DMSO_vs_T_DMSO
ABHD5,ENSG00000011198,PAS9495_AATAAA_0.35,1.7044328431261348e-6,0,27.714015614256823,1,1.406400585985222e-7,2.7344038420084303e-6,0.4663333428736074,0.8956126958999121,0.4292793530263047,chr3,43719869,43719870,+,0.6809730193867598,2,TUTR,distal pA,HUB_N_DMSO_vs_T_DMSO
ACP1,ENSG00000143727,PAS5154_AATAAA_0.15,0.01406751310783248,0,8.241980544204125,1,0.004093244385433314,0.01825239720351173,0.4877048601161496,0.37475226930501226,-0.11295259081113734,chr2,278279,278280,+,0.4312285647105809,2,TUTR,distal pA,HUB_N_DMSO_vs_T_DMSO
ACSL3,ENSG00000123983,PAS7025_APA_0.25,1.04196817952131e-8,3.773383869161666e-11,47.7374020158004,1,4.873055739603066e-12,2.481808476231472e-10,0.22951354345400277,0.4911013403706776,0.2615877969166749,chr2,222943144,222943145,+,0.3603074419123402,2,TUTR,distal pA,HUB_N_DMSO_vs_T_DMSO
ACTN4,ENSG00000130402,PAS46782_AATAAA_0.2,0.001399969144002343,0,13.30546135683835,1,2.646341673348429e-4,0.0018954195805999012,0.3541521543145912,0.24027753001476848,-0.11387462429982265,chr19,38730529,38730530,+,0.29721484216467986,2,ALE,distal pA,HUB_N_DMSO_vs_T_DMSO
ACTR2,ENSG00000138071,PAS5751_AATAAA_0.25,2.8990939274913303e-22,9.673343259593792e-26,113.27969439788468,1,1.873864780001312e-26,1.6590910475242386e-23,0.7685698832652909,0.4352953251900944,-0.33327455807519646,chr2,65271250,65271251,+,0.6019326042276927,3,TUTR,distal pA,HUB_N_DMSO_vs_T_DMSO
ACVR2B,ENSG00000114739,PAS9431_AATAAA_0.2,0.005429211110194204,0,10.331166572097004,1,0.0013080250688355815,0.007200080603681274,0.3418163223079054,0.06539233049224269,-0.2764239918156627,chr3,38493139,38493140,+,0.20360432640007403,2,TUTR,distal pA,HUB_N_DMSO_vs_T_DMSO
ADD3,ENSG00000148700,PAS27811_AATAAA_0.25,3.629441823518692e-5,0,21.142315898915516,1,4.2640756509453895e-6,5.4291494184050255e-5,0.32067433777244747,0.170550673829032,-0.15012366394341548,chr10,110135563,110135564,+,0.24561250580073973,2,TUTR,distal pA,HUB_N_DMSO_vs_T_DMSO
ADIPOR2,ENSG00000006831,PAS32053_AATAAA_0.25,4.106397978264865e-5,0,20.87742684734621,1,4.896307718997114e-6,6.109801569037741e-5,0.8132314304781213,0.6435583162700448,-0.16967311420807651,chr12,1788670,1788671,+,0.728394873374083,2,TUTR,distal pA,HUB_N_DMSO_vs_T_DMSO
AGFG1,ENSG00000173744,PAS7048_AATAAA_0.2,0.0012312692824764063,3.3314897035809e-4,15.96466963506782,1,6.453571482936714e-5,5.890611242553654e-4,0.31678453590892497,0.10220183824166952,-0.21458269766725543,chr2,227561215,227561216,+,0.20949318707529724,2,TUTR,distal pA,HUB_N_DMSO_vs_T_DMSO
AGFG2,ENSG00000106351,PAS20748_AATAAA_0.25,0.002754112142021096,0,11.8156980298387,1,5.873340865155845e-4,0.0037390571547535273,0.48634063909361885,0.1937870368989684,-0.2925536021946505,chr7,100568218,100568219,+,0.34006383799629364,2,TUTR,distal pA,HUB_N_DMSO_vs_T_DMSO
AGPAT3,ENSG00000160216,PAS50311_None_0.25,8.233499904305968e-4,1.9949127811952244e-4,18.254965918427388,1,1.9322155223576603e-5,2.05924080206821e-4,0.4023922246580604,0.5876649162010175,0.18527269154295703,chr21,43985411,43985412,+,0.49502857042953896,2,TUTR,distal pA,HUB_N_DMSO_vs_T_DMSO
AGPS,ENSG00000018510,PAS6625_AATAAA_0.35,0.0013150202945207451,0.0016733578647614674,12.925400324194811,1,3.2415332351665e-4,0.002263356149953948,0.28775106271048445,0.0935537835344682,-0.19419727917601623,chr2,177543832,177543833,+,0.19065242312247632,2,TUTR,distal pA,HUB_N_DMSO_vs_T_DMSO
AHR,ENSG00000106546,PAS20113_AATAAA_0.3,4.5092016848129055e-11,5.594123366646288e-7,26.877816622813043,1,2.1673232243349618e-7,4.010593297764535e-6,0.2054155596166665,0.08173484225758067,-0.1236807173590858,chr7,17345767,17345768,+,0.1435752009371236,2,TUTR,distal pA,HUB_N_DMSO_vs_T_DMSO
AKIRIN1,ENSG00000174574,PAS666_AATAAA_0.1,1.16677266848154e-6,0,28.51292418403864,1,9.307512258287029e-8,1.913026180230066e-6,0.415488280769168,0.170304505333849,-0.245183775435319,chr1,39005884,39005885,+,0.2928963930515085,2,TUTR,distal pA,HUB_N_DMSO_vs_T_DMSO
AMD1,ENSG00000123505,PAS18194_AATAAA_0.2,9.22257986627784e-5,0,19.17422138731399,1,1.1931383324144588e-5,1.353007113900534e-4,0.8850284829973968,0.6941189940772853,-0.1909094889201115,chr6,110895707,110895708,+,0.789573738537341,2,TUTR,distal pA,HUB_N_DMSO_vs_T_DMSO
AMDHD2,ENSG00000162066,PAS40123_APA_0.25,1.0920574370879126e-4,0,18.828310058352827,1,1.4302832261747384e-5,1.581417861025095e-4,0.7536404650693093,0.4091677024754681,-0.3444727625938412,chr16,2531414,2531415,+,0.5814040837723886,2,TUTR,distal pA,HUB_N_DMSO_vs_T_DMSO
ANAPC16,ENSG00000166295,PAS27369_AATAAA_0.25,7.400402296723908e-4,0.0043142837836973045,9.879309197077871,1,0.0016714768030552988,0.008796844080094417,0.5363121130844528,0.6805866233345536,0.14427451025010074,chr10,72233825,72233826,+,0.6084493682095031,2,TUTR,distal pA,HUB_N_DMSO_vs_T_DMSO
ANKRD13D,ENSG00000172932,PAS30130_AATAAA_0.1,3.112330645784164e-5,0,21.482256986008,1,3.571177106705487e-6,4.649801866309972e-5,0.6361169607154149,0.4352403617408272,-0.2008765989745877,chr11,67302482,67302483,+,0.535678661228121,2,ALE,distal pA,HUB_N_DMSO_vs_T_DMSO
