"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"ATRN","ENSG00000088812","PAS48732_AATAAA_0.25",0.00531108769877222,0,10.4610589040199,1,0.00121917372148685,0.00723328532358529,0.660848993702891,0.803011726700272,0.14216273299738,"chr20",3651112,3651113,"+",0.731930360201581,2,"iAPA","distal pA","LU99"
"ENSG00000258728","ENSG00000258728","PAS24936_AATAAA_0.45",1.22157401936453e-10,0,47.4851540087634,1,5.54220887037137e-12,2.00468737427283e-10,0.422280863200915,0.730731630535228,0.308450767334313,"chr9",34661885,34661886,"+",0.576506246868072,2,"iAPA","distal pA","LU99"
"ENSG00000273154","ENSG00000273154","PAS49371_AATAAA_0.1",0.00313523393620983,0,11.5794435770636,1,0.000666848924621529,0.00432691765064138,0.285747795614366,0.453104637408621,0.167356841794255,"chr20",63739102,63739103,"+",0.369426216511494,2,"iAPA","distal pA","LU99"
"ITGAV","ENSG00000138448","PAS6690_AATAAA_0.15",0.000225949078338911,0,17.2172328227698,1,3.33398327871566e-05,0.00033324562634735,0.964326682082016,0.856816019719432,-0.107510662362584,"chr2",186680896,186680897,"+",0.910571350900724,2,"iAPA","distal pA","LU99"
"KCTD20","ENSG00000112078","PAS17730_AATAAA_0.05",0.0343643060063575,0,6.44701890379247,1,0.0111138671246368,0.0439387005223411,0.838576410184951,0.942434407339971,0.103857997155019,"chr6",36491140,36491141,"+",0.890505408762461,2,"iAPA","distal pA","LU99"
"MTRR","ENSG00000124275","PAS14582_AATAAA_0.3",0.0125230497388729,0,8.59976303316853,1,0.00336206746371407,0.016637532641675,0.774960762969683,0.909649237242897,0.134688474273214,"chr5",7901119,7901120,"+",0.84230500010629,2,"iAPA","distal pA","LU99"
"PACS1","ENSG00000175115","PAS30087_AATAAA_0.05",0.00723477955481563,0,9.77326581111402,1,0.00177067653620462,0.00975972226674545,0.637202431402436,0.464225659245934,-0.172976772156501,"chr11",66244743,66244744,"+",0.550714045324185,2,"iAPA","distal pA","LU99"
"RSAD1","ENSG00000136444","PAS43052_AATAAA_0.05",3.72096946408473e-05,0,21.0593389060045,1,4.45277303194006e-06,5.60082709704752e-05,0.658675237458302,0.479074041952864,-0.179601195505437,"chr17",50485973,50485974,"+",0.568874639705583,2,"iAPA","distal pA","LU99"
"SP140L","ENSG00000185404","PAS7056_ATTAAA_0.3",0.0452845357348255,0,5.83920811769565,1,0.0156728788609812,0.0573402279423549,0.671822067254479,0.479204690462268,-0.192617376792212,"chr2",230403729,230403730,"+",0.575513378858374,2,"iAPA","distal pA","LU99"
"PLAT","ENSG00000104368","PAS23842_AATAAA_0.4",0.00518496898103146,0,10.5121739911118,1,0.00118590653697265,0.00708406030799263,0.987210047868993,0.885237135413755,-0.101972912455239,"chr8",42175236,42175237,"-",0.936223591641374,2,"iAPA","distal pA","LU99"
