gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,pA_type,condition,prox_to_dist_shift
AASDHPPT,ENSG00000149313.11,PAS30468_AATAAA_0.3,0.0457160268159931,0,5.661026637351824,1,0.017345966746182526,0.056864732910441716,0.5700506784592961,0.4446818752899088,-0.1253688031693873,chr11,106098692,106098693,+,0.5073662768746025,distal pA,HUB_N_DMSO_vs_T_DMSO,-0.25073760633877473
ABCB8,ENSG00000197150.13,PAS21132_AATAAA_0.2,0.001687544122753366,1.9725392401471285e-4,15.644815400910602,1,7.642180598970017e-5,6.755875475740776e-4,0.06233574959706112,0.32559895637738223,0.2632632067803211,chr7,151047779,151047780,+,0.19396735298722168,distal pA,HUB_N_DMSO_vs_T_DMSO,0.448557576744134
ABCC1,ENSG00000103222.20,PAS40309_APA_0.2,0.05780050698435752,NA,5.161437191832192,1,0.023093779704835875,0.07101506930340927,0.7923482062125928,0.9105932761383201,0.11824506992572725,chr16,16143051,16143052,+,0.8514707411754565,distal pA,HUB_N_DMSO_vs_T_DMSO,0.2364901398514545
ABCC3,ENSG00000108846.16,PAS43065_AATAAA_0.3,1.8502627038457928e-16,0.0014509785087298077,12.994135358324684,1,3.124681052056738e-4,0.0021929926164129913,0.6180571132998434,0.782444496742413,0.16438738344256965,chr17,50691700,50691701,+,0.7002508050211282,distal pA,HUB_N_DMSO_vs_T_DMSO,0.41347940145492457
ABCD3,ENSG00000117528.14,PAS1169_AATAAA_0.15,0.8080366232640256,NA,0.1294393264045084,1,0.7190140741409946,0.8247733659866225,0.9184538544160685,0.902392881561099,-0.016060972854969546,chr1,94518661,94518662,+,0.9104233679885838,distal pA,HUB_N_DMSO_vs_T_DMSO,-0.032121945709939134
ABCE1,ENSG00000164163.11,PAS13298_AATAAA_0.3,0.6589556836295684,NA,0.37142895984987945,1,0.542226391100902,0.6871862763236493,0.12596383793809474,0.16497499301835783,0.039011155080263094,chr4,145129520,145129521,+,0.14546941547822628,distal pA,HUB_N_DMSO_vs_T_DMSO,0.07802231016052608
ABHD17C,ENSG00000136379.12,PAS38908_AATAAA_0.15,0.00412717196867051,0,10.922648441698584,1,9.499570679888465e-4,0.005581422078893121,0.7943382665224487,0.9057911707473364,0.11145290422488774,chr15,80755618,80755619,+,0.8500647186348925,distal pA,HUB_N_DMSO_vs_T_DMSO,0.22290580844977542
ABHD2,ENSG00000140526.18,PAS38967_AATAAA_0.05,6.674172041191729e-21,3.1293933557831543e-20,88.95381335150614,1,4.041387990897102e-21,1.2241151519796223e-18,0.6485163406642998,0.29213921486269556,-0.3563771258016042,chr15,89202353,89202354,+,0.47032777776349766,distal pA,HUB_N_DMSO_vs_T_DMSO,-0.4512748772614923
ABHD5,ENSG00000011198.10,PAS9495_AATAAA_0.35,1.7044328431261348e-6,0,27.714015614256823,1,1.406400585985222e-7,2.7344038420084303e-6,0.4663333428736074,0.8956126958999121,0.4292793530263047,chr3,43719869,43719870,+,0.6809730193867598,distal pA,HUB_N_DMSO_vs_T_DMSO,0.8585587060526093
ABI2,ENSG00000138443.17,PAS6853_AATAAA_0.2,0.06712258140996868,NA,4.8432693996342095,1,0.027754228519001906,0.08193156456878993,0.499430838729028,0.31048311310866294,-0.18894772562036505,chr2,203432167,203432168,+,0.4049569759188455,distal pA,HUB_N_DMSO_vs_T_DMSO,-0.37789545124073004
ACCS,ENSG00000110455.14,PAS29779_AATAAA_0.4,0.11015800810576808,NA,3.7946877105340207,1,0.05141546344045221,0.12946663404060488,0.20592833804607913,0.4138164414525156,0.2078881034064365,chr11,44084233,44084234,+,0.30987238974929737,distal pA,HUB_N_DMSO_vs_T_DMSO,0.415776206812873
ACER3,ENSG00000078124.13,PAS30308_APA_0.25,2.3333472221647354e-9,2.5084646743682542e-11,48.538001302279554,1,3.239502950898431e-12,1.6871800436579612e-10,0.3863525037835987,0.7178572045023754,0.33150470071877675,chr11,77022926,77022927,+,0.552104854142987,distal pA,HUB_N_DMSO_vs_T_DMSO,0.416144439469181
ACO2,ENSG00000100412.17,PAS51084_APA_0.15,0.5093376987848066,NA,0.7619106723645928,1,0.38273124330048425,0.5460811466950011,0.8700188432402217,0.8990725970162928,0.029053753776071112,chr22,41528972,41528973,+,0.8845457201282573,distal pA,HUB_N_DMSO_vs_T_DMSO,0.05810750755214224
ACOT13,ENSG00000112304.11,PAS17432_AATAAA_0.35,0.6430110113049557,NA,0.404643821882928,1,0.524700686308555,0.6726023152623283,0.03309735566985639,0.04518141272017495,0.012084057050318564,chr6,24702836,24702837,+,0.03913938419501567,distal pA,HUB_N_DMSO_vs_T_DMSO,0.024168114100637128
ACP1,ENSG00000143727.16,PAS5154_AATAAA_0.15,0.014067513107832481,0,8.241980544204125,1,0.004093244385433314,0.01825239720351173,0.4877048601161496,0.37475226930501226,-0.11295259081113734,chr2,278279,278280,+,0.4312285647105809,distal pA,HUB_N_DMSO_vs_T_DMSO,-0.22590518162227474
