gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
HMCES,ENSG00000183624.14,PAS10127_AATAAA_0.3,0.0016862497111103825,0,13.815152125367149,1,2.0170299346740706e-4,0.002533786839839295,0.7301377675009894,0.47941758588360533,-0.250720181617384,chr3,129305260,129305261,+
HMCES,ENSG00000183624.14,PAS10128_AATAAA_0.2,0.0016862497111103825,0,13.815152125367149,1,2.0170299346740706e-4,0.002533786839839295,0.26986223249901065,0.5205824141163946,0.25072018161738396,chr3,129306182,129306183,+
SRPRB,ENSG00000144867.13,PAS10178_APA_0.15,0.021800445461087656,0.004718006810847247,10.301472542927513,1,0.0013292409634472779,0.011285202396496167,0.27039343227804175,0.13443150589224817,-0.13596192638579357,chr3,133819908,133819909,+
SRPRB,ENSG00000144867.13,PAS10180_APA_0.15,0.021800445461087656,0.011383824746740615,8.685648733018525,1,0.003207253991088479,0.02209541180639074,0.6475805503345624,0.7890943277802248,0.1415137774456624,chr3,133820678,133820679,+
CEP63,ENSG00000182923.20,PAS10185_AATAAA_0.25,0.020708594544121023,0,8.112041779064953,1,0.004397217084881067,0.028328262264723562,0.9060700879913508,0.6908152754706661,-0.21525481252068468,chr3,134561765,134561766,+
CEP63,ENSG00000182923.20,PAS10188_APA_0.3,0.020708594544121023,0,8.112041779064953,1,0.004397217084881067,0.028328262264723562,0.0939299120086492,0.30918472452933377,0.21525481252068457,chr3,134567399,134567400,+
MRAS,ENSG00000158186.13,PAS10225_AATAAA_0.1,0.008147231801905387,0.0010119699436638295,13.165766047055058,1,2.851102079383894e-4,0.0033431544033853304,0.5907395516443353,0.7999777473618049,0.2092381957174696,chr3,138405532,138405533,+
MRPS22,ENSG00000175110.14,PAS10234_APA_0.35,1.557221866753222e-5,0,24.18370817745472,1,8.75699338271983e-7,2.468304534809296e-5,0.969753563706953,0.8265861621901966,-0.14316740151675633,chr3,139357042,139357043,+
MRPS22,ENSG00000175110.14,PAS10236_AATAAA_0.45,1.557221866753222e-5,0,24.18370817745472,1,8.75699338271983e-7,2.468304534809296e-5,0.03024643629304702,0.17341383780980335,0.14316740151675633,chr3,139358840,139358841,+
RABGGTB,ENSG00000137955.16,PAS1023_AATAAA_0.45,0.0029612754910152395,0,12.548404687661787,1,3.9654469618259365e-4,0.004277017794540832,0.6913936667669104,0.39084196308253566,-0.3005517036843747,chr1,75794798,75794799,+
RABGGTB,ENSG00000137955.16,PAS1024_AATAAA_0.35,0.0029612754910152395,0,12.548404687661787,1,3.9654469618259365e-4,0.004277017794540832,0.3086063332330895,0.6091580369174644,0.3005517036843749,chr1,75795079,75795080,+
SLC25A36,ENSG00000114120.14,PAS10241_APA_0.15,0.010402857543384667,0.002845409206348885,12.528321621667828,1,4.0082969636172935e-4,0.004313802070371542,0.12146607111765667,0.021334341810135493,-0.10013172930752118,chr3,140977149,140977150,+
ECT2,ENSG00000114346.14,PAS10486_ATTAAA_0.2,0.009900349165478174,0,9.820162839118893,1,0.001726090591761946,0.013851783393122829,0.4090950683505337,0.26935650441417347,-0.13973856393636025,chr3,172821182,172821183,+
ECT2,ENSG00000114346.14,PAS10487_AATAAA_0.25,0.009900349165478174,0,9.820162839117074,1,0.0017260905917636505,0.013851783393122829,0.5909049316494663,0.7306434955858266,0.1397385639363603,chr3,172821466,172821467,+
USP13,ENSG00000058056.10,PAS10522_ATTAAA_0.2,0.020888376205459372,0.0022016317804481127,13.008130188528867,1,3.1014147142291454e-4,0.003553780767026629,0.18355479670895203,0.3820215733776509,0.19846677666869889,chr3,179789398,179789399,+
TTC14,ENSG00000163728.11,PAS10525_ATTAAA_0.2,0.01482280288967704,0.0029050636199322273,11.19888199762488,1,8.184662972838963e-4,0.007665610295700694,0.746049519019679,0.5023629410734332,-0.24368657794624582,chr3,180610977,180610978,+
TTC14,ENSG00000163728.11,PAS10527_AATAAA_0.45,0.01482280288967704,0.023160784355931687,7.399205532315705,1,0.006525268942107518,0.037455752445813444,0.12017383680463523,0.2843365627229495,0.16416272591831427,chr3,180618325,180618326,+
MAP3K13,ENSG00000073803.14,PAS10599_APA_0.15,0.03220345898033614,0,7.024248900396742,1,0.008041319377896244,0.04359857119373121,0.6393226581679557,0.7507021112194009,0.11137945305144514,chr3,185291812,185291813,+
MAP3K13,ENSG00000073803.14,PAS10600_AATAAA_0.1,0.03220345898033614,0,7.024248900396742,1,0.008041319377896244,0.04359857119373121,0.3606773418320442,0.249297888780599,-0.1113794530514452,chr3,185293077,185293078,+
SENP2,ENSG00000163904.13,PAS10607_AATAAA_0.1,0.02224701829781656,0.010994654014878657,8.749064093917013,1,0.003097609876676364,0.021550743279293294,0.10669136818609315,0.23258882669942071,0.12589745851332756,chr3,185633549,185633550,+
OPA1,ENSG00000198836.11,PAS10661_AATAAA_0.45,0.00246077728064126,0.001981553364603155,14.507945417728024,1,1.395696323197069e-4,0.001894817815657819,0.3368171372710321,0.14999932997452195,-0.18681780729651012,chr3,193694722,193694723,+
SH3GLB1,ENSG00000097033.15,PAS1079_AATAAA_0.3,3.7296397390805097e-4,0,17.24256339025669,1,3.289827040866577e-5,5.740903366832973e-4,0.8378419614956548,0.671993551751242,-0.16584840974441284,chr1,86743585,86743586,+
SH3GLB1,ENSG00000097033.15,PAS1080_AATAAA_0.3,3.7296397390805097e-4,0,17.24256339025669,1,3.289827040866577e-5,5.740903366832973e-4,0.16215803850434518,0.328006448248758,0.16584840974441284,chr1,86748179,86748180,+
HS2ST1,ENSG00000153936.18,PAS1082_AATAAA_0.25,8.557463465717044e-5,3.2075663255079273e-6,27.22888118622359,1,1.8073855014522758e-7,6.092412448858947e-6,0.03883495256815005,0.16118421088259666,0.12234925831444661,chr1,87098440,87098441,+
EMC3,ENSG00000125037.13,PAS10828_APA_0.25,1.4003733306546764e-7,7.903624782089497e-9,37.115459803072554,1,1.1133750163221805e-9,6.361283201365108e-8,0.14920366876934907,0.32465495687787166,0.1754512881085226,chr3,9963343,9963344,-
EMC3,ENSG00000125037.13,PAS10829_AATAAA_0.25,1.4003733306546764e-7,0.001691830800825316,13.501865855634605,1,2.383263625762952e-4,0.0028940344196380584,0.6199800132551724,0.49561127215445905,-0.12436874110071333,chr3,9963967,9963968,-
VGLL4,ENSG00000144560.16,PAS10852_None_0.05,0.014012221359143298,0.02738732604167077,7.098222012039514,1,0.007716045591578488,0.042242709087746376,0.4915076735249517,0.6068397195869619,0.1153320460620102,chr3,11558413,11558414,-
IQSEC1,ENSG00000144711.17,PAS10876_AATAAA_0.1,0.04885006891903297,0.03552164349756618,7.878030268845578,1,0.0050038952378553825,0.030789040220284388,0.25594425373394664,0.37571676750971844,0.1197725137757718,chr3,12897220,12897221,-
MRPS25,ENSG00000131368.9,PAS10900_AATAAA_0.3,8.583294928641016e-6,6.241656377597681e-7,28.62313192565216,1,8.79255336998432e-8,3.293979867570328e-6,0.06842766541400752,0.23746321046406652,0.169035545050059,chr3,15042250,15042251,-
MRPS25,ENSG00000131368.9,PAS10905_AATAAA_0.1,8.583294928641016e-6,1.86056089351319e-4,17.674658928648114,1,2.6209518699292447e-5,4.806052759753775e-4,0.828124360068332,0.6605973895948276,-0.1675269704735044,chr3,15052208,15052209,-
METTL6,ENSG00000206562.12,PAS10911_AATAAA_0.15,5.466640062908448e-7,0.0023939564216465007,12.851360129019895,1,3.372340341947017e-4,0.0037663315003873175,0.01703062065845047,0.13187532441540908,0.11484470375695861,chr3,15381276,15381277,-
METTL6,ENSG00000206562.12,PAS10912_AATAAA_0.45,5.466640062908448e-7,3.344333161112836e-4,16.56094627977518,1,4.7111257056112734e-5,7.709369755822567e-4,0.12842766045097412,0.348791178692913,0.22036351824193887,chr3,15383382,15383383,-
METTL6,ENSG00000206562.12,PAS10916_AATAAA_0.3,5.466640062908448e-7,6.911873591733328e-4,15.18709006888821,1,9.736681061140235e-5,0.0014139686589082748,0.34175241803624506,0.13189979501718807,-0.209852623019057,chr3,15413671,15413672,-
ANKRD28,ENSG00000206560.12,PAS10920_None_0.2,3.0149148561129465e-7,8.399282049611333e-5,19.190191739196962,1,1.1831977158470732e-5,2.4284271566026337e-4,0.16466785875443846,0.30531095100601535,0.1406430922515769,chr3,15668336,15668337,-
ANKRD28,ENSG00000206560.12,PAS10921_AATAAA_0.4,3.0149148561129465e-7,2.4759624223071875e-8,34.89045740964775,1,3.4878613020652313e-9,1.836774788183676e-7,0.6710543288856846,0.44939165173705553,-0.22166267714862908,chr3,15668608,15668609,-
DPH3,ENSG00000154813.10,PAS10926_AATAAA_0.15,1.9001354919465169e-6,3.1312665097879983e-4,15.373440706472365,1,8.821962068200905e-5,0.0012951130425122718,0.19984995097148386,0.4399347549932024,0.24008480402171853,chr3,16257978,16257979,-
DPH3,ENSG00000154813.10,PAS10928_AATAAA_0.2,1.9001354919465169e-6,5.195927520572626e-7,27.636516475012286,1,1.4638893033322915e-7,5.107590131806301e-6,0.7934607287986948,0.4612828916633857,-0.3321778371353091,chr3,16260389,16260390,-
CMTM6,ENSG00000091317.8,PAS11000_None_0.25,0.016128867452448434,0.0046237480483615106,12.378833993752778,1,4.342282349975263e-4,0.004606243312898491,0.6539399912427588,0.7715988368079453,0.11765884556518647,chr3,32482711,32482712,-
LRRC8B,ENSG00000197147.15,PAS1105_APA_0.2,0.04352832909226058,0,6.342366172041636,1,0.011788751907627466,0.05768025098648835,0.4244713323285699,0.15809493598371738,-0.2663763963448525,chr1,89594690,89594691,+
LRRC8B,ENSG00000197147.15,PAS1106_ATTAAA_0.2,0.04352832909226058,0,6.34236617204175,1,0.011788751907626722,0.05768025098648835,0.5755286676714301,0.8419050640162826,0.26637639634485255,chr1,89596571,89596572,+
HIGD1A,ENSG00000181061.14,PAS11090_ATTAAA_0.25,0.0018768227775613864,5.699618550699928e-4,14.243907331745504,1,1.6057981171616498e-4,0.0021292652811611195,0.6341847961669381,0.7573002584473062,0.12311546228036807,chr3,42784300,42784301,-
HIGD1A,ENSG00000181061.14,PAS11092_AATAAA_0.35,0.0018768227775613864,2.81807525047743e-4,15.572624436129445,1,7.939583835274009e-5,0.0011903744842389542,0.27190568792936776,0.158142845572808,-0.11376284235655976,chr3,42785157,42785158,-
KIAA1143,ENSG00000163807.6,PAS11108_AATAAA_0.25,0.0020927531263278034,2.3658514023190233e-4,15.903510164169802,1,6.665498214545603e-5,0.001024305142130651,0.41790356813044244,0.651034097397144,0.23313052926670158,chr3,44748745,44748746,-
KIAA1143,ENSG00000163807.6,PAS11109_APA_0.15,0.0020927531263278034,0.03714827701638039,6.553794083939238,1,0.010466074660624004,0.05314927001644269,0.3855702857402501,0.2477893660007192,-0.13778091973953088,chr3,44753036,44753037,-
ZDHHC3,ENSG00000163812.16,PAS11113_ATTAAA_0.35,3.734750539810781e-6,3.4938313813839396e-8,35.00941597947349,1,3.281148147020965e-9,1.740302160559722e-7,0.0503076579545614,0.19429162198644226,0.14398396403188085,chr3,44919976,44919977,-
LZTFL1,ENSG00000163818.20,PAS11129_AATAAA_0.25,0.02471153436990933,0,7.667422399046757,1,0.00562267218714225,0.0334288079651792,0.3287632699594588,0.636965876752283,0.3082026067928242,chr3,45823992,45823993,-
LZTFL1,ENSG00000163818.20,PAS11130_AATAAA_0.3,0.02471153436990933,0,7.667422399046757,1,0.00562267218714225,0.0334288079651792,0.6712367300405412,0.363034123247717,-0.3082026067928242,chr3,45825965,45825966,-
ZNF326,ENSG00000162664.17,PAS1113_AATAAA_0.2,3.531113198271103e-5,4.3417597687668433e-4,16.834987225056466,1,4.077459804158192e-5,6.86441981591956e-4,0.29915195193566657,0.15267044447557718,-0.1464815074600894,chr1,90027879,90027880,+
