"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ATRIP","ENSG00000164053","PAS9579_AATAAA_0.25",0.0247752822892456,0,10.313540739135,1,0.00132057673701437,0.034284712681405,0.591345222908514,0.379314965926288,-0.212030256982225,"chr3",48467643,48467644,"+",0.485330094417401,2,"MIXED","distal pA"
"CDK16","ENSG00000102225","PAS51923_ATTAAA_0.35",0.0161616274655048,0,11.387423055643,1,0.000739430369120356,0.0228785443939909,0.60182280525181,0.736670151285476,0.134847346033666,"chrX",47229992,47229993,"+",0.669246478268643,2,"MIXED","distal pA"
"DCAF7","ENSG00000136485","PAS43228_AATAAA_0.3",0.0271558967397292,0,10.0512607096075,1,0.00152243719245881,0.037783857908628,0.796592234710487,0.90194547913773,0.105353244427242,"chr17",63594264,63594265,"+",0.849268856924108,2,"MIXED","distal pA"
"RPL15","ENSG00000174748","PAS9310_AATAAA_0.4",5.66978360428388e-10,0,49.3264043819945,1,2.1672564212595e-12,9.68165756462649e-10,0.171569544188922,0.278159128460513,0.106589584271591,"chr3",23920838,23920839,"+",0.224864336324717,2,"MIXED","distal pA"
"TLCD5","ENSG00000181264","PAS30628_APA_0.25",0.0259445066798063,0,10.1706037280314,1,0.00142697541517728,0.0361164252392079,0.255814583534485,0.521427693365099,0.265613109830613,"chr11",120333678,120333679,"+",0.388621138449792,2,"MIXED","distal pA"
"B3GNTL1","ENSG00000175711","PAS45096_AATAAA_0.35",0.013792137209037,0,11.7565961443815,1,0.000606279974999078,0.0197842747509145,0.107107309371566,0.255148405455436,0.14804109608387,"chr17",82942156,82942157,"-",0.181127857413501,2,"MIXED","distal pA"
"BET1","ENSG00000105829","PAS21966_AATAAA_0.15",0.0165407012007922,0,11.3224874417914,1,0.000765740679926248,0.0233415776669283,0.434948335712343,0.792415921619077,0.357467585906734,"chr7",93993244,93993245,"-",0.61368212866571,2,"MIXED","distal pA"
"DNAJC11","ENSG00000007923","PAS2662_AATAAA_0.1",0.0389788821429187,0,9.19295926395762,1,0.00242947795912535,0.0533455711194388,0.71689678384235,0.875434729489004,0.158537945646655,"chr1",6634170,6634171,"-",0.796165756665677,2,"MIXED","distal pA"
"LRP8","ENSG00000157193","PAS3412_ATTAAA_0.2",0.0161616274655048,0.0470767250143735,8.70171759336654,1,0.00317910353675319,0.0655816661124802,0.109220901550359,0.211080553586609,0.101859652036251,"chr1",53242363,53242364,"-",0.160150727568484,2,"MIXED","distal pA"
"MRPS16","ENSG00000182180","PAS28722_AATAAA_0.25",5.47685345954134e-08,2.8868515484562e-09,40.5166286825479,1,1.94949839118512e-10,5.49038079517461e-08,0.470247426383235,0.676025844207753,0.205778417824519,"chr10",73248849,73248850,"-",0.573136635295494,2,"MIXED","distal pA"
"NRBP2","ENSG00000185189","PAS24686_ATTAAA_0.3",0.0103778357622137,0,12.5066561035414,1,0.000405504731417992,0.0147980670296341,0.491646147820857,0.728416983532616,0.23677083571176,"chr8",143833746,143833747,"-",0.610031565676736,2,"MIXED","distal pA"
"RTL10","ENSG00000215012","PAS51277_AATAAA_0.2",0.0279688788699014,0,9.98996641979772,1,0.00157395474634187,0.0387653683248269,0.395710458747581,0.791582780296807,0.395872321549226,"chr22",19846147,19846148,"-",0.593646619522194,2,"MIXED","distal pA"
"SRSF2","ENSG00000161547","PAS44941_ATTAAA_0.2",0.000146843107565873,0,22.3792924407735,1,2.23773771062028e-06,0.000238415759520737,0.776407037200376,0.877286463141578,0.100879425941202,"chr17",76734118,76734119,"-",0.826846750170977,2,"MIXED","distal pA"
"ATRIP","ENSG00000164053","PAS9578_ATTAAA_0.05",0.0247752822892456,0,10.313540739135,1,0.00132057673701437,0.034284712681405,0.408654777091486,0.620685034073712,0.212030256982225,"chr3",48465654,48465655,"+",0.514669905582599,2,"MIXED","proximal pA"
"CDK16","ENSG00000102225","PAS51922_APA_0.05",0.0161616274655048,0,11.3874230556435,1,0.000739430369120175,0.0228785443939909,0.39817719474819,0.263329848714524,-0.134847346033666,"chrX",47228989,47228990,"+",0.330753521731357,2,"MIXED","proximal pA"
"DCAF7","ENSG00000136485","PAS43227_ATTAAA_0.1",0.0271558967397292,0,10.0512607096075,1,0.00152243719245881,0.037783857908628,0.203407765289512,0.0980545208622704,-0.105353244427242,"chr17",63589450,63589451,"+",0.150731143075891,2,"MIXED","proximal pA"
"RPL15","ENSG00000174748","PAS9309_AATAAA_0.15",5.66978360428388e-10,0,49.3264043819945,1,2.1672564212595e-12,9.68165756462649e-10,0.828430455811078,0.721840871539487,-0.106589584271591,"chr3",23919550,23919551,"+",0.775135663675283,2,"MIXED","proximal pA"
"TLCD5","ENSG00000181264","PAS30627_AATAAA_0.25",0.0259445066798063,0,10.1706037280314,1,0.00142697541517728,0.0361164252392079,0.744185416465515,0.478572306634901,-0.265613109830613,"chr11",120330632,120330633,"+",0.611378861550208,2,"MIXED","proximal pA"
"B3GNTL1","ENSG00000175711","PAS45097_AATAAA_0.45",0.013792137209037,0,11.7565961443834,1,0.000606279974998486,0.0197842747509145,0.892892690628434,0.744851594544564,-0.14804109608387,"chr17",82943795,82943796,"-",0.818872142586499,2,"MIXED","proximal pA"
