"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"CCP110","ENSG00000103540","PAS40342_AATAAA_0.3",0.973794444093654,NA,0.00821877360351664,1,0.927764779737319,0.978821137538083,0.609282496927689,0.620657881846964,0.0113753849192758,"chr16",19553403,19553404,"+",0.614970189387327,0,"iAPA","distal pA"
"CENATAC","ENSG00000186166","PAS30607_AATAAA_0.2",0.8000453893583,NA,0.315959122293634,1,0.574046244653012,0.821612674312562,0.649978870265027,0.690948395476332,0.0409695252113057,"chr11",119015743,119015744,"+",0.67046363287068,0,"iAPA","distal pA"
"CEP57","ENSG00000166037","PAS30437_ATTAAA_0.2",0.898573624083161,NA,0.277453214239358,1,0.598375349601409,0.835628805732593,0.267997617302501,0.243373338000092,-0.0246242793024094,"chr11",95832690,95832691,"+",0.255685477651297,0,"iAPA","distal pA"
"CTDSP1","ENSG00000144579","PAS6967_APA_0.1",0.121056394434666,NA,5.32031469979938,1,0.0210782043965673,0.144091257922769,0.945211968235375,0.884287111673865,-0.0609248565615098,"chr2",218405939,218405940,"+",0.91474953995462,0,"iAPA","distal pA"
"DGKZ","ENSG00000149091","PAS29804_APA_0",0.85737168567921,NA,0.16764712281838,1,0.682211405833339,0.874258273433272,0.678739323021033,0.659342091793959,-0.0193972312270745,"chr11",46380550,46380551,"+",0.669040707407496,0,"iAPA","distal pA"
"DKC1","ENSG00000130826","PAS52473_ATTAAA_0.25",0.791737538887037,NA,0.339754045844984,1,0.559971225720928,0.813350426008338,0.384663558104347,0.411193697477274,0.0265301393729264,"chrX",154777680,154777681,"+",0.39792862779081,0,"iAPA","distal pA"
"ENSG00000273154","ENSG00000273154","PAS49371_AATAAA_0.1",0.790427004187786,NA,0.349284399641192,1,0.554518493836196,0.81237855829036,0.218476085744585,0.182252613510994,-0.0362234722335902,"chr20",63739102,63739103,"+",0.20036434962779,0,"iAPA","distal pA"
"ENY2","ENSG00000120533","PAS23307_AATAAA_0.2",0.594955561519618,NA,0.174748834271668,1,0.675925398904392,0.87267792572615,0.776691911693997,0.754849251080495,-0.0218426606135022,"chr8",109343668,109343669,"+",0.765770581387246,0,"iAPA","distal pA"
"GOLGA4","ENSG00000144674","PAS9405_AATAAA_0.3",0.948760115033802,NA,0.0326175461311777,1,0.856678978145987,0.9556476336369,0.712720584024079,0.700629350954885,-0.0120912330691939,"chr3",37366744,37366745,"+",0.706674967489482,0,"iAPA","distal pA"
"MED15","ENSG00000099917","PAS50728_AATAAA_0.15",0.965914529254712,NA,0.0138811118067679,1,0.906211763769479,0.971841584594471,0.901593565927046,0.905185133236288,0.00359156730924215,"chr22",20587616,20587617,"+",0.903389349581667,0,"iAPA","distal pA"
