"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ACTN4","ENSG00000130402","PAS46782_AATAAA_0.2",0.439967991382086,NA,1.29175910542835,1,0.255724022873019,0.48980217427046,0.399710158590537,0.382417413357419,-0.017292745233118,"chr19",38730529,38730530,"+",0.391063785973978,0,"ALE","distal pA"
"ADAP2","ENSG00000184060","PAS42559_AATAAA_0.35",0.588686414901778,NA,0.716245597512341,1,0.397378189360819,0.637285861498831,0.804115355254266,0.733927563564241,-0.0701877916900252,"chr17",30959190,30959191,"+",0.769021459409253,0,"ALE","distal pA"
"AEBP2","ENSG00000139154","PAS32284_ATTAAA_0.2",0.0898318185860573,NA,0.0405649052045192,1,0.840380098450996,0.930113600027901,0.122889149393136,0.117980638194951,-0.00490851119818539,"chr12",19520959,19520960,"+",0.120434893794043,0,"ALE","distal pA"
"AGAP3","ENSG00000133612","PAS21139_AATAAA_0.05",0.675693354237645,NA,0.45892620602126,1,0.498126240200353,0.71974706228642,0.828746411092327,0.856511664194823,0.0277652531024963,"chr7",151144433,151144434,"+",0.842629037643575,0,"ALE","distal pA"
"ANKRD12","ENSG00000101745","PAS45162_AATAAA_0.4",0.264785253999347,NA,0.957279134152486,1,0.327873351320285,0.569658822058729,0.469464518360902,0.491556590056383,0.0220920716954814,"chr18",9256249,9256250,"+",0.480510554208643,0,"ALE","distal pA"
"AP5M1","ENSG00000053770","PAS36691_ATTAAA_0.25",0.993576241804219,NA,0.0328512778505683,1,0.856171966462013,0.937974420733269,0.639343789487142,0.63063063063063,-0.00871315885651158,"chr14",57290066,57290067,"+",0.634987210058886,0,"ALE","distal pA"
"API5","ENSG00000166181","PAS29757_AATAAA_0.05",0.0430071634965428,0.0556193540524752,5.82764673364818,1,0.0157762135623375,0.0717177182425001,0.841299936791532,0.776030087964846,-0.0652698488266865,"chr11",43344528,43344529,"+",0.808665012378189,0,"ALE","distal pA"
"ARID1B","ENSG00000049618","PAS18468_AATAAA_0.2",0.25317176339507,NA,4.06476600444421,1,0.0437867511907465,0.151405395921156,0.796875701605744,0.850480991989268,0.053605290383524,"chr6",157209256,157209257,"+",0.823678346797506,0,"ALE","distal pA"
"ARL2BP","ENSG00000102931","PAS40637_ATTAAA_0.25",0.66741908580385,NA,0.00469005040440607,1,0.945400401952674,0.976353470052546,0.859078449417414,0.855424827322675,-0.00365362209473907,"chr16",57253597,57253598,"+",0.857251638370045,0,"ALE","distal pA"
"ASPSCR1","ENSG00000169696","PAS43557_AATAAA_0.15",0.884722775189697,NA,0.0739040714606745,1,0.78573502590127,0.90197429323056,0.908122658843925,0.91671109533526,0.00858843649133578,"chr17",82017403,82017404,"+",0.912416877089593,0,"ALE","distal pA"
"BCCIP","ENSG00000107949","PAS27993_AATAAA_0.2",9.55509038821146e-12,0.00402917234434245,12.6233743964403,1,0.000380953024156775,0.00360435027943419,0.253642972842039,0.322536964065813,0.0688939912237734,"chr10",125842799,125842800,"+",0.288089968453926,1,"ALE","distal pA"
"BCL2L13","ENSG00000099968","PAS50678_AATAAA_0.4",0.821196664246696,NA,0.497125590132327,1,0.480765843026887,0.706541064068672,0.755936976160993,0.729946119823509,-0.0259908563374844,"chr22",17729108,17729109,"+",0.742941547992251,0,"ALE","distal pA"
"BFAR","ENSG00000103429","PAS40284_AATAAA_0.4",0.318230326514794,NA,3.07733652096977,1,0.0793904393766903,0.229040285070519,0.550252968802735,0.496347962569365,-0.0539050062333709,"chr16",14668888,14668889,"+",0.52330046568605,0,"ALE","distal pA"
"BLOC1S6","ENSG00000104164","PAS38502_AATAAA_0.3",0.652697501668686,NA,1.36827373708365,1,0.242108701090058,0.474107561720655,0.901210048146689,0.878685508469157,-0.0225245396775318,"chr15",45609705,45609706,"+",0.889947778307923,0,"ALE","distal pA"
"BMERB1","ENSG00000166780","PAS40300_ATTAAA_0.2",0.493627642597329,NA,1.05538076956441,1,0.304271093742186,0.545523274119551,0.395870110825182,0.33005658468266,-0.0658135261425212,"chr16",15588257,15588258,"+",0.362963347753921,0,"ALE","distal pA"
"BMP1","ENSG00000168487","PAS22638_AATAAA_0.25",0.902048836950587,NA,0.331055085720777,1,0.565038474866798,0.768630563507066,0.694219702604051,0.645193829198935,-0.0490258734051158,"chr8",22212323,22212324,"+",0.669706765901493,0,"ALE","distal pA"
"BRD2","ENSG00000204256","PAS17651_AATAAA_0.3",0.10309338153299,NA,1.64334525173763,1,0.199867103519616,0.419736483364988,0.402068280564799,0.418598214914749,0.01652993434995,"chr6",32981307,32981308,"+",0.410333247739774,0,"ALE","distal pA"
"BZW2","ENSG00000136261","PAS20102_AATAAA_0.35",0.587510425447366,NA,0.719924773613457,1,0.396168585876852,0.636194742145717,0.854459060599347,0.869760410357453,0.0153013497581058,"chr7",16706511,16706512,"+",0.8621097354784,0,"ALE","distal pA"
"C19orf44","ENSG00000105072","PAS46411_ATTAAA_0.05",0.848896145722891,NA,0.118328190367379,1,0.730854822868126,0.871627611616056,0.513034104940486,0.55386244849462,0.0408283435541335,"chr19",16521350,16521351,"+",0.533448276717553,0,"ALE","distal pA"
"CAMTA1","ENSG00000171735","PAS113_AATAAA_0.15",0.799867094821273,NA,0.193287844615043,1,0.660194145466423,0.830160987015068,0.246323395098747,0.263037132086861,0.0167137369881145,"chr1",6888198,6888199,"+",0.254680263592804,0,"ALE","distal pA"
"CCDC138","ENSG00000163006","PAS6140_AATAAA_0.4",0.797065879473267,NA,0.198733380510362,1,0.655745173050125,0.827558592416378,0.154012398231221,0.178083873824452,0.0240714755932302,"chr2",108885474,108885475,"+",0.166048136027837,0,"ALE","distal pA"
"CDC34","ENSG00000099804","PAS45987_AATAAA_0.25",0.76782467638018,NA,0.25010035582909,1,0.617004422699143,0.80161523768247,0.83632794059677,0.824867698759138,-0.0114602418376319,"chr19",542085,542086,"+",0.830597819677954,0,"ALE","distal pA"
"CDK12","ENSG00000167258","PAS42735_AATAAA_0.4",0.493627642597329,NA,0.130135759922268,1,0.718291319906976,0.86492584782125,0.32443022889672,0.332938194614792,0.00850796571807233,"chr17",39533056,39533057,"+",0.328684211755756,0,"ALE","distal pA"
"CDKN2AIP","ENSG00000168564","PAS13440_ATTAAA_0.2",0.790118340956443,NA,0.777126716569455,1,0.378021334968854,0.619124835244018,0.581985010282089,0.52720677255278,-0.0547782377293089,"chr4",183448192,183448193,"+",0.554595891417434,0,"ALE","distal pA"
"CDYL","ENSG00000153046","PAS17295_AATAAA_0.25",0.668319891842692,NA,1.34487923164488,1,0.246175335340332,0.47911352706258,0.414101842404239,0.370985715604474,-0.0431161267997646,"chr6",4955542,4955543,"+",0.392543779004356,0,"ALE","distal pA"
"CEP63","ENSG00000182923","PAS10189_AATAAA_0.35",0.628358872428214,NA,1.43408093010203,1,0.231099581504252,0.460860363510082,0.16747905510854,0.227310703756289,0.0598316486477493,"chr3",134575010,134575011,"+",0.197394879432415,0,"ALE","distal pA"
"CEP95","ENSG00000258890","PAS43252_AATAAA_0.3",0.241059548352473,NA,2.33226974477338,1,0.126716991278488,0.310253359850886,0.867519654912179,0.814638353327304,-0.0528813015848749,"chr17",64537941,64537942,"+",0.841079004119741,0,"ALE","distal pA"
"CFLAR","ENSG00000003402","PAS6803_AATAAA_0.45",0.535683418318929,NA,0.263801372610033,1,0.607520506474545,0.79600536720535,0.232183907022981,0.215385219524388,-0.0167986874985929,"chr2",201167545,201167546,"+",0.223784563273684,0,"ALE","distal pA"
"CHD2","ENSG00000173575","PAS39042_ATTAAA_0.3",0.416135763723427,NA,3.23202254934586,1,0.0722114537534235,0.2151322831951,0.789300661680216,0.83354529552552,0.0442446338453037,"chr15",93027937,93027938,"+",0.811422978602868,0,"ALE","distal pA"
"CHD7","ENSG00000171316","PAS22951_AATAAA_0.25",0.671909884705651,NA,0.468724479886532,1,0.493574553376269,0.716127943599198,0.102354005958132,0.0738193868853564,-0.0285346190727761,"chr8",60868024,60868025,"+",0.0880866964217444,0,"ALE","distal pA"
"CHMP1B","ENSG00000255112","PAS45196_ATTAAA_0.2",0.641289678685204,NA,0.993436840064533,1,0.318903829047945,0.561003049925704,0.236738877734659,0.285187226822883,0.0484483490882243,"chr18",11854442,11854443,"+",0.260963052278771,0,"ALE","distal pA"
"CHPT1","ENSG00000111666","PAS33136_AATAAA_0.25",0.203001657611392,NA,4.68682229692422,1,0.0303948084236459,0.116495785155838,0.730585730160919,0.788996572094867,0.0584108419339471,"chr12",101729066,101729067,"+",0.759791151127893,0,"ALE","distal pA"
"CNOT3","ENSG00000088038","PAS47244_AATAAA_0.15",0.047050194052304,0,6.14400582807866,1,0.0131858273947919,0.0624329825638799,0.877342586355504,0.824997425789819,-0.052345160565685,"chr19",54155679,54155680,"+",0.851170006072661,0,"ALE","distal pA"
"CNOT9","ENSG00000144580","PAS6974_AATAAA_0.2",0.603254537117534,NA,1.93097113390832,1,0.164652237121183,0.369474139304247,0.742785308940891,0.782709526939179,0.0399242179982879,"chr2",218596429,218596430,"+",0.762747417940035,0,"ALE","distal pA"
"CNTRL","ENSG00000119397","PAS25443_AATAAA_0.1",0.869853350004229,NA,0.0911385534578812,1,0.762734680093074,0.88996714187407,0.642215682269875,0.671273594552242,0.0290579122823674,"chr9",121177607,121177608,"+",0.656744638411058,0,"ALE","distal pA"
"COL6A2","ENSG00000142173","PAS50362_AATAAA_0.1",0.862005250942278,NA,0.101834076418527,1,0.749639674017587,0.884060083528723,0.646777436939616,0.637976652905046,-0.00880078403457019,"chr21",46132846,46132847,"+",0.642377044922331,0,"ALE","distal pA"
"COX10","ENSG00000006695","PAS42315_ATTAAA_0.25",0.998586321875498,NA,8.79348954185843e-05,1,0.992518058257309,0.999436712799216,0.088236270055353,0.0879629629629635,-0.000273307092389485,"chr17",14217920,14217921,"+",0.0880996165091582,0,"ALE","distal pA"
"CSNK1G2","ENSG00000133275","PAS46056_AATAAA_0.4",0.944102978218696,NA,0.0205157136970229,1,0.886106109261871,0.951985657958173,0.897851981620251,0.900643241677495,0.00279126005724384,"chr19",1981334,1981335,"+",0.899247611648873,0,"ALE","distal pA"
"CTDSPL","ENSG00000144677","PAS9413_AATAAA_0.15",0.690385579728823,NA,0.426277845256323,1,0.5138210278038,0.732890872486744,0.660328163547023,0.704895988761057,0.0445678252140339,"chr3",37984467,37984468,"+",0.68261207615404,0,"ALE","distal pA"
"CUL5","ENSG00000166266","PAS30476_AATAAA_0.35",0.669854159086421,NA,0.0464192323743191,1,0.829415532184036,0.92494581577099,0.271525709318613,0.264939948042765,-0.00658576127584853,"chr11",108107756,108107757,"+",0.268232828680689,0,"ALE","distal pA"
"DCLRE1B","ENSG00000118655","PAS1376_APA_0.3",0.630771779348324,NA,0.585325826401686,1,0.444232306047264,0.675257536011979,0.35423051810084,0.306156802113573,-0.0480737159872671,"chr1",113914072,113914073,"+",0.330193660107207,0,"ALE","distal pA"
"DELE1","ENSG00000081791","PAS15566_AATAAA_0.15",0.50076296033818,NA,2.25536972910413,1,0.133151650604002,0.320669924846999,0.832300204340127,0.768779650030219,-0.0635205543099074,"chr5",141940150,141940151,"+",0.800539927185173,0,"ALE","distal pA"
"DENND10","ENSG00000119979","PAS27907_AATAAA_0.1",0.648130069797126,NA,0.623366369444966,1,0.429799066045051,0.663295798547873,0.65949112924397,0.702627722053316,0.0431365928093467,"chr10",119137771,119137772,"+",0.681059425648643,0,"ALE","distal pA"
"DHX8","ENSG00000067596","PAS42866_ATTAAA_0.4",0.869853350004229,NA,0.0911544047712596,1,0.762714667048471,0.88996714187407,0.38876109061322,0.3775066747356,-0.0112544158776199,"chr17",43526785,43526786,"+",0.38313388267441,0,"ALE","distal pA"
"DIP2A","ENSG00000160305","PAS50376_AATAAA_0.3",0.581880357662015,NA,0.736858870141987,1,0.390668955688693,0.630947699627928,0.846444059351282,0.8040153281812,-0.0424287311700824,"chr21",46569705,46569706,"+",0.825229693766241,0,"ALE","distal pA"
"DNAJB6","ENSG00000105993","PAS21189_AATAAA_0.05",0.206647689124029,NA,2.9028911124642,1,0.0884208342739813,0.245969855178601,0.750410484530155,0.697366084484789,-0.0530444000453661,"chr7",157417437,157417438,"+",0.723888284507472,0,"ALE","distal pA"
"DNAJC16","ENSG00000116138","PAS250_AATAAA_0.2",0.730428525571806,NA,0.325780024692733,1,0.568154592187129,0.770444484703707,0.827705205291975,0.78537723725295,-0.0423279680390252,"chr1",15571730,15571731,"+",0.806541221272462,0,"ALE","distal pA"
"DNAJC22","ENSG00000178401","PAS32529_AATAAA_0.15",0.927723398117512,NA,0.300025024923798,1,0.583866732818204,0.779768687560238,0.333417260762083,0.295547771433476,-0.0378694893286068,"chr12",49354137,49354138,"+",0.31448251609778,0,"ALE","distal pA"
"DNM2","ENSG00000079805","PAS46260_AATAAA_0.15",0.000752092733370013,0,15.0814999266986,1,0.000102967476990425,0.00118908694520206,0.13446069711265,0.0690297496839584,-0.0654309474286915,"chr19",10833483,10833484,"+",0.101745223398304,0,"ALE","distal pA"
"DUT","ENSG00000128951","PAS38509_ATTAAA_0.25",0.349663232209584,NA,2.76591372714392,1,0.0962916908174909,0.260606099989325,0.624453071222315,0.656278203205254,0.0318251319829382,"chr15",48342418,48342419,"+",0.640365637213784,0,"ALE","distal pA"
"DYNC2LI1","ENSG00000138036","PAS5541_AATAAA_0.3",0.955187781946063,NA,0.0118589196829362,1,0.913282863906863,0.961302715950947,0.869976769793586,0.875071793147652,0.00509502335406609,"chr2",43810001,43810002,"+",0.872524281470619,0,"ALE","distal pA"
