"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"AFTPH","ENSG00000119844","PAS5733_AATAAA_0.2",0.842159754954637,NA,0.394191526487703,1,0.530104345115237,0.642826714598227,0.232446326521174,0.250078758237376,0.0176324317162021,"chr2",64593001,64593002,"+",0.241262542379275,0,"MIXED","distal pA"
"AGK","ENSG00000006530","PAS21062_ATTAAA_0.25",0.753985747206112,NA,0.151466735555346,1,0.697137615472318,0.782309388871953,0.296380309479346,0.342679875865746,0.0462995663864006,"chr7",141654262,141654263,"+",0.319530092672546,0,"MIXED","distal pA"
"ALDH16A1","ENSG00000161618","PAS47107_AATAAA_0.25",0.0371766507678788,0,5.33270083259413,1,0.020928928709732,0.0463043071662376,0.313694187711755,0.370606037836147,0.056911850124392,"chr19",49471046,49471047,"+",0.342150112773951,0,"MIXED","distal pA"
"ARHGEF26","ENSG00000114790","PAS10345_APA_0",0.888196591018676,NA,0.0348123373116778,1,0.851989442827799,0.900828518079113,0.392072086904374,0.40972431723241,0.0176522303280364,"chr3",154257824,154257825,"+",0.400898202068392,0,"MIXED","distal pA"
"BIVM","ENSG00000134897","PAS35719_AATAAA_0.35",0.972762802112794,NA,0.00288740121459341,1,0.957146660448285,0.973139956119028,0.884247230394776,0.882209132798595,-0.00203809759618079,"chr13",102841530,102841531,"+",0.883228181596685,0,"MIXED","distal pA"
"BRSK2","ENSG00000174672","PAS29392_AATAAA_0.35",0.793292021352027,NA,0.108443981340201,1,0.741922642624506,0.816582818457258,0.210985214407699,0.188744274654845,-0.0222409397528547,"chr11",1462681,1462682,"+",0.199864744531272,0,"MIXED","distal pA"
"BTN2A2","ENSG00000124508","PAS17467_AATAAA_0.35",0.441711612460419,NA,0.834404378298359,1,0.361002041136031,0.481164365529275,0.163514370382856,0.216127089557888,0.0526127191750317,"chr6",26394869,26394870,"+",0.189820729970372,0,"MIXED","distal pA"
"CALR","ENSG00000179218","PAS46327_ATTAAA_0",0.554483406143001,NA,0.50916236575722,1,0.475501686512018,0.592502336877,0.91896427774592,0.925603568065764,0.006639290319844,"chr19",12944488,12944489,"+",0.922283922905842,0,"MIXED","distal pA"
"CAPN1","ENSG00000014216","PAS30005_AATAAA_0.1",0.746313489269712,NA,0.160498844992617,1,0.688697657125513,0.775798517010234,0.799083019052612,0.809599312397586,0.0105162933449745,"chr11",65212004,65212005,"+",0.804341165725099,0,"MIXED","distal pA"
"CCAR1","ENSG00000060339","PAS27299_APA_0.3",0.118808803472917,NA,0.700113911778317,1,0.402745420887906,0.521601766248152,0.418901403694234,0.433472482933231,0.0145710792389974,"chr10",68771444,68771445,"+",0.426186943313733,0,"MIXED","distal pA"
"CCAR2","ENSG00000158941","PAS22652_AATAAA_0.25",0.424533025838705,NA,0.891912597911869,1,0.34495953781813,0.46457788501489,0.844748423310676,0.881495837316005,0.036747414005329,"chr8",22620467,22620468,"+",0.863122130313341,0,"MIXED","distal pA"
"CCDC91","ENSG00000123106","PAS32404_AATAAA_0.1",0.156494800951098,NA,2.29147234591892,1,0.130086468995536,0.21415014299561,0.289823723657681,0.336678802653068,0.0468550789953868,"chr12",28550164,28550165,"+",0.313251263155375,0,"MIXED","distal pA"
"CEP97","ENSG00000182504","PAS9913_AATAAA_0.15",0.609916196724786,NA,0.382118866916471,1,0.536471430512674,0.647817575088746,0.879815424582851,0.904576176799586,0.0247607522167342,"chr3",101770560,101770561,"+",0.892195800691219,0,"MIXED","distal pA"
"CIRBP","ENSG00000099622","PAS46026_AATAAA_0.2",0.00962270473614614,0.0271821393572524,5.81223184372539,1,0.0159150837578718,0.0366992079510327,0.204928918923689,0.253518096380466,0.0485891774567769,"chr19",1274806,1274807,"+",0.229223507652077,0,"MIXED","distal pA"
"CRELD1","ENSG00000163703","PAS9157_AATAAA_0.3",0.279741177201528,NA,2.45980253886478,1,0.116793463658635,0.196420310956559,0.0910876598603573,0.154641550530497,0.0635538906701402,"chr3",9945396,9945397,"+",0.122864605195427,0,"MIXED","distal pA"
"CTNNB1","ENSG00000168036","PAS9464_ATTAAA_0.1",0.00135303575603303,0.000237552518377092,14.5144780833143,1,0.000139086485326847,0.000580377594570668,0.800461815969861,0.843556527900094,0.043094711930233,"chr3",41240441,41240442,"+",0.822009171934978,0,"MIXED","distal pA"
"DBF4B","ENSG00000161692","PAS42891_AATAAA_0.25",0.367589314851515,NA,1.1121966505475,1,0.291604943491516,0.406582801368636,0.0640847551955872,0.0941484654951992,0.030063710299612,"chr17",44752262,44752263,"+",0.0791166103453932,0,"MIXED","distal pA"
"DMRT2","ENSG00000173253","PAS24764_AATAAA_0.4",0.658749488961023,NA,0.293320181688046,1,0.588100693709608,0.692491074130814,0.549125811079622,0.607679053713016,0.0585532426333946,"chr9",1057549,1057550,"+",0.578402432396319,0,"MIXED","distal pA"
"DNM1","ENSG00000106976","PAS25543_AATAAA_0.15",0.460122100434955,NA,0.770597401536179,1,0.380032304814373,0.499444971264422,0.772226777340688,0.81679620913425,0.0445694317935618,"chr9",128255235,128255236,"+",0.794511493237469,0,"MIXED","distal pA"
"EPHB2","ENSG00000133216","PAS338_AATAAA_0.2",0.602165250416996,NA,0.398695897186371,1,0.527763519440149,0.641034379060203,0.266577034921924,0.237066199826224,-0.0295108350956997,"chr1",22915322,22915323,"+",0.251821617374074,0,"MIXED","distal pA"
"GCC2","ENSG00000135968","PAS6123_APA_0.25",0.0170850512727227,0.380032758110021,2.53631480969489,1,0.111254178645845,0.18854205645872,0.253584821663951,0.197773605843351,-0.0558112158205999,"chr2",108472896,108472897,"+",0.225679213753651,0,"MIXED","distal pA"
"GULP1","ENSG00000144366","PAS6695_AATAAA_0.45",0.847957502630378,NA,0.0612573549437911,1,0.804519564183945,0.865035558483766,0.434868475992177,0.453345384582752,0.0184769085905752,"chr2",188595922,188595923,"+",0.444106930287465,0,"MIXED","distal pA"
"HNRNPA1","ENSG00000135486","PAS32671_AATAAA_0.05",0.00745770615782076,1,0.514402708140551,1,0.473239143395189,0.590331540040767,0.167524853478781,0.174005951139757,0.00648109766097571,"chr12",54287085,54287086,"+",0.170765402309269,0,"MIXED","distal pA"
"IFNAR2","ENSG00000159110","PAS50182_None_0.2",0.200511105666484,NA,0.673025292783336,1,0.411998836548548,0.530911516003529,0.266888816709436,0.334663001121005,0.0677741844115686,"chr21",33265660,33265661,"+",0.30077590891522,0,"MIXED","distal pA"
"LSM8","ENSG00000128534","PAS20912_ATTAAA_0.45",0.741627548601317,NA,0.166579774002457,1,0.68316953295559,0.771980600033512,0.759505395270629,0.777558178782227,0.0180527835115978,"chr7",118192154,118192155,"+",0.768531787026428,0,"MIXED","distal pA"
"MAPK8","ENSG00000107643","PAS27206_AATAAA_0.35",0.658749488961023,NA,1.83866648984986,1,0.17510732323584,0.272403463164975,0.249306547631002,0.311599029803818,0.0622924821728158,"chr10",48439356,48439357,"+",0.28045278871741,0,"MIXED","distal pA"
"MDM4","ENSG00000198625","PAS2117_ATTAAA_0.1",0.0015413128231699,1,0.725825564244587,1,0.394239641221881,0.513274286132538,0.367388692236936,0.385535461387172,0.0181467691502363,"chr1",204558115,204558116,"+",0.376462076812054,0,"MIXED","distal pA"
"NAT10","ENSG00000135372","PAS29703_AATAAA_0.15",0.05122786572327,NA,4.70119527744828,1,0.0301416482664694,0.0632421080882285,0.793517993501712,0.75317708189549,-0.0403409116062224,"chr11",34146906,34146907,"+",0.773347537698601,0,"MIXED","distal pA"
"NCAPH2","ENSG00000025770","PAS51222_AATAAA_0.35",0.977664862970369,NA,0.0286800442263484,1,0.865519905820086,0.909743968782102,0.0772870752509482,0.0745971751179247,-0.0026899001330235,"chr22",50524772,50524773,"+",0.0759421251844365,0,"MIXED","distal pA"
"NDUFB4","ENSG00000065518","PAS10035_AATAAA_0.2",0.0203012530845797,0,6.54147695836946,1,0.0105387818141736,0.0257684979200756,0.641047926722099,0.695090184640199,0.0540422579181002,"chr3",120602325,120602326,"+",0.668069055681149,0,"MIXED","distal pA"
"NMNAT1","ENSG00000173614","PAS155_AATAAA_0.15",0.906977722548683,NA,0.0247161401608764,1,0.87507644983999,0.915902864313355,0.434222138205986,0.451317748590191,0.0170956103842055,"chr1",9985496,9985497,"+",0.442769943398089,0,"MIXED","distal pA"
"NMT1","ENSG00000136448","PAS42908_AATAAA_0.25",0.000380877848226386,0.0814737069305107,5.10541012877729,1,0.0238513395288995,0.0517958598466365,0.241760849678434,0.291757391285123,0.0499965416066896,"chr17",45109011,45109012,"+",0.266759120481779,0,"MIXED","distal pA"
"NOP56","ENSG00000101361","PAS48714_AATAAA_0.15",0.573362892271733,NA,0.462141302385135,1,0.496624929417183,0.612028162152254,0.879619289593467,0.88721987265204,0.00760058305857292,"chr20",2658391,2658392,"+",0.883419581122753,0,"MIXED","distal pA"
"PANX2","ENSG00000073150","PAS51210_AATAAA_0.15",0.886370218375382,NA,0.035728318705992,1,0.850077642694678,0.899046553252641,0.62235755618497,0.605136939180743,-0.0172206170042271,"chr22",50180289,50180290,"+",0.613747247682857,0,"MIXED","distal pA"
"PHACTR4","ENSG00000204138","PAS487_AATAAA_0.3",0.841973145352099,NA,0.0903993211732086,1,0.763670113980595,0.834083963230242,0.456882559696159,0.43798841140738,-0.0188941482887783,"chr1",28500306,28500307,"+",0.447435485551769,0,"MIXED","distal pA"
