gene_name,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,internal_to_UTR_shift,is_significant,pA_type,condition
ABI2,PAS6853_AATAAA_0.2,7.724349394665073e-8,7.954931904589334e-5,18.99901019567096,1,1.3078627997348794e-5,1.85669962129798e-4,0.367147874976846,0.5678944145717564,0.2007465395949104,chr2,203432167,203432168,+,0.4675211447743012,2,TUTR,NA,TRUE,distal pA,ADMAi
ABLIM3,PAS15637_APA_0.15,7.770780375129587e-4,0,14.739683540158012,1,1.2342099821773244e-4,0.001298482959265797,0.7521862476219097,0.9355355323992968,0.1833492847773871,chr5,149260435,149260436,+,0.8438608900106033,2,MIXED,NA,TRUE,distal pA,ADMAi
ACADSB,PAS27953_AATAAA_0.2,0.0013093230726113271,0.0015720018730798428,12.053678911699537,1,5.169026700853487e-4,0.004353391559645647,0.3374233447316517,0.15929320661343316,-0.17813013811821854,chr10,123058288,123058289,+,0.24835827567254243,2,TUTR,NA,TRUE,distal pA,ADMAi
ACP1,PAS5154_AATAAA_0.15,3.5536049559398814e-5,0,21.31479469828446,1,3.897121756989793e-6,6.329442998381008e-5,0.4636111288486811,0.592055400847488,0.12844427199880687,chr2,278279,278280,+,0.5278332648480846,2,TUTR,NA,TRUE,distal pA,ADMAi
ADAMTSL1,PAS24852_AATAAA_0.15,4.5224154037093684e-14,1.4990880867326824e-6,26.629407619056565,1,2.464636486746424e-7,5.438361821574896e-6,0.376491032803134,0.1172948342090452,-0.2591961985940888,chr9,18910293,18910294,+,0.2468929335060896,2,ALE,NA,TRUE,distal pA,ADMAi
ADARB1,PAS50348_AATAAA_0.15,1.6179440520546858e-173,6.999161592599838e-104,475.6200478548999,1,1.9178758507061922e-105,2.4296102541652093e-102,0.7214852468380517,0.2464185027388736,-0.47506674409917815,chr21,45226558,45226559,+,0.4839518747884627,2,iAPA,-0.7114954785856689,TRUE,distal pA,ADMAi
ADCY7,PAS40571_ATTAAA_0.35,0.00108289685829846,1.8375165846818277e-4,16.089413084071566,1,6.042087132423574e-5,7.055872338939527e-4,0.8852318199115725,0.7150119531288052,-0.17021986678276735,chr16,50318131,50318132,+,0.8001218865201889,2,TUTR,NA,TRUE,distal pA,ADMAi
ADO,PAS27252_AATAAA_0.25,2.496294715111782e-4,0,17.151148520420747,1,3.452006237479675e-5,4.3323080612099233e-4,0.4036733922883831,0.6466349781588155,0.24296158587043248,chr10,62808470,62808471,+,0.5251541852235994,2,TUTR,NA,TRUE,distal pA,ADMAi
AEBP2,PAS32282_AATAAA_0.35,4.126551993002518e-26,7.572680705431291e-15,66.73067180192629,1,3.112543107751139e-16,3.010538757703889e-14,0.6893591006169176,0.4440065107382873,-0.24535258987863037,chr12,19520222,19520223,+,0.5666828056776024,2,iAPA,-0.36163719227385044,TRUE,distal pA,ADMAi
AFAP1-AS1,PAS12574_AATAAA_0.15,6.256336608108029e-12,1.0096140317575897e-7,31.85654177262313,1,1.6598968414353342e-8,4.685129538289824e-7,0.6275489548065303,0.8204686514610092,0.19291969665447892,chr4,7778924,7778925,+,0.7240088031337697,2,TUTR,NA,TRUE,distal pA,ADMAi
AGAP1,PAS7155_AATAAA_0.15,2.573649013441956e-48,4.883342276760437e-8,35.706560756003,1,2.293901903067198e-9,7.86647633510433e-8,0.2831743550839448,0.09108032308720526,-0.19209403199673947,chr2,236131791,236131792,+,0.18712733908557502,2,TUTR,NA,TRUE,distal pA,ADMAi
AGPAT3,PAS50311_None_0.25,1.059439239073903e-24,4.100806523049441e-11,48.45994253970093,1,3.3710485298512267e-12,1.8662956590970696e-10,0.3545660405900415,0.17121283613993957,-0.18335320445010192,chr21,43985411,43985412,+,0.2628894383649905,2,TUTR,NA,TRUE,distal pA,ADMAi
