"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"AASDHPPT","ENSG00000149313","PAS30468_AATAAA_0.3",0.859752752999683,NA,0.164523128327573,1,0.685025867944188,0.887674143148849,0.448631364816162,0.42621095706732,-0.0224204077488417,"chr11",106098692,106098693,"+",0.437421160941741,0,"TUTR","distal pA"
"ABCE1","ENSG00000164163","PAS13298_AATAAA_0.3",0.895479247909431,NA,0.455095747853193,1,0.499924945902573,0.791376681514902,0.0828972512365125,0.0682940943493974,-0.0146031568871151,"chr4",145129520,145129521,"+",0.0755956727929549,0,"TUTR","distal pA"
"ABHD10","ENSG00000144827","PAS9981_AATAAA_0.2",0.664622904673016,NA,0.77963468226335,1,0.377252890216488,0.708960724967436,0.845197697539534,0.806868512095211,-0.0383291854443237,"chr3",111993366,111993367,"+",0.826033104817373,0,"TUTR","distal pA"
"ABHD13","ENSG00000139826","PAS35732_AATAAA_0.35",0.914641798224831,NA,0.0577633007085012,1,0.810066712079762,0.93265643464004,0.592692769525609,0.551330139212304,-0.0413626303133047,"chr13",108230907,108230908,"+",0.572011454368957,0,"TUTR","distal pA"
"ABHD2","ENSG00000140526","PAS38967_AATAAA_0.05",0.587021415191051,NA,1.54489977075627,1,0.213889955061404,0.558594248995007,0.590343906713236,0.538962555835785,-0.0513813508774509,"chr15",89202353,89202354,"+",0.56465323127451,0,"TUTR","distal pA"
"ABHD5","ENSG00000011198","PAS9495_AATAAA_0.35",0.398243689167778,NA,1.02745537646115,1,0.310757076760018,0.654152154115538,0.291665752807781,0.344978165938865,0.0533124131310841,"chr3",43719869,43719870,"+",0.318321959373323,0,"TUTR","distal pA"
"ABRAXAS2","ENSG00000165660","PAS27969_AATAAA_0.2",0.882709577211461,NA,0.232107105694013,1,0.629965823866913,0.865460750187915,0.704926262976626,0.72836738114368,0.0234411181670539,"chr10",124836666,124836667,"+",0.716646822060153,0,"TUTR","distal pA"
"ACACB","ENSG00000076555","PAS33226_AATAAA_0.25",0.815450636234486,NA,0.276673213951312,1,0.598890047046636,0.847247772845961,0.835268615276513,0.795174627585515,-0.0400939876909973,"chr12",109268222,109268223,"+",0.815221621431014,0,"TUTR","distal pA"
"ACADSB","ENSG00000196177","PAS27953_AATAAA_0.2",0.864761583603245,NA,0.151893166127138,1,0.696732706365116,0.890086380591503,0.123009146482258,0.105021139030256,-0.0179880074520019,"chr10",123058288,123058289,"+",0.114015142756257,0,"TUTR","distal pA"
"ACP7","ENSG00000183760","PAS46791_AATAAA_0.45",0.895965024630506,NA,0.0878256384341967,1,0.766959821639138,0.916666910705205,0.664671688032489,0.691087395014489,0.0264157069819992,"chr19",39111481,39111482,"+",0.677879541523489,0,"TUTR","distal pA"
