"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"ABCB8","ENSG00000197150","PAS21132_AATAAA_0.2",1.70117312627213e-06,8.11666807033516e-08,31.5984921506151,1,1.89576730756705e-08,8.3717332114881e-07,0.217796988657297,0.470873107531107,0.253076118873809,"chr7",151047779,151047780,"+",0.344335048094202,2,"TUTR","distal pA","SKMEL2"
"ABI2","ENSG00000138443","PAS6853_AATAAA_0.2",3.18579174524709e-05,0.000560136457824851,14.6298176953569,1,0.000130828115098332,0.00185425563358418,0.59411764698848,0.770269785797315,0.176152138808835,"chr2",203432167,203432168,"+",0.682193716392898,2,"TUTR","distal pA","SKMEL2"
"ACP1","ENSG00000143727","PAS5154_AATAAA_0.15",0.00709364774129503,0,10.7916581031632,1,0.00101958513880648,0.0097575453121048,0.571567118957459,0.675616869012223,0.104049750054764,"chr2",278279,278280,"+",0.623591993984841,2,"TUTR","distal pA","SKMEL2"
"ACTR3B","ENSG00000133627","PAS21156_AATAAA_0.25",0.0130233932372336,0,9.40605080167757,1,0.00216270537664629,0.0178853352231503,0.561024488369339,0.877180588380302,0.316156100010964,"chr7",152855370,152855371,"+",0.719102538374821,2,"TUTR","distal pA","SKMEL2"
"ADO","ENSG00000181915","PAS27252_AATAAA_0.25",0.00258839483603625,0,13.0487832037793,1,0.000303481510626184,0.00372474627892064,0.502219483682778,0.726272946987533,0.224053463304754,"chr10",62808470,62808471,"+",0.614246215335156,2,"TUTR","distal pA","SKMEL2"
"ANAPC16","ENSG00000166295","PAS27369_AATAAA_0.25",0.0272624258548654,0.0158415073577909,8.42546640751425,1,0.00370001723505774,0.0271582470925232,0.563418532057661,0.43806652777976,-0.125352004277902,"chr10",72233825,72233826,"+",0.50074252991871,2,"TUTR","distal pA","SKMEL2"
"ANXA4","ENSG00000196975","PAS5786_APA_0.25",0.0238946778505944,0,8.0224689973279,1,0.00462005441294615,0.0322473116126844,0.357276545203845,0.560198460297733,0.202921915093888,"chr2",69826360,69826361,"+",0.458737502750789,2,"TUTR","distal pA","SKMEL2"
"AP5Z1","ENSG00000242802","PAS19983_AATAAA_0.15",1.2568457540395e-10,2.85215997610556e-10,43.9721477438725,1,3.33081973526415e-11,2.3320915586852e-09,0.195371203084079,0.403313995317461,0.207942792233383,"chr7",4794394,4794395,"+",0.29934259920077,2,"TUTR","distal pA","SKMEL2"
"ATG4A","ENSG00000101844","PAS52259_AATAAA_0.2",0.00541529513957777,0,11.3979979236908,1,0.000735233006903979,0.00756103776430989,0.764633953703245,0.947226969643808,0.182593015940563,"chrX",108154664,108154665,"+",0.855930461673526,2,"TUTR","distal pA","SKMEL2"
"ATG7","ENSG00000197548","PAS9191_AATAAA_0.45",0.000270651850755144,0,18.0618188203059,1,2.13847011519479e-05,0.000405858801497572,0.0869762768069696,0.39135721629512,0.30438093948815,"chr3",11557662,11557663,"+",0.239166746551045,2,"TUTR","distal pA","SKMEL2"
