"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ADARB1","ENSG00000197381","PAS50348_AATAAA_0.15",0.76553289258502,NA,0.255004671490383,1,0.613572972973032,0.794511738105614,0.695774704370184,0.748914873310277,0.0531401689400931,"chr21",45226558,45226559,"+",0.722344788840231,0,"MIXED","distal pA"
"ADGRL2","ENSG00000117114","PAS1054_AATAAA_0.3",0.918150784356931,NA,0.0348961510291019,1,0.851813436244611,0.931219773521912,0.580285499452005,0.56238690672386,-0.017898592728145,"chr1",81992421,81992422,"+",0.571336203087932,0,"MIXED","distal pA"
"AGK","ENSG00000006530","PAS21062_ATTAAA_0.25",0.843319830129561,NA,0.118588768881125,1,0.73057015219355,0.864242158206256,0.262328717268927,0.230350429932789,-0.0319782873361387,"chr7",141654262,141654263,"+",0.246339573600858,0,"MIXED","distal pA"
"ALDH16A1","ENSG00000161618","PAS47107_AATAAA_0.25",0.569502175994229,NA,0.764644736738546,1,0.381878861511979,0.60903121452494,0.327213741474166,0.372496728322348,0.0452829868481814,"chr19",49471046,49471047,"+",0.349855234898257,0,"MIXED","distal pA"
"ALDH3A2","ENSG00000072210","PAS42429_APA_0.25",0.959863367007752,NA,0.0289365102289594,1,0.864925713980042,0.937640779925464,0.471839317115883,0.463370105968323,-0.00846921114756066,"chr17",19677594,19677595,"+",0.467604711542103,0,"MIXED","distal pA"
"AP5S1","ENSG00000125843","PAS48739_APA_0.15",0.287830962234112,NA,2.15821079531224,1,0.141809730376404,0.329013226120285,0.0521851513341445,0.11452635175839,0.0623412004242453,"chr20",3828836,3828837,"+",0.0833557515462671,0,"MIXED","distal pA"
"API5","ENSG00000166181","PAS29757_AATAAA_0.05",0.620904425129383,NA,0.266430265898634,1,0.605736495033701,0.78906528421153,0.852630498107826,0.867443672235108,0.0148131741272822,"chr11",43344528,43344529,"+",0.860037085171467,0,"MIXED","distal pA"
"ARFGEF2","ENSG00000124198","PAS49180_AATAAA_0.2",0.524323506407592,NA,0.929687242177351,1,0.334944208189603,0.564689799042391,0.735352782965005,0.77657328434085,0.0412205013758453,"chr20",49036691,49036692,"+",0.755963033652928,0,"MIXED","distal pA"
"ARL6IP5","ENSG00000144746","PAS9794_AATAAA_0.15",0.864366849653705,NA,0.0242614627095463,1,0.876221479662577,0.943178244318731,0.285593506760155,0.289396973836033,0.00380346707587875,"chr3",69106065,69106066,"+",0.287495240298094,0,"MIXED","distal pA"
"ATP2A2","ENSG00000174437","PAS33247_AATAAA_0.2",0.0611471407176376,NA,5.54326643798413,1,0.0185519237614192,0.0780875722027416,0.150154334840963,0.217490636470716,0.0673363016297535,"chr12",110351089,110351090,"+",0.183822485655839,0,"MIXED","distal pA"
"ATRIP","ENSG00000164053","PAS9579_AATAAA_0.25",0.545501926371572,NA,0.858427774495794,1,0.35417904200096,0.585271985873228,0.531160292731561,0.461757496434979,-0.0694027962965826,"chr3",48467643,48467644,"+",0.49645889458327,0,"MIXED","distal pA"
"BIVM","ENSG00000134897","PAS35719_AATAAA_0.35",0.836679820143486,NA,0.133077029783976,1,0.715262761944319,0.857517623520605,0.737506468667997,0.703247680420743,-0.0342587882472544,"chr13",102841530,102841531,"+",0.72037707454437,0,"MIXED","distal pA"
"CALR","ENSG00000179218","PAS46327_ATTAAA_0",0.980267039123497,NA,0.00235963724844623,1,0.961257118902802,0.983781611876272,0.856694304278862,0.857552736930323,0.000858432651460905,"chr19",12944488,12944489,"+",0.857123520604593,0,"MIXED","distal pA"
"CCAR1","ENSG00000060339","PAS27299_APA_0.3",0.318021586304148,NA,6.87629000527886,1,0.0087346688171157,0.0438514044209904,0.55710406830107,0.51144612398788,-0.0456579443131894,"chr10",68771444,68771445,"+",0.534275096144475,0,"MIXED","distal pA"
