"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"ABCE1","ENSG00000164163","PAS13298_AATAAA_0.3",0.55041753565726,NA,0.836790513653796,1,0.36031630172869,0.590500354611619,0.132809558935792,0.162969406373497,0.0301598474377053,"chr4",145129520,145129521,"+",0.147889482654644,0,"TUTR"
"ABHD2","ENSG00000140526","PAS38967_AATAAA_0.05",0.905275894959404,NA,0.239603684384292,1,0.624492501389413,0.801541598892807,0.542476886615205,0.515137831690509,-0.0273390549246961,"chr15",89202353,89202354,"+",0.528807359152857,0,"TUTR"
"ACADSB","ENSG00000196177","PAS27953_AATAAA_0.2",0.695418047133624,NA,0.404452540184423,1,0.524798692122887,0.72853601802277,0.307746603331909,0.245022135869862,-0.0627244674620465,"chr10",123058288,123058289,"+",0.276384369600886,0,"TUTR"
"ADIPOR2","ENSG00000006831","PAS32053_AATAAA_0.25",0.756468309013872,NA,0.274204295628806,1,0.600525337185825,0.785579715514109,0.76954333648493,0.78593335997828,0.0163900234933499,"chr12",1788670,1788671,"+",0.777738348231606,0,"TUTR"
"AKAP9","ENSG00000127914","PAS20635_ATTAAA_0.3",0.724940475825897,NA,1.6358131414072,1,0.200900891066807,0.412191426006086,0.463369134967178,0.418956061149076,-0.0444130738181019,"chr7",91995799,91995800,"+",0.441162598058127,0,"TUTR"
"ANKIB1","ENSG00000001629","PAS20642_ATTAAA_0.25",0.467404543785301,NA,0.657291127146209,1,0.417517909282672,0.64286462217049,0.779856902759813,0.823493241513855,0.0436363387540423,"chr7",92401376,92401377,"+",0.801675072136834,0,"TUTR"
"AP4S1","ENSG00000100478","PAS36473_AATAAA_0.2",0.978019002485179,NA,0.00274219799112529,1,0.958237064732647,0.981720069722692,0.533610339178586,0.52575881385512,-0.007851525323466,"chr14",31096448,31096449,"+",0.529684576516853,0,"TUTR"
"APOOL","ENSG00000155008","PAS52157_AATAAA_0.15",0.599954455883265,NA,1.05620625577967,1,0.304082047623366,0.533591311705984,0.237742564000428,0.292998656260323,0.0552560922598947,"chrX",85093314,85093315,"+",0.265370610130375,0,"TUTR"
"ARHGEF12","ENSG00000196914","PAS30631_ATTAAA_0.3",0.865379406211434,NA,0.517052102208709,1,0.47210188735948,0.688117190682125,0.661310597289104,0.628496506243216,-0.0328140910458878,"chr11",120489027,120489028,"+",0.64490355176616,0,"TUTR"
"ARHGEF5","ENSG00000050327","PAS21086_AATAAA_0.2",0.338052753309856,NA,1.80919794776423,1,0.178604473543782,0.382845006195684,0.949067653762833,0.886668859703379,-0.0623987940594538,"chr7",144380630,144380631,"+",0.917868256733106,0,"TUTR"
"ARIH1","ENSG00000166233","PAS38774_AATAAA_0.25",0.000472462779390792,1,0.298844019946046,1,0.584608025543707,0.773658249916363,0.436636750552492,0.420095986672902,-0.0165407638795902,"chr15",72586553,72586554,"+",0.428366368612697,0,"TUTR"
"ASF1A","ENSG00000111875","PAS18247_AATAAA_0.35",0.975470058717604,NA,0.00315651866844746,1,0.955196100517867,0.980183026674002,0.347504352400676,0.350752618086442,0.00324826568576553,"chr6",118909164,118909165,"+",0.349128485243559,0,"TUTR"
"ATM","ENSG00000149311","PAS30484_AATAAA_0.4",0.44209483012694,NA,1.25909137060046,1,0.261823151822751,0.485474961182637,0.913463857022723,0.848427823356337,-0.0650360336663861,"chr11",108369098,108369099,"+",0.88094584018953,0,"TUTR"
"ATP6V1A","ENSG00000114573","PAS10002_AATAAA_0.15",0.765974112637626,NA,0.550281077119507,1,0.45820286892502,0.67718034474516,0.254429296960321,0.274606597065595,0.0201773001052737,"chr3",113812053,113812054,"+",0.264517947012958,0,"TUTR"
"B3GALT6","ENSG00000176022","PAS29_ATTAAA_0.25",0.316950254883868,NA,0.28248355537653,1,0.595078007866689,0.782024994329514,0.478467750043857,0.521738437692452,0.043270687648595,"chr1",1235037,1235038,"+",0.500103093868154,0,"TUTR"
"BAG3","ENSG00000151929","PAS27916_AATAAA_0.2",0.52160328313481,NA,0.939378638505786,1,0.332437691172691,0.562436738313028,0.888596768302237,0.915841860588425,0.027245092286188,"chr10",119677814,119677815,"+",0.902219314445331,0,"TUTR"
"BFAR","ENSG00000103429","PAS40285_AATAAA_0.45",0.936933412662285,NA,0.430813971031967,1,0.511589815151487,0.71764267819081,0.184790603375698,0.161324230600667,-0.0234663727750314,"chr16",14669225,14669226,"+",0.173057416988182,0,"TUTR"
"BMI1","ENSG00000168283","PAS27042_APA_0.3",0.682584059647065,NA,0.439748437826893,1,0.507243898694037,0.71522971802114,0.217210770982715,0.239481092851779,0.0222703218690633,"chr10",22331481,22331482,"+",0.228345931917247,0,"TUTR"
"BMP2","ENSG00000125845","PAS48786_AATAAA_0.3",0.45469902336919,NA,1.20177818527236,1,0.272966565809012,0.498628743612012,0.248093483264207,0.296384585666834,0.0482911024026265,"chr20",6780244,6780245,"+",0.272239034465521,0,"TUTR"
"BRK1","ENSG00000254999","PAS9174_AATAAA_0.25",0.180589002542412,NA,4.59688169686706,1,0.0320301644113625,0.115497297541019,0.17608773638003,0.235131565387534,0.0590438290075036,"chr3",10127188,10127189,"+",0.205609650883782,0,"TUTR"
"BZW1","ENSG00000082153","PAS6789_AATAAA_0.4",0.933041387826934,NA,0.023515824306287,1,0.87812329643178,0.944282315827919,0.155678432883436,0.149362400266447,-0.00631603261698843,"chr2",200827333,200827334,"+",0.152520416574941,0,"TUTR"
"C3orf38","ENSG00000179021","PAS9839_AATAAA_0.35",0.829782241662656,NA,0.629434568807483,1,0.427562793624869,0.65247161329978,0.620689655172413,0.678568340325526,0.0578786851531125,"chr3",88157962,88157963,"+",0.64962899774897,0,"TUTR"
"CAB39","ENSG00000135932","PAS7067_AATAAA_0.15",0.263937874528558,NA,2.34984144565215,1,0.125295750711676,0.303113224395366,0.837742888806641,0.763262851602313,-0.0744800372043284,"chr2",230821070,230821071,"+",0.800502870204477,0,"TUTR"
"CALU","ENSG00000128595","PAS20956_AATAAA_0.25",0.0003842872784205,1,0.671440673548204,1,0.412549773198008,0.638672711726964,0.19515897808761,0.183724414784414,-0.0114345633031958,"chr7",128771472,128771473,"+",0.189441696436012,0,"TUTR"
"CAMLG","ENSG00000164615","PAS15404_AATAAA_0.3",0.96740167014839,NA,0.00516846083246492,1,0.942687850184615,0.973435045597318,0.560374625488908,0.563647593755753,0.0032729682668452,"chr5",134751374,134751375,"+",0.56201110962233,0,"TUTR"
"CAMSAP2","ENSG00000118200","PAS2039_AATAAA_0.2",0.914119892486066,NA,0.128004807286743,1,0.720509759015929,0.860457122718282,0.552341961390194,0.532529303137975,-0.0198126582522191,"chr1",200860700,200860701,"+",0.542435632264084,0,"TUTR"
