"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"CCDC66","ENSG00000180376","PAS9701_ATTAAA_0.25",0.913932870560665,NA,0.0305376811447218,1,0.861275811131266,0.912199324999123,0.853728113143471,0.839168029313642,-0.0145600838298294,"chr3",56621757,56621758,"+",0.846448071228556,0,"iAPA","distal pA"
"DGKZ","ENSG00000149091","PAS29804_APA_0",0.973062096703532,NA,0.00534835633970943,1,0.941700713454367,0.962175865896279,0.893248240316174,0.895689752818344,0.00244151250216973,"chr11",46380550,46380551,"+",0.894468996567259,0,"iAPA","distal pA"
"DYNC2H1","ENSG00000187240","PAS30466_AATAAA_0.15",0.949782330615189,NA,0.0126838438721393,1,0.91032978851143,0.942841292936441,0.497802199199716,0.486398217229702,-0.0114039819700142,"chr11",103479622,103479623,"+",0.492100208214709,0,"iAPA","distal pA"
"FZD6","ENSG00000164930","PAS23270_None_0.25",0.219667921256169,NA,2.25867648121402,1,0.132867572680332,0.253543948363336,0.93270084232284,0.888355220469694,-0.0443456218531461,"chr8",103332811,103332812,"+",0.910528031396267,0,"iAPA","distal pA"
"GOLGA4","ENSG00000144674","PAS9405_AATAAA_0.3",0.245391039700844,NA,2.04554307216836,1,0.152652500405488,0.27951481037976,0.706852092926802,0.774879894025851,0.0680278010990483,"chr3",37366744,37366745,"+",0.740865993476327,0,"iAPA","distal pA"
"KATNIP","ENSG00000047578","PAS40418_AATAAA_0.3",0.452183411976575,NA,0.931413330348391,1,0.334495941177344,0.490742853643449,0.823892180894734,0.891341255205586,0.0674490743108526,"chr16",27780364,27780365,"+",0.85761671805016,0,"iAPA","distal pA"
"LRRC69","ENSG00000214954","PAS23122_AATAAA_0.1",0.632602278150987,NA,0.408014195238621,1,0.52297914606522,0.664079955275886,0.123202190443912,0.0793412194470102,-0.0438609709969022,"chr8",91219255,91219256,"+",0.101271704945461,0,"iAPA","distal pA"
"PCBP2","ENSG00000197111","PAS32648_ATTAAA_0.2",3.15208176016835e-05,6.84122888730842e-06,24.9980679359505,1,5.73877919906666e-07,7.37534963454162e-06,0.877544222640802,0.813884882214303,-0.0636593404264989,"chr12",53479793,53479794,"+",0.845714552427552,0,"iAPA","distal pA"
"PCNT","ENSG00000160299","PAS50372_AATAAA_0.15",0.867980089099766,NA,0.0606992935818198,1,0.805394072990388,0.873789885987144,0.922618339847786,0.914440515582468,-0.00817782426531832,"chr21",46445764,46445765,"+",0.918529427715127,0,"iAPA","distal pA"
"POLR3G","ENSG00000113356","PAS15111_ATTAAA_0.2",0.0554701605340821,NA,1.67344848082894,1,0.195797274848289,0.334680068512944,0.374590988258102,0.428462822813498,0.0538718345553955,"chr5",90514390,90514391,"+",0.4015269055358,0,"iAPA","distal pA"
"RBM5","ENSG00000003756","PAS9624_APA_0.15",0.918576213820671,NA,0.0917524749002041,1,0.761960957685585,0.844259188559646,0.83435160850279,0.845469416800423,0.0111178082976338,"chr3",50118956,50118957,"+",0.839910512651607,0,"iAPA","distal pA"
"RPL27","ENSG00000131469","PAS42843_ATTAAA_0.35",4.53131867659468e-05,0,20.2453220740717,1,6.81198238137081e-06,6.68812815625498e-05,0.892938293760864,0.940057773544078,0.047119479783214,"chr17",43002951,43002952,"+",0.916498033652471,0,"iAPA","distal pA"
"RPS3A","ENSG00000145425","PAS13321_AATAAA_0.15",0.0215038307715348,0,7.10315037459168,1,0.00769485864915186,0.0282213582628411,0.879690134807279,0.93674101900872,0.0570508842014412,"chr4",151104638,151104639,"+",0.908215576908,0,"iAPA","distal pA"
"SLC4A1AP","ENSG00000163798","PAS5369_ATTAAA_0.4",0.734288786924063,NA,0.219869691991335,1,0.63913922446834,0.755168368695339,0.91718448915731,0.932401186753894,0.0152166975965842,"chr2",27694963,27694964,"+",0.924792837955602,0,"iAPA","distal pA"
"SP140L","ENSG00000185404","PAS7056_ATTAAA_0.3",0.671631316665003,NA,0.323059710970256,1,0.569774646786668,0.700916882959205,0.59594146773628,0.640882149509323,0.044940681773043,"chr2",230403729,230403730,"+",0.618411808622802,0,"iAPA","distal pA"
"ZC3H15","ENSG00000065548","PAS6681_AATAAA_0.25",0.0266324993497127,0,6.6233408438743,1,0.0100650858469555,0.0348681308237804,0.883867841852285,0.951587065810627,0.0677192239583424,"chr2",186509357,186509358,"+",0.917727453831456,0,"iAPA","distal pA"
"ZMPSTE24","ENSG00000084073","PAS694_ATTAAA_0.15",0.411446457992135,NA,1.09745843885889,1,0.294824548044945,0.450636851089928,0.846143998324579,0.885874625730722,0.0397306274061426,"chr1",40294178,40294179,"+",0.866009312027651,0,"iAPA","distal pA"
"BSCL2","ENSG00000168000","PAS31295_AATAAA_0.2",0.555852303445473,NA,0.589106093113514,1,0.442764995280506,0.591442185298209,0.872043540617954,0.902952333274806,0.030908792656852,"chr11",62690274,62690275,"-",0.88749793694638,0,"iAPA","distal pA"
"DIS3","ENSG00000083520","PAS36149_AATAAA_0.35",0.614381164940061,NA,0.447340171735277,1,0.503600778243676,0.64658764500271,0.892648362872865,0.922378808412536,0.0297304455396704,"chr13",72759043,72759044,"-",0.907513585642701,0,"iAPA","distal pA"
"EFL1","ENSG00000140598","PAS39840_AATAAA_0.45",0.373998279675332,NA,1.25791312886616,1,0.26204647675265,0.413259411013017,0.882474328910148,0.940639779651204,0.0581654507410557,"chr15",82130235,82130236,"-",0.911557054280676,0,"iAPA","distal pA"
"ELF1","ENSG00000120690","PAS35990_AATAAA_0.1",0.581252929827407,NA,0.526950892361697,1,0.467891596042302,0.61460379072579,0.805476687310515,0.849129693162145,0.0436530058516294,"chr13",40932030,40932031,"-",0.82730319023633,0,"iAPA","distal pA"
"HECTD1","ENSG00000092148","PAS37405_ATTAAA_0.3",0.139905970883819,NA,2.61670374988671,1,0.105743897291341,0.216014412386094,0.744564022440703,0.816420924418227,0.0718569019775244,"chr14",31100117,31100118,"-",0.780492473429465,0,"iAPA","distal pA"
"IARS1","ENSG00000196305","PAS26194_AATAAA_0.4",0.752036852019577,NA,0.193645226828721,1,0.65989988670592,0.77163684763243,0.751906043570734,0.7725091003289,0.020603056758166,"chr9",92210342,92210343,"-",0.762207571949817,0,"iAPA","distal pA"
"INO80","ENSG00000128908","PAS39266_AATAAA_0.2",0.901231607320784,NA,0.0382562415234133,1,0.84492950028507,0.900907081968538,0.584824646821789,0.596221120766877,0.0113964739450882,"chr15",40978882,40978883,"-",0.590522883794333,0,"iAPA","distal pA"
"LAMB1","ENSG00000091136","PAS22144_AATAAA_0.15",0.957792314452486,NA,0.00967696793657069,1,0.92163724033077,0.949635760561757,0.782195322434256,0.788699310808413,0.00650398837415644,"chr7",107923799,107923800,"-",0.785447316621334,0,"iAPA","distal pA"
"RB1CC1","ENSG00000023287","PAS23885_AATAAA_0.25",0.081427286922871,NA,0.543870791228528,1,0.460832957402642,0.608186876572122,0.299525743772124,0.265721081848315,-0.0338046619238087,"chr8",52622889,52622890,"-",0.28262341281022,0,"iAPA","distal pA"
"SBDS","ENSG00000126524","PAS21790_AATAAA_0.4",0.505796994160568,NA,0.745899158294151,1,0.387777695523102,0.54241297287894,0.763917361340952,0.817445481544005,0.0535281202030524,"chr7",66987777,66987778,"-",0.790681421442479,0,"iAPA","distal pA"
"SRPK1","ENSG00000096063","PAS19011_AATAAA_0.35",0.176764832419679,NA,0.229791694944879,1,0.63167832656681,0.74990102754706,0.83786192664316,0.856026838649525,0.0181649120063644,"chr6",35833034,35833035,"-",0.846944382646343,0,"iAPA","distal pA"
"WASHC3","ENSG00000120860","PAS34779_AATAAA_0.25",1,NA,0.000327641608237172,1,0.98555838140563,0.991112863829627,0.81215760045288,0.811079161821987,-0.00107843863089241,"chr12",102012942,102012943,"-",0.811618381137434,0,"iAPA","distal pA"
"CCDC66","ENSG00000180376","PAS9700_AATAAA_0.2",0.913932870560665,NA,0.0305376811448355,1,0.861275811131011,0.912199324999123,0.146271886856529,0.160831970686358,0.0145600838298293,"chr3",56620079,56620080,"+",0.153551928771444,0,"iAPA","proximal pA"
"DGKZ","ENSG00000149091","PAS29803_AATAAA_0.25",0.973062096703532,NA,0.00534835633970943,1,0.941700713454367,0.962175865896279,0.106751759683826,0.104310247181656,-0.00244151250216972,"chr11",46378111,46378112,"+",0.105531003432741,0,"iAPA","proximal pA"
"DYNC2H1","ENSG00000187240","PAS30465_AATAAA_0.45",0.949782330615189,NA,0.0126838438721393,1,0.91032978851143,0.942841292936441,0.502197800800284,0.513601782770298,0.0114039819700142,"chr11",103153460,103153461,"+",0.507899791785291,0,"iAPA","proximal pA"
"FZD6","ENSG00000164930","PAS23268_AATAAA_0.45",0.219667921256169,NA,2.25867648121402,1,0.132867572680332,0.253543948363336,0.0672991576771602,0.111644779530306,0.044345621853146,"chr8",103328470,103328471,"+",0.0894719686037332,0,"iAPA","proximal pA"
"GOLGA4","ENSG00000144674","PAS9404_APA_0.3",0.245391039700844,NA,2.04554307216745,1,0.15265250040558,0.27951481037976,0.293147907073197,0.225120105974149,-0.0680278010990482,"chr3",37325117,37325118,"+",0.259134006523673,0,"iAPA","proximal pA"
"KATNIP","ENSG00000047578","PAS40417_AATAAA_0.35",0.452183411976575,NA,0.931413330348278,1,0.334495941177374,0.490742853643449,0.176107819105266,0.108658744794414,-0.0674490743108527,"chr16",27631388,27631389,"+",0.14238328194984,0,"iAPA","proximal pA"
"LRRC69","ENSG00000214954","PAS23118_None_0.2",0.632602278150987,NA,0.408014195238621,1,0.52297914606522,0.664079955275886,0.876797809556087,0.92065878055299,0.0438609709969023,"chr8",91118394,91118395,"+",0.898728295054539,0,"iAPA","proximal pA"
"PCBP2","ENSG00000197111","PAS32645_AATAAA_0.15",3.15208176016835e-05,1.60355115653475e-05,23.3575538127116,1,1.3451422505148e-06,1.58786111105831e-05,0.0574649672189692,0.103575041585825,0.0461100743668555,"chr12",53467902,53467903,"+",0.080520004402397,0,"iAPA","proximal pA"
"PCNT","ENSG00000160299","PAS50371_ATTAAA_0.35",0.867980089099766,NA,0.0606992935818198,1,0.805394072990388,0.873789885987144,0.0773816601522138,0.0855594844175321,0.00817782426531825,"chr21",46399729,46399730,"+",0.081470572284873,0,"iAPA","proximal pA"
"POLR3G","ENSG00000113356","PAS15109_None_0.15",0.0554701605340821,NA,0.921728434381294,1,0.33702155074447,0.493272626339267,0.425239322520003,0.465569439310514,0.0403301167905115,"chr5",90501987,90501988,"+",0.445404380915259,0,"iAPA","proximal pA"
"RBM5","ENSG00000003756","PAS9623_APA_0.35",0.918576213820671,NA,0.00637386020571284,1,0.936367326670882,0.958983703210498,0.144114678024268,0.140378892907435,-0.00373578511683381,"chr3",50105251,50105252,"+",0.142246785465851,0,"iAPA","proximal pA"
"RPL27","ENSG00000131469","PAS42842_APA_0.15",4.53131867659468e-05,0,20.2453220740717,1,6.81198238137081e-06,6.68812815625498e-05,0.107061706239136,0.0599422264559226,-0.0471194797832138,"chr17",43000244,43000245,"+",0.0835019663475295,0,"iAPA","proximal pA"
