"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"AASDHPPT","ENSG00000149313","PAS30468_AATAAA_0.3",0.00529134225229835,0,9.32415492635028,1,0.00226152596365671,0.00670102030094063,0.858747893732797,0.702913737975188,-0.155834155757609,"chr11",106098692,106098693,"+",0.780830815853992,2,"TUTR","distal pA","CDK12i"
"ABCC1","ENSG00000103222","PAS40309_APA_0.2",3.40568055504257e-05,0,19.4807350220844,1,1.01619425940935e-05,4.74729031103516e-05,0.675532379647074,0.871109531202293,0.195577151555218,"chr16",16143051,16143052,"+",0.773320955424684,2,"TUTR","distal pA","CDK12i"
"ACADSB","ENSG00000196177","PAS27953_AATAAA_0.2",1.81709693137115e-08,1.02348816164872e-09,38.4464025955739,1,5.6278224739439e-10,4.31061126727948e-09,0.738966876600003,0.28600053787076,-0.452966338729243,"chr10",123058288,123058289,"+",0.512483707235381,3,"TUTR","distal pA","CDK12i"
"ACSL3","ENSG00000123983","PAS7027_AATAAA_0.35",3.01408345016118e-53,5.73529806956187e-51,228.062972628792,1,1.57682524234831e-51,8.81517281749328e-50,0.382091036774441,0.0875589128098981,-0.294532123964543,"chr2",222944621,222944622,"+",0.23482497479217,2,"TUTR","distal pA","CDK12i"
"ACTR3","ENSG00000115091","PAS6210_ATTAAA_0.35",1.64385563719229e-08,1.52379892422852e-10,44.3168938872877,1,2.7929552266732e-11,2.46912636279317e-10,0.199099101982646,0.356598072514009,0.157498970531363,"chr2",113961549,113961550,"+",0.277848587248327,2,"TUTR","distal pA","CDK12i"
"ACVR2B","ENSG00000114739","PAS9431_AATAAA_0.2",1.34614080560136e-09,1.61719005447125e-10,42.0509951505755,1,8.89239257885585e-11,7.40922728601885e-10,0.170103177139643,0.0466419017151067,-0.123461275424536,"chr3",38493139,38493140,"+",0.108372539427375,2,"TUTR","distal pA","CDK12i"
"ADAM22","ENSG00000008277","PAS20615_AATAAA_0.15",0.0116174872035745,0,7.74969346138357,1,0.00537216590327111,0.0143837820379117,0.583427926651325,0.822995388886918,0.239567462235593,"chr7",88202887,88202888,"+",0.703211657769122,2,"TUTR","distal pA","CDK12i"
"ADD3","ENSG00000148700","PAS27811_AATAAA_0.25",0.0172847157356932,0,6.95979305666469,1,0.00833616742935847,0.0211432951385065,0.698596303739892,0.555324602209317,-0.143271701530576,"chr10",110135563,110135564,"+",0.626960452974604,2,"TUTR","distal pA","CDK12i"
"ADO","ENSG00000181915","PAS27252_AATAAA_0.25",0.0030893642644946,0,10.4128183178509,1,0.00125143610796034,0.0039476934400725,0.712884859025255,0.870642558683851,0.157757699658596,"chr10",62808470,62808471,"+",0.791763708854553,2,"TUTR","distal pA","CDK12i"
"AGFG1","ENSG00000173744","PAS7048_AATAAA_0.2",8.11786660714218e-18,8.53557002338307e-07,27.5079810437164,1,1.56447576713657e-07,9.40990268331739e-07,0.552349062896728,0.374852105436291,-0.177496957460437,"chr2",227561215,227561216,"+",0.463600584166509,2,"TUTR","distal pA","CDK12i"
"AGPAT3","ENSG00000160216","PAS50313_APA_0",1.00562055102139e-06,0.000133999573983299,17.7982702389268,1,2.45606427841599e-05,0.000108422523011463,0.320673434717481,0.103380706387764,-0.217292728329716,"chr21",43987140,43987141,"+",0.212027070552622,2,"TUTR","distal pA","CDK12i"
"AGPS","ENSG00000018510","PAS6625_AATAAA_0.35",0.00034221619820894,0.00100687724418948,14.5236346180368,1,0.000138412113488059,0.000533417163908643,0.249547528127671,0.0881403376557144,-0.161407190471956,"chr2",177543832,177543833,"+",0.168843932891693,2,"TUTR","distal pA","CDK12i"
"AKAP13","ENSG00000170776","PAS38954_AATAAA_0.05",0.000703559758910864,0,13.4047084468884,1,0.000250993467135455,0.000922431801068414,0.952834452929849,0.815354012449197,-0.137480440480652,"chr15",85749354,85749355,"+",0.884094232689523,2,"TUTR","distal pA","CDK12i"
"ALDH5A1","ENSG00000112294","PAS17429_AATAAA_0.15",1.96916202367211e-12,0,53.266977666477,1,2.91160143578516e-13,3.04328984828033e-12,0.593105852311628,0.397449200162642,-0.195656652148986,"chr6",24537205,24537206,"+",0.495277526237135,2,"TUTR","distal pA","CDK12i"
"ALG1","ENSG00000033011","PAS40211_APA_0.15",0.000770718262443146,0,13.2251689943519,1,0.000276214818610589,0.00100606711304149,0.651368701589818,0.319675733184506,-0.331692968405312,"chr16",5087376,5087377,"+",0.485522217387162,2,"TUTR","distal pA","CDK12i"
