"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"ATRN","ENSG00000088812","PAS48732_AATAAA_0.25",0.00482606375001644,0,10.5810792520119,1,0.00114250941578421,0.00644221739986019,0.469026078181181,0.707132603804765,0.238106525623584,"chr20",3651112,3651113,"+",0.588079340992973,2,"iAPA","distal pA","HUB_N_DMSO_vs_T_DMSO"
"CENATAC","ENSG00000186166","PAS30607_AATAAA_0.2",0.00317509158218708,0,11.5096680745804,1,0.00069235139872148,0.00430289665188134,0.734772700772052,0.488623749930455,-0.246148950841597,"chr11",119015743,119015744,"+",0.611698225351254,2,"iAPA","distal pA","HUB_N_DMSO_vs_T_DMSO"
"CEP57","ENSG00000166037","PAS30437_ATTAAA_0.2",2.39931468133312e-06,0.000153518202896805,18.7542278111996,1,1.48693345091477e-05,0.000163619541300468,0.267650560792269,0.127200660274654,-0.140449900517615,"chr11",95832690,95832691,"+",0.197425610533461,2,"iAPA","distal pA","HUB_N_DMSO_vs_T_DMSO"
"CTDSP1","ENSG00000144579","PAS6967_APA_0.1",2.91164350817027e-06,0,26.5796233255401,1,2.52897036138218e-07,4.5768001351429e-06,0.973327345751302,0.868637540848462,-0.10468980490284,"chr2",218405939,218405940,"+",0.920982443299882,2,"iAPA","distal pA","HUB_N_DMSO_vs_T_DMSO"
"DKC1","ENSG00000130826","PAS52473_ATTAAA_0.25",1.03282032069478e-13,0,63.3049933633497,1,1.77054912119105e-15,1.83594778242423e-13,0.437059525241462,0.142940559232962,-0.2941189660085,"chrX",154777680,154777681,"+",0.290000042237212,2,"iAPA","distal pA","HUB_N_DMSO_vs_T_DMSO"
"ENSG00000258728","ENSG00000258728","PAS24936_AATAAA_0.45",7.16452274403146e-05,0,19.7078057602289,1,9.02320464448305e-06,0.000105331729673428,0.307621146665681,0.546193803462901,0.23857265679722,"chr9",34661885,34661886,"+",0.426907475064291,2,"iAPA","distal pA","HUB_N_DMSO_vs_T_DMSO"
"ENSG00000273154","ENSG00000273154","PAS49371_AATAAA_0.1",0.000128837241893818,0,18.4638561400325,1,1.73157253105291e-05,0.00018626541899457,0.134156366509175,0.398284205750664,0.264127839241489,"chr20",63739102,63739103,"+",0.266220286129919,2,"iAPA","distal pA","HUB_N_DMSO_vs_T_DMSO"
"ENY2","ENSG00000120533","PAS23307_AATAAA_0.2",1.61508282551903e-06,4.26719816617763e-07,28.7426810110624,1,8.26617244762409e-08,1.72361675493031e-06,0.737222804895207,0.503210877640946,-0.234011927254261,"chr8",109343668,109343669,"+",0.620216841268077,2,"iAPA","distal pA","HUB_N_DMSO_vs_T_DMSO"
"GFM1","ENSG00000168827","PAS10389_AATAAA_0.15",6.10290778194269e-07,0.0006050443807144,14.8371198914863,1,0.000117205740035532,0.00096705237835769,0.447700617137728,0.15969340104498,-0.288007216092748,"chr3",158692568,158692569,"+",0.303697009091354,2,"iAPA","distal pA","HUB_N_DMSO_vs_T_DMSO"
"GOLGA4","ENSG00000144674","PAS9405_AATAAA_0.3",1.05271122656329e-07,0,33.6371825884589,1,6.64110396643358e-09,1.74518508341668e-07,0.596618450812366,0.298726775210276,-0.29789167560209,"chr3",37366744,37366745,"+",0.447672613011321,2,"iAPA","distal pA","HUB_N_DMSO_vs_T_DMSO"
"INTS10","ENSG00000104613","PAS22623_AATAAA_0.4",0.000118959955371638,0.00186712068652439,11.4282036222224,1,0.000723375900264879,0.00446916619004227,0.848860995850423,0.620430469463182,-0.228430526387241,"chr8",19852062,19852063,"+",0.734645732656802,2,"iAPA","distal pA","HUB_N_DMSO_vs_T_DMSO"
"MON2","ENSG00000061987","PAS32813_AATAAA_0.4",0.00405616736867425,0.00066397426632426,13.3585829795134,1,0.000257242601467342,0.00185053896430569,0.772853868883039,0.478078293062145,-0.294775575820893,"chr12",62593271,62593272,"+",0.625466080972592,2,"iAPA","distal pA","HUB_N_DMSO_vs_T_DMSO"
"PACS1","ENSG00000175115","PAS30087_AATAAA_0.05",1.23236208043232e-06,0,28.3959751283585,1,9.88706491958269e-08,2.01416136680348e-06,0.969544948924052,0.731516573390825,-0.238028375533227,"chr11",66244743,66244744,"+",0.850530761157439,2,"iAPA","distal pA","HUB_N_DMSO_vs_T_DMSO"
"PCBP2","ENSG00000197111","PAS32648_ATTAAA_0.2",1.54075604603317e-26,1.47957699747329e-18,81.3292567964672,1,1.9107680081655e-19,4.39858795479699e-17,0.841237507814503,0.666601585972775,-0.174635921841729,"chr12",53479793,53479794,"+",0.753919546893639,2,"iAPA","distal pA","HUB_N_DMSO_vs_T_DMSO"
"PCNT","ENSG00000160299","PAS50372_AATAAA_0.15",0.011015898770647,0,8.7687771186047,1,0.00306430829802931,0.014449073539663,0.962723332747751,0.816416859753753,-0.146306472993997,"chr21",46445764,46445765,"+",0.889570096250752,2,"iAPA","distal pA","HUB_N_DMSO_vs_T_DMSO"
"PDE8A","ENSG00000073417","PAS38946_ATTAAA_0.3",0.00560709619883691,0.00103368426722078,12.5299579637004,1,0.000400478818957538,0.00269719789713357,0.821592809169045,0.535259791658381,-0.286333017510665,"chr15",85139138,85139139,"+",0.678426300413713,2,"iAPA","distal pA","HUB_N_DMSO_vs_T_DMSO"
"RANBP2","ENSG00000153201","PAS6133_AATAAA_0.15",3.19339859851767e-05,7.04812094730975e-05,18.916977738043,1,1.365321714936e-05,0.000151981169621986,0.730108979564337,0.499782259882723,-0.230326719681614,"chr2",108784103,108784104,"+",0.61494561972353,2,"iAPA","distal pA","HUB_N_DMSO_vs_T_DMSO"
"RBM5","ENSG00000003756","PAS9624_APA_0.15",0.000143250877045239,0,18.2390751333116,1,1.94840267848368e-05,0.000207074005811245,0.95927037613991,0.824511464251652,-0.134758911888258,"chr3",50118956,50118957,"+",0.891890920195781,2,"iAPA","distal pA","HUB_N_DMSO_vs_T_DMSO"
"RIPK1","ENSG00000137275","PAS17274_AATAAA_0.25",0.00718579934360402,0,9.70968454245008,1,0.00183299475827705,0.00946512771097749,0.978446957453394,0.852810046444111,-0.125636911009283,"chr6",3115184,3115185,"+",0.915628501948752,2,"iAPA","distal pA","HUB_N_DMSO_vs_T_DMSO"
