"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"ABRAXAS2","ENSG00000165660","PAS27969_AATAAA_0.2",0.000583438471357537,7.97170800074877e-05,17.9345032628626,1,2.28638388856427e-05,0.000331219997546557,0.468748376434241,0.799999392491205,0.331251016056964,"chr10",124836666,124836667,"+",0.634373884462723,3,"TUTR"
"APEX2","ENSG00000169188","PAS52009_AATAAA_0.05",3.21400360585071e-05,0,22.1248425074368,1,2.55482082746628e-06,4.94357830114725e-05,0.0445371977966978,0.149453046280955,0.104915848484257,"chrX",55009056,55009057,"+",0.0969951220388264,2,"TUTR"
"ATP6V0A2","ENSG00000185344","PAS33561_AATAAA_0.15",2.63862215345003e-05,1.43943446661089e-06,25.6333254859783,1,4.12847506807089e-07,9.77625783164688e-06,0.131313140923486,0.49230767266065,0.360994531737164,"chr12",123761751,123761752,"+",0.311810406792068,2,"TUTR"
"CCDC134","ENSG00000100147","PAS51095_AATAAA_0.3",0.000792761570123636,0,15.102634044453,1,0.000101821115903825,0.00119927566514548,0.420025345071783,0.898432333331672,0.478406988259889,"chr22",41832161,41832162,"+",0.659228839201727,2,"TUTR"
"CCNG2","ENSG00000138764","PAS12969_AATAAA_0.2",0.00278736423949614,0.00399216494678112,10.5770504279976,1,0.00114500200132193,0.00896995494962727,0.169029628615975,0.356761942345778,0.187732313729803,"chr4",77170058,77170059,"+",0.262895785480876,2,"TUTR"
"CYB5R4","ENSG00000065615","PAS18080_AATAAA_0.1",0.00436084963058579,0,11.3665660172622,1,0.000747780020002084,0.00637424818812349,0.0218103890272954,0.168009148825059,0.146198759797764,"chr6",83967422,83967423,"+",0.0949097689261774,2,"TUTR"
"DDA1","ENSG00000130311","PAS46437_AATAAA_0.25",1.91952324617927e-07,1.95259809162555e-08,33.9688007233872,1,5.60029145211374e-09,2.00778655799836e-07,0.154794170721925,0.352613746783312,0.197819576061387,"chr19",17323294,17323295,"+",0.253703958752618,2,"TUTR"
"DOCK5","ENSG00000147459","PAS22687_ATTAAA_0.25",2.50186875557732e-06,8.0242210632042e-08,31.2219877369739,1,2.30144528066819e-08,7.26645135819363e-07,0.696840499853405,0.913389862898327,0.216549363044922,"chr8",25415707,25415708,"+",0.805115181375866,2,"TUTR"
"FAF2","ENSG00000113194","PAS15843_ATTAAA_0.25",4.94557113216424e-07,1.75034082227134e-08,34.1815789037396,1,5.02019273054362e-09,1.822858960322e-07,0.826320088178322,0.97263201794331,0.146311929764988,"chr5",176510072,176510073,"+",0.899476053060816,2,"TUTR"
"GALNT2","ENSG00000143641","PAS2406_AATAAA_0.1",6.28820151562249e-06,0,25.6190801269559,1,4.15906532283479e-07,9.81437975571381e-06,0.612946927369959,0.775610245653017,0.162663318283058,"chr1",230282120,230282121,"+",0.694278586511488,2,"TUTR"
"GID8","ENSG00000101193","PAS49352_APA_0.25",1.04152076030178e-06,0,29.4313626432686,1,5.79324856559444e-08,1.67669982523454e-06,0.293962168958822,0.16054122040169,-0.133420948557132,"chr20",62948472,62948473,"+",0.227251694680256,2,"TUTR"
"GPAT4","ENSG00000158669","PAS22833_AATAAA_0.2",1.31968468576572e-19,2.70326072135988e-17,75.3832529040865,1,3.87664209434497e-18,5.35807318039823e-16,0.0396445837424853,0.195188625482604,0.155544041740119,"chr8",41625000,41625001,"+",0.117416604612545,2,"TUTR"
"GRK3","ENSG00000100077","PAS50809_AATAAA_0.15",0.000884458679642222,0,14.8812887009114,1,0.000114493032963388,0.00132434511655779,0.431303132629428,0.921178729516516,0.489875596887088,"chr22",25729292,25729293,"+",0.676240931072972,2,"TUTR"
"HMGB3","ENSG00000029993","PAS52425_AATAAA_0.4",8.37545149639207e-09,1.60665515377406e-10,44.693642474871,1,2.3040422816056e-11,1.27380623283053e-09,0.174054899186684,0.35794121959654,0.183886320409856,"chrX",150990765,150990766,"+",0.265998059391612,2,"TUTR"
"ID4","ENSG00000172201","PAS17410_AATAAA_0.25",0.00901729325368917,0.00892101957967054,9.09816680802942,1,0.00255865812378091,0.0169485029224665,0.0959855181185358,0.234042381867596,0.13805686374906,"chr6",19842192,19842193,"+",0.165013949993066,2,"TUTR"
"LAMC1","ENSG00000135862","PAS1959_AATAAA_0.15",1.51811048076556e-06,8.63655281116142e-07,26.6196856152892,1,2.47706955627567e-07,6.1226107919259e-06,0.308935751816912,0.49994249608971,0.191006744272798,"chr1",183145590,183145591,"+",0.404439123953311,2,"TUTR"
"MAP2K6","ENSG00000108984","PAS43321_AATAAA_0.3",0.000162895342840608,0.000705416606171426,15.1149112737849,1,0.000101161078838095,0.0011935773631202,0.207496266073481,0.445028984548987,0.237532718475506,"chr17",69553863,69553864,"+",0.326262625311234,2,"TUTR"
"MKRN2","ENSG00000075975","PAS9210_AATAAA_0.25",0.0206382928066404,0.00519614738940474,10.0905465446413,1,0.00149031897212296,0.011041438892478,0.666665447520447,0.466666664340314,-0.199998783180132,"chr3",12583708,12583709,"+",0.56666605593038,2,"TUTR"
"MOCOS","ENSG00000075643","PAS45335_ATTAAA_0.25",1.72384650531956e-32,0,152.381204955905,1,5.23011682439426e-35,2.95174718276751e-32,0.209414114105306,0.70054461513482,0.491130501029514,"chr18",36272150,36272151,"+",0.454979364620063,2,"TUTR"
"NSUN3","ENSG00000178694","PAS9852_AATAAA_0.3",0.028551105345466,0.0191976185285846,7.70522757826211,1,0.00550611308121621,0.0305656974119154,0.122984344536728,0.324689289713075,0.201704945176347,"chr3",94131828,94131829,"+",0.223836817124901,2,"TUTR"
"NUDT16","ENSG00000198585","PAS10154_AATAAA_0.4",0.000319508588210527,2.76558280218733e-05,19.9541809341539,1,7.93203158070719e-06,0.000131665891863577,0.114934180390129,0.439677757099126,0.324743576708997,"chr3",131388805,131388806,"+",0.277305968744628,2,"TUTR"
"OGT","ENSG00000147162","PAS52089_AATAAA_0.25",8.07763800721834e-29,7.58150751777261e-32,141.778456378728,1,1.08723479573236e-32,4.75051461554671e-30,0.422435105539599,0.771844180014297,0.349409074474698,"chrX",71575889,71575890,"+",0.597139642776948,2,"TUTR"
"PA2G4","ENSG00000170515","PAS32721_AATAAA_0.2",2.32166469938162e-06,0,27.7432634335637,1,1.38529750468766e-07,3.71561479227611e-06,0.21929143096487,0.331066213162259,0.111774782197389,"chr12",56113904,56113905,"+",0.275178822063565,2,"TUTR"
"PAGR1","ENSG00000280789","PAS40447_None_0.1",0.00565291255446373,0,10.7931584133648,1,0.00101875911934207,0.00818451498902035,0.202754794938087,0.315883111558584,0.113128316620497,"chr16",29822488,29822489,"+",0.259318953248336,2,"TUTR"
"PARP14","ENSG00000173193","PAS10064_AATAAA_0.35",0.028551105345466,0,7.20487062430766,1,0.00727059903510135,0.0380820819534205,0.792649043446221,0.92589017855714,0.133241135110919,"chr3",122730838,122730839,"+",0.85926961100168,2,"TUTR"
"PFKFB2","ENSG00000123836","PAS2152_AATAAA_0.2",0.0157693301169287,0.0255113453824258,7.19346201018368,1,0.00731696758743523,0.0382805430559329,0.239825548214273,0.489011440970716,0.249185892756443,"chr1",207077815,207077816,"+",0.364418494592495,2,"TUTR"
"PPP4R2","ENSG00000163605","PAS9812_AATAAA_0.25",6.18463773392063e-05,3.35277443870769e-06,24.0034808811879,1,9.61616940551679e-07,2.08068713414896e-05,0.168952585949379,0.373671336824387,0.204718750875008,"chr3",73069196,73069197,"+",0.271311961386883,2,"TUTR"
"PRRG4","ENSG00000135378","PAS29664_AATAAA_0.15",0.00114025175553492,0,14.319071365931,1,0.000154293775172504,0.00169626294949525,0.859368224263727,0.692037780002263,-0.167330444261464,"chr11",32858118,32858119,"+",0.775703002132995,2,"TUTR"
"PTGFRN","ENSG00000134247","PAS1404_ATTAAA_0.3",3.11414890551099e-05,0,22.1952306171588,1,2.46284834558009e-06,4.81374903908836e-05,0.527712753320111,0.706681367963606,0.178968614643496,"chr1",116990349,116990350,"+",0.617197060641858,2,"TUTR"
"RAB22A","ENSG00000124209","PAS49272_AATAAA_0.25",8.70025533336449e-05,8.77146207802866e-06,22.1544182986609,1,2.51576319309155e-06,4.88195020779729e-05,0.105508939920807,0.208739893835268,0.103230953914461,"chr20",58367505,58367506,"+",0.157124416878038,2,"TUTR"
"RAC1","ENSG00000136238","PAS20032_AATAAA_0.25",0.000593079273350711,6.25086136143562e-05,18.3976134204095,1,1.79282390989395e-05,0.00026981999843904,0.487762463047594,0.60051106769631,0.112748604648716,"chr7",6403965,6403966,"+",0.544136765371952,2,"TUTR"
"SFT2D2","ENSG00000213064","PAS1814_AATAAA_0.3",0.00234339017263015,0,12.715693430988,1,0.000362599814332941,0.00344418968102363,0.810457534499712,0.946718958744838,0.136261424245127,"chr1",168253018,168253019,"+",0.878588246622275,2,"TUTR"
"SPTLC3","ENSG00000172296","PAS48818_AATAAA_0.15",3.61210261532893e-05,0,21.8572648152384,1,2.93702518479415e-06,5.5329633001442e-05,0.119514854448268,0.399636180767141,0.280121326318873,"chr20",13169100,13169101,"+",0.259575517607704,2,"TUTR"
"STT3B","ENSG00000163527","PAS9353_AATAAA_0.15",9.43980970590432e-08,0,34.5196697396113,1,4.21965603763118e-09,1.56589701451272e-07,0.791372058906965,0.937997449232598,0.146625390325633,"chr3",31637615,31637616,"+",0.864684754069782,2,"TUTR"
"SUN1","ENSG00000164828","PAS19914_AATAAA_0.1",3.70971211956612e-08,6.22312485492908e-07,28.5943231401752,1,8.92434369365842e-08,2.47198845256857e-06,0.322345815223437,0.491928633703525,0.169582818480089,"chr7",896433,896434,"+",0.407137224463481,2,"TUTR"
"TIMP3","ENSG00000100234","PAS50927_APA_0.1",0.00452487762924648,0,11.2909519031633,1,0.00077885737509887,0.00658528286249325,0.213093529172264,0.687253846047112,0.474160316874848,"chr22",32863039,32863040,"+",0.450173687609688,2,"TUTR"
"TMEM167B","ENSG00000215717","PAS1276_AATAAA_0.2",9.13741853308399e-06,0,24.8062166607729,1,6.33926892566453e-07,1.42633550827452e-05,0.723083095568019,0.901671154328906,0.178588058760887,"chr1",109096932,109096933,"+",0.812377124948462,2,"TUTR"
"TNKS","ENSG00000173273","PAS22543_AATAAA_0.25",0.000207903628338728,7.18523245255526e-05,18.1322509469464,1,2.06081302947479e-05,0.000304402535269749,0.414634130532625,0.740739838296906,0.326105707764281,"chr8",9782344,9782345,"+",0.577686984414766,2,"TUTR"
"UBE4B","ENSG00000130939","PAS163_AATAAA_0.2",3.36525305601093e-05,1.53594934725448e-06,25.5081017920747,1,4.40529161490058e-07,1.03056433374488e-05,0.49586772453656,0.728154747603073,0.232287023066513,"chr1",10181235,10181236,"+",0.612011236069817,2,"TUTR"
