gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
ATP6V1A,ENSG00000114573.12,PAS10000_AATAAA_0.35,0.0201134600487765,0.9808328260619155,3.1406654017264373,1,0.07636264822477415,0.23510787547536413,0.012404966707214526,0.004991674511582347,-0.007413292195632179,chr3,113811212,113811213,+
ATP6V1A,ENSG00000114573.12,PAS10001_APA_0.2,0.0201134600487765,1,0.23390569786715787,1,0.6286428139791155,0.8071116717624501,0.05799372686574009,0.052889365002906925,-0.005104361862833168,chr3,113811808,113811809,+
ATP6V1A,ENSG00000114573.12,PAS10002_AATAAA_0.15,0.0201134600487765,0.014501406303403193,10.603061490695836,1,0.0011290056357079932,0.010609355462671843,0.30064422275082875,0.23422981967019496,-0.06641440308063379,chr3,113812053,113812054,+
ATP6V1A,ENSG00000114573.12,PAS9998_ATTAAA_0.2,0.0201134600487765,1,0.0933087737103051,1,0.7600121381591445,0.8808683440213158,0.01124976902870819,0.012782608846141637,0.0015328398174334467,chr3,113809764,113809765,+
ATP6V1A,ENSG00000114573.12,PAS9999_APA_0.35,0.0201134600487765,0.005002472213271833,12.58206097825132,1,3.894670077571102e-4,0.004536954892949854,0.6177073146475085,0.6951065319691742,0.07739921732166566,chr3,113810425,113810426,+
SRSF11,ENSG00000116754.14,PAS1001_AATAAA_0.45,0.0013550990806744764,1,2.744725258235121,1,0.09757584727802346,0.2771604794026519,0.08133948345965616,0.06326070578152392,-0.01807877767813225,chr1,70228940,70228941,+
SRSF11,ENSG00000116754.14,PAS1002_AATAAA_0.1,0.0013550990806744764,0.8951138149328126,4.142741402272804,1,0.04181340156321509,0.1578374583780705,0.05289911283950938,0.03538180607187635,-0.01751730676763303,chr1,70229185,70229186,+
SRSF11,ENSG00000116754.14,PAS1003_None_0.25,0.0013550990806744764,1,2.9535955891769845,1,0.08568672122692295,0.2534036758703335,0.3928129755716623,0.42887291503596553,0.03605993946430325,chr1,70237533,70237534,+
SRSF11,ENSG00000116754.14,PAS1005_APA_0.35,0.0013550990806744764,1,0.05923900127891102,1,0.807702797795079,0.9083072230514471,0.2016138615157073,0.19752797833448554,-0.004085883181221744,chr1,70250046,70250047,+
SRSF11,ENSG00000116754.14,PAS1006_ATTAAA_0.2,0.0013550990806744764,1,2.4876634915126488,1,0.11474195483845387,0.308866142576101,0.031267120276097335,0.02076869875137952,-0.010498421524717815,chr1,70251254,70251255,+
SRSF11,ENSG00000116754.14,PAS1007_AATAAA_0.25,0.0013550990806744764,1,1.8492540585211827,1,0.17387017669718802,0.39701042543242676,0.20557650359550605,0.18297483417790197,-0.02260166941760408,chr1,70251999,70252000,+
SRSF11,ENSG00000116754.14,PAS1008_AATAAA_0.3,0.0013550990806744764,0.0016451428314094496,15.634262260471587,1,7.684946505236466e-5,0.0011881771410212855,0.034490942741861486,0.07121306184686715,0.03672211910500567,chr1,70253046,70253047,+
POGLUT1,ENSG00000163389.12,PAS10023_None_0.2,0.8195601829130922,NA,0.08803303227796277,1,0.7666928005894007,0.8845372469650091,0.09075843982947696,0.08245863193613863,-0.008299807893338326,chr3,119492866,119492867,+
POGLUT1,ENSG00000163389.12,PAS10024_AATAAA_0.35,0.8195601829130922,NA,0.7480330929215597,1,0.387099680563439,0.6277303375185922,0.655297642810459,0.6952076749248765,0.03991003211441746,chr3,119493193,119493194,+
POGLUT1,ENSG00000163389.12,PAS10025_APA_0.3,0.8195601829130922,NA,0.5417711378622698,1,0.46169963502634853,0.6877307402899809,0.25394391736006405,0.22233369313898488,-0.031610224221079175,chr3,119494704,119494705,+
