gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition
ABCB8,ENSG00000197150,PAS21132_AATAAA_0.2,1.701173126272134e-6,8.116668070335157e-8,31.59849215061513,1,1.895767307567052e-8,8.371733211488096e-7,0.21779698865729744,0.4708731075311068,0.2530761188738093,chr7,151047779,151047780,+,0.3443350480942021,2,TUTR,distal pA,SKMEL2
ABI2,ENSG00000138443,PAS6853_AATAAA_0.2,3.185791745247089e-5,5.601364578248507e-4,14.629817695356904,1,1.308281150983318e-4,0.0018542556335841784,0.5941176469884801,0.7702697857973151,0.17615213880883496,chr2,203432167,203432168,+,0.6821937163928976,2,TUTR,distal pA,SKMEL2
ACP1,ENSG00000143727,PAS5154_AATAAA_0.15,0.007093647741295029,0,10.791658103163172,1,0.0010195851388064812,0.009757545312104803,0.5715671189574589,0.6756168690122232,0.10404975005476425,chr2,278279,278280,+,0.6235919939848411,2,TUTR,distal pA,SKMEL2
ACTR3B,ENSG00000133627,PAS21156_AATAAA_0.25,0.013023393237233555,0,9.406050801677566,1,0.0021627053766462862,0.017885335223150313,0.5610244883693387,0.8771805883803024,0.3161561000109637,chr7,152855370,152855371,+,0.7191025383748206,2,TUTR,distal pA,SKMEL2
ADO,ENSG00000181915,PAS27252_AATAAA_0.25,0.0025883948360362497,0,13.048783203779294,1,3.0348151062618416e-4,0.003724746278920642,0.5022194836827784,0.7262729469875328,0.2240534633047544,chr10,62808470,62808471,+,0.6142462153351556,2,TUTR,distal pA,SKMEL2
AEBP2,ENSG00000139154,PAS32284_ATTAAA_0.2,0.03209938677403493,0,7.39142077217889,1,0.0065535701866167966,0.04219075461255492,0.29690102797101314,0.5229731833846287,0.2260721554136156,chr12,19520959,19520960,+,0.40993710567782093,2,ALE,distal pA,SKMEL2
AIMP1,ENSG00000164022,PAS13116_AATAAA_0.2,1.7974182552305187e-7,1.855770360747476e-7,31.33865642175806,1,2.167212426189376e-8,9.446948875837752e-7,0.0841349626074566,0.2374350393139101,0.15330007670645351,chr4,106349221,106349222,+,0.16078500096068335,2,MIXED,distal pA,SKMEL2
ANAPC16,ENSG00000166295,PAS27369_AATAAA_0.25,0.027262425854865435,0.015841507357790916,8.42546640751425,1,0.0037000172350577392,0.027158247092523208,0.5634185320576612,0.4380665277797596,-0.12535200427790166,chr10,72233825,72233826,+,0.5007425299187104,2,TUTR,distal pA,SKMEL2
ANKHD1,ENSG00000131503,PAS15518_AATAAA_0.2,0.011530816865412418,0,9.66909665941057,1,0.0018739343047914016,0.01596625111011741,0.5992083220368855,0.7403983871526032,0.14119006511571774,chr5,140539848,140539849,+,0.6698033545947444,2,ALE,distal pA,SKMEL2
ANTXR1,ENSG00000169604,PAS5779_AATAAA_0.1,7.834315766220621e-4,3.545671930824528e-4,16.805770703450435,1,4.140719363886545e-5,7.127839587796037e-4,0.3321093691333663,0.14037783740160148,-0.19173153173176485,chr2,69249167,69249168,+,0.2362436032674839,2,ALE,distal pA,SKMEL2
ANXA4,ENSG00000196975,PAS5786_APA_0.25,0.02389467785059438,0,8.022468997327906,1,0.004620054412946155,0.03224731161268443,0.35727654520384505,0.560198460297733,0.202921915093888,chr2,69826360,69826361,+,0.45873750275078906,2,TUTR,distal pA,SKMEL2
AP4M1,ENSG00000221838,PAS20730_AATAAA_0.25,0.028172353212353823,0,7.66843553840522,1,0.005619515942929703,0.03733358846450791,0.13814478633142702,0.3226750415818478,0.1845302552504208,chr7,100109894,100109895,+,0.2304099139566374,2,ALE,distal pA,SKMEL2
