gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
PARP14,ENSG00000173193.15,PAS10063_ATTAAA_0.2,0.028551105345466045,0,7.204870624287651,1,0.007270599035182393,0.038082081953420534,0.2073509565537791,0.07410982144285995,-0.13324113511091917,chr3,122729866,122729867,+
PARP14,ENSG00000173193.15,PAS10064_AATAAA_0.35,0.028551105345466045,0,7.2048706243076595,1,0.007270599035101349,0.038082081953420534,0.7926490434462209,0.9258901785571401,0.13324113511091917,chr3,122730838,122730839,+
PLXNA1,ENSG00000114554.12,PAS10091_None_0.2,1.3346804159211346e-4,0,19.020661482873948,1,1.2931066327391252e-5,2.015549981639983e-4,0.4550093364550929,0.2171071163571738,-0.2379022200979191,chr3,127035578,127035579,+
PLXNA1,ENSG00000114554.12,PAS10092_AATAAA_0.25,1.3346804159211346e-4,0,19.020661482874175,1,1.2931066327389717e-5,2.015549981639983e-4,0.5449906635449071,0.7828928836428263,0.23790222009791917,chr3,127037384,127037385,+
ESPN,ENSG00000187017.18,PAS100_ATTAAA_0.1,1.2265274688954053e-8,1.1205065747590307e-6,26.116803132665723,1,3.2137506533339516e-7,7.74591502876716e-6,0.6723489258956988,0.24223452125541392,-0.43011440464028494,chr1,6460928,6460929,+
ESPN,ENSG00000187017.18,PAS98_AATAAA_0.25,1.2265274688954053e-8,4.125929004670464e-10,41.49228995121405,1,1.1833671781194817e-10,5.891305673936592e-9,0.10480832102678041,0.6029851814028586,0.4981768603760782,chr1,6456667,6456668,+
HMCES,ENSG00000183624.14,PAS10127_AATAAA_0.3,0.004036003770470472,0,11.534186324930488,1,6.832797645396005e-4,0.00589492000680821,0.7209615313054116,0.514103569354876,-0.20685796195053563,chr3,129305260,129305261,+
HMCES,ENSG00000183624.14,PAS10128_AATAAA_0.2,0.004036003770470472,0,11.534186324930488,1,6.832797645396005e-4,0.00589492000680821,0.27903846869458837,0.48589643064512406,0.20685796195053568,chr3,129306182,129306183,+
ATP2C1,ENSG00000017260.20,PAS10143_APA_0.3,0.028152198546688777,0.005380224933937956,12.062829723936375,1,5.143715585439606e-4,0.004610961456305722,0.5001161196210807,0.3640533651377254,-0.1360627544833553,chr3,131001991,131001992,+
NUDT16,ENSG00000198585.12,PAS10151_APA_0.25,3.1950858821052703e-4,0.002660293174316001,11.32913389935743,1,7.630047979733191e-4,0.006475501245957774,0.6684447130757049,0.3887328966841232,-0.27971181639158166,chr3,131383639,131383640,+
NUDT16,ENSG00000198585.12,PAS10154_AATAAA_0.4,3.1950858821052703e-4,2.765582802187331e-5,19.954180934153896,1,7.932031580707192e-6,1.316658918635771e-4,0.11493418039012937,0.4396777570991259,0.3247435767089965,chr3,131388805,131388806,+
MRPS22,ENSG00000175110.14,PAS10234_APA_0.35,1.957383792240595e-5,0,23.17288235043725,1,1.4807069949392852e-6,3.0480511012845923e-5,0.9577064402664605,0.8149194728655867,-0.1427869674008737,chr3,139357042,139357043,+
MRPS22,ENSG00000175110.14,PAS10236_AATAAA_0.45,1.957383792240595e-5,0,23.17288235043725,1,1.4807069949392852e-6,3.0480511012845923e-5,0.04229355973353954,0.18508052713441325,0.1427869674008737,chr3,139358840,139358841,+
GMPS,ENSG00000163655.16,PAS10358_AATAAA_0.45,1.001953740431282e-6,4.5453224158868824e-4,15.945786245875297,1,6.518271830226131e-5,8.190166228238679e-4,0.5682919261331871,0.3450159626942888,-0.22327596343889833,chr3,155937728,155937729,+
GMPS,ENSG00000163655.16,PAS10362_ATTAAA_0.35,1.001953740431282e-6,3.16675614347335e-7,29.903329589793884,1,4.541323029374201e-8,1.3492557443212168e-6,0.16146944653356976,0.43635096940859364,0.2748815228750239,chr3,155944018,155944019,+
TTC14,ENSG00000163728.11,PAS10525_ATTAAA_0.2,1.8797519379984241e-4,2.2097031162587612e-5,20.383405303257405,1,6.3377002808554275e-6,1.0717122385042044e-4,0.7004393730045947,0.37746903153543815,-0.32297034146915654,chr3,180610977,180610978,+
TTC14,ENSG00000163728.11,PAS10526_AATAAA_0.25,1.8797519379984241e-4,0.0032386035304054965,10.964238066160988,1,9.288713200070782e-4,0.0075975616120144175,0.10724994882884938,0.2953846673296881,0.18813471850083874,chr3,180617822,180617823,+
KLHL24,ENSG00000114796.16,PAS10564_ATTAAA_0.25,0.03622381080909792,0.008868894648761548,10.382934303022921,1,0.0012718540262888225,0.00975496194002384,0.5428589792519114,0.26736064311272645,-0.27549833613918495,chr3,183684513,183684514,+
DVL3,ENSG00000161202.20,PAS10571_AATAAA_0.15,2.452293402001969e-4,0,17.66891810769539,1,2.628874399395315e-5,3.7208049884858457e-4,0.4836399584769917,0.31350543380352286,-0.17013452467346885,chr3,184170874,184170875,+
DVL3,ENSG00000161202.20,PAS10572_AATAAA_0.3,2.452293402001969e-4,0,17.66891810771631,1,2.628874399366404e-5,3.7208049884858457e-4,0.5163600415230083,0.6864945661964773,0.170134524673469,chr3,184173603,184173604,+
DNAJB11,ENSG00000090520.12,PAS10619_AATAAA_0.4,0.013879162377426745,0,8.825748245902105,1,0.002970095832386225,0.0190934732082067,0.30938368588005577,0.42033226420114206,0.11094857832108629,chr3,186585439,186585440,+
DNAJB11,ENSG00000090520.12,PAS10620_APA_0.1,0.013879162377426745,0,8.825748245901195,1,0.002970095832387709,0.0190934732082067,0.6906163141199442,0.579667735798858,-0.11094857832108618,chr3,186585792,186585793,+
OPA1,ENSG00000198836.11,PAS10661_AATAAA_0.45,4.839813779113508e-4,0.0019121166840145338,14.541515932499806,1,1.3710464491973145e-4,0.0015436123830832684,0.3110479360282679,0.1467133908570182,-0.1643345451712497,chr3,193694722,193694723,+
OPA1,ENSG00000198836.11,PAS10663_AATAAA_0.15,4.839813779113508e-4,0.004939348255036294,12.759706547815767,1,3.54166455584621e-4,0.003371176838294935,0.07544196127687117,0.20035393989886122,0.12491197862199005,chr3,193696626,193696627,+
SH3GLB1,ENSG00000097033.15,PAS1079_AATAAA_0.3,2.0190640096662764e-8,0,37.78915721261001,1,7.881863953592059e-10,3.378476178841912e-8,0.7920777845494057,0.5538906669939448,-0.23818711755546085,chr1,86743585,86743586,+
SH3GLB1,ENSG00000097033.15,PAS1080_AATAAA_0.3,2.0190640096662764e-8,0,37.78915721261001,1,7.881863953592059e-10,3.378476178841912e-8,0.2079222154505943,0.4461093330060552,0.2381871175554609,chr1,86748179,86748180,+
HS2ST1,ENSG00000153936.18,PAS1082_AATAAA_0.25,4.1815237529261234e-4,1.5589971072248714e-5,22.381044073961675,1,2.235697712424017e-6,4.414362319939258e-5,0.09909990450864736,0.3333333333333333,0.23423342882468595,chr1,87098440,87098441,+
EMC3,ENSG00000125037.13,PAS10828_APA_0.25,2.3113547489214274e-4,7.5154816178188e-4,14.995346398137372,1,1.0777662756944841e-4,0.0012568347869888693,0.15362928441615437,0.269457061859438,0.11582777744328365,chr3,9963343,9963344,-
EMC3,ENSG00000125037.13,PAS10829_AATAAA_0.25,2.3113547489214274e-4,7.039963973077103e-5,19.493219539956954,1,1.0095741215436218e-5,1.6337731751861836e-4,0.6463243257177385,0.4856991097198487,-0.16062521599788976,chr3,9963967,9963968,-
IQSEC1,ENSG00000144711.17,PAS10876_AATAAA_0.1,0.03636020400383013,0,6.6877396555650535,1,0.009707821457333288,0.04743594575742402,0.21521610742142316,0.4764891740685242,0.26127306664710104,chr3,12897220,12897221,-
IQSEC1,ENSG00000144711.17,PAS10877_AATAAA_0.15,0.03636020400383013,0,6.6877396555650535,1,0.009707821457333288,0.04743594575742402,0.7847838925785768,0.5235108259314758,-0.26127306664710104,chr3,12897883,12897884,-
MRPS25,ENSG00000131368.9,PAS10900_AATAAA_0.3,4.257820952117013e-10,1.4228776442562357e-10,44.93149510321609,1,2.040494032721827e-11,1.146825380631417e-9,0.08614566070562361,0.3310369834850013,0.2448913227793777,chr3,15042250,15042251,-
MRPS25,ENSG00000131368.9,PAS10905_AATAAA_0.1,4.257820952117013e-10,2.870655431413545e-11,48.068100898156445,1,4.116696401440541e-12,2.72003184182986e-10,0.8355380321292035,0.5374303322973966,-0.29810769983180696,chr3,15052208,15052209,-
