"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"AIMP1","ENSG00000164022","PAS13116_AATAAA_0.2",1.18592268046715e-05,0.00023969533973667,17.3838383876323,1,3.05411894214042e-05,0.000516146101221731,0.186101288817996,0.343069097913052,0.156967809095056,"chr4",106349221,106349222,"+",0.264585193365524,2,"MIXED","distal pA","PANC0403"
"AP2A2","ENSG00000183020","PAS29386_AATAAA_0.15",6.58492286311614e-10,0,45.5475204941795,1,1.48980155274121e-11,1.03595523597124e-09,0.171024443818578,0.46704861543264,0.296024171614062,"chr11",1012238,1012239,"+",0.319036529625609,2,"MIXED","distal pA","PANC0403"
"ARL4A","ENSG00000122644","PAS20096_AATAAA_0.3",0.0196803673736811,0.00955766525284192,9.18834333609777,1,0.00243561235052882,0.0185181437881038,0.114018765048076,0.296402064812076,0.182383299764,"chr7",12690724,12690725,"+",0.205210414930076,2,"MIXED","distal pA","PANC0403"
"ASB1","ENSG00000065802","PAS7198_AATAAA_0.05",0.000136701969706964,0,19.4000165069328,1,1.06006143605178e-05,0.000208056380463491,0.737174636618095,0.912196771534972,0.175022134916877,"chr2",238452248,238452249,"+",0.824685704076533,2,"MIXED","distal pA","PANC0403"
"ATG4B","ENSG00000168397","PAS7248_APA_0.2",3.13850733354303e-13,0,61.377233583129,1,4.71227962461212e-15,5.87977993160714e-13,0.495084317372742,0.772055637389951,0.276971320017209,"chr2",241673853,241673854,"+",0.633569977381347,2,"MIXED","distal pA","PANC0403"
"CCAR2","ENSG00000158941","PAS22652_AATAAA_0.25",0.0177461707446855,0,8.57459012106756,1,0.00340886686296187,0.0239032465795189,0.680388015081252,0.835749605927417,0.155361590846166,"chr8",22620467,22620468,"+",0.758068810504334,2,"MIXED","distal pA","PANC0403"
"CCDC91","ENSG00000123106","PAS32404_AATAAA_0.1",0.00263962735149501,0.021487593258702,7.71520752333345,1,0.00547575648859148,0.0344518496131879,0.341760713590655,0.475525200245346,0.133764486654691,"chr12",28550164,28550165,"+",0.408642956918,2,"MIXED","distal pA","PANC0403"
"CDK16","ENSG00000102225","PAS51923_ATTAAA_0.35",6.4096623831997e-06,0,26.0681296536277,1,3.29579513739341e-07,1.01387467463916e-05,0.773749440139152,0.909599540217422,0.135850100078271,"chrX",47229992,47229993,"+",0.841674490178287,2,"MIXED","distal pA","PANC0403"
"CEP350","ENSG00000135837","PAS1918_AATAAA_0.2",0.000336264344828412,0,17.3863832350762,1,3.05003241607232e-05,0.000516146101221731,0.566639721369844,0.782889958326455,0.216250236956611,"chr1",180114872,180114873,"+",0.674764839848149,2,"MIXED","distal pA","PANC0403"
"CEP43","ENSG00000213066","PAS18532_AATAAA_0.1",0.0307099524949315,0,7.32935781169226,1,0.00678372870825989,0.0404870639177371,0.511669673457092,0.75253459297963,0.240864919522537,"chr6",167042407,167042408,"+",0.632102133218361,2,"MIXED","distal pA","PANC0403"
"CNIH4","ENSG00000143771","PAS2312_AATAAA_0.2",5.91533981084513e-05,6.166251728895e-05,18.6489147645316,1,1.57136690499813e-05,0.000290572292917313,0.0997050256265696,0.216913359890476,0.117208334263906,"chr1",224379448,224379449,"+",0.158309192758523,2,"MIXED","distal pA","PANC0403"
"DCAF11","ENSG00000100897","PAS36417_AATAAA_0.05",2.57813789904154e-10,0,47.5914844897188,1,5.24960205687192e-12,3.93749646411781e-10,0.211569564388599,0.444325175101336,0.232755610712737,"chr14",24125240,24125241,"+",0.327947369744967,2,"MIXED","distal pA","PANC0403"
"DENND3","ENSG00000105339","PAS23509_AATAAA_0.25",7.5498478434011e-05,3.94027699654703e-06,23.9202227178798,1,1.00411419142776e-06,2.64416737075977e-05,0.605452563253979,0.854178799825211,0.248726236571232,"chr8",141195798,141195799,"+",0.729815681539595,2,"MIXED","distal pA","PANC0403"
"MED17","ENSG00000042429","PAS30400_AATAAA_0.2",0.0226227274862702,0,8.02051189687927,1,0.00462504959303837,0.0300921233511965,0.177073778136213,0.371351418509522,0.194277640373309,"chr11",93813287,93813288,"+",0.274212598322868,2,"MIXED","distal pA","PANC0403"
"OAS1","ENSG00000089127","PAS33298_AATAAA_0.2",3.3188708023124e-11,0,51.7788323697582,1,6.21179027170196e-13,5.45615867878748e-11,0.479990642199167,0.757317455859804,0.277326813660637,"chr12",112919901,112919902,"+",0.618654049029486,2,"MIXED","distal pA","PANC0403"
"PGPEP1","ENSG00000130517","PAS46473_AATAAA_0.15",0.000887733757550839,0,15.2676355156241,1,9.33015117458821e-05,0.00132517923757369,0.745153082566649,0.946079474769221,0.200926392202572,"chr19",18369948,18369949,"+",0.845616278667935,2,"MIXED","distal pA","PANC0403"
"RNFT2","ENSG00000135119","PAS33335_AATAAA_0.1",0.000163473718555403,0,18.9891355400101,1,1.31464878558541e-05,0.000250741084805011,0.403217414167422,0.802432052526087,0.399214638358665,"chr12",116853628,116853629,"+",0.602824733346754,2,"MIXED","distal pA","PANC0403"
"RPL15","ENSG00000174748","PAS9310_AATAAA_0.4",9.56570642500378e-45,0,211.68147074779,1,5.90232811086206e-48,1.31336637680199e-44,0.18568644416461,0.383779277792132,0.198092833627522,"chr3",23920838,23920839,"+",0.284732860978371,2,"MIXED","distal pA","PANC0403"
"SARM1","ENSG00000004139","PAS42487_AATAAA_0.2",0.00480315880859893,0.00328583496827815,11.1565820915982,1,0.000837340503022753,0.00801960764408664,0.0855914301992038,0.296574697976243,0.210983267777039,"chr17",28404046,28404047,"+",0.191083064087723,2,"MIXED","distal pA","PANC0403"
"SEH1L","ENSG00000085415","PAS45220_AATAAA_0.15",0.0420217131535999,0,6.63608248768469,1,0.00999334514606074,0.0540385382928542,0.778456119089727,0.57356524747679,-0.204890871612937,"chr18",12987533,12987534,"+",0.676010683283259,2,"MIXED","distal pA","PANC0403"
"SH3BP2","ENSG00000087266","PAS12501_ATTAAA_0.2",7.333299869744e-07,3.49628612878786e-07,28.5975019987673,1,8.90970488187609e-08,3.13035447047178e-06,0.319298250024012,0.549179739520286,0.229881489496274,"chr4",2841094,2841095,"+",0.434238994772149,2,"MIXED","distal pA","PANC0403"
"SLC48A1","ENSG00000211584","PAS32506_AATAAA_0.15",0.000427453234406241,0,16.8381993187206,1,4.07056453167605e-05,0.000655562208231688,0.302287640039282,0.542670344447388,0.240382704408106,"chr12",47782749,47782750,"+",0.422478992243335,2,"MIXED","distal pA","PANC0403"
"TBCD","ENSG00000141556","PAS43599_AATAAA_0.35",6.74226159039208e-10,7.60354587417763e-12,49.5461093096528,1,1.93763746156028e-12,1.58707961652094e-10,0.0323273372017046,0.182063839719501,0.149736502517797,"chr17",82945912,82945913,"+",0.107195588460603,2,"MIXED","distal pA","PANC0403"
"TCEAL4","ENSG00000133142","PAS52231_AATAAA_0.35",0.00123216614772997,0,14.524186141527,1,0.000138371599477697,0.00184371180102468,0.124321024619827,0.25395624223161,0.129635217611783,"chrX",103587729,103587730,"+",0.189138633425718,2,"MIXED","distal pA","PANC0403"
"UBA52","ENSG00000221983","PAS46480_AATAAA_0.1",2.73894068782918e-59,0,280.572826935299,1,5.63336217159436e-63,3.76055091764781e-59,0.0408766447285877,0.216123856155977,0.175247211427389,"chr19",18577458,18577459,"+",0.128500250442282,2,"MIXED","distal pA","PANC0403"
"AFAP1L2","ENSG00000169129","PAS29141_AATAAA_0.2",0.0316260495752943,0,7.26819882605969,1,0.00701861528007869,0.0414874651991396,0.604190749886556,0.725796444601514,0.121605694714958,"chr10",114294825,114294826,"-",0.664993597244035,2,"MIXED","distal pA","PANC0403"
"B3GNTL1","ENSG00000175711","PAS45096_AATAAA_0.35",6.94964110684416e-06,0,25.8813377764184,1,3.63062287358786e-07,1.09914843504017e-05,0.227036935599397,0.615567485328367,0.38853054972897,"chr17",82942156,82942157,"-",0.421302210463882,2,"MIXED","distal pA","PANC0403"
"BET1","ENSG00000105829","PAS21966_AATAAA_0.15",0.000448094643222526,0,16.7436932965703,1,4.27842406399563e-05,0.000685227952685431,0.696656556981808,0.927520254433954,0.230863697452146,"chr7",93993244,93993245,"-",0.812088405707881,2,"MIXED","distal pA","PANC0403"
"CALCOCO1","ENSG00000012822","PAS34294_AATAAA_0.3",0.0266783600546237,0,7.64938576498298,1,0.00567916549908176,0.0355473692349932,0.064395609356709,0.19995834886689,0.135562739510181,"chr12",53708519,53708520,"-",0.1321769791118,2,"MIXED","distal pA","PANC0403"
"DNAJB12","ENSG00000148719","PAS28697_APA_0.05",9.17618054204564e-08,2.34101537451835e-07,29.3745196924756,1,5.96568911770513e-08,2.21244209473559e-06,0.33625097040736,0.528450884030001,0.192199913622641,"chr10",72332835,72332836,"-",0.432350927218681,2,"MIXED","distal pA","PANC0403"
"ELOB","ENSG00000103363","PAS41177_AATAAA_0.15",4.55943564260274e-24,0,112.916422588307,1,2.25064696467433e-26,1.00161292084557e-23,0.0555807067596074,0.197005106190131,0.141424399430523,"chr16",2771414,2771415,"-",0.126292906474869,2,"MIXED","distal pA","PANC0403"
"ERCC2","ENSG00000104884","PAS48295_AATAAA_0.1",0.00575155386279018,0,11.1666600435638,1,0.000832804179227537,0.007995130648977,0.397911250142023,0.639422473677935,0.241511223535913,"chr19",45349837,45349838,"-",0.518666861909979,2,"MIXED","distal pA","PANC0403"
"GLG1","ENSG00000090863","PAS41868_AATAAA_0.2",7.676820016704e-05,0,20.6549270495025,1,5.49954815262038e-06,0.000114013148114448,0.293980054880651,0.431122502234485,0.137142447353834,"chr16",74447429,74447430,"-",0.362551278557568,2,"MIXED","distal pA","PANC0403"
"HDDC3","ENSG00000184508","PAS39940_ATTAAA_0.35",0.0172311290755513,0,8.63985814357284,1,0.0032888703788794,0.0233190166906101,0.163523174065468,0.385587330076705,0.222064156011237,"chr15",90929969,90929970,"-",0.274555252071086,2,"MIXED","distal pA","PANC0403"
"HNRNPDL","ENSG00000152795","PAS13994_AATAAA_0.45",2.40805646678833e-09,1.07896886164326e-09,41.9918968001002,1,9.16524351827778e-11,5.74484348415618e-09,0.243681062568376,0.388304540178317,0.14462347760994,"chr4",82423210,82423211,"-",0.315992801373347,2,"MIXED","distal pA","PANC0403"
"ITGB1BP1","ENSG00000119185","PAS7317_ATTAAA_0.45",0.00971888407586308,0.00191831778021324,12.1577182719261,1,0.000488851445842083,0.00522132452275012,0.101970225814208,0.215735361687429,0.113765135873221,"chr2",9405687,9405688,"-",0.158852793750818,2,"MIXED","distal pA","PANC0403"
"ITPK1","ENSG00000100605","PAS38018_AATAAA_0.05",6.03556208582064e-09,1.40402804285233e-09,39.3305825604302,1,3.57793242512142e-10,2.0081629763771e-08,0.00972337921493824,0.116990190201038,0.1072668109861,"chr14",92936913,92936914,"-",0.0633567847079884,2,"MIXED","distal pA","PANC0403"
"KRT80","ENSG00000167767","PAS34250_AATAAA_0.25",0.000354472570172046,0,17.2520088235615,1,3.27351262869701e-05,0.000543501157905072,0.554715282462955,0.660669403526736,0.105954121063781,"chr12",52168996,52168997,"-",0.607692342994846,2,"MIXED","distal pA","PANC0403"
"MRPS16","ENSG00000182180","PAS28722_AATAAA_0.25",3.11310830057158e-11,2.21309926933908e-13,56.4930569180096,1,5.63971615530876e-14,6.05478359210963e-12,0.502076034792255,0.739442641200482,0.237366606408226,"chr10",73248849,73248850,"-",0.620759337996369,2,"MIXED","distal pA","PANC0403"
"NRBP2","ENSG00000185189","PAS24686_ATTAAA_0.3",0.0389702453635049,0,6.81942108496582,1,0.00901717935704299,0.0501618173316171,0.411159897650907,0.57321124534945,0.162051347698543,"chr8",143833746,143833747,"-",0.492185571500178,2,"MIXED","distal pA","PANC0403"
"PAK1","ENSG00000149269","PAS31605_AATAAA_0.2",0.00576170711120683,0.00214628687312918,11.9483921962401,1,0.000546945585316135,0.00570935927252207,0.530505372992362,0.795714849141908,0.265209476149545,"chr11",77322020,77322021,"-",0.663110111067135,2,"MIXED","distal pA","PANC0403"
"PSME4","ENSG00000068878","PAS7684_AATAAA_0.15",1.73666043561316e-09,3.57606471403341e-11,46.5104732351692,1,9.11300736463882e-12,6.57663574731313e-10,0.129794840510883,0.400193647230563,0.270398806719679,"chr2",53864070,53864071,"-",0.264994243870723,2,"MIXED","distal pA","PANC0403"
"RMDN1","ENSG00000176623","PAS24143_AATAAA_0.15",0.0101574204034355,0.00653114700931076,9.88716667124982,1,0.00166435441064089,0.0136996274577476,0.561824750412155,0.741639780184668,0.179815029772512,"chr8",86472349,86472350,"-",0.651732265298411,2,"MIXED","distal pA","PANC0403"
"SBF1","ENSG00000100241","PAS51708_ATTAAA_0.35",5.98435800237506e-08,3.2336245064825e-09,37.7023896416526,1,8.24035533429003e-10,4.3143915320826e-08,0.229603081092047,0.497638517256859,0.268035436164811,"chr22",50444324,50444325,"-",0.363620799174453,2,"MIXED","distal pA","PANC0403"
"SMIM7","ENSG00000214046","PAS47879_AATAAA_0.15",6.12905495883363e-06,0.00689846978377392,11.8199738166295,1,0.000585986840949944,0.00598766725015584,0.301453750179998,0.404452943152333,0.102999192972335,"chr19",16646148,16646149,"-",0.352953346666165,2,"MIXED","distal pA","PANC0403"
"STX18","ENSG00000168818","PAS13579_AATAAA_0.25",1.58948399756052e-06,0,29.0567779645544,1,7.02877539028203e-08,2.57099123933302e-06,0.124924406243006,0.384746086567719,0.259821680324712,"chr4",4418970,4418971,"-",0.254835246405363,2,"MIXED","distal pA","PANC0403"
"TBC1D20","ENSG00000125875","PAS49409_AATAAA_0.15",0.0429570160219461,0.011195763711173,8.89913706319828,1,0.00285305455329974,0.0209312964601639,0.393592321834975,0.61121731648061,0.217624994645635,"chr20",435481,435482,"-",0.502404819157792,2,"MIXED","distal pA","PANC0403"
"TCF3","ENSG00000071564","PAS47470_AATAAA_0.1",3.64973695155715e-05,0,22.3670930774647,1,2.25199729631251e-06,5.26557196200847e-05,0.671742314695886,0.8566004349611,0.184858120265214,"chr19",1609293,1609294,"-",0.764171374828493,2,"MIXED","distal pA","PANC0403"
"TRIM27","ENSG00000204713","PAS18816_AATAAA_0.1",0.000103271119214521,0,20.0242654379117,1,7.64656579951203e-06,0.000153287237221149,0.481019750594317,0.701953633600041,0.220933883005724,"chr6",28903002,28903003,"-",0.591486692097179,2,"MIXED","distal pA","PANC0403"
"WDR1","ENSG00000071127","PAS13630_ATTAAA_0.15",6.05044883394728e-05,0,21.2308755009544,1,4.07152570681036e-06,8.7895894100748e-05,0.679642823705912,0.792552934815931,0.112910111110018,"chr4",10074339,10074340,"-",0.736097879260921,2,"MIXED","distal pA","PANC0403"
"ZNF24","ENSG00000172466","PAS45724_AATAAA_0.15",0.0152906638980309,0,8.92195924037924,1,0.00281762081645558,0.020749065372586,0.45482512102197,0.683926963963185,0.229101842941215,"chr18",35332227,35332228,"-",0.569376042492577,2,"MIXED","distal pA","PANC0403"
"AIMP1","ENSG00000164022","PAS13114_AATAAA_0.35",1.18592268046715e-05,2.6243228854024e-07,30.4970036512186,1,3.34382564275358e-08,1.28285678610354e-06,0.650542226006136,0.413291759730531,-0.237250466275605,"chr4",106347766,106347767,"+",0.531916992868334,2,"MIXED","proximal pA","PANC0403"
"AP2A2","ENSG00000183020","PAS29385_ATTAAA_0.2",6.58492286311614e-10,0,45.5475204941795,1,1.48980155274121e-11,1.03595523597124e-09,0.828975556181422,0.53295138456736,-0.296024171614061,"chr11",1010918,1010919,"+",0.680963470374391,2,"MIXED","proximal pA","PANC0403"
"ARL4A","ENSG00000122644","PAS20092_AATAAA_0.05",0.0196803673736811,0.0173207854301592,8.10517144091409,1,0.00441391467461277,0.0290228259359781,0.665595434003223,0.450914978933455,-0.214680455069769,"chr7",12689175,12689176,"+",0.558255206468339,2,"MIXED","proximal pA","PANC0403"
"ASB1","ENSG00000065802","PAS7197_APA_0.15",0.000136701969706964,0,19.4000165069328,1,1.06006143605178e-05,0.000208056380463491,0.262825363381905,0.0878032284650283,-0.175022134916877,"chr2",238446729,238446730,"+",0.175314295923467,2,"MIXED","proximal pA","PANC0403"
