"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"AARD","ENSG00000205002","PAS23324_AATAAA_0.35",0.0276203088447046,0,6.26528905110354,1,0.0123126080541242,0.035523326721672,0.621626081135749,0.829822688050967,0.208196606915218,"chr8",116943997,116943998,"+",0.725724384593358,2,"TUTR","distal pA"
"ABCB8","ENSG00000197150","PAS21132_AATAAA_0.2",0.000659625210096735,0,13.9447532948668,1,0.000188262362036668,0.000962484977757705,0.111405990510177,0.481942541762267,0.370536551252089,"chr7",151047779,151047780,"+",0.296674266136222,2,"TUTR","distal pA"
"ABCC1","ENSG00000103222","PAS40309_APA_0.2",0.00703830359671435,0,9.04729724806953,1,0.00263083448624044,0.00953542540532702,0.824210447384059,0.939800412264985,0.115589964880926,"chr16",16143051,16143052,"+",0.882005429824522,2,"TUTR","distal pA"
"ABHD10","ENSG00000144827","PAS9981_AATAAA_0.2",3.62724498958874e-08,3.25956927662095e-09,36.3922933993108,1,1.61339901178527e-09,2.08014631714116e-08,0.774531688362086,0.904215853856039,0.129684165493954,"chr3",111993366,111993367,"+",0.839373771109063,2,"TUTR","distal pA"
"ABHD5","ENSG00000011198","PAS9496_AATAAA_0.3",0.00345882635579301,0.011899625481533,7.58365353012243,1,0.00588999415665824,0.0189733003259161,0.110880615223332,0.276951208425702,0.16607059320237,"chr3",43720696,43720697,"+",0.193915911824517,2,"TUTR","distal pA"
"ABI2","ENSG00000138443","PAS6853_AATAAA_0.2",2.33833852188288e-24,0,110.487006074636,1,7.66461609750926e-26,4.23070840632308e-24,0.478778867861807,0.890428551742575,0.411649683880767,"chr2",203432167,203432168,"+",0.684603709802191,2,"TUTR","distal pA"
"ACP1","ENSG00000143727","PAS5154_AATAAA_0.15",1.17797443089669e-09,0,41.2511896721298,1,1.33870343762586e-10,1.94706025141246e-09,0.512632097600626,0.710792132685963,0.198160035085337,"chr2",278279,278280,"+",0.611712115143294,2,"TUTR","distal pA"
"ACVR2B","ENSG00000114739","PAS9431_AATAAA_0.2",0.01823456496085,0.00363266100436428,9.74504288943854,1,0.00179806936966469,0.00688768886013483,0.418000951041372,0.580576734390715,0.162575783349343,"chr3",38493139,38493140,"+",0.499288842716043,2,"TUTR","distal pA"
"ADO","ENSG00000181915","PAS27252_AATAAA_0.25",7.7293067104915e-05,0,18.4213135555858,1,1.77066344032085e-05,0.000116363111660937,0.384197346495758,0.659141590975368,0.27494424447961,"chr10",62808470,62808471,"+",0.521669468735563,2,"TUTR","distal pA"
"AGO1","ENSG00000092847","PAS621_ATTAAA_0.3",0.000156024015397731,0.0024442387767788,12.5169463581406,1,0.000403277457066376,0.00189503450635063,0.0751879699319564,0.179824561403509,0.104636591471552,"chr1",35930528,35930529,"+",0.127506265667732,2,"TUTR","distal pA"
"AGPAT5","ENSG00000155189","PAS22526_AATAAA_0.2",0.00226668828152883,0.000347589610120632,14.1141194239926,1,0.000172047496427753,0.000891182486383833,0.140233648050814,0.34394972328366,0.203716075232846,"chr8",6761448,6761449,"+",0.242091685667237,2,"TUTR","distal pA"
"AGPS","ENSG00000018510","PAS6625_AATAAA_0.35",1.48322829248176e-06,2.82282242130307e-05,20.9732529582807,1,4.65740359995964e-06,3.48253739551075e-05,0.130600671099522,0.390658878373204,0.260058207273681,"chr2",177543832,177543833,"+",0.260629774736363,2,"TUTR","distal pA"
"AIF1L","ENSG00000126878","PAS25648_AATAAA_0.2",0.000257819638091793,0,15.8555378030078,1,6.83661769230348e-05,0.000387704380453967,0.716989866885038,0.884231112076688,0.16724124519165,"chr9",131123142,131123143,"+",0.800610489480863,2,"TUTR","distal pA"
"AKAP12","ENSG00000131016","PAS18440_AATAAA_0.25",1.44091593594279e-10,1.2760623896414e-11,47.2289189605799,1,6.3161651853525e-12,1.09855665154867e-10,0.454552754454126,0.610652257551874,0.156099503097748,"chr6",151358532,151358533,"+",0.532602506003,2,"TUTR","distal pA"
"AKIP1","ENSG00000166452","PAS29451_AATAAA_0.35",0.0314845475971396,0,6.00061645527126,1,0.0143008806859539,0.0402017860768539,0.679588072677353,0.821204042839749,0.141615970162396,"chr11",8920076,8920077,"+",0.750396057758551,2,"TUTR","distal pA"
"ALDH2","ENSG00000111275","PAS33280_ATTAAA_0.3",3.17672210014791e-21,0,95.763445286475,1,1.29464257941396e-22,5.84685599004084e-21,0.00155667224012301,0.124723593982317,0.123166921742194,"chr12",111817528,111817529,"+",0.0631401331112202,2,"TUTR","distal pA"
"ALDH5A1","ENSG00000112294","PAS17429_AATAAA_0.15",0.000245710025903133,0,15.9542947862901,1,6.48903856560196e-05,0.000370133642186488,0.628799078081675,0.791198394283117,0.162399316201443,"chr6",24537205,24537206,"+",0.709998736182396,2,"TUTR","distal pA"
"ALG1","ENSG00000033011","PAS40210_APA_0.25",2.8850333744247e-06,0.0184029323777278,6.80133849483491,1,0.00910895593633674,0.0275556750751561,0.525307024202153,0.666784432347784,0.14147740814563,"chr16",5085391,5085392,"+",0.596045728274968,3,"TUTR","distal pA"
"ALG6","ENSG00000088035","PAS944_AATAAA_0.4",2.5171911522785e-05,0.00198058631360756,10.8643398782019,1,0.000980336888081874,0.00408503683088795,0.0610153507863731,0.174732671063067,0.113717320276694,"chr1",63438034,63438035,"+",0.11787401092472,2,"TUTR","distal pA"
"AMOTL1","ENSG00000166025","PAS30416_AATAAA_0.25",0.00351578292533367,0.000269855118670099,15.8998075378593,1,6.6785508274099e-05,0.0003802611837512,0.486516397642404,0.703842857195143,0.217326459552739,"chr11",94876663,94876664,"+",0.595179627418774,2,"TUTR","distal pA"
"ANXA4","ENSG00000196975","PAS5786_APA_0.25",7.06128838197814e-05,0,18.6055852749496,1,1.60748898893147e-05,0.000106698340112917,0.374622358499599,0.578203315086426,0.203580956586827,"chr2",69826360,69826361,"+",0.476412836793012,2,"TUTR","distal pA"
"AP2B1","ENSG00000006125","PAS42660_AATAAA_0.35",1.02400201613552e-61,2.84425090942789e-65,293.896701600086,1,7.0391380227044e-66,2.86926095248543e-63,0.713697126931767,0.92708004518276,0.213382918250993,"chr17",35726408,35726409,"+",0.820388586057263,2,"TUTR","distal pA"
"AP5Z1","ENSG00000242802","PAS19983_AATAAA_0.15",2.26117577433867e-52,2.19505088334096e-40,179.772943336577,1,5.43245537286449e-41,6.85394786209736e-39,0.0496617836143847,0.267868675049948,0.218206891435563,"chr7",4794394,4794395,"+",0.158765229332166,2,"TUTR","distal pA"
"APBA2","ENSG00000034053","PAS38226_AATAAA_0.25",3.35023453426893e-05,0,20.1442312285276,1,7.181651766458e-06,5.12878338415915e-05,0.138960444627676,0.307950605580669,0.168990160952993,"chr15",29118310,29118311,"+",0.223455525104173,2,"TUTR","distal pA"
"APEX2","ENSG00000169188","PAS52009_AATAAA_0.05",9.74958972828524e-05,0,17.9261071234482,1,2.29649223043272e-05,0.000145912617854472,0.135431981550447,0.475518233423031,0.340086251872584,"chrX",55009056,55009057,"+",0.305475107486739,2,"TUTR","distal pA"
"ARHGAP35","ENSG00000160007","PAS47015_AATAAA_0.45",2.86040697190164e-24,2.44549316475337e-09,36.9524527590693,1,1.21045325946589e-09,1.59292843259349e-08,0.332780798332706,0.49327566197902,0.160494863646314,"chr19",47005073,47005074,"+",0.413028230155863,2,"TUTR","distal pA"
