"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ADGRL2","ENSG00000117114","PAS1054_AATAAA_0.3",0.508513580836376,NA,0.736906667541803,1,0.390653588193825,0.545157850038791,0.593711741396268,0.656120034779632,0.0624082933833634,"chr1",81992421,81992422,"+",0.62491588808795,0,"MIXED","distal pA"
"AFTPH","ENSG00000119844","PAS5733_AATAAA_0.2",0.299789201594112,NA,0.616650503337723,1,0.432294710015214,0.581493769224005,0.246301326666408,0.291055717497789,0.044754390831381,"chr2",64593001,64593002,"+",0.268678522082098,0,"MIXED","distal pA"
"ALDH16A1","ENSG00000161618","PAS47107_AATAAA_0.25",0.172922737380664,NA,2.74921086931727,1,0.0973024409676185,0.204013954002975,0.356696309311649,0.429227131271453,0.0725308219598045,"chr19",49471046,49471047,"+",0.392961720291551,0,"MIXED","distal pA"
"ARHGEF40","ENSG00000165801","PAS36370_AATAAA_0.3",0.867451328683393,NA,0.0612022077141319,1,0.804605793818467,0.873411275546639,0.111978468705465,0.0955530051562369,-0.0164254635492279,"chr14",21090244,21090245,"+",0.103765736930851,0,"MIXED","distal pA"
"ARL6IP5","ENSG00000144746","PAS9794_AATAAA_0.15",0.162936354003717,NA,4.26202758400177,1,0.0389733772793438,0.102224162987491,0.284898602831571,0.351102413324132,0.0662038104925609,"chr3",69106065,69106066,"+",0.318000508077851,0,"MIXED","distal pA"
"ATP2A2","ENSG00000174437","PAS33247_AATAAA_0.2",0.116182150403353,NA,3.56074795110317,1,0.0591610758196531,0.140227069444872,0.190771107348243,0.258083278450723,0.0673121711024799,"chr12",110351089,110351090,"+",0.224427192899483,0,"MIXED","distal pA"
"BIVM","ENSG00000134897","PAS35719_AATAAA_0.35",0.720946313848116,NA,0.239590767895834,1,0.624501840075057,0.74478946279574,0.850615975689499,0.880037911852868,0.0294219361633689,"chr13",102841530,102841531,"+",0.865326943771184,0,"MIXED","distal pA"
"BTN2A2","ENSG00000124508","PAS17467_AATAAA_0.35",0.910581695264916,NA,0.0324183031693792,1,0.857112659737219,0.909016372356331,0.18631741357723,0.201701729300583,0.0153843157233535,"chr6",26394869,26394870,"+",0.194009571438907,0,"MIXED","distal pA"
"CALR","ENSG00000179218","PAS46327_ATTAAA_0",0.015871147409373,0,7.7512758442499,1,0.00536746088988068,0.0209811714164347,0.894923136224355,0.928017341882044,0.0330942056576892,"chr19",12944488,12944489,"+",0.9114702390532,0,"MIXED","distal pA"
"CCAR1","ENSG00000060339","PAS27299_APA_0.3",0.0287037318847852,0.664228936094645,3.96583505199305,1,0.0464324863347986,0.116668728929396,0.471820157289459,0.516718437040308,0.0448982797508495,"chr10",68771444,68771445,"+",0.494269297164884,0,"MIXED","distal pA"
"CDIN1","ENSG00000186073","PAS38275_AATAAA_0.15",0.547764816275559,NA,0.611505531850185,1,0.434221513299235,0.583193549878933,0.904428589165448,0.945124814746633,0.0406962255811846,"chr15",36810245,36810246,"+",0.924776701956041,0,"MIXED","distal pA"
"DCAF7","ENSG00000136485","PAS43228_AATAAA_0.3",0.538050512176229,NA,0.641157424025778,1,0.423291987712064,0.573171035296527,0.795810807537275,0.829357869772181,0.0335470622349066,"chr17",63594264,63594265,"+",0.812584338654728,0,"MIXED","distal pA"
