gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition
ACSL3,ENSG00000123983,PAS7027_AATAAA_0.35,1.4197219424603314e-6,0.0031987539300733555,14.49006446360363,1,1.4090074372016806e-4,0.005064044576707569,0.20817794969839332,0.09791732149379873,-0.1102606282045946,chr2,222944621,222944622,+,0.15304763559609602,2,TUTR,distal pA,siELAVL1_DMSO
AGGF1,ENSG00000164252,PAS15005_APA_0.25,1.346273892700779e-4,7.486276192879637e-4,17.238078265966124,1,3.29760246124071e-5,0.0015667826946252925,0.40491638543665154,0.18624749723382727,-0.21866888820282424,chr5,77065209,77065210,+,0.2955819413352394,2,TUTR,distal pA,siELAVL1_DMSO
ATG4C,ENSG00000125703,PAS940_AATAAA_0.2,0.04215119381763658,0,8.523131790469677,1,0.0035066052877300055,0.05492382874744516,0.35942499871575545,0.1335229546567771,-0.22590204405897835,chr1,62865151,62865152,+,0.24647397668626628,2,TUTR,distal pA,siELAVL1_DMSO
ATP11B,ENSG00000058063,PAS10552_AATAAA_0.35,0.0010771765064760918,2.1443960615800587e-4,18.297898668795824,1,1.889154380188917e-5,0.001024260753053709,0.3220344847998339,0.13407830568367374,-0.18795617911616017,chr3,182921626,182921627,+,0.2280563952417538,2,TUTR,distal pA,siELAVL1_DMSO
AVL9,ENSG00000105778,PAS20273_AATAAA_0.2,2.9244950499593785e-10,3.0744737486350403e-10,44.37698435771381,1,2.7085274278717395e-11,7.80979260850199e-9,0.46532820396889224,0.19043195869688556,-0.2748962452720067,chr7,32588708,32588709,+,0.32788008133288893,2,TUTR,distal pA,siELAVL1_DMSO
BCCIP,ENSG00000107949,PAS27994_ATTAAA_0.4,5.235566328263209e-13,6.23941900270851e-7,30.877513482778795,1,2.7483788909114915e-8,3.558028876427969e-6,0.35689447254917583,0.16765662970511577,-0.1892378428440601,chr10,125853520,125853521,+,0.2622755511271458,3,ALE,distal pA,siELAVL1_DMSO
BFAR,ENSG00000103429,PAS40284_AATAAA_0.4,7.714703624170028e-6,0.004319544634588341,13.924812952171123,1,1.902700441643542e-4,0.006302757311522615,0.6636528143769994,0.5022954837131165,-0.16135733066388291,chr16,14668888,14668889,+,0.582974149045058,2,ALE,distal pA,siELAVL1_DMSO
BLZF1,ENSG00000117475,PAS1824_AATAAA_0.35,0.002149327788890763,0.003512391795571026,13.012417996389216,1,3.094321270415601e-4,0.009302761601365577,0.17782032117838364,0.4489090727060279,0.2710887515276443,chr1,169396042,169396043,+,0.3133646969422058,2,ALE,distal pA,siELAVL1_DMSO
CD44,ENSG00000026508,PAS29733_ATTAAA_0.3,7.549913494360362e-26,2.2463737238674684e-14,65.25023079915263,1,6.596646387636977e-16,4.404823827365807e-13,0.23039156611604183,0.12861715507084617,-0.10177441104519568,chr11,35232400,35232401,+,0.179504360593444,2,TUTR,distal pA,siELAVL1_DMSO
CDV3,ENSG00000091527,PAS10174_AATAAA_0.2,1.664001039465412e-5,5.5111563447102135e-5,22.222916798204096,1,2.4275891322155697e-6,1.844240917390355e-4,0.3806879785595585,0.22963590338198123,-0.15105207517757724,chr3,133590259,133590260,+,0.3051619409707699,2,MIXED,distal pA,siELAVL1_DMSO
