gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
Gm50387,ENSMUSG00000118125.2,PAS10009_AATAAA_0.2,9.586185452362119e-21,0,95.93954908061642,1,1.1844545451847757e-22,1.1633975754926019e-20,0.6809139987715535,0.349575721322209,-0.33133827744934446,chr19,5778115,5778116,-
Gm50387,ENSMUSG00000118125.2,PAS10010_None_0,9.586185452362119e-21,0,95.93954908061642,1,1.1844545451847757e-22,1.1633975754926019e-20,0.31908600122844655,0.650424278677791,0.3313382774493444,chr19,5780334,5780335,-
Rtn3,ENSMUSG00000024758.16,PAS10044_AATAAA_0.25,5.6495810235477076e-9,0,38.980137045598894,1,4.281395833331047e-10,6.965804754597507e-9,0.4883166646512764,0.30263408133886416,-0.18568258331241222,chr19,7403265,7403266,-
Rtn3,ENSMUSG00000024758.16,PAS10045_AATAAA_0.4,5.6495810235477076e-9,0,38.98013704560617,1,4.281395833315089e-10,6.965804754597507e-9,0.5116833353487236,0.6973659186611358,0.18568258331241227,chr19,7404389,7404390,-
Uqcc3,ENSMUSG00000071654.7,PAS10053_APA_0.35,3.585922125920799e-4,0,15.585268552885282,1,7.886665631143768e-5,4.0612499521948246e-4,0.17807982655066754,0.32185654145691084,0.1437767149062433,chr19,8857377,8857378,-
Uqcc3,ENSMUSG00000071654.7,PAS10054_AATAAA_0.2,3.585922125920799e-4,0,15.585268552884372,1,7.886665631147567e-5,4.0612499521948246e-4,0.8219201734493324,0.6781434585430892,-0.14377671490624322,chr19,8857635,8857636,-
Ide,ENSMUSG00000056999.17,PAS10100_AATAAA_0,2.8604880698846986e-5,0,20.94116773834162,1,4.736063443548801e-6,3.313994789529096e-5,0.581081792858539,0.3606419705643665,-0.22043982229417253,chr19,37246141,37246142,-
Ide,ENSMUSG00000056999.17,PAS10101_AATAAA_0.35,2.8604880698846986e-5,0,20.94116773833798,1,4.736063443557796e-6,3.313994789529096e-5,0.418918207141461,0.6393580294356336,0.22043982229417258,chr19,37247981,37247982,-
Ralgapb,ENSMUSG00000027652.16,PAS1011_ATTAAA_0.3,0.0011078593680659246,0,13.227226295670334,1,2.7591180777323756e-4,0.0012407795158648008,0.3036309121437767,0.5525332013940722,0.24890228925029556,chr2,158338124,158338125,+
Ralgapb,ENSMUSG00000027652.16,PAS1012_APA_0.1,0.0011078593680659246,0,13.227226295671244,1,2.759118077731041e-4,0.0012407795158648008,0.6963690878562233,0.44746679860592775,-0.24890228925029556,chr2,158341006,158341007,+
Oga,ENSMUSG00000025220.9,PAS10126_AATAAA_0.1,0.004056660228949457,0,10.522070452505432,1,0.001179572537742305,0.00448169967061976,0.6797313607476487,0.5608572968332062,-0.11887406391444255,chr19,45738699,45738700,-
