gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
ATP6V1A,ENSG00000114573.12,PAS10000_AATAAA_0.35,0.9582072446604928,NA,0.040858830012439284,1,0.8398106609649251,0.9151605439122334,0.010388249330726837,0.011922640967184444,0.0015343916364576066,chr3,113811212,113811213,+
ATP6V1A,ENSG00000114573.12,PAS10001_APA_0.2,0.9582072446604928,NA,0.004641797644580947,1,0.9456815607363153,0.972461216091063,0.07935349765403979,0.07695540178251245,-0.0023980958715273393,chr3,113811808,113811809,+
ATP6V1A,ENSG00000114573.12,PAS10002_AATAAA_0.15,0.9582072446604928,NA,0.2941451217375288,1,0.5875764017018523,0.7484677410160245,0.5156468410631125,0.5433118584392707,0.02766501737615812,chr3,113812053,113812054,+
ATP6V1A,ENSG00000114573.12,PAS9998_ATTAAA_0.2,0.9582072446604928,NA,0.2660758429119596,1,0.6059763609604245,0.7624957284207606,0.009317514528002063,0.013522642040975598,0.004205127512973535,chr3,113809764,113809765,+
ATP6V1A,ENSG00000114573.12,PAS9999_APA_0.35,0.9582072446604928,NA,0.6088047524062858,1,0.43523819720542745,0.6228503265780719,0.3852938974241187,0.35428745677005685,-0.03100644065406183,chr3,113810425,113810426,+
QTRT2,ENSG00000151576.10,PAS10005_AATAAA_0.3,1.1481258764603851e-5,0,22.560248460272305,1,2.0365519156189713e-6,1.8017930220730753e-5,0.03082987298590212,0.14655148311339014,0.11572161012748802,chr3,114086044,114086045,+
QTRT2,ENSG00000151576.10,PAS10006_AATAAA_0.3,1.1481258764603851e-5,0,22.560248460272305,1,2.0365519156189713e-6,1.8017930220730753e-5,0.9691701270140979,0.8534485168866098,-0.11572161012748805,chr3,114088343,114088344,+
SRSF11,ENSG00000116754.14,PAS1001_AATAAA_0.45,9.456563088699947e-23,0.01514971898211831,9.995157054239826,1,0.0015695244270319372,0.007025117087196038,0.035798318359874015,0.014443390796888481,-0.021354927562985536,chr1,70228940,70228941,+
SRSF11,ENSG00000116754.14,PAS1002_AATAAA_0.1,9.456563088699947e-23,0.35491933954269883,3.2021858250300284,1,0.07353992159139283,0.17710101875325387,0.02090988309850932,0.011221753420095232,-0.009688129678414087,chr1,70229185,70229186,+
SRSF11,ENSG00000116754.14,PAS1003_None_0.25,9.456563088699947e-23,3.0798122220080255e-9,39.990071151834854,1,2.552570390945806e-10,3.955671185459329e-9,0.46350831201638165,0.3255360179173055,-0.13797229409907613,chr1,70237533,70237534,+
SRSF11,ENSG00000116754.14,PAS1005_APA_0.35,9.456563088699947e-23,0.007000242721230852,11.83850100030395,1,5.801851220655753e-4,0.002962858414962163,0.03904813777093968,0.07392886934128796,0.03488073157034829,chr1,70250046,70250047,+
SRSF11,ENSG00000116754.14,PAS1006_ATTAAA_0.2,9.456563088699947e-23,0.2826220689142268,4.259131971295574,1,0.03903986525450904,0.10667221966140597,0.03165966453864293,0.0494634533953994,0.017803788856756465,chr1,70251254,70251255,+
SRSF11,ENSG00000116754.14,PAS1007_AATAAA_0.25,9.456563088699947e-23,0.45243995896327294,1.737209923499904,1,0.18749273651778123,0.3544052710289739,0.33109329532603066,0.3073642285165685,-0.02372906680946213,chr1,70251999,70252000,+
SRSF11,ENSG00000116754.14,PAS1008_AATAAA_0.3,9.456563088699947e-23,1.9369033022034887e-18,81.67349603150069,1,1.6053193061576524e-19,5.457124371890414e-18,0.07798238888962183,0.21804228661245484,0.140059897722833,chr1,70253046,70253047,+
POGLUT1,ENSG00000163389.12,PAS10023_None_0.2,0.6856479213570675,NA,0.11666847823107673,1,0.7326762654024246,0.8518942733262107,0.04690724331311128,0.05250535286888681,0.005598109555775527,chr3,119492866,119492867,+
POGLUT1,ENSG00000163389.12,PAS10024_AATAAA_0.35,0.6856479213570675,NA,1.2237869232158118,1,0.26861874512998263,0.45394382301138464,0.663175329059593,0.6227986195565326,-0.04037670950306038,chr3,119493193,119493194,+
POGLUT1,ENSG00000163389.12,PAS10025_APA_0.3,0.6856479213570675,NA,0.9696084309489379,1,0.3247778544978974,0.5170881218990082,0.2899174276272958,0.3246960275745806,0.03477859994728483,chr3,119494704,119494705,+
NDUFB4,ENSG00000065518.8,PAS10034_AATAAA_0.4,0.930324697675069,NA,0.022080323738919105,1,0.8818736176827097,0.9378017650796673,0.09936998186759276,0.09474237407935233,-0.004627607788240423,chr3,120601181,120601182,+
NDUFB4,ENSG00000065518.8,PAS10035_AATAAA_0.2,0.930324697675069,NA,0.022080323738919105,1,0.8818736176827097,0.9378017650796673,0.9006300181324073,0.9052576259206476,0.00462760778824034,chr3,120602325,120602326,+
