"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"AASDHPPT","ENSG00000149313","PAS30468_AATAAA_0.3",0.903175183176136,NA,0.0302930569491764,1,0.861826947681667,0.915622735233272,0.537930438167097,0.546059803410336,0.00812936524323915,"chr11",106098692,106098693,"+",0.541995120788716,0,"TUTR","distal pA"
"ABCE1","ENSG00000164163","PAS13298_AATAAA_0.3",0.000276887536410011,0.00560418888869416,8.95050917216577,1,0.00277392257919745,0.00998574439345605,0.0930601206743828,0.150579444219054,0.0575193235446712,"chr4",145129520,145129521,"+",0.121819782446718,0,"TUTR","distal pA"
"ABHD13","ENSG00000139826","PAS35734_AATAAA_0.25",0.986294813919512,NA,0.194622569717467,1,0.659096820985814,0.76956754779372,0.222223034697905,0.194444561459275,-0.0277784732386304,"chr13",108234253,108234254,"+",0.20833379807859,0,"TUTR","distal pA"
"ABHD17C","ENSG00000136379","PAS38908_AATAAA_0.15",0.317736471420845,NA,1.49129126882053,1,0.222016220245948,0.354855404509334,0.898660100892007,0.857860489175633,-0.0407996117163734,"chr15",80755618,80755619,"+",0.87826029503382,0,"TUTR","distal pA"
"ABHD2","ENSG00000140526","PAS38967_AATAAA_0.05",0.187109793500804,NA,0.376057194258465,1,0.539720949681034,0.671529449097794,0.687627569659886,0.709868965639562,0.022241395979676,"chr15",89202353,89202354,"+",0.698748267649724,0,"TUTR","distal pA"
"ABHD6","ENSG00000163686","PAS9737_AATAAA_0.25",0.788321756377861,NA,0.133463432901635,1,0.714867718395795,0.810689978551715,0.509856288005745,0.555026185629393,0.0451698976236476,"chr3",58294731,58294732,"+",0.532441236817569,0,"TUTR","distal pA"
"ACADSB","ENSG00000196177","PAS27953_AATAAA_0.2",0.0399772876263106,1,0.0124290338289939,1,0.91123130236406,0.947264037909145,0.203427897962938,0.208935905488007,0.00550800752506897,"chr10",123058288,123058289,"+",0.206181901725472,0,"TUTR","distal pA"
"ACTR3","ENSG00000115091","PAS6208_AATAAA_0.2",0.022580277786113,0.482827910797732,3.07177859444528,1,0.0796622710993027,0.161221005634181,0.500477947628249,0.542536243892717,0.0420582962644677,"chr2",113958254,113958255,"+",0.521507095760483,0,"TUTR","distal pA"
"ACTR6","ENSG00000075089","PAS33123_AATAAA_0.25",0.490972551459335,NA,0.756569636943823,1,0.384404182568724,0.529859818808045,0.698659803768385,0.72790027425464,0.0292404704862554,"chr12",100224422,100224423,"+",0.713280039011513,0,"TUTR","distal pA"
"ADD3","ENSG00000148700","PAS27811_AATAAA_0.25",0.215521475865097,NA,2.20074959807062,1,0.137943643383254,0.248036432401718,0.326970145449028,0.291572598175503,-0.0353975472735256,"chr10",110135563,110135564,"+",0.309271371812265,0,"TUTR","distal pA"
