"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"B3GALT6","ENSG00000176022","PAS29_ATTAAA_0.25",0.000292273622960506,0.002341431149966,15.6135381667782,1,7.76963146311881e-05,0.00972206415062884,0.68706655683629,0.404505461506412,-0.282561095329879,"chr1",1235037,1235038,"+",0.545786009171351,2,"TUTR"
"ICAM1","ENSG00000090339","PAS46239_AATAAA_0.1",4.93274994947942e-16,9.94012717726741e-12,54.3837276920603,1,1.64922903808255e-13,2.33036063081065e-10,0.616040802210532,0.81283939794086,0.196798595730329,"chr19",10286613,10286614,"+",0.714440100075696,2,"TUTR"
"PPIF","ENSG00000108179","PAS27453_ATTAAA_0.35",0.000927076552155486,0,19.821419572967,1,8.50245295456924e-06,0.00168831788860836,0.268889697592622,0.409517595714246,0.140627898121624,"chr10",79355330,79355331,"+",0.339203646653434,2,"TUTR"
"PTGFRN","ENSG00000134247","PAS1404_ATTAAA_0.3",0.0143595659135336,0,13.21473240462,1,0.00027775715290477,0.0227519337422863,0.550123777032828,0.339264745511849,-0.210859031520979,"chr1",116990349,116990350,"+",0.444694261272338,2,"TUTR"
"TMTC3","ENSG00000139324","PAS33050_AATAAA_0.4",0.00662941026801573,0.0225746445510394,13.4143994878623,1,0.000249700087024448,0.021275953143651,0.205060249014968,0.503649450470037,0.298589201455069,"chr12",88199877,88199878,"+",0.354354849742503,2,"TUTR"
"WBP4","ENSG00000120688","PAS35463_ATTAAA_0.45",0.0338970762846413,0,10.8905716237784,1,0.000966549949086822,0.0523604502770484,0.114084576810333,0.541731649684879,0.427647072874546,"chr13",41084000,41084001,"+",0.327908113247606,2,"TUTR"
"B3GALT6","ENSG00000176022","PAS27_APA_0.25",0.000292273622960506,2.65790311243281e-05,24.1699472937912,1,8.81978855051075e-07,0.000237378308988032,0.21981700839519,0.570691211488879,0.350874203093689,"chr1",1233717,1233718,"+",0.395254109942034,2,"TUTR"
"BRI3BP","ENSG00000184992","PAS33592_AATAAA_0.2",9.32420271177264e-09,6.65273357500018e-09,42.4212424271973,1,7.35864588641563e-11,7.3395999794155e-08,0.073543725126519,0.294967700809121,0.221423975682602,"chr12",125025540,125025541,"+",0.18425571296782,2,"TUTR"
"BRI3BP","ENSG00000184992","PAS33597_AATAAA_0.2",9.32420271177264e-09,0.00315259242529552,17.1319308807579,1,3.48710962500032e-05,0.00532679556770319,0.463085579754377,0.281329023330314,-0.181756556424063,"chr12",125031181,125031182,"+",0.372207301542346,2,"TUTR"
"ICAM1","ENSG00000090339","PAS46237_None_0.2",4.93274994947942e-16,3.20530258075006e-19,88.4107432216406,1,5.31811917266351e-21,1.28820040988118e-17,0.322202125441306,0.101409436864725,-0.220792688576581,"chr19",10285813,10285814,"+",0.211805781153016,2,"TUTR"
"NCS1","ENSG00000107130","PAS25620_APA_0",0.000531418794354711,5.52498007094694e-05,24.8768380846045,1,6.111228025782e-07,0.000175630478652813,0.265978716363537,0.609923312327256,0.343944595963719,"chr9",130233276,130233277,"+",0.437951014345397,2,"TUTR"
"NCS1","ENSG00000107130","PAS25621_None_0.25",0.000531418794354711,0.00734991643418982,15.527863257088,1,8.12980584961244e-05,0.00985399980055054,0.33489699761284,0.112962329412162,-0.221934668200678,"chr9",130233646,130233647,"+",0.223929663512501,2,"TUTR"
"PPIF","ENSG00000108179","PAS27452_AATAAA_0.2",0.000927076552155486,0,19.821419572967,1,8.50245295456924e-06,0.00168831788860836,0.731110302407378,0.590482404285754,-0.140627898121624,"chr10",79354714,79354715,"+",0.660796353346566,2,"TUTR"
"PTGFRN","ENSG00000134247","PAS1403_AATAAA_0.2",0.0143595659135336,0,13.21473240462,1,0.00027775715290477,0.0227519337422863,0.449876222967172,0.660735254488151,0.210859031520979,"chr1",116988600,116988601,"+",0.555305738727662,2,"TUTR"
"RIMKLA","ENSG00000177181","PAS724_APA_0.3",0.0180570576622451,0,12.6162930545845,1,0.00038239891997751,0.028191113422342,0.386563051122028,0.0697967270594317,-0.316766324062596,"chr1",42418279,42418280,"+",0.22817988909073,2,"TUTR"
"RIMKLA","ENSG00000177181","PAS723_APA_0.25",0.0180570576622451,0,12.6162930545845,1,0.00038239891997751,0.028191113422342,0.613436948877972,0.930203272940568,0.316766324062596,"chr1",42415176,42415177,"+",0.77182011090927,2,"TUTR"
"SCCPDH","ENSG00000143653","PAS2516_AATAAA_0.2",0.025060949106947,0.0038788998061945,14.6605155905381,1,0.000128714534172537,0.0134931886319282,0.281383604328069,0.427783385140856,0.146399780812787,"chr1",246767830,246767831,"+",0.354583494734462,2,"TUTR"
"SCCPDH","ENSG00000143653","PAS2515_ATTAAA_0.25",0.025060949106947,0.00694079512951922,13.5660120486718,1,0.000230318197561168,0.0203399758221207,0.678557424279548,0.534817728250122,-0.143739696029426,"chr1",246767467,246767468,"+",0.606687576264835,2,"TUTR"
"TMTC3","ENSG00000139324","PAS33046_ATTAAA_0.35",0.00662941026801573,0.00629771400183087,15.820073384094,1,6.96595567986406e-05,0.00908574957752115,0.245696133634346,0.0297219088842867,-0.215974224750059,"chr12",88195969,88195970,"+",0.137709021259316,2,"TUTR"
"WBP4","ENSG00000120688","PAS35462_AATAAA_0.25",0.0338970762846413,0,10.8905716237784,1,0.000966549949086822,0.0523604502770484,0.885915423189667,0.458268350315121,-0.427647072874546,"chr13",41083067,41083068,"+",0.672091886752394,2,"TUTR"
"ZBTB38","ENSG00000177311","PAS10251_None_0.25",0.0424485198463758,0,10.3015132483688,1,0.00132921164292585,0.0639197480103828,0.275651289596061,0.15911703262374,-0.116534256972322,"chr3",141446143,141446144,"+",0.217384161109901,2,"TUTR"
"ZBTB38","ENSG00000177311","PAS10252_ATTAAA_0.3",0.0424485198463758,0,10.3015132483688,1,0.00132921164292585,0.0639197480103828,0.724348710403939,0.84088296737626,0.116534256972322,"chr3",141448698,141448699,"+",0.7826158388901,2,"TUTR"
"ABHD15","ENSG00000168792","PAS44057_AATAAA_0.15",0.0067633024602253,0,14.9867804422297,1,0.00010826697285003,0.0122384986109674,0.706132073533036,0.352313971073991,-0.353818102459045,"chr17",29560548,29560549,"-",0.529223022303514,2,"TUTR"
"ANKRD40","ENSG00000154945","PAS44544_ATTAAA_0.2",0.00386215035905387,0.0268027096893881,11.0447202278028,1,0.000889401238650698,0.0503037201082468,0.701530642572893,0.859414037846635,0.157883395273742,"chr17",50693197,50693198,"-",0.780472340209764,2,"TUTR"
