"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"ABI2","ENSG00000138443","PAS6853_AATAAA_0.2",0.00478197032108428,0,14.5801084474398,1,0.000134325009019221,0.00678603942212748,0.305495926502712,0.771754009552123,0.466258083049412,"chr2",203432167,203432168,"+",0.538624968027418,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"ACP1","ENSG00000143727","PAS5154_AATAAA_0.15",1.54494892641015e-05,0,27.6789647172782,1,1.4321155778521e-07,2.75545131287587e-05,0.375296058042137,0.62966736702035,0.254371308978213,"chr2",278279,278280,"+",0.502481712531244,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"ACTR2","ENSG00000138071","PAS5751_AATAAA_0.25",0.00403824243649757,0.000270837734131177,18.2850390051699,1,1.90195038013467e-05,0.00157792085206953,0.443371310928471,0.603875368514465,0.160504057585994,"chr2",65271250,65271251,"+",0.523623339721468,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"AP2B1","ENSG00000006125","PAS42660_AATAAA_0.35",1.10023301556105e-06,0,34.2109991043026,1,4.94486748566996e-09,1.94419289882232e-06,0.721647638981262,0.887002595820237,0.165354956838975,"chr17",35726408,35726409,"+",0.80432511740075,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"AP5Z1","ENSG00000242802","PAS19983_AATAAA_0.15",1.28118999379886e-06,4.48156496267458e-05,21.7246776646025,1,3.1471664063726e-06,0.000355747822660342,0.0989093298822591,0.286022282657165,0.187112952774905,"chr7",4794394,4794395,"+",0.192465806269712,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"ARIH2","ENSG00000177479","PAS9591_AATAAA_0.35",0.0029509475660851,0.000214301510340973,18.7312904582163,1,1.50492633666413e-05,0.00130856239062055,0.103910312874972,0.242046641357512,0.13813632848254,"chr3",48985535,48985536,"+",0.172978477116242,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"ARL8B","ENSG00000134108","PAS9112_AATAAA_0.35",0.00564064601880318,0,14.1718292810335,1,0.00016684993954674,0.00774891992446104,0.746711725678819,0.907106892882881,0.160395167204062,"chr3",5180908,5180909,"+",0.82690930928085,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"ARMCX3","ENSG00000102401","PAS52204_AATAAA_0.3",0.0058379911930367,0,14.0250917925548,1,0.000180387368324168,0.00803567966381995,0.117902766465224,0.320098175156176,0.202195408690952,"chrX",101627841,101627842,"+",0.2190004708107,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"ATF7IP","ENSG00000171681","PAS32241_AATAAA_0.3",0.0105307552781285,0.021331415847966,10.0810829229413,1,0.00149799268595267,0.0353652464453344,0.483378510552463,0.681376896702929,0.197998386150466,"chr12",14502927,14502928,"+",0.582377703627696,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"C8orf33","ENSG00000182307","PAS23602_None_0.05",0.0238720137853484,0,10.4289685565568,1,0.00124054004221614,0.0307348043883851,0.490970879382714,0.71547700607404,0.224506126691326,"chr8",145056028,145056029,"+",0.603223942728377,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"CAPN5","ENSG00000149260","PAS30314_AATAAA_0.3",3.51226872006082e-05,0,25.9237452336879,1,3.55173241353796e-07,5.94783633623782e-05,0.41350637169206,0.661193297024085,0.247686925332025,"chr11",77126149,77126150,"+",0.537349834358073,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"COPZ1","ENSG00000111481","PAS32674_AATAAA_0.2",0.00775284083258825,0,13.4088276302627,1,0.000250442892063886,0.0103894837205844,0.531261015676613,0.710194385255223,0.17893336957861,"chr12",54351842,54351843,"+",0.620727700465918,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"CYTH2","ENSG00000105443","PAS47068_ATTAAA_0.3",0.01855181175324,0,11.0961818075139,1,0.000865056390740753,0.0245225860234187,0.373420537871599,0.567647680786733,0.194227142915134,"chr19",48482312,48482313,"+",0.470534109329166,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"DBNL","ENSG00000136279","PAS20346_APA_0.25",0.0313174866281302,0,9.81180373972256,1,0.00173395361124609,0.0388122339269761,0.14313055146621,0.0341995310280315,-0.108931020438178,"chr7",44069251,44069252,"+",0.0886650412471206,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"EIF1","ENSG00000173812","PAS42792_AATAAA_0.35",3.3489606047017e-06,0,31.259220430602,1,2.2577262503607e-08,6.18685408545812e-06,0.157311026805068,0.270402486457435,0.113091459652367,"chr17",41691640,41691641,"+",0.213856756631251,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"ENSG00000286235","ENSG00000286235","PAS48783_AATAAA_0.25",0.0330949347085349,0,9.64715448314655,1,0.00189645131475874,0.0411261612454755,0.250837722832336,0.501250661658692,0.250412938826356,"chr20",6038043,6038044,"+",0.376044192245514,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"FLNB","ENSG00000136068","PAS9735_AATAAA_0.15",0.000509604702898469,0,19.8342223129021,1,8.44569591882294e-06,0.00079556696035329,0.398695694709487,0.717210167130712,0.318514472421225,"chr3",58172247,58172248,"+",0.5579529309201,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"GALNT10","ENSG00000164574","PAS15695_APA_0.15",0.0127068229061949,0,12.1435931074939,1,0.000492567854228904,0.0164364985453579,0.594259612899561,0.72409906725803,0.129839454358468,"chr5",154420980,154420981,"+",0.659179340078796,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"GMPS","ENSG00000163655","PAS10362_ATTAAA_0.35",0.0194292713502891,0,10.9773050033269,1,0.000922344623089568,0.025457516853908,0.161103535609097,0.63424793436608,0.473144398756984,"chr3",155944018,155944019,"+",0.397675734987588,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"HSBP1","ENSG00000230989","PAS40949_AATAAA_0.15",0.0312617497972417,0,9.83484068667076,1,0.00171237112653431,0.0387124302431244,0.178240396556737,0.287114722467567,0.10887432591083,"chr16",83812990,83812991,"+",0.232677559512152,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"HTT","ENSG00000197386","PAS12520_ATTAAA_0.15",0.000432699779600541,0,20.1797291101029,1,7.0496031507945e-06,0.000678186822262151,0.295383082776952,0.608648575841648,0.313265493064696,"chr4",3243955,3243956,"+",0.4520158293093,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"INSIG1","ENSG00000186480","PAS21166_ATTAAA_0.2",0.00415891757957234,0.000298030692231561,18.1028201988522,1,2.09291216454748e-05,0.00166019339508797,0.358846018236311,0.60025583583254,0.241409817596229,"chr7",155310232,155310233,"+",0.479550927034426,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"JPT2","ENSG00000206053","PAS40081_AATAAA_0.15",1.28118999379886e-06,8.3761362460869e-09,39.7133654220161,1,2.94105907517096e-10,1.77306648111807e-07,0.238723976564721,0.468906286265495,0.230182309700774,"chr16",1702075,1702076,"+",0.353815131415108,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"LSM14A","ENSG00000257103","PAS46644_AATAAA_0.45",0.0475312298971609,0,8.65717573575239,1,0.00325775845362645,0.058232867165193,0.371312604909818,0.572213012879028,0.20090040796921,"chr19",34229281,34229282,"+",0.471762808894423,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"MAL2","ENSG00000147676","PAS23340_AATAAA_0.15",0.00056877590744163,0,19.5921729834045,1,9.58611079957804e-06,0.000875628282430143,0.777176460214993,0.902867510884385,0.125691050669392,"chr8",119245670,119245671,"+",0.840021985549689,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"METTL2A","ENSG00000087995","PAS43213_AATAAA_0.15",0.0128967538255514,0,12.0890955436353,1,0.000507175712240787,0.0165573644974492,0.278545615360911,0.537747690555506,0.259202075194595,"chr17",62452105,62452106,"+",0.408146652958209,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"MPRIP","ENSG00000133030","PAS42380_APA_0.2",0.00813504977650871,0.00224472381519983,14.2787421641347,1,0.000157635099382011,0.00754229737413504,0.0975325997312664,0.224751246100265,0.127218646368999,"chr17",17189646,17189647,"+",0.161141922915766,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"NEDD4L","ENSG00000049759","PAS45434_APA_0.15",0.00286358994746173,0.00819912144641975,14.4497985725095,1,0.000143945250112706,0.00712928893892344,0.317824888794479,0.5104282646794,0.192603375884921,"chr18",58398194,58398195,"+",0.414126576736939,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
"NFATC2IP","ENSG00000176953","PAS40433_APA_0.2",0.000227447563368743,0.00758765298817564,13.2928484871318,1,0.000266420399865718,0.0106133906431087,0.777258799413359,0.87768552828096,0.100426728867602,"chr16",28966607,28966608,"+",0.82747216384716,2,"TUTR","distal pA","HUB_T_DMSO_vs_T_DMAi"
