gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,pA_type,condition,prox_to_dist_shift
AASDHPPT,ENSG00000149313.11,PAS30468_AATAAA_0.3,0.29769941543557504,NA,1.923939843738026,1,0.16542298422746832,0.33728566731150267,0.3996313511949367,0.47515489410551687,0.07552354291058017,chr11,106098692,106098693,+,0.4373931226502268,distal pA,LU99,0.15104708582116044
ABCB8,ENSG00000197150.13,PAS21132_AATAAA_0.2,0.33653900181005203,NA,1.6758276584984628,1,0.19547978232088556,0.3790894949214567,0.15678784829114378,0.28684287725078617,0.13005502895964238,chr7,151047779,151047780,+,0.22181536277096497,distal pA,LU99,0.26011005791928465
ABCD3,ENSG00000117528.14,PAS1169_AATAAA_0.15,0.37200396181246187,NA,1.4777210921383812,1,0.22413141923976632,0.4150499091513139,0.9013727280594562,0.936615346351639,0.03524261829218278,chr1,94518661,94518662,+,0.9189940372055476,distal pA,LU99,0.07048523658436551
ABCE1,ENSG00000164163.11,PAS13298_AATAAA_0.3,0.04832536808809109,0.9947521926559061,0.8560736016365809,1,0.3548398039983815,0.5603319336173188,0.09263263445042325,0.11852333666769233,0.02589070221726908,chr4,145129520,145129521,+,0.10557798555905779,distal pA,LU99,0.014437841536669604
ABHD10,ENSG00000144827.9,PAS9981_AATAAA_0.2,0.03549844024018997,0,6.377971913786496,1,0.011554539133331345,0.04535909596516543,0.8375773708438516,0.9205231729963614,0.0829458021525098,chr3,111993366,111993367,+,0.8790502719201065,distal pA,LU99,0.16589160430501954
ABHD2,ENSG00000140526.18,PAS38967_AATAAA_0.05,0.9221953992669565,NA,0.008243311511250795,1,0.9276573231745837,0.9657670526497059,0.574483635768807,0.5708086406299662,-0.003674995138840842,chr15,89202353,89202354,+,0.5726461381993866,distal pA,LU99,-0.02778917908485512
ABHD5,ENSG00000011198.10,PAS9495_AATAAA_0.35,0.5436130844749616,NA,0.768809075790216,1,0.3805857265710241,0.5860742683430542,0.3641130366314558,0.4525265266773137,0.08841349004585791,chr3,43719869,43719870,+,0.40831978165438476,distal pA,LU99,0.17682698009171577
ABI2,ENSG00000138443.17,PAS6853_AATAAA_0.2,1.4153134980811839e-15,0,71.15702410950325,1,3.2989617448743185e-17,2.2976917599672514e-15,0.5351681958485743,0.8993710652114678,0.3642028693628935,chr2,203432167,203432168,+,0.717269630530021,distal pA,LU99,0.728405738725787
ABLIM3,ENSG00000173210.21,PAS15637_APA_0.15,0.027076186067077183,0,6.942169709902032,1,0.008418693441043353,0.0349395790545235,0.7741775200887319,0.9171063002169976,0.1429287801282657,chr5,149260435,149260436,+,0.8456419101528647,distal pA,LU99,0.2858575602565314
ABRAXAS2,ENSG00000165660.8,PAS27969_AATAAA_0.2,0.3662361738430729,NA,3.0257837665762963,1,0.08195071595717303,0.20415956520989795,0.6348232403788957,0.7380934142502348,0.10327017387133908,chr10,124836666,124836667,+,0.6864583273145652,distal pA,LU99,0.16639338845757956
ABT1,ENSG00000146109.5,PAS17486_AATAAA_0.35,0.10530497961009917,NA,4.037078870388086,1,0.044510804076610073,0.12902910528650263,0.04822093096728797,0.09859174007121163,0.050370809103923664,chr6,26600046,26600047,+,0.0734063355192498,distal pA,LU99,0.10074161820784733
ACADSB,ENSG00000196177.13,PAS27953_AATAAA_0.2,0.914547224923466,NA,0.03846873964448605,1,0.8445048984360912,0.9234193853964241,0.27735339920047586,0.2955679211449821,0.018214521944506235,chr10,123058288,123058289,+,0.286460660172729,distal pA,LU99,0.03642904388901247
ACCS,ENSG00000110455.14,PAS29779_AATAAA_0.4,0.041916435465419115,0,6.017216946701296,1,0.014166970071973338,0.0532135129439021,0.40851004259616586,0.6985275358553137,0.29001749325914783,chr11,44084233,44084234,+,0.5535187892257398,distal pA,LU99,0.5800349865182954
ACER3,ENSG00000078124.13,PAS30308_APA_0.25,0.35671625021686987,NA,0.683578609824508,1,0.40835715978159465,0.6120682978686127,0.5326475547538161,0.6000912676094154,0.06744371285559936,chr11,77022926,77022927,+,0.5663694111816158,distal pA,LU99,0.06398429885877388
ACO1,ENSG00000122729.19,PAS24890_AATAAA_0.15,0.7555496269906575,NA,0.2373328399885395,1,0.626139149776649,0.7836366300172748,0.03647661519899281,0.04584852887947377,0.009371913680480959,chr9,32451783,32451784,+,0.04116257203923329,distal pA,LU99,0.018743827360961807
ACO2,ENSG00000100412.17,PAS51084_APA_0.15,0.06066095583705914,NA,5.201173425878096,1,0.022571646004406032,0.07584471128681386,0.8691909703999002,0.7847738018166944,-0.0844171685832058,chr22,41528972,41528973,+,0.8269823861082973,distal pA,LU99,-0.1688343371664117
ACP1,ENSG00000143727.16,PAS5154_AATAAA_0.15,1.0622632961807924e-9,0,42.91200151420435,1,5.725831294710203e-11,1.7682555418145142e-9,0.5335691505136242,0.7709847037433338,0.23741555322970964,chr2,278279,278280,+,0.652276927128479,distal pA,LU99,0.47483110645941934
ACSF3,ENSG00000176715.17,PAS41025_None_0.25,0.3875452991651824,NA,1.3928105557193078,1,0.23793103694844706,0.4307197879897204,0.7473021403310414,0.8611503919072415,0.11384825157620015,chr16,89155760,89155761,+,0.8042262661191415,distal pA,LU99,0.22769650315240011
ACSL3,ENSG00000123983.15,PAS7025_APA_0.25,0.04478760524320546,0.009042463525031066,9.945105202978993,1,0.0016127765329764046,0.009040109555990172,0.4118224277879452,0.510288971977165,0.09846654418921985,chr2,222943144,222943145,+,0.4610556998825551,distal pA,LU99,0.15353407914766376
ACSS3,ENSG00000111058.8,PAS33027_AATAAA_0.4,0.24536750118885442,NA,2.3076934125246282,1,0.1287349574395748,0.28235436058857494,0.5180457113267591,0.7412019341509156,0.22315622282415648,chr12,81256755,81256756,+,0.6296238227388373,distal pA,LU99,0.44631244564831307
ACTN4,ENSG00000130402.14,PAS46782_AATAAA_0.2,0.3241838926885862,NA,1.0799861175910337,1,0.2987006616048883,0.5020134081702486,0.2825309648381374,0.3199284520394133,0.03739748720127589,chr19,38730529,38730530,+,0.30122970843877533,distal pA,LU99,0.078936883438946
ACTR10,ENSG00000131966.14,PAS36703_APA_0.2,0.12813749935649074,NA,3.634649859371166,1,0.05658850647959903,0.15456193238295154,0.034086411906560476,0.07003056249903106,0.03594415059247058,chr14,58235632,58235633,+,0.05205848720279577,distal pA,LU99,0.07188830118494127
ACTR2,ENSG00000138071.15,PAS5751_AATAAA_0.25,0.97086751406618,NA,0.027255507673544344,1,0.8688712378426573,0.9360704285265555,0.901340931020045,0.8972945531873874,-0.004046377832657599,chr2,65271250,65271251,+,0.8993177421037162,distal pA,LU99,-0.009265713406056343
ACTR3,ENSG00000115091.12,PAS6208_AATAAA_0.2,0.26420054351806943,NA,0.6040176414817324,1,0.437049206686335,0.6379846502063401,0.6327789279489688,0.6014020557133422,-0.031376872235626685,chr2,113958254,113958255,+,0.6170904918311555,distal pA,LU99,-0.07812645791235948
ACTR6,ENSG00000075089.10,PAS33123_AATAAA_0.25,0.9763307321934964,NA,0.0029371744390118693,1,0.9567792425814985,0.9792908154759654,0.8050409680811467,0.8081525837296519,0.0031116156485052615,chr12,100224422,100224423,+,0.8065967759053994,distal pA,LU99,0.0062232312970105785
ACVR2A,ENSG00000121989.15,PAS6369_AATAAA_0.25,0.9735407039183598,NA,0.004185405820436472,1,0.9484170728494989,0.9757659426330902,0.46938175695799106,0.45988555242254864,-0.00949620453544242,chr2,147930821,147930822,+,0.46463365469026985,distal pA,LU99,-0.018992409070884952
ACVR2B,ENSG00000114739.14,PAS9431_AATAAA_0.2,0.5908821329313857,NA,1.4254431621500316,1,0.23250955886024471,0.42408137118206496,0.17319594148651674,0.2589275438887555,0.08573160240223876,chr3,38493139,38493140,+,0.21606174268763612,distal pA,LU99,0.1761376023678144
ADAL,ENSG00000168803.16,PAS38429_AATAAA_0.15,0.5502768885622211,NA,0.7462816590012835,1,0.38765603908077384,0.5923641236694659,0.36146457260956594,0.49459406592078975,0.1331294933112238,chr15,43353895,43353896,+,0.42802931926517784,distal pA,LU99,0.26625898662244774
ADAM9,ENSG00000168615.13,PAS22818_ATTAAA_0.3,0.37199732065102176,NA,1.4782406038223144,1,0.22404999916005347,0.4150499091513139,0.03890259627362169,0.06928687913048237,0.030384282856860678,chr8,39105257,39105258,+,0.05409473770205203,distal pA,LU99,0.06076856571372147
ADAMTSL1,ENSG00000178031.18,PAS24853_APA_0.2,0.007720057387119331,1,0.031263031279706865,1,0.8596548457973114,0.9302372079453171,0.6476746353194358,0.6596857132448701,0.012011077925434321,chr9,18910946,18910947,+,0.653680174282153,distal pA,LU99,0.20393543231090233
ADAMTSL4,ENSG00000143382.16,PAS1526_ATTAAA_0.25,0.9055633226142489,NA,0.04694322988427757,1,0.8284703115309364,0.9151196687369563,0.9268366881558808,0.9168104546185556,-0.010026233537325235,chr1,150560931,150560932,+,0.9218235713872183,distal pA,LU99,-0.02005246707465047
ADARB1,ENSG00000197381.18,PAS50348_AATAAA_0.15,0.9457005558301385,NA,0.017708714962168415,1,0.8941347815063356,0.9501432788770676,0.8600772492698269,0.854462536902838,-0.00561471236698885,chr21,45226558,45226559,+,0.8572698930863325,distal pA,LU99,-0.0112294247339777
ADCY7,ENSG00000121281.13,PAS40571_ATTAAA_0.35,0.05234378178957517,NA,7.548903846363373,1,0.006004659033060413,0.02648198227648806,0.8836316871750195,0.7014400682832971,-0.18219161889172242,chr16,50318131,50318132,+,0.7925358777291582,distal pA,LU99,-0.27926457026326057
ADD3,ENSG00000148700.15,PAS27811_AATAAA_0.25,0.4581570840978671,NA,1.0733087129483465,1,0.30019928011432606,0.5034335775892655,0.2218395354232664,0.25128918023592306,0.02944964481265666,chr10,110135563,110135564,+,0.23656435782959473,distal pA,LU99,0.05889928962531332
ADGRL2,ENSG00000117114.21,PAS1054_AATAAA_0.3,0.090499437516528,NA,4.360401155996897,1,0.03678364234542751,0.11138876338367897,0.5675524901981133,0.7060110808789092,0.1384585906807959,chr1,81992421,81992422,+,0.6367817855385112,distal pA,LU99,0.2769171813615919
ADIPOR2,ENSG00000006831.10,PAS32053_AATAAA_0.25,0.747658540450265,NA,0.25513734611286054,1,0.6134807202030792,0.7765662737872172,0.7901766639154898,0.7739257745035523,-0.01625088941193753,chr12,1788670,1788671,+,0.782051219209521,distal pA,LU99,-0.03250177882387509
ADK,ENSG00000156110.15,PAS27418_AATAAA_0.45,6.573737140522166e-4,1,0.048813382933076355,1,0.8251410909565448,0.913768390137432,0.16990672384960118,0.16341188065828177,-0.006494843191319405,chr10,74709022,74709023,+,0.1666593022539415,distal pA,LU99,0.1505480113872029
ADM2,ENSG00000128165.9,PAS51218_AATAAA_0.4,0.38114532972581716,NA,1.4271110341534268,1,0.23223649844753877,0.4239154520609485,0.8205420688308984,0.9113315360586247,0.0907894672277263,chr22,50486434,50486435,+,0.8659368024447616,distal pA,LU99,0.18157893445545248
ADO,ENSG00000181915.6,PAS27252_AATAAA_0.25,0.010368483169286728,0,9.00021804141295,1,0.0026994739739386654,0.013828995389186013,0.5352126327792821,0.7702507796618238,0.23503814688254165,chr10,62808470,62808471,+,0.6527317062205529,distal pA,LU99,0.47007629376508325
ADORA2B,ENSG00000170425.4,PAS42331_AATAAA_0.2,0.6036900320911633,NA,0.5842982183988568,1,0.4446324710864989,0.6448131106885167,0.19831448700128762,0.2894395541035293,0.09112506710224166,chr17,15976466,15976467,+,0.24387702055240845,distal pA,LU99,0.18225013420448344
ADSL,ENSG00000239900.14,PAS51054_AATAAA_0.4,0.04966021418295945,0,5.629297674027839,1,0.01766270677183719,0.06260841431251657,0.007071737717195381,0.02956986642806081,0.022498128710865428,chr22,40367878,40367879,+,0.018320802072628095,distal pA,LU99,0.04499625742173097
AEBP2,ENSG00000139154.16,PAS32284_ATTAAA_0.2,0.035651849866867605,1,1.267571213087649,1,0.2602228136234517,0.4586723632166651,0.13093671059105721,0.17344730417896034,0.04251059358790313,chr12,19520959,19520960,+,0.15219200738500877,distal pA,LU99,0.19162811228998936
AFAP1L1,ENSG00000157510.14,PAS15640_ATTAAA_0.35,0.7831134116516704,NA,0.1881452626173541,1,0.6644648031849866,0.8096495599550536,0.30365258840064147,0.33545999893240214,0.03180741053176067,chr5,149341801,149341802,+,0.31955629366652183,distal pA,LU99,0.0636148210635214
AFTPH,ENSG00000119844.17,PAS5733_AATAAA_0.2,0.9071651688643054,NA,0.33343704012895614,1,0.563642208905887,0.740328125530513,0.13637777168523135,0.15899044543175322,0.022612673746521872,chr2,64593001,64593002,+,0.1476841085584923,distal pA,LU99,0.04859928235586186
