gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
PARP14,ENSG00000173193.15,PAS10063_ATTAAA_0.2,0.01187031818474363,0,9.60888766687981,1,0.0019363789770539322,0.01636415829701675,0.15654716044965275,0.049351839113600575,-0.10719532133605217,chr3,122729866,122729867,+
PARP14,ENSG00000173193.15,PAS10064_AATAAA_0.35,0.01187031818474363,0,9.608887666881174,1,0.0019363789770524974,0.01636415829701675,0.8434528395503472,0.9506481608863995,0.10719532133605225,chr3,122730838,122730839,+
SLC49A4,ENSG00000138463.9,PAS10066_AATAAA_0.25,0.015048820665750312,0,9.06288330537302,1,0.002608503214622706,0.02061327715742493,0.9117051207262848,0.7339441758591586,-0.17776094486712624,chr3,122879913,122879914,+
SLC49A4,ENSG00000138463.9,PAS10068_AATAAA_0.25,0.015048820665750312,0,9.06288330537302,1,0.002608503214622706,0.02061327715742493,0.08829487927371527,0.2660558241408414,0.17776094486712612,chr3,122881136,122881137,+
PLXNA1,ENSG00000114554.12,PAS10091_None_0.2,1.4552950034081837e-4,0,19.436651669024286,1,1.0399208885113603e-5,2.2060362584700173e-4,0.4474359930759486,0.28347613187973225,-0.16395986119621636,chr3,127035578,127035579,+
PLXNA1,ENSG00000114554.12,PAS10092_AATAAA_0.25,1.4552950034081837e-4,0,19.436651669026105,1,1.0399208885103702e-5,2.2060362584700173e-4,0.5525640069240514,0.7165238681202677,0.1639598611962163,chr3,127037384,127037385,+
HMCES,ENSG00000183624.14,PAS10127_AATAAA_0.3,0.038056974575138756,0,7.000075892367931,1,0.008150626037019305,0.04992720291851399,0.8109317215478038,0.6923154177629237,-0.11861630378488008,chr3,129305260,129305261,+
HMCES,ENSG00000183624.14,PAS10128_AATAAA_0.2,0.038056974575138756,0,7.000075892367931,1,0.008150626037019305,0.04992720291851399,0.1890682784521962,0.3076845822370763,0.11861630378488008,chr3,129306182,129306183,+
EIF2A,ENSG00000144895.12,PAS10315_APA_0.3,3.767678856491516e-6,7.901913843749284e-5,20.99118223815458,1,4.6140207417564216e-6,1.069455613779666e-4,0.7449692048746094,0.6056919997042047,-0.13927720517040465,chr3,150584239,150584240,+
EIF2A,ENSG00000144895.12,PAS10317_AATAAA_0.3,3.767678856491516e-6,7.543844766012626e-7,29.962452034921625,1,4.4049399817876906e-8,1.8037561810271836e-6,0.06006578006351798,0.17121137181003868,0.1111455917465207,chr3,150586009,150586010,+
GMPS,ENSG00000163655.16,PAS10362_ATTAAA_0.35,0.01617159292047919,0.010505471252832486,11.20016069985195,1,8.179024849081507e-4,0.008218026424333358,0.23991542731881177,0.4264701341255506,0.18655470680673886,chr3,155944018,155944019,+
FNDC3B,ENSG00000075420.13,PAS10479_AATAAA_0.25,7.025853931199166e-4,0.038476339637130264,8.810163540961184,1,0.0029955718350943936,0.022973417824988955,0.3474893664712569,0.4631085995449438,0.11561923307368693,chr3,172398770,172398771,+
FNDC3B,ENSG00000075420.13,PAS10481_AATAAA_0.25,7.025853931199166e-4,4.087950012311682e-5,21.703157661852856,1,3.1826696706714065e-6,7.707422089566796e-5,0.5007815805692571,0.31758223866549407,-0.18319934190376308,chr3,172400695,172400696,+
