"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"AFTPH","ENSG00000119844","PAS5732_AATAAA_0.2",0.40688916594752,NA,3.34186681093888,1,0.0675379431908457,0.308875330245873,0.177269575287747,0.131207505210026,-0.0460620700777217,"chr2",64592372,64592373,"+",0.154238540248887,0,"MIXED","distal pA"
"ALDH16A1","ENSG00000161618","PAS47107_AATAAA_0.25",0.580056093726874,NA,1.14320080163816,1,0.284976996609074,0.628548043984355,0.350587388669661,0.395858042598648,0.0452706539289874,"chr19",49471046,49471047,"+",0.373222715634154,0,"MIXED","distal pA"
"ARFGEF2","ENSG00000124198","PAS49180_AATAAA_0.2",0.726438124879718,NA,0.568613335001146,1,0.450810466817657,0.766437121908643,0.811609509167078,0.869630804819521,0.0580212956524435,"chr20",49036691,49036692,"+",0.8406201569933,0,"MIXED","distal pA"
"ARHGEF26","ENSG00000114790","PAS10345_APA_0",0.979613494460264,NA,0.00587791905309132,1,0.938887989634388,0.987136855047526,0.234225627913797,0.239031476243857,0.00480584833006015,"chr3",154257824,154257825,"+",0.236628552078827,0,"MIXED","distal pA"
"ARL6IP4","ENSG00000182196","PAS33521_ATTAAA_0",0.832838369218488,NA,0.23812373239798,1,0.625564550362426,0.861950362475609,0.877096950483674,0.891497900349353,0.0144009498656782,"chr12",122982908,122982909,"+",0.884297425416513,0,"MIXED","distal pA"
"ARL6IP5","ENSG00000144746","PAS9794_AATAAA_0.15",0.900054474711206,NA,0.387675798779128,1,0.53352363748511,0.822548165810143,0.221905264580778,0.245789263017767,0.0238839984369894,"chr3",69106065,69106066,"+",0.233847263799273,0,"MIXED","distal pA"
"C14orf28","ENSG00000179476","PAS36555_AATAAA_0.2",0.938163366367038,NA,0.0476424120708998,1,0.827217642423071,0.95201103795343,0.688478311600172,0.707640562486233,0.0191622508860609,"chr14",44907248,44907249,"+",0.698059437043202,0,"MIXED","distal pA"
"CCAR1","ENSG00000060339","PAS27299_APA_0.3",0.163696529818643,NA,1.86799608649926,1,0.171704766764291,0.492147767305701,0.576321206001536,0.613529407969387,0.0372082019678512,"chr10",68771444,68771445,"+",0.594925306985462,0,"MIXED","distal pA"
"CCAR2","ENSG00000158941","PAS22652_AATAAA_0.25",0.789384545849109,NA,0.36543169965779,1,0.545504974852237,0.826298406631286,0.36671145594359,0.430660788909415,0.0639493329658254,"chr8",22620467,22620468,"+",0.398686122426502,0,"MIXED","distal pA"
"CCDC91","ENSG00000123106","PAS32404_AATAAA_0.1",0.667240497312537,NA,0.277190515313123,1,0.598548592979899,0.8505146018726,0.255437017919868,0.277007022304098,0.0215700043842294,"chr12",28550164,28550165,"+",0.266222020111983,0,"MIXED","distal pA"
"CCNT2","ENSG00000082258","PAS6320_ATTAAA_0.4",0.911032536844973,NA,0.203053461853415,1,0.652267386833975,0.875921291823528,0.505151461024428,0.475521467858387,-0.0296299931660406,"chr2",134957403,134957404,"+",0.490336464441407,0,"MIXED","distal pA"
"CD81","ENSG00000110651","PAS29399_ATTAAA_0.3",0.547696270193658,NA,1.2899378293248,1,0.25605940823641,0.596535735325252,0.0730923522818931,0.115715034108466,0.0426226818265731,"chr11",2397796,2397797,"+",0.0944036931951797,0,"MIXED","distal pA"
"CDC42SE2","ENSG00000158985","PAS15351_AATAAA_0.1",0.96959122284628,NA,0.0126212767028733,1,0.910550294419881,0.9779367885534,0.808773578312372,0.818363006919676,0.00958942860730372,"chr5",131394664,131394665,"+",0.813568292616024,0,"MIXED","distal pA"
"CGRRF1","ENSG00000100532","PAS36636_AATAAA_0.4",0.971234955736241,NA,0.0100909339479358,1,0.919984185892716,0.979464443876765,0.229942543802264,0.238140234054283,0.00819769025201966,"chr14",54539282,54539283,"+",0.234041388928273,0,"MIXED","distal pA"
