"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ABCB8","ENSG00000197150","PAS21131_None_0.25",0.203499937938397,NA,0.963421113037384,1,0.326326433337549,0.55512833899875,0.374082782741383,0.303758011210186,-0.0703247715311964,"chr7",151045561,151045562,"+",0.338920396975784,0,"ALE","distal pA"
"ABCD1","ENSG00000101986","PAS52448_APA_0.1",0.905275894959404,NA,0.0485432883647263,1,0.825617728361451,0.918884014125322,0.916567590795215,0.909461068628984,-0.00710652216623053,"chrX",153744753,153744754,"+",0.913014329712099,0,"ALE","distal pA"
"ACO2","ENSG00000100412","PAS51084_APA_0.15",0.0161816384946263,0.135476892773826,4.26713294872843,1,0.0388564389064087,0.13378506990018,0.842606702352146,0.779716933204829,-0.0628897691473169,"chr22",41528972,41528973,"+",0.811161817778488,0,"ALE","distal pA"
"ACOT11","ENSG00000162390","PAS893_APA_0.3",0.116974981669511,NA,4.11391494922282,1,0.0425317999292957,0.142738659574408,0.105456406525741,0.169618632644012,0.0641622261182713,"chr1",54611073,54611074,"+",0.137537519584876,0,"ALE","distal pA"
"ACTN4","ENSG00000130402","PAS46782_AATAAA_0.2",0.581598005236835,NA,0.000974695169134066,1,0.975094003537827,0.9915909573506,0.320703798917113,0.319143332298872,-0.00156046661824039,"chr19",38730529,38730530,"+",0.319923565607993,0,"ALE","distal pA"
"AFMID","ENSG00000183077","PAS43450_AATAAA_0.1",0.340422063645283,NA,1.79544665113485,1,0.180263948750692,0.384665652888029,0.79944233587851,0.874295417236974,0.074853081358464,"chr17",78207700,78207701,"+",0.836868876557742,0,"ALE","distal pA"
"AGAP3","ENSG00000133612","PAS21139_AATAAA_0.05",0.819639847729818,NA,0.159312410820348,1,0.689790353760072,0.842310693063549,0.769463489292953,0.785810586387027,0.0163470970940732,"chr7",151144433,151144434,"+",0.77763703783999,0,"ALE","distal pA"
"ANKRD12","ENSG00000101745","PAS45162_AATAAA_0.4",0.629082172000244,NA,0.00559939671802567,1,0.940350674916219,0.972962332269512,0.504677601959446,0.50688430710607,0.00220670514662358,"chr18",9256249,9256250,"+",0.505780954532758,0,"ALE","distal pA"
"ANKRD13D","ENSG00000172932","PAS30130_AATAAA_0.1",0.961480318068799,NA,0.00800743993022479,1,0.928697030382315,0.968257307242882,0.57405564259151,0.570701812083487,-0.00335383050802252,"chr11",67302482,67302483,"+",0.572378727337499,0,"ALE","distal pA"
"ANTXR1","ENSG00000169604","PAS5777_ATTAAA_0.25",0.173851810399268,NA,0.656907053008467,1,0.417653998103183,0.642927992306809,0.649452977083681,0.706148512834756,0.0566955357510752,"chr2",69146361,69146362,"+",0.677800744959219,0,"ALE","distal pA"
