gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
ATP6V1A,ENSG00000114573.12,PAS10001_APA_0.2,0.0016307762084911738,1,3.211468782999873,1,0.07312381393296426,0.45488161289460377,0.01977509625388176,0.03722570542019851,0.017450609166316754,chr3,113811808,113811809,+
ATP6V1A,ENSG00000114573.12,PAS10002_AATAAA_0.15,0.0016307762084911738,0.0012324879119559858,17.07945664082581,1,3.584798635883061e-5,0.005166816765975913,0.2549258258477235,0.37033605286580346,0.11541022701807996,chr3,113812053,113812054,+
ATP6V1A,ENSG00000114573.12,PAS9999_APA_0.35,0.0016307762084911738,1.1555942033950132e-4,21.598499649539008,1,3.361146574971645e-6,8.828053231860778e-4,0.7252990778983947,0.5924382417139981,-0.1328608361843966,chr3,113810425,113810426,+
SRSF11,ENSG00000116754.14,PAS1001_AATAAA_0.45,0.6207731900837153,NA,1.253091456113907,1,0.2629628463166845,0.7116807758882349,0.030926329009887718,0.02372308839126495,-0.007203240618622767,chr1,70228940,70228941,+
SRSF11,ENSG00000116754.14,PAS1002_AATAAA_0.1,0.6207731900837153,NA,1.6797860723163467,1,0.19495288089303586,0.6536014644311805,0.020556369927926182,0.013950164871410112,-0.00660620505651607,chr1,70229185,70229186,+
SRSF11,ENSG00000116754.14,PAS1003_None_0.25,0.6207731900837153,NA,1.430040567589458,1,0.23175781794644104,0.6922086781490537,0.2048089618426462,0.2242718076230302,0.019462845780384014,chr1,70237533,70237534,+
SRSF11,ENSG00000116754.14,PAS1005_APA_0.35,0.6207731900837153,NA,3.00099710439099,1,0.08321328906343609,0.4754241872263303,0.5533385204125765,0.5190970883465517,-0.03424143206602481,chr1,70250046,70250047,+
SRSF11,ENSG00000116754.14,PAS1006_ATTAAA_0.2,0.6207731900837153,NA,0.6173406595771667,1,0.4320372335160998,0.8315771178998381,0.005256243030142302,0.00772536310683068,0.002469120076688378,chr1,70251254,70251255,+
SRSF11,ENSG00000116754.14,PAS1007_AATAAA_0.25,0.6207731900837153,NA,1.3670090588202584,1,0.24232643419919064,0.6997239520796534,0.14109552782952645,0.15759425186429032,0.01649872403476388,chr1,70251999,70252000,+
SRSF11,ENSG00000116754.14,PAS1008_AATAAA_0.3,0.6207731900837153,NA,1.2735175176494522,1,0.25910783175883406,0.7089767868540165,0.04401804794729469,0.05363823579662208,0.009620187849327388,chr1,70253046,70253047,+
POGLUT1,ENSG00000163389.12,PAS10023_None_0.2,0.4903292769387101,NA,4.049983023940513,1,0.044171789105231785,0.36673064498306773,0.03746652887039014,0.07550728102893536,0.03804075215854522,chr3,119492866,119492867,+
POGLUT1,ENSG00000163389.12,PAS10024_AATAAA_0.35,0.4903292769387101,NA,1.221394155735652,1,0.26908722184073475,0.7163153883855673,0.6744403153664522,0.6310601993617608,-0.04338011600469138,chr3,119493193,119493194,+
POGLUT1,ENSG00000163389.12,PAS10025_APA_0.3,0.4903292769387101,NA,0.018664635152617848,1,0.8913322931051376,0.986919876925565,0.28809315576315764,0.29343251960930383,0.0053393638461461945,chr3,119494704,119494705,+
NDUFB4,ENSG00000065518.8,PAS10034_AATAAA_0.4,0.3073270134635307,NA,4.1097362275577325,1,0.042637011793993984,0.3644310076659212,0.11028415691170239,0.1678225171092184,0.057538360197516,chr3,120601181,120601182,+
NDUFB4,ENSG00000065518.8,PAS10035_AATAAA_0.2,0.3073270134635307,NA,4.1097362275577325,1,0.042637011793993984,0.3644310076659212,0.8897158430882977,0.8321774828907816,-0.057538360197516014,chr3,120602325,120602326,+
FAM162A,ENSG00000114023.16,PAS10048_AATAAA_0.2,0.884472395163459,NA,0.24560171235680173,1,0.6201892171458264,0.9109035626514618,0.9854940074705446,0.9890603009982515,0.0035662935277068764,chr3,122409996,122409997,+
FAM162A,ENSG00000114023.16,PAS10049_AATAAA_0.15,0.884472395163459,NA,0.24560171235680173,1,0.6201892171458264,0.9109035626514618,0.014505992529455392,0.010939699001748515,-0.0035662935277068764,chr3,122412332,122412333,+
SEC22A,ENSG00000121542.12,PAS10074_AATAAA_0.3,0.7826209844963882,NA,0.6338792149164192,1,0.42593595255885575,0.8292376386902877,0.7484948184280418,0.6886359486118158,-0.05985886981622601,chr3,123272175,123272176,+
SEC22A,ENSG00000121542.12,PAS10075_APA_0.25,0.7826209844963882,NA,0.6338792149164192,1,0.42593595255885575,0.8292376386902877,0.2515051815719582,0.31136405138818424,0.05985886981622601,chr3,123274130,123274131,+
UMPS,ENSG00000114491.14,PAS10079_APA_0.2,0.9865655019385269,NA,0.03525965122389607,1,0.8510526155158169,0.9778981575524305,0.8744307851759773,0.868889293668015,-0.005541491507962237,chr3,124744291,124744292,+
UMPS,ENSG00000114491.14,PAS10080_AATAAA_0.2,0.9865655019385269,NA,0.17602415422379636,1,0.6748125216607465,0.9264096754516892,0.03486216281141198,0.042763185379024966,0.007901022567612985,chr3,124745186,124745187,+
UMPS,ENSG00000114491.14,PAS10081_APA_0.25,0.9865655019385269,NA,0.007835268051621824,1,0.9294657339891558,0.9925965149279756,0.09070705201261076,0.08834752095295995,-0.00235953105965081,chr3,124749269,124749270,+
PLXNA1,ENSG00000114554.12,PAS10091_None_0.2,0.8408393547008075,NA,0.3962938004217449,1,0.5290095266490521,0.8784889055399524,0.32625950330972214,0.28665968030998124,-0.03959982299974091,chr3,127035578,127035579,+
PLXNA1,ENSG00000114554.12,PAS10092_AATAAA_0.25,0.8408393547008075,NA,0.39629380042129014,1,0.5290095266492885,0.8784889055399524,0.6737404966902778,0.7133403196900187,0.03959982299974085,chr3,127037384,127037385,+
SEC61A1,ENSG00000058262.11,PAS10100_AATAAA_0.4,0.6180344707417575,NA,0.020831985366385197,1,0.8852376016435166,0.986919876925565,0.010632948205785697,0.010016598403731817,-6.163498020538803e-4,chr3,128061371,128061372,+
SEC61A1,ENSG00000058262.11,PAS10101_APA_0.2,0.6180344707417575,NA,3.08964824067516,1,0.07879183921550241,0.470778717026153,0.023867046227973306,0.013843300289508023,-0.010023745938465283,chr3,128070800,128070801,+
SEC61A1,ENSG00000058262.11,PAS10102_AATAAA_0.15,0.6180344707417575,NA,2.261600359081058,1,0.13261695076299085,0.5712952922606571,0.9655000055662409,0.9761401013067602,0.010640095740519273,chr3,128071681,128071682,+
RAB7A,ENSG00000075785.14,PAS10114_ATTAAA_0.25,0.9867551120705108,NA,0.12500576284219278,1,0.7236675012168193,0.9440546882142116,0.24018682558009694,0.2320623579639741,-0.008124467616122844,chr3,128814095,128814096,+
RAB7A,ENSG00000075785.14,PAS10115_APA_0.25,0.9867551120705108,NA,0.07610630886665604,1,0.782645060046644,0.9570583794894456,0.08620926420372399,0.090460176196216,0.004250911992492015,chr3,128814391,128814392,+
RAB7A,ENSG00000075785.14,PAS10116_AATAAA_0.2,0.9867551120705108,NA,0.01939275021686626,1,0.8892463920390329,0.986919876925565,0.6736039102161792,0.67747746583981,0.0038735556236307866,chr3,128814795,128814796,+
HMCES,ENSG00000183624.14,PAS10127_AATAAA_0.3,1.7183685475355068e-5,0,29.980844522173356,1,4.3633550376017024e-8,2.7185998386909978e-5,0.29620724935654,0.6148741710664225,0.3186669217098825,chr3,129305260,129305261,+
HMCES,ENSG00000183624.14,PAS10128_AATAAA_0.2,1.7183685475355068e-5,0,29.980844522173356,1,4.3633550376017024e-8,2.7185998386909978e-5,0.7037927506434599,0.3851258289335775,-0.3186669217098824,chr3,129306182,129306183,+
ATP2C1,ENSG00000017260.20,PAS10142_AATAAA_0.25,0.8761594965682886,NA,1.6520636972372813,1,0.19867828346420044,0.6565894094216379,0.043934345308475876,0.06397718406016888,0.020042838751693,chr3,131001775,131001776,+
ATP2C1,ENSG00000017260.20,PAS10143_APA_0.3,0.8761594965682886,NA,0.009047628391272156,1,0.9242202890199559,0.9922033188622257,0.5018278614100532,0.5052741537491249,0.003446292339071677,chr3,131001991,131001992,+
ATP2C1,ENSG00000017260.20,PAS10144_AATAAA_0.3,0.8761594965682886,NA,0.1108565420299783,1,0.7391710742958215,0.9478304089453048,0.0889637028871177,0.08248263829200006,-0.006481064595117644,chr3,131003106,131003107,+
ATP2C1,ENSG00000017260.20,PAS10145_AATAAA_0.4,0.8761594965682886,NA,1.0444835709276958,1,0.3067809997630214,0.751899270226635,0.2434782504375698,0.21382665321100525,-0.029651597226564547,chr3,131016372,131016373,+
ATP2C1,ENSG00000017260.20,PAS10146_ATTAAA_0.25,0.8761594965682886,NA,0.2969124697447114,1,0.585824530645351,0.8978411893616357,0.12179583995678334,0.13443937068770095,0.012643530730917618,chr3,131016708,131016709,+
NUDT16,ENSG00000198585.12,PAS10151_APA_0.25,0.3019651447082295,NA,2.4569014303360746,1,0.11700940099819772,0.542053879218928,0.579643096143531,0.4412686705014511,-0.13837442564207997,chr3,131383639,131383640,+
