"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"ACTR5","ENSG00000101442","PAS49071_AATAAA_0.3",0.0129099815437679,0,9.65088549731695,1,0.00189260329431638,0.0176182518127801,0.0174982668062279,0.139389401400449,0.121891134594221,"chr20",38772510,38772511,"+",0.0784438341033383,2,"TUTR"
"AGO1","ENSG00000092847","PAS621_ATTAAA_0.3",5.71838681569847e-05,0.000542713870008764,16.1752141534955,1,5.77447557689325e-05,0.00106636357507256,0.0172168534157896,0.162019201339554,0.144802347923765,"chr1",35930528,35930529,"+",0.0896180273776719,2,"TUTR"
"APEX2","ENSG00000169188","PAS52009_AATAAA_0.05",0.0094044575792876,0,10.372580915756,1,0.00127900623078311,0.0129870521067687,0.0726195961205206,0.284006461733828,0.211386865613308,"chrX",55009056,55009057,"+",0.178313028927174,2,"TUTR"
"ASF1A","ENSG00000111875","PAS18247_AATAAA_0.35",0.00447312060654088,0,12.0594551909317,1,0.000515303493873698,0.00632405286051651,0.330993679471821,0.548588760622334,0.217595081150512,"chr6",118909164,118909165,"+",0.439791220047078,2,"TUTR"
"ASXL1","ENSG00000171456","PAS48945_AATAAA_0.15",2.26421915684877e-07,3.17872569293393e-08,35.7400761128665,1,2.25477609152113e-09,1.46528234861852e-07,0.377869139867699,0.670519907608523,0.292650767740824,"chr20",32439317,32439318,"+",0.524194523738111,2,"TUTR"
"CDC37L1","ENSG00000106993","PAS24786_AATAAA_0.3",0.00357409236350773,0.00184440011312239,12.5676188592333,1,0.000392488344072444,0.005101227077673,0.034482786263456,0.184615472641619,0.150132686378163,"chr9",4708395,4708396,"+",0.109549129452538,2,"TUTR"
"CHMP4B","ENSG00000101421","PAS48968_ATTAAA_0.1",0.00325303748002481,0,12.8544324666473,1,0.000336680801822666,0.0045312703231069,0.632583959652572,0.743589438514275,0.111005478861704,"chr20",33854362,33854363,"+",0.688086699083423,2,"TUTR"
"DDA1","ENSG00000130311","PAS46437_AATAAA_0.25",1.28001293662764e-06,2.74298858784262e-08,33.8882286195226,1,5.8370797149291e-09,3.38972880296329e-07,0.132678298174804,0.391266139194522,0.258587841019719,"chr19",17323294,17323295,"+",0.261972218684663,2,"TUTR"
"EIF4EBP2","ENSG00000148730","PAS27350_APA_0.2",0.0007007981102602,7.02829530037999e-05,20.8428863615009,1,4.98540413306954e-06,0.000134040228765769,0.319658029051287,0.440584033845257,0.12092600479397,"chr10",70428615,70428616,"+",0.380121031448272,2,"TUTR"
"FAM210B","ENSG00000124098","PAS49249_AATAAA_0.3",0.014888610481727,0,9.30849707512789,1,0.00228093512579945,0.0202523888495774,0.778799516262254,0.896132460177223,0.117332943914969,"chr20",56368659,56368660,"+",0.837465988219738,2,"TUTR"
