"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ABCE1","ENSG00000164163","PAS13298_AATAAA_0.3",0.0483253680880911,0.994752192655906,0.856073601636581,1,0.354839803998381,0.560331933617319,0.0926326344504232,0.118523336667692,0.0258907022172691,"chr4",145129520,145129521,"+",0.105577985559058,0,"TUTR","distal pA"
"ABHD2","ENSG00000140526","PAS38967_AATAAA_0.05",0.922195399266956,NA,0.0082433115112508,1,0.927657323174584,0.965767052649706,0.574483635768807,0.570808640629966,-0.00367499513884084,"chr15",89202353,89202354,"+",0.572646138199387,0,"TUTR","distal pA"
"ACADSB","ENSG00000196177","PAS27953_AATAAA_0.2",0.914547224923466,NA,0.038468739644486,1,0.844504898436091,0.923419385396424,0.277353399200476,0.295567921144982,0.0182145219445062,"chr10",123058288,123058289,"+",0.286460660172729,0,"TUTR","distal pA"
"ACER3","ENSG00000078124","PAS30308_APA_0.25",0.35671625021687,NA,0.683578609824508,1,0.408357159781595,0.612068297868613,0.532647554753816,0.600091267609415,0.0674437128555994,"chr11",77022926,77022927,"+",0.566369411181616,0,"TUTR","distal pA"
"ACTR3","ENSG00000115091","PAS6208_AATAAA_0.2",0.264200543518069,NA,0.604017641481732,1,0.437049206686335,0.63798465020634,0.632778927948969,0.601402055713342,-0.0313768722356267,"chr2",113958254,113958255,"+",0.617090491831155,0,"TUTR","distal pA"
"ACTR6","ENSG00000075089","PAS33123_AATAAA_0.25",0.976330732193496,NA,0.00293717443901187,1,0.956779242581498,0.979290815475965,0.805040968081147,0.808152583729652,0.00311161564850526,"chr12",100224422,100224423,"+",0.806596775905399,0,"TUTR","distal pA"
"ACVR2A","ENSG00000121989","PAS6369_AATAAA_0.25",0.97354070391836,NA,0.00418540582043647,1,0.948417072849499,0.97576594263309,0.469381756957991,0.459885552422549,-0.00949620453544242,"chr2",147930821,147930822,"+",0.46463365469027,0,"TUTR","distal pA"
"ADD3","ENSG00000148700","PAS27811_AATAAA_0.25",0.458157084097867,NA,1.07330871294835,1,0.300199280114326,0.503433577589266,0.221839535423266,0.251289180235923,0.0294496448126567,"chr10",110135563,110135564,"+",0.236564357829595,0,"TUTR","distal pA"
"ADIPOR2","ENSG00000006831","PAS32053_AATAAA_0.25",0.747658540450265,NA,0.255137346112861,1,0.613480720203079,0.776566273787217,0.79017666391549,0.773925774503552,-0.0162508894119375,"chr12",1788670,1788671,"+",0.782051219209521,0,"TUTR","distal pA"
"AFAP1L1","ENSG00000157510","PAS15640_ATTAAA_0.35",0.78311341165167,NA,0.188145262617354,1,0.664464803184987,0.809649559955054,0.303652588400641,0.335459998932402,0.0318074105317607,"chr5",149341801,149341802,"+",0.319556293666522,0,"TUTR","distal pA"
"AGAP1","ENSG00000157985","PAS7152_ATTAAA_0.4",0.6346721930324,NA,0.50218375120312,1,0.478542169214024,0.674918183355173,0.493789486634853,0.545454540509545,0.0516650538746916,"chr2",236125482,236125483,"+",0.519622013572199,0,"TUTR","distal pA"
"AGL","ENSG00000162688","PAS1196_AATAAA_0.15",0.64787823274947,NA,1.27712558489293,1,0.258434168994566,0.456548436159586,0.587411974357259,0.517241096668344,-0.0701708776889146,"chr1",99924019,99924020,"+",0.552326535512802,0,"TUTR","distal pA"
