gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,pA_type,condition,prox_to_dist_shift
AARD,ENSG00000205002.4,PAS23324_AATAAA_0.35,0.9781843388008304,NA,0.0033448894176899557,1,0.9538800437586107,0.9798150563143708,0.7431070777882618,0.7382743452069672,-0.004832732581294574,chr8,116943997,116943998,+,0.7406907114976145,distal pA,CDK11i_24hrs,-0.009665465162589038
AASDHPPT,ENSG00000149313.11,PAS30468_AATAAA_0.3,0.8638210635028037,NA,0.0991819898108588,1,0.7528134951992264,0.8854150580712622,0.517071370056844,0.5295792203721303,0.01250785031528634,chr11,106098692,106098693,+,0.5233252952144871,distal pA,CDK11i_24hrs,0.025015700630572624
ABCC1,ENSG00000103222.20,PAS40309_APA_0.2,0.7180346338907845,NA,0.355173471974922,1,0.5511990621196592,0.7581271466495019,0.9051434700669073,0.9250410668761807,0.019897596809273388,chr16,16143051,16143052,+,0.915092268471544,distal pA,CDK11i_24hrs,0.03979519361854676
ABCD3,ENSG00000117528.14,PAS1169_AATAAA_0.15,1.4099278315820524e-12,0,57.37390426291586,1,3.6035688993071223e-14,2.8862446149450464e-12,0.7650264107077538,0.9657497183341907,0.20072330762643686,chr1,94518661,94518662,+,0.8653880645209722,distal pA,CDK11i_24hrs,0.40144661525287384
ABCE1,ENSG00000164163.11,PAS13298_AATAAA_0.3,0.0398941287263667,1,0.007818297814083053,1,0.9295419606406409,0.9700078368747344,0.11090408970170229,0.11236330499404334,0.001459215292341054,chr4,145129520,145129521,+,0.11163369734787282,distal pA,CDK11i_24hrs,0.04325922723969611
ABCF1,ENSG00000204574.14,PAS17571_ATTAAA_0.3,0.12074884194990852,NA,4.096509961131233,1,0.042971830349562604,0.14919339983381402,0.016213966006629055,0.006169067840160247,-0.010044898166468808,chr6,30592257,30592258,+,0.011191516923394651,distal pA,CDK11i_24hrs,-0.020089796332937504
ABHD10,ENSG00000144827.9,PAS9981_AATAAA_0.2,0.06923743949775703,NA,5.314499694671213,1,0.021148665612462647,0.08929477883138176,0.8374956675904266,0.7564197830787763,-0.08107588451165026,chr3,111993366,111993367,+,0.7969577253346014,distal pA,CDK11i_24hrs,-0.16215176902330058
ABHD13,ENSG00000139826.6,PAS35732_AATAAA_0.35,0.08149357337117234,NA,5.162790970876813,1,0.0230757866362146,0.09499944283007457,0.6315787752573395,0.46999999999149783,-0.1615787752658417,chr13,108230907,108230908,+,0.5507893876244186,distal pA,CDK11i_24hrs,-0.34000000345877446
ABHD17C,ENSG00000136379.12,PAS38908_AATAAA_0.15,0.8373643826725969,NA,0.13496266380252564,1,0.7133410698000793,0.8625493248479223,0.8430660785330263,0.8592682576462117,0.016202179113185444,chr15,80755618,80755619,+,0.851167168089619,distal pA,CDK11i_24hrs,0.032404358226370944
ABHD2,ENSG00000140526.18,PAS38967_AATAAA_0.05,0.8983741894523343,NA,0.03404528391274653,1,0.8536105264855292,0.9364523569938491,0.6127583371979293,0.6183663282255616,0.00560799102763232,chr15,89202353,89202354,+,0.6155623327117454,distal pA,CDK11i_24hrs,0.029865367657692266
ABHD5,ENSG00000011198.10,PAS9495_AATAAA_0.35,0.5046586058954575,NA,1.5264297967567018,1,0.21664906040972035,0.4422363295948607,0.212847586117251,0.29153379129026974,0.07868620517301875,chr3,43719869,43719870,+,0.2521906887037604,distal pA,CDK11i_24hrs,0.2087124291135615
ABHD6,ENSG00000163686.15,PAS9737_AATAAA_0.25,0.973420447924395,NA,0.0046588275134240575,1,0.9455821643314949,0.9763534700525465,0.5711766297187442,0.5620982621859861,-0.009078367532758036,chr3,58294731,58294732,+,0.5666374459523651,distal pA,CDK11i_24hrs,-0.018156735065516072
ABI2,ENSG00000138443.17,PAS6853_AATAAA_0.2,0.08562296665829275,NA,5.2076618017672445,1,0.022487557745991506,0.09312162702134542,0.4807447273991941,0.5594301814012905,0.07868545400209642,chr2,203432167,203432168,+,0.5200874544002423,distal pA,CDK11i_24hrs,0.16813387071613128
ABLIM3,ENSG00000173210.21,PAS15637_APA_0.15,0.9038900940596639,NA,0.05317925482520991,1,0.8176206909805109,0.9193970780771258,0.7084978449765821,0.6815054551499582,-0.026992389826623886,chr5,149260435,149260436,+,0.6950016500632701,distal pA,CDK11i_24hrs,-0.05398477965324794
ABRAXAS2,ENSG00000165660.8,PAS27969_AATAAA_0.2,0.09218929357795702,NA,2.9200821295380592,1,0.08748341111228557,0.24417357658919064,0.6708455721591986,0.7352930786841171,0.06444750652491849,chr10,124836666,124836667,+,0.7030693254216578,distal pA,CDK11i_24hrs,0.13511891327589792
ABT1,ENSG00000146109.5,PAS17486_AATAAA_0.35,0.9800873187458812,NA,0.1352680593263358,1,0.7130312704393298,0.8625493248479223,0.027523594643984888,0.030960684001088295,0.0034370893571034067,chr6,26600046,26600047,+,0.02924213932253659,distal pA,CDK11i_24hrs,0.008933914968739964
ACACB,ENSG00000076555.16,PAS33226_AATAAA_0.25,0.8669848805649332,NA,0.09506243872306186,1,0.7578373482734437,0.8875848516521663,0.8888924170999323,0.8677502824637969,-0.021142134636135346,chr12,109268222,109268223,+,0.8783213497818646,distal pA,CDK11i_24hrs,-0.0422842692722708
ACAD8,ENSG00000151498.12,PAS30738_AATAAA_0.45,0.9554809465823642,NA,0.01149172082352834,1,0.9146307564032136,0.9614732924213635,0.8288384342335023,0.8348947953516216,0.006056361118119247,chr11,134265849,134265850,+,0.831866614792562,distal pA,CDK11i_24hrs,0.012112722236238271
ACADSB,ENSG00000196177.13,PAS27953_AATAAA_0.2,0.9353320502613478,NA,0.2784095639315183,1,0.5977455445356404,0.789569024051619,0.22713766558716042,0.2599810061717427,0.03284334058458227,chr10,123058288,123058289,+,0.24355933587945156,distal pA,CDK11i_24hrs,0.06139932157687267
ACAT1,ENSG00000075239.14,PAS30478_AATAAA_0.4,0.7572444254774063,NA,0.27260938127892587,1,0.6015867241803141,0.792208335545605,0.9701281621073354,0.9637789548844996,-0.006349207222835829,chr11,108147591,108147592,+,0.9669535584959175,distal pA,CDK11i_24hrs,-0.012698414445671595
ACER3,ENSG00000078124.13,PAS30308_APA_0.25,0.12813130872504616,NA,4.346269796926208,1,0.037090099386014076,0.1345774204903166,0.308751189912189,0.42655009936803506,0.11779890945584609,chr11,77022926,77022927,+,0.367650644640112,distal pA,CDK11i_24hrs,0.15799886506884855
ACO2,ENSG00000100412.17,PAS51084_APA_0.15,0.0018820843659989777,1.9545161629071876e-4,16.252407943753497,1,5.543909116235401e-5,6.954425850974935e-4,0.9117024186047392,0.8339638407679869,-0.07773857783675231,chr22,41528972,41528973,+,0.8728331296863631,distal pA,CDK11i_24hrs,-0.14421666519032916
ACOT13,ENSG00000112304.11,PAS17435_APA_0.3,0.4689997879471544,NA,1.1578935824818473,1,0.2819028216025523,0.5196429019833307,0.04992026583024545,0.0816964191682169,0.03177615333797146,chr6,24704970,24704971,+,0.06580834249923118,distal pA,CDK11i_24hrs,0.06355230667594292
ACP1,ENSG00000143727.16,PAS5154_AATAAA_0.15,0.00524785349308136,0,10.880689779394743,1,9.71720503813697e-4,0.007717950923515859,0.533970808899445,0.6109626151873659,0.0769918062879209,chr2,278279,278280,+,0.5724667120434055,distal pA,CDK11i_24hrs,0.1539836125758418
ACSL3,ENSG00000123983.15,PAS7025_APA_0.25,3.5108032537123576e-13,0.01617992989690929,9.297484607042861,1,0.002294687108703757,0.015546793438742918,0.24301799629050228,0.18109171549986872,-0.06192628079063356,chr2,222943144,222943145,+,0.2120548558951855,distal pA,CDK11i_24hrs,-0.2457190551779182
ACSS2,ENSG00000131069.20,PAS48995_AATAAA_0.25,0.2017869544986954,NA,2.9555414423286948,1,0.08558363592948477,0.24101960760716,0.804341721400541,0.7057838063488612,-0.09855791505167988,chr20,34927956,34927957,+,0.7550627638747012,distal pA,CDK11i_24hrs,-0.19711583010335984
ACSS3,ENSG00000111058.8,PAS33027_AATAAA_0.4,0.6157209286902255,NA,0.6304017723389848,1,0.4272079794772933,0.6610997513116336,0.381658664443907,0.47460779207561576,0.09294912763170876,chr12,81256755,81256756,+,0.4281332282597614,distal pA,CDK11i_24hrs,0.18589825526341758
ACTN4,ENSG00000130402.14,PAS46782_AATAAA_0.2,0.43996799138208564,NA,1.2917591054283548,1,0.2557240228730192,0.48980217427046024,0.39971015859053693,0.3824174133574189,-0.017292745233118023,chr19,38730529,38730530,+,0.39106378597397795,distal pA,CDK11i_24hrs,-0.0345854904662361
ACTR10,ENSG00000131966.14,PAS36703_APA_0.2,0.8228768747477955,NA,0.15710682337703474,1,0.6918342839702645,0.8494488032446618,0.02667683051337988,0.02216536598984542,-0.004511464523534459,chr14,58235632,58235633,+,0.02442109825161265,distal pA,CDK11i_24hrs,-0.009022929047068917
ACTR2,ENSG00000138071.15,PAS5751_AATAAA_0.25,0.09922654679718412,NA,7.434864266728255,1,0.006397218883224656,0.035950192536190244,0.9070237239779507,0.8678219331853908,-0.03920179079255992,chr2,65271250,65271251,+,0.8874228285816708,distal pA,CDK11i_24hrs,-0.06753307224717306
ACTR3,ENSG00000115091.12,PAS6208_AATAAA_0.2,0.3424186576994355,NA,0.5565702694020729,1,0.45564544332661855,0.6837851430833283,0.5941486290341053,0.5758647735252425,-0.0182838555088628,chr2,113958254,113958255,+,0.5850067012796738,distal pA,CDK11i_24hrs,-0.03369211726403276
ACTR6,ENSG00000075089.10,PAS33123_AATAAA_0.25,0.8948846212644757,NA,0.06332382324126229,1,0.801317596519608,0.9100951641196506,0.7608488077693835,0.7710054367191649,0.010156628949781421,chr12,100224422,100224423,+,0.7659271222442742,distal pA,CDK11i_24hrs,0.02031325789956273
ACVR2A,ENSG00000121989.15,PAS6369_AATAAA_0.25,0.19588570851111278,NA,3.015598320683125,1,0.08246701719518962,0.2350470773878201,0.500515127304964,0.337154235412051,-0.16336089189291297,chr2,147930821,147930822,+,0.41883468135850743,distal pA,CDK11i_24hrs,-0.32672178378582595
ACVR2B,ENSG00000114739.14,PAS9431_AATAAA_0.2,0.7269793228070086,NA,1.044181031556036,1,0.3068510643772931,0.5487814776927376,0.3342150411039575,0.2851979820563614,-0.04901705904759612,chr3,38493139,38493140,+,0.30970651158015944,distal pA,CDK11i_24hrs,-0.0863615071919066
ADAM9,ENSG00000168615.13,PAS22818_ATTAAA_0.3,0.54322230140533,NA,0.8684991722475388,1,0.3513711365122233,0.5918002933199313,0.02991954569675126,0.04012386370868248,0.010204318011931224,chr8,39105257,39105258,+,0.03502170470271687,distal pA,CDK11i_24hrs,0.020408636023862337
ADAMTSL1,ENSG00000178031.18,PAS24853_APA_0.2,2.8920497864213343e-8,1.2849674876321733e-4,18.36645757779479,1,1.8223801634247174e-5,2.675525287118739e-4,0.48611109446763634,0.2384613661338827,-0.24764972833375365,chr9,18910946,18910947,+,0.3622862303007595,distal pA,CDK11i_24hrs,-0.16421067281473478
ADAMTSL4,ENSG00000143382.16,PAS1526_ATTAAA_0.25,0.08268379361669459,NA,4.938073127732395,1,0.026271308046985485,0.10487132812538322,0.8730546305049284,0.6650244453472066,-0.20803018515772176,chr1,150560931,150560932,+,0.7690395379260675,distal pA,CDK11i_24hrs,-0.41606037031544346
ADAP2,ENSG00000184060.11,PAS42559_AATAAA_0.35,0.5886864149017783,NA,0.7162455975123407,1,0.3973781893608187,0.6372858614988312,0.8041153552542658,0.7339275635642406,-0.0701877916900252,chr17,30959190,30959191,+,0.7690214594092533,distal pA,CDK11i_24hrs,-0.14037558338005032
ADARB1,ENSG00000197381.18,PAS50348_AATAAA_0.15,1.031609628103156e-22,3.161622667553759e-25,111.5498357587494,1,4.483909895806806e-26,1.3687769472501568e-23,0.7703510833414394,0.5265578713840227,-0.24379321195741677,chr21,45226558,45226559,+,0.648454477362731,distal pA,CDK11i_24hrs,-0.45681381411036803
ADCY7,ENSG00000121281.13,PAS40571_ATTAAA_0.35,0.011244829743706705,0.009063581949775619,9.089472731062187,1,0.0025708497862902426,0.01717331903071422,0.8051787500342055,0.627216495931133,-0.17796225410307243,chr16,50318131,50318132,+,0.7161976229826692,distal pA,CDK11i_24hrs,-0.3317434257628731
ADD3,ENSG00000148700.15,PAS27811_AATAAA_0.25,0.8176343089602208,NA,0.16538822780876217,1,0.6842433879727166,0.8447988352109053,0.3274875786207242,0.3160847734653991,-0.011402805155325102,chr10,110135563,110135564,+,0.32178617604306164,distal pA,CDK11i_24hrs,-0.022805610310650315
ADGRG6,ENSG00000112414.15,PAS18361_AATAAA_0.3,0.6915005896826393,NA,0.42237987717635406,1,0.5157519143424998,0.7344732173353846,0.8328231907865488,0.8699090201146443,0.037085829328095565,chr6,142446254,142446255,+,0.8513661054505965,distal pA,CDK11i_24hrs,0.07417165865619094
