gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition
ABCC3,ENSG00000108846,PAS43063_None_0.1,0.0018944289093658813,0.007545036360939955,10.714727587798052,1,0.00106286105592327,0.009418707382221904,0.18237167742278937,0.07167098241646191,-0.11070069500632744,chr17,50667924,50667925,+,0.12702132991962564,2,ALE,distal pA,U2OS
ABI2,ENSG00000138443,PAS6853_AATAAA_0.2,5.97595314048675e-10,1.1734246346511432e-11,48.49816486669852,1,3.305981009417741e-12,3.186183019662239e-10,0.4385850824896682,0.7191100531816401,0.2805249706919719,chr2,203432167,203432168,+,0.5788475678356542,2,TUTR,distal pA,U2OS
ACP1,ENSG00000143727,PAS5154_AATAAA_0.15,1.8755438542541651e-10,0,48.49234855545001,1,3.3158006827137775e-12,3.186183019662239e-10,0.3547616034675836,0.6226599394233545,0.2678983359557709,chr2,278279,278280,+,0.48871077144546904,2,TUTR,distal pA,U2OS
ACSF3,ENSG00000176715,PAS41025_None_0.25,0.04429924496631395,0.03142066152982649,6.852367562830864,1,0.008852388747729938,0.04698178483336932,0.09064266276426614,0.27845919101815453,0.1878165282538884,chr16,89155760,89155761,+,0.18455092689121033,2,TUTR,distal pA,U2OS
ADCY7,ENSG00000121281,PAS40571_ATTAAA_0.35,0.009792510564585933,0.047374125607834064,6.122514268750592,1,0.013347082971701228,0.06300163758061715,0.8735411508978878,0.7268986515608531,-0.14664249933703466,chr16,50318131,50318132,+,0.8002199012293705,2,TUTR,distal pA,U2OS
ADO,ENSG00000181915,PAS27252_AATAAA_0.25,9.488037844736554e-5,0,20.204352474988585,1,6.959440961909453e-6,1.5257156645086828e-4,0.43308101243923874,0.700138160996372,0.2670571485571333,chr10,62808470,62808471,+,0.5666095867178054,2,TUTR,distal pA,U2OS
AGGF1,ENSG00000164252,PAS15004_AATAAA_0.4,6.109597490892815e-5,2.807313895052081e-6,25.716346086170688,1,3.954632513436165e-7,1.2372230852817835e-5,0.26860503168731426,0.5313567722542304,0.26275174056691614,chr5,77064090,77064091,+,0.3999809019707723,2,TUTR,distal pA,U2OS
AGPAT5,ENSG00000155189,PAS22526_AATAAA_0.2,9.02255630047362e-4,8.908436172636412e-4,14.708308166242205,1,1.254921702709173e-4,0.0017469737870828166,0.04132299058647382,0.204081632653061,0.1627586420665872,chr8,6761448,6761449,+,0.12270231161976741,2,TUTR,distal pA,U2OS
AKAP12,ENSG00000131016,PAS18440_AATAAA_0.25,0.006553523862214796,0,10.763256026591534,1,0.0010353507700320535,0.009218484172644,0.23334230824267865,0.397376737416885,0.16403442917420635,chr6,151358532,151358533,+,0.31535952282978186,2,TUTR,distal pA,U2OS
AKIRIN1,ENSG00000174574,PAS666_AATAAA_0.1,0.015154681446135578,0,8.806681652122279,1,0.003001293880530518,0.02096938000193135,0.5048201875397277,0.3991171979793207,-0.10570298956040702,chr1,39005884,39005885,+,0.4519686927595242,2,TUTR,distal pA,U2OS
ALG1,ENSG00000033011,PAS40211_APA_0.15,2.061704492896565e-4,1.0268297576282074e-4,17.486882991041057,1,2.89296779561229e-5,5.172044322153987e-4,0.04629702486942555,0.24468135707231145,0.19838433220288587,chr16,5087376,5087377,+,0.1454891909708685,2,TUTR,distal pA,U2OS
ALG6,ENSG00000088035,PAS943_AATAAA_0.35,0.006998528398999338,0,10.6170645226872,1,0.0011204878181241492,0.009857894609156455,0.9648013165895872,0.8083080419499766,-0.1564932746396107,chr1,63437197,63437198,+,0.8865546792697819,2,ALE,distal pA,U2OS
AMDHD2,ENSG00000162066,PAS40123_APA_0.25,7.601824930787283e-4,0,15.65021014832837,1,7.620411299811212e-5,0.0011492882213016125,0.641545691453832,0.8342175709986649,0.1926718795448329,chr16,2531414,2531415,+,0.7378816312262484,2,TUTR,distal pA,U2OS
ANKHD1,ENSG00000131503,PAS15518_AATAAA_0.2,0.0010303657824172173,0,14.958922104512794,1,1.0987726135613356e-4,0.001564931389362911,0.4208752355969685,0.6581359870246297,0.2372607514276612,chr5,140539848,140539849,+,0.5395056113107991,2,ALE,distal pA,U2OS
ANTXR1,ENSG00000169604,PAS5779_AATAAA_0.1,3.6740077622230593e-19,1.5307816037230194e-16,72.79611324896905,1,1.4375969170441243e-17,3.4874687177736e-15,0.6165627959278833,0.2942372255028404,-0.3223255704250429,chr2,69249167,69249168,+,0.45540001071536185,2,ALE,distal pA,U2OS
