gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition
AARD,ENSG00000205002,PAS23324_AATAAA_0.35,0.01788733567557333,0,6.786773029539802,1,0.009183576876432797,0.02227358864116246,0.7418920542689196,0.42470552635153574,-0.31718652791738383,chr8,116943997,116943998,+,0.5832987903102277,2,TUTR,distal pA,siCFIM25_DMSO
AASDHPPT,ENSG00000149313,PAS30468_AATAAA_0.3,1.2561202622843118e-13,0,59.38617630052204,1,1.2957611384116272e-14,2.1154941271523635e-13,0.4480471837241999,0.15008504194517036,-0.2979621417790295,chr11,106098692,106098693,+,0.2990661128346851,2,TUTR,distal pA,siCFIM25_DMSO
ABCC1,ENSG00000103222,PAS40309_APA_0.2,0.04023015487172914,0,5.196041247889411,1,0.022638388924860597,0.04858945631580872,0.925463848949122,0.7829652881866401,-0.1424985607624818,chr16,16143051,16143052,+,0.854214568567881,2,TUTR,distal pA,siCFIM25_DMSO
ABCE1,ENSG00000164163,PAS13297_AATAAA_0.2,5.888566009631749e-17,1.0141257967121303e-10,42.862445318057325,1,5.872728479579517e-11,6.601937506524871e-10,0.8775785045534356,0.6689210846607958,-0.20865741989263975,chr4,145129158,145129159,+,0.7732497946071157,2,TUTR,distal pA,siCFIM25_DMSO
ABHD13,ENSG00000139826,PAS35732_AATAAA_0.35,0.03279758019813233,0,5.594589940294412,1,0.01801602778141983,0.03987229140639634,0.5991946069169373,0.2665059453484383,-0.33268866156849897,chr13,108230907,108230908,+,0.4328502761326878,2,TUTR,distal pA,siCFIM25_DMSO
ABHD18,ENSG00000164074,PAS13219_APA_0.15,2.12253903129326e-4,0,15.797378722243366,1,7.050011299206805e-5,2.9460418033857563e-4,0.7536380244250923,0.2420008097298112,-0.5116372146952811,chr4,128039708,128039709,+,0.49781941707745175,2,TUTR,distal pA,siCFIM25_DMSO
ABHD5,ENSG00000011198,PAS9495_AATAAA_0.35,6.9760568249888895e-12,0.0011573251469605805,12.86324353562668,1,3.350992733211306e-4,0.0011873238822863474,0.2916664708817697,0.11111130460156632,-0.1805551662802034,chr3,43719869,43719870,+,0.20138888774166802,4,TUTR,distal pA,siCFIM25_DMSO
ABI2,ENSG00000138443,PAS6853_AATAAA_0.2,6.23880673838762e-49,3.690400527594063e-47,209.1201702403523,1,2.1370840136126566e-47,2.7684225712789752e-45,0.5333410505755178,0.117040990204879,-0.4163000603706388,chr2,203432167,203432168,+,0.3251910203901984,2,TUTR,distal pA,siCFIM25_DMSO
ABLIM3,ENSG00000173210,PAS15637_APA_0.15,8.99115383823052e-8,0,31.724191004053186,1,1.7769499301591675e-8,1.3876227032076744e-7,0.7199824741563751,0.280454052080213,-0.4395284220761621,chr5,149260435,149260436,+,0.5002182631182941,2,MIXED,distal pA,siCFIM25_DMSO
ACACB,ENSG00000076555,PAS33226_AATAAA_0.25,0.0033706374691839912,0,10.136065972741562,1,0.0014539613698433631,0.0044012575993445865,0.8355581111858222,0.5362633150031382,-0.29929479618268406,chr12,109268222,109268223,+,0.6859107130944802,2,TUTR,distal pA,siCFIM25_DMSO
ACADSB,ENSG00000196177,PAS27951_AATAAA_0.15,4.133098206105996e-4,0.005471123862561052,8.70792986149604,1,0.003168287901475197,0.008751986116073097,0.7515632485995615,0.5546265809516291,-0.1969366676479324,chr10,123055135,123055136,+,0.6530949147755953,2,TUTR,distal pA,siCFIM25_DMSO
ACER3,ENSG00000078124,PAS30310_ATTAAA_0.2,1.1658671572435443e-5,0.011694719671304156,9.327466696733609,1,0.002257442271857265,0.0064998768862097114,0.189393939393939,0.03571430694247835,-0.15367963245146066,chr11,77026795,77026796,+,0.11255412316820868,2,TUTR,distal pA,siCFIM25_DMSO
ACP1,ENSG00000143727,PAS5154_AATAAA_0.15,1.1484864284640252e-43,0,200.02599457905308,1,2.0613858972393537e-45,2.4010815060241107e-43,0.5513420110682781,0.1899977141206141,-0.361344296947664,chr2,278279,278280,+,0.37066986259444606,2,TUTR,distal pA,siCFIM25_DMSO
ACSL3,ENSG00000123983,PAS7025_APA_0.25,5.85397931196359e-38,3.041618884659738e-17,73.76329817657552,1,8.806896494438845e-18,1.9103660768296846e-16,0.3688387875846057,0.1083227724160211,-0.2605160151685846,chr2,222943144,222943145,+,0.2385807800003134,4,TUTR,distal pA,siCFIM25_DMSO
ACVR2B,ENSG00000114739,PAS9431_AATAAA_0.2,2.267100797593711e-5,1.7608099505995705e-4,15.099927231077343,1,1.0196721922998696e-4,4.088422405978737e-4,0.24661577937866908,0.10048324919664908,-0.14613253018202,chr3,38493139,38493140,+,0.17354951428765908,2,TUTR,distal pA,siCFIM25_DMSO
ADAMTSL1,ENSG00000178031,PAS24853_APA_0.2,0.0010894792372939234,0,12.419682605994751,1,4.248324363175841e-4,0.0014703127090631794,0.6295960253498873,0.2851345423688225,-0.3444614829810648,chr9,18910946,18910947,+,0.45736528385935493,2,ALE,distal pA,siCFIM25_DMSO
ADARB1,ENSG00000197381,PAS50348_AATAAA_0.15,7.691626437267634e-8,5.3638496463819975e-8,30.64004242971714,1,3.1061661857549396e-8,2.338651249361718e-7,0.8214039625230116,0.5948165803701813,-0.22658738215283036,chr21,45226558,45226559,+,0.7081102714465964,2,MIXED,distal pA,siCFIM25_DMSO
ADGRG6,ENSG00000112414,PAS18361_AATAAA_0.3,5.4156165869016176e-6,0,23.338068967742856,1,1.3588375956332386e-6,7.882851431160586e-6,0.8763912476121519,0.5786489402274915,-0.29774230738466045,chr6,142446254,142446255,+,0.7275200939198216,2,TUTR,distal pA,siCFIM25_DMSO
