gene_id,feature_id,twostep_gene_padj,twostep_transcript_padj,gene_id.x,lr,df,pvalue,adj_pvalue,gene_id.y,DMSO_96hrs_1,DMSO_96hrs_2,DMSO_96hrs_3,SDMAi_ADMAi_96hrs_1,SDMAi_ADMAi_96hrs_2,SDMAi_ADMAi_96hrs_3,mean_diff,chr,start,end,V5,strand,V7,V8,V9
AAGAB_ENSG00000103591.13,PAS20000_ATTAAA_0.3,0.458482117,NA,AAGAB_ENSG00000103591.13,0.899820386,1,0.342829877,0.487096133,AAGAB_ENSG00000103591.13,0.218281057,0.218281057,0.218281057,0.170966845,0.170966845,0.170966845,-0.047314212,chr15,67201030,67201031,44,-,ENSG00000103591.13,AAGAB,UTR3
AAGAB_ENSG00000103591.13,PAS20001_AATAAA_0.3,0.458482117,NA,AAGAB_ENSG00000103591.13,0.899820386,1,0.342829877,0.487096133,AAGAB_ENSG00000103591.13,0.781718943,0.781718943,0.781718943,0.829033155,0.829033155,0.829033155,0.047314212,chr15,67201672,67201673,592,-,ENSG00000103591.13,AAGAB,UTR3
AARD_ENSG00000205002.4,PAS11605_APA_0.15,1,NA,AARD_ENSG00000205002.4,NA,1,1,NA,AARD_ENSG00000205002.4,NA,NA,NA,NA,NA,NA,NA,chr8,116943256,116943257,12,+,ENSG00000205002.4,AARD,UTR3
AARD_ENSG00000205002.4,PAS11606_AATAAA_0.35,1,NA,AARD_ENSG00000205002.4,NA,1,1,NA,AARD_ENSG00000205002.4,NA,NA,NA,NA,NA,NA,NA,chr8,116943997,116943998,62,+,ENSG00000205002.4,AARD,UTR3
AARS2_ENSG00000124608.5,PAS9647_ATTAAA_0.2,0.613326811,NA,AARS2_ENSG00000124608.5,1.30704013,1,0.252931256,0.390481059,AARS2_ENSG00000124608.5,0.096016377,0.096016377,0.096016377,0.047066251,0.047066251,0.047066251,-0.048950126,chr6,44298968,44298969,33,-,ENSG00000124608.5,AARS2,UTR3
AARS2_ENSG00000124608.5,PAS9648_AATAAA_0.1,0.613326811,NA,AARS2_ENSG00000124608.5,0.227397343,1,0.63346041,0.748715895,AARS2_ENSG00000124608.5,0.566523284,0.566523284,0.566523284,0.622728985,0.622728985,0.622728985,0.056205701,chr6,44299560,44299561,76,-,ENSG00000124608.5,AARS2,UTR3
AARS2_ENSG00000124608.5,PAS9646_APA_0.1,0.613326811,NA,AARS2_ENSG00000124608.5,0.017469329,1,0.894848573,0.937123494,AARS2_ENSG00000124608.5,0.337460339,0.337460339,0.337460339,0.330204764,0.330204764,0.330204764,-0.007255575,chr6,44298731,44298732,152,-,ENSG00000124608.5,AARS2,UTR3
AASDHPPT_ENSG00000149313.11,PAS15340_AATAAA_0.4,0.830327934,NA,AASDHPPT_ENSG00000149313.11,0.107801746,1,0.742660831,0.83141889,AASDHPPT_ENSG00000149313.11,0.431882721,0.431882721,0.431882721,0.405710099,0.405710099,0.405710099,-0.026172622,chr11,106096987,106096988,92,+,ENSG00000149313.11,AASDHPPT,UTR3
AASDHPPT_ENSG00000149313.11,PAS15341_AATAAA_0.3,0.830327934,NA,AASDHPPT_ENSG00000149313.11,0.107801746,1,0.742660831,0.83141889,AASDHPPT_ENSG00000149313.11,0.568117279,0.568117279,0.568117279,0.594289901,0.594289901,0.594289901,0.026172622,chr11,106098692,106098693,147,+,ENSG00000149313.11,AASDHPPT,UTR3
AASS_ENSG00000008311.16,PAS11059_ATTAAA_0.25,0.744773197,NA,AASS_ENSG00000008311.16,0.215170063,1,0.642744992,0.756125285,AASS_ENSG00000008311.16,0.879077001,0.879077001,0.879077001,0.842293136,0.842293136,0.842293136,-0.036783866,chr7,122073551,122073552,50,-,ENSG00000008311.16,AASS,UTR3
