gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition
ACP1,ENSG00000143727,PAS5154_AATAAA_0.15,1.1021316108253042e-4,0,21.97395571252855,1,2.7637551097148304e-6,1.7400611531029003e-4,0.5519364484394217,0.6929696753791884,0.14103322693976672,chr2,278279,278280,+,0.622453061909305,2,TUTR,distal pA,siSam68_DMSO
ADAL,ENSG00000168803,PAS38429_AATAAA_0.15,0.04396022072769019,0,7.790583053795842,1,0.005251924433522212,0.0595054212625372,0.1995511387999004,0.5628607729606933,0.36330963416079287,chr15,43353895,43353896,+,0.3812059558802968,2,ALE,distal pA,siSam68_DMSO
ADO,ENSG00000181915,PAS27252_AATAAA_0.25,0.0413158506262311,0,7.940172257833183,1,0.004834923195038105,0.05641308720029999,0.5616438615108947,0.39230794092804033,-0.1693359205828544,chr10,62808470,62808471,+,0.47697590121946754,2,TUTR,distal pA,siSam68_DMSO
AGFG1,ENSG00000173744,PAS7048_AATAAA_0.2,0.002876743798375018,7.708343611577341e-4,15.167588043957949,1,9.837763712227148e-5,0.003088918592001887,0.20979007302619168,0.3617882449828859,0.15199817195669424,chr2,227561215,227561216,+,0.28578915900453883,2,TUTR,distal pA,siSam68_DMSO
AIG1,ENSG00000146416,PAS18369_AATAAA_0.2,2.585067595579447e-37,5.991538585271997e-20,89.06353103806123,1,3.823346742487533e-21,4.627292289339683e-18,0.7243449618346491,0.3492293562833016,-0.37511560555134754,chr6,143340301,143340302,+,0.5367871590589753,2,ALE,distal pA,siSam68_DMSO
ALDH3A2,ENSG00000072210,PAS42429_APA_0.25,0.030463944559687185,0.0108531554798445,10.225485740229487,1,0.0013851325851952409,0.023365186621705836,0.3178294573658804,0.470929908412288,0.15310045104640757,chr17,19677594,19677595,+,0.3943796828890842,2,MIXED,distal pA,siSam68_DMSO
AP2B1,ENSG00000006125,PAS42660_AATAAA_0.35,9.011902732100744e-13,6.2959887750733974e-15,66.22752700301862,1,4.017623825887815e-16,3.146272117296734e-13,0.613511538259944,0.7891640710790777,0.17565253281913373,chr17,35726408,35726409,+,0.7013378046695109,2,TUTR,distal pA,siSam68_DMSO
ARHGAP35,ENSG00000160007,PAS47014_AATAAA_0.2,4.234593120331838e-7,0.0017083420517598792,13.66897484070978,1,2.1802693667720373e-4,0.0057363490276355995,0.3852257272514512,0.5036546103962583,0.1184288831448071,chr19,47004557,47004558,+,0.44444016882385473,2,TUTR,distal pA,siSam68_DMSO
ASRGL1,ENSG00000162174,PAS29915_AATAAA_0.25,0.013849800358393016,0,10.673029454427024,1,0.001087089324766967,0.01945217766212719,0.8791185956516748,0.684997152711912,-0.19412144293976288,chr11,62393409,62393410,+,0.7820578741817934,2,ALE,distal pA,siSam68_DMSO
ASXL1,ENSG00000171456,PAS48945_AATAAA_0.15,9.691827659130568e-6,0.0021838437410895283,15.819567186230415,1,6.967819479724999e-5,0.002348419765407061,0.4251490488548646,0.3042873460540242,-0.1208617028008404,chr20,32439317,32439318,+,0.3647181974544444,2,ALE,distal pA,siSam68_DMSO
ATG4B,ENSG00000168397,PAS7248_APA_0.2,0.04396022072769019,0,7.792715373488136,1,0.005245729843264518,0.0595054212625372,0.32440274451919315,0.4560727801517002,0.1316700356325071,chr2,241673853,241673854,+,0.3902377623354467,2,MIXED,distal pA,siSam68_DMSO
ATP11A,ENSG00000068650,PAS35766_AATAAA_0.2,0.02157556692462388,0,9.62285324735052,1,0.0019217094500544984,0.030133943355212644,0.6220076738684859,0.9042762460171936,0.2822685721487077,chr13,112887165,112887166,+,0.7631419599428397,2,MIXED,distal pA,siSam68_DMSO
ATP2C1,ENSG00000017260,PAS10146_ATTAAA_0.25,3.5632604560411967e-4,0.001334693320603546,16.20712951524183,1,5.678002165802377e-5,0.0019634089047617415,0.15322469833817542,0.2813547776590337,0.1281300793208583,chr3,131016708,131016709,+,0.21728973799860457,2,ALE,distal pA,siSam68_DMSO
