gene_name,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,internal_to_UTR_shift,is_significant,pA_type,condition
AASDHPPT,PAS30468_AATAAA_0.3,0.03410170706039165,0,6.096803355993643,1,0.013542664455662578,0.047750089553790856,0.5516414467680528,0.7042997905161613,0.1526583437481085,chr11,106098692,106098693,+,0.627970618642107,2,TUTR,NA,TRUE,distal pA,SDMAi_ADMAi
ABHD10,PAS9981_AATAAA_0.2,0.012329264766854052,0,8.319187674019759,1,0.003922845930003227,0.01776666804004747,0.7781882088876072,0.9080623518398698,0.12987414295226263,chr3,111993366,111993367,+,0.8431252803637386,2,TUTR,NA,TRUE,distal pA,SDMAi_ADMAi
ABI2,PAS6853_AATAAA_0.2,6.398991892751587e-8,1.1855601129373652e-4,16.44509806220651,1,5.007950849991927e-5,4.453306831121853e-4,0.3777452545010778,0.6876751633427363,0.30992990884165844,chr2,203432167,203432168,+,0.532710208921907,2,TUTR,NA,TRUE,distal pA,SDMAi_ADMAi
ACP1,PAS5154_AATAAA_0.15,2.670860419383598e-9,0,40.84022090554845,1,1.6519784293026675e-10,5.145710587711633e-9,0.4634947381152881,0.7333974996414975,0.2699027615262094,chr2,278279,278280,+,0.5984461188783927,2,TUTR,NA,TRUE,distal pA,SDMAi_ADMAi
ACSL3,PAS7027_AATAAA_0.35,5.982162568991076e-5,0.019099164734989595,8.268509756542699,1,0.004033860334241026,0.018165001341776905,0.21630099080578025,0.351754324536506,0.13545333373072577,chr2,222944621,222944622,+,0.28402765767114313,2,TUTR,NA,TRUE,distal pA,SDMAi_ADMAi
ADAMTSL1,PAS24853_APA_0.2,0.007050438105580963,0,9.511488069174677,1,0.002041895118079653,0.010439859429069736,0.557245850415028,0.8264495961461312,0.2692037457311032,chr9,18910946,18910947,+,0.6918477232805796,2,ALE,NA,TRUE,distal pA,SDMAi_ADMAi
ADARB1,PAS50348_AATAAA_0.15,3.0034431374347994e-39,6.273722604215942e-15,66.60786288642976,1,3.3126214041725983e-16,2.3616706045264985e-14,0.7340254456622044,0.3892785759720005,-0.3447468696902039,chr21,45226558,45226559,+,0.5616520108171025,2,iAPA,-0.529981157140805,TRUE,distal pA,SDMAi_ADMAi
ADCY7,PAS40571_ATTAAA_0.35,0.0023375613870784363,0,11.858205998635412,1,5.740782013019906e-4,0.003615861938132112,0.9263144099792346,0.7071414951093974,-0.21917291486983723,chr16,50318131,50318132,+,0.8167279525443161,2,TUTR,NA,TRUE,distal pA,SDMAi_ADMAi
ADO,PAS27252_AATAAA_0.25,2.0613554435934623e-4,0,17.022620082614026,1,3.6937149571394586e-5,3.409265925841888e-4,0.40478556456580456,0.7537574789370861,0.3489719143712816,chr10,62808470,62808471,+,0.5792715217514454,2,TUTR,NA,TRUE,distal pA,SDMAi_ADMAi
AFAP1-AS1,PAS12574_AATAAA_0.15,5.397820172080967e-13,9.458815988222003e-12,48.126683730889,1,3.995519506030834e-12,1.6001426786864406e-10,0.6293620468008241,0.9459217358687948,0.31655968906797083,chr4,7778924,7778925,+,0.7876418913348094,2,TUTR,NA,TRUE,distal pA,SDMAi_ADMAi
AGBL5,PAS5344_AATAAA_0.35,0.04193561034208147,0,5.679842417285784,1,0.01716090901899988,0.05795047676077134,0.21376423235205333,0.433464307468782,0.21970007511672868,chr2,27070612,27070613,+,0.32361426991041764,2,ALE,NA,TRUE,distal pA,SDMAi_ADMAi
AGTRAP,PAS204_AATAAA_0.2,2.245883521174623e-7,0,31.524610385283268,1,1.9692848048138405e-8,4.181254258231184e-7,0.015504966743793536,0.2368821309743225,0.221377164230529,chr1,11754791,11754792,+,0.12619354885905804,2,ALE,NA,TRUE,distal pA,SDMAi_ADMAi
AHSA2P,PAS5704_AATAAA_0.3,5.34547043200621e-7,5.953814926240712e-7,27.930556242133434,1,1.257482104668995e-7,2.2032578401721587e-6,0.04351260176336735,0.3516532180553056,0.30814061629193823,chr2,61191201,61191202,+,0.19758290990933647,2,MIXED,NA,TRUE,distal pA,SDMAi_ADMAi
AIF1L,PAS25648_AATAAA_0.2,0.0018888222346626043,0,12.311696596163417,1,4.501286387863592e-4,0.0029299990891485167,0.6868167360083502,0.9441583734607838,0.25734163745243355,chr9,131123142,131123143,+,0.815487554734567,2,TUTR,NA,TRUE,distal pA,SDMAi_ADMAi
