"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"AIMP1","ENSG00000164022","PAS13116_AATAAA_0.2",0.0162628010200583,0.0133895481850542,9.30608496144714,1,0.00228394012014019,0.0131555974143091,0.0735181355039243,0.174068925641869,0.100550790137945,"chr4",106349221,106349222,"+",0.123793530572897,2,"MIXED","distal pA","HCT116_p53plus"
"AP2A2","ENSG00000183020","PAS29386_AATAAA_0.15",2.92140042383063e-09,0,41.4565698984425,1,1.20518844582699e-10,4.88408951244303e-09,0.10780304666936,0.32980406692055,0.22200102025119,"chr11",1012238,1012239,"+",0.218803556794955,2,"MIXED","distal pA","HCT116_p53plus"
"ASB1","ENSG00000065802","PAS7198_AATAAA_0.05",0.00670417865518471,0,10.0759520319762,1,0.00150216985843168,0.00932893798413968,0.79417753905782,0.920046156685486,0.125868617627666,"chr2",238452248,238452249,"+",0.857111847871653,2,"MIXED","distal pA","HCT116_p53plus"
"ATG4B","ENSG00000168397","PAS7248_APA_0.2",9.05948622089457e-19,0,86.8469757199782,1,1.17251186680941e-20,1.68330294070138e-18,0.41393664223675,0.729552173352899,0.315615531116148,"chr2",241673853,241673854,"+",0.571744407794825,2,"MIXED","distal pA","HCT116_p53plus"
"CDK16","ENSG00000102225","PAS51923_ATTAAA_0.35",6.38484357338223e-10,0,44.6875717204621,1,2.31119716811372e-11,1.05727477233158e-09,0.734451075287977,0.884867031438027,0.15041595615005,"chrX",47229992,47229993,"+",0.809659053363002,2,"MIXED","distal pA","HCT116_p53plus"
"CEP350","ENSG00000135837","PAS1918_AATAAA_0.2",0.00817963574212908,0,9.65759854131738,1,0.00188569964530377,0.0113655724490283,0.774157068203562,0.938273061156161,0.1641159929526,"chr1",180114872,180114873,"+",0.856215064679861,2,"MIXED","distal pA","HCT116_p53plus"
"CEP43","ENSG00000213066","PAS18532_AATAAA_0.1",0.000256776409817618,0,17.2644801284663,1,3.25209633691213e-05,0.000379645675316907,0.525329444237167,0.816360438229355,0.291030993992188,"chr6",167042407,167042408,"+",0.670844941233261,2,"MIXED","distal pA","HCT116_p53plus"
"CNIH4","ENSG00000143771","PAS2312_AATAAA_0.2",3.72923678669853e-07,4.56393759588754e-08,31.980849666973,1,1.55699953979015e-08,4.06416030744063e-07,0.0972317646683053,0.271792607683006,0.174560843014701,"chr1",224379448,224379449,"+",0.184512186175656,2,"MIXED","distal pA","HCT116_p53plus"
"CTNND1","ENSG00000198561","PAS29864_ATTAAA_0.1",0.00560355077208598,0,10.512059670883,1,0.00118597990568465,0.00779960956491927,0.179562615375583,0.298070416304336,0.118507800928753,"chr11",57819178,57819179,"+",0.238816515839959,2,"MIXED","distal pA","HCT116_p53plus"
"DCAF11","ENSG00000100897","PAS36417_AATAAA_0.05",1.07881968587788e-11,0,53.0638377053574,1,3.22882332679324e-13,1.8700845834796e-11,0.14563571282104,0.493456009432435,0.347820296611395,"chr14",24125240,24125241,"+",0.319545861126737,2,"MIXED","distal pA","HCT116_p53plus"
"DENND3","ENSG00000105339","PAS23509_AATAAA_0.25",0.000420751621891766,0,16.1826566610789,1,5.7518320808662e-05,0.000618987032944891,0.717310889081634,0.964427184329028,0.247116295247394,"chr8",141195798,141195799,"+",0.840869036705331,2,"MIXED","distal pA","HCT116_p53plus"
"MED17","ENSG00000042429","PAS30400_AATAAA_0.2",0.0490975527583085,0,5.73041632274658,1,0.0166735293582254,0.0621400935347286,0.105246709091355,0.212858478576961,0.107611769485607,"chr11",93813287,93813288,"+",0.159052593834158,2,"MIXED","distal pA","HCT116_p53plus"
"NAT10","ENSG00000135372","PAS29703_AATAAA_0.15",0.00767744254744374,0,9.79699424343471,1,0.00174797344616943,0.0106785430765413,0.681592736676314,0.560386976240667,-0.121205760435647,"chr11",34146906,34146907,"+",0.620989856458491,2,"MIXED","distal pA","HCT116_p53plus"
