"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"ENSG00000258728","ENSG00000258728","PAS24936_AATAAA_0.45",0.0126080263480825,0,9.47449829182494,1,0.00208347857793572,0.0173598753617201,0.434693315197798,0.655873247513674,0.221179932315876,"chr9",34661885,34661886,"+",0.545283281355736,2,"iAPA","distal pA","SKMEL2"
"PVR","ENSG00000073008","PAS46941_ATTAAA_0.15",4.83269329131855e-06,1.26776211039281e-05,23.1731219505891,1,1.48052251356612e-06,4.0217484538165e-05,0.768503898515918,0.635789230462634,-0.132714668053284,"chr19",44663581,44663582,"+",0.702146564489276,2,"iAPA","distal pA","SKMEL2"
"RSAD1","ENSG00000136444","PAS43052_AATAAA_0.05",0.0166496661571297,0,8.8148023115059,1,0.00298796581300802,0.0229280988252059,0.797400385778504,0.659651948439015,-0.137748437339489,"chr17",50485973,50485974,"+",0.72852616710876,2,"iAPA","distal pA","SKMEL2"
"CSNK2A2","ENSG00000070770","PAS41656_AATAAA_0.3",0.00384256436267563,0,12.1372511456361,1,0.000494245722434799,0.00548787382683767,0.895595225370275,0.70603853304875,-0.189556692321525,"chr16",58157909,58157910,"-",0.800816879209513,2,"iAPA","distal pA","SKMEL2"
"DYNLT2B","ENSG00000213123","PAS12348_AATAAA_0.15",0.00153869974732209,0,14.204194698987,1,0.000164004506760104,0.00224714772152675,0.870036327041665,0.546576457922,-0.323459869119665,"chr3",196291220,196291221,"-",0.708306392481833,2,"iAPA","distal pA","SKMEL2"
"PHYKPL","ENSG00000175309","PAS17177_AATAAA_0.4",0.0156282446158212,0.00496569654612855,10.5532949205553,1,0.00115981152486139,0.0108235726073563,0.392017433816707,0.249486452703151,-0.142530981113557,"chr5",178208639,178208640,"-",0.320751943259929,2,"iAPA","distal pA","SKMEL2"
"PLAT","ENSG00000104368","PAS23842_AATAAA_0.4",7.64906504507404e-06,0,25.7959390349779,1,3.7948607716476e-07,1.20093568166918e-05,0.957896562705228,0.844592910246182,-0.113303652459046,"chr8",42175236,42175237,"-",0.901244736475705,2,"iAPA","distal pA","SKMEL2"
"SBDS","ENSG00000126524","PAS21790_AATAAA_0.4",0.00898465453638084,0,10.2215557963182,1,0.0013880871051943,0.0123891816727151,0.721840803557812,0.506656214713216,-0.215184588844596,"chr7",66987777,66987778,"-",0.614248509135514,2,"iAPA","distal pA","SKMEL2"
"TESC","ENSG00000088992","PAS34981_AATAAA_0.2",0.00411745776889293,0,11.9761754906693,1,0.000538850639007833,0.0059007201660558,0.898204828894299,0.535485937386269,-0.36271889150803,"chr12",117038928,117038929,"-",0.716845383140284,2,"iAPA","distal pA","SKMEL2"
"ENSG00000258728","ENSG00000258728","PAS24935_AATAAA_0.35",0.0126080263480825,0,9.47449829182494,1,0.00208347857793572,0.0173598753617201,0.565306684802202,0.344126752486326,-0.221179932315876,"chr9",34650573,34650574,"+",0.454716718644264,2,"iAPA","proximal pA","SKMEL2"
"PVR","ENSG00000073008","PAS46939_APA_0",4.83269329131855e-06,7.50221204892684e-06,24.1827700012363,1,8.76126029396928e-07,2.5029790772179e-05,0.0866142831007967,0.187368056951031,0.100753773850235,"chr19",44660507,44660508,"+",0.136991170025914,2,"iAPA","proximal pA","SKMEL2"
"RSAD1","ENSG00000136444","PAS43051_ATTAAA_0.35",0.0166496661571297,0,8.81480231150545,1,0.00298796581300877,0.0229280988252059,0.202599614221496,0.340348051560985,0.137748437339489,"chr17",50483052,50483053,"+",0.27147383289124,2,"iAPA","proximal pA","SKMEL2"
"CSNK2A2","ENSG00000070770","PAS41661_AATAAA_0.45",0.00384256436267563,0,12.1372511456361,1,0.000494245722434799,0.00548787382683767,0.104404774629725,0.29396146695125,0.189556692321525,"chr16",58163996,58163997,"-",0.199183120790487,2,"iAPA","proximal pA","SKMEL2"
"DYNLT2B","ENSG00000213123","PAS12350_ATTAAA_0.15",0.00153869974732209,0,14.204194698987,1,0.000164004506760104,0.00224714772152675,0.129963672958335,0.453423542078,0.323459869119665,"chr3",196315181,196315182,"-",0.291693607518167,2,"iAPA","proximal pA","SKMEL2"
"PHYKPL","ENSG00000175309","PAS17180_AATAAA_0.3",0.0156282446158212,0.00301646570614469,11.477231638567,1,0.00070453996893212,0.00731779292865467,0.535333814010531,0.688841746251206,0.153507932240676,"chr5",178230922,178230923,"-",0.612087780130869,2,"iAPA","proximal pA","SKMEL2"
"PLAT","ENSG00000104368","PAS23843_APA_0.15",7.64906504507404e-06,0,25.7959390349779,1,3.7948607716476e-07,1.20093568166918e-05,0.042103437294772,0.155407089753818,0.113303652459046,"chr8",42179086,42179087,"-",0.098755263524295,2,"iAPA","proximal pA","SKMEL2"
"SBDS","ENSG00000126524","PAS21791_APA_0.35",0.00898465453638084,0,10.2215557963182,1,0.0013880871051943,0.0123891816727151,0.278159196442188,0.493343785286784,0.215184588844596,"chr7",66993226,66993227,"-",0.385751490864486,2,"iAPA","proximal pA","SKMEL2"
"TESC","ENSG00000088992","PAS34983_AATAAA_0.1",0.00411745776889293,0,11.9761754906693,1,0.000538850639007833,0.0059007201660558,0.101795171105701,0.464514062613731,0.36271889150803,"chr12",117047900,117047901,"-",0.283154616859716,2,"iAPA","proximal pA","SKMEL2"
