"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"ABI2","ENSG00000138443","PAS6853_AATAAA_0.2",0.00667835113504977,0,12.6396270529043,1,0.000377655311424435,0.00853149696552781,0.436356565814636,0.708483525114104,0.272126959299468,"chr2",203432167,203432168,"+",0.57242004546437,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"ACP1","ENSG00000143727","PAS5154_AATAAA_0.15",3.14489146748587e-07,0,34.9450715073676,1,3.3913874320592e-09,4.70627678786153e-07,0.453258064481302,0.707684306754362,0.25442624227306,"chr2",278279,278280,"+",0.580471185617832,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"ACSL5","ENSG00000197142","PAS27843_AATAAA_0.1",1.35685753242089e-05,0,26.6311054800221,1,2.46247158698279e-07,1.85764350910807e-05,0.598921159585486,0.813082283825846,0.21416112424036,"chr10",112428374,112428375,"+",0.706001721705666,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"AP2B1","ENSG00000006125","PAS42660_AATAAA_0.35",0.000558212130140431,8.73386307799604e-05,19.5889699046829,1,9.60219559863846e-06,0.000452794796335796,0.818592001739709,0.929682986245768,0.111090984506059,"chr17",35726408,35726409,"+",0.874137493992738,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"AP5Z1","ENSG00000242802","PAS19983_AATAAA_0.15",0.0208737647339571,0,9.85432260726975,1,0.00169433174773187,0.0262081824800436,0.0611840810203995,0.165164559623125,0.103980478602726,"chr7",4794394,4794395,"+",0.113174320321762,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"ARMCX3","ENSG00000102401","PAS52204_AATAAA_0.3",0.0354440443639455,0,8.52561219582174,1,0.00350182936045295,0.0432106585812816,0.375297359710525,0.622529599094317,0.247232239383792,"chrX",101627841,101627842,"+",0.498913479402421,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"ARPC5L","ENSG00000136950","PAS25478_AATAAA_0.3",0.0107885125673654,0.00125589580867144,14.5282169191114,1,0.000138075867444677,0.00408923468401706,0.11847507166032,0.231554910174979,0.113079838514658,"chr9",124877731,124877732,"+",0.175014990917649,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"C6orf89","ENSG00000198663","PAS17744_ATTAAA_0.1",0.00142811237290197,7.3415985813484e-05,21.2477895366501,1,4.03575513809e-06,0.00021077056672799,0.416995556258775,0.631187933056539,0.214192376797764,"chr6",36928961,36928962,"+",0.524091744657657,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"CAPN5","ENSG00000149260","PAS30314_AATAAA_0.3",0.0327499267679606,0,8.71693525436058,1,0.00315267574883577,0.0404558681957604,0.533465690242373,0.683306130262155,0.149840440019782,"chr11",77126149,77126150,"+",0.608385910252264,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"CAST","ENSG00000153113","PAS15149_ATTAAA_0.25",5.94119165222706e-05,0.000116789326857596,21.135162248328,1,4.2800226745989e-06,0.000221149682239648,0.366464582291094,0.558326704341212,0.191862122050119,"chr5",96774678,96774679,"+",0.462395643316153,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"CAV2","ENSG00000105971","PAS20897_AATAAA_0.25",0.0090736634712299,0.00220324221920418,13.4713871930021,1,0.000242229155083468,0.00617588979653756,0.224888087869774,0.396800645736707,0.171912557866934,"chr7",116508539,116508540,"+",0.31084436680324,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"CBLL1","ENSG00000105879","PAS20864_AATAAA_0.25",0.022544731866757,0,9.63468983871258,1,0.00190936445583791,0.0281023732181962,0.624438845614241,0.868448411088573,0.244009565474332,"chr7",107761665,107761666,"+",0.746443628351407,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"CD44","ENSG00000026508","PAS29733_ATTAAA_0.3",0.000686279142057412,0.00320615085878055,12.7685760126328,1,0.000352491072848572,0.00809479499208281,0.299943986899171,0.494190792897308,0.194246805998137,"chr11",35232400,35232401,"+",0.39706738989824,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"CNOT2","ENSG00000111596","PAS32966_AATAAA_0.15",0.0489979089989709,0.0153974082110283,9.85596049142259,1,0.00169282394324299,0.0262081824800436,0.264567065940079,0.384046965062466,0.119479899122387,"chr12",70354991,70354992,"+",0.324307015501272,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"COPZ1","ENSG00000111481","PAS32674_AATAAA_0.2",0.000138068974393827,0,21.4888859799703,1,3.55885310115599e-06,0.000188910923631854,0.639183581887374,0.788787117162255,0.149603535274881,"chr12",54351842,54351843,"+",0.713985349524814,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"DDA1","ENSG00000130311","PAS46437_AATAAA_0.25",0.00614906873490968,0.000599147875208157,15.9258867980766,1,6.58715970113124e-05,0.0023496159760377,0.111231286785917,0.25893133574885,0.147700048962933,"chr19",17323294,17323295,"+",0.185081311267384,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"DNALI1","ENSG00000163879","PAS651_AATAAA_0.15",0.0143996323107378,0,10.732163658608,1,0.00105289263082197,0.0180066884081067,0.271190550395078,0.520818570016285,0.249628019621207,"chr1",37566855,37566856,"+",0.396004560205682,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"DR1","ENSG00000117505","PAS1149_AATAAA_0.35",9.32165627064282e-05,2.7962185002534e-05,23.100995240733,1,1.53711116926081e-06,9.45031512544275e-05,0.383177081367767,0.0874988956824097,-0.295678185685357,"chr1",93362588,93362589,"+",0.235337988525088,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"EFHD2","ENSG00000142634","PAS248_APA_0",0.00499268024453891,0,13.3671619560102,1,0.000256068555414279,0.0064441708479127,0.274749787274073,0.51829120763174,0.243541420357667,"chr1",15430206,15430207,"+",0.396520497452907,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"EIF1","ENSG00000173812","PAS42792_AATAAA_0.35",2.45198526110471e-05,5.78624926937041e-06,24.7994608579138,1,6.36152602471549e-07,4.23259341123879e-05,0.324722306248951,0.438494933544531,0.11377262729558,"chr17",41691640,41691641,"+",0.381608619896741,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"ELP2","ENSG00000134759","PAS45325_AATAAA_0.25",7.71307237183174e-06,0,27.8686569167147,1,1.29836042029782e-07,1.09671940198026e-05,0.0431241124223465,0.390005869648377,0.34688175722603,"chr18",36177928,36177929,"+",0.216564991035362,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"ERVK3-1","ENSG00000142396","PAS47388_APA_0.15",0.00789795083600395,0,12.2146400052967,1,0.000474159592473506,0.0100787445980036,0.21077900985243,0.531508350145358,0.320729340292928,"chr19",58315651,58315652,"+",0.371143679998894,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"FLNB","ENSG00000136068","PAS9735_AATAAA_0.15",1.36677729884659e-05,0,26.5521958030122,1,2.56512999404456e-07,1.86066556243956e-05,0.448833906715738,0.742414400169078,0.29358049345334,"chr3",58172247,58172248,"+",0.595624153442408,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"FOXK2","ENSG00000141568","PAS43587_AATAAA_0.4",0.0369975153557893,0,8.42177515088531,1,0.00370753638888893,0.0451315895760239,0.181318837904787,0.409572436592782,0.228253598687996,"chr17",82604599,82604600,"+",0.295445637248785,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"GPAT4","ENSG00000158669","PAS22833_AATAAA_0.2",0.00360817963328327,0.00115191857894329,14.6910785653311,1,0.000126644388742319,0.00379698639581137,0.0379144727532434,0.172762907452411,0.134848434699167,"chr8",41625000,41625001,"+",0.105338690102827,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"GPX8","ENSG00000164294","PAS14806_AATAAA_0.3",0.0232336506598763,0,9.55112869003983,1,0.00199826506201411,0.0288879573398565,0.286014088869223,0.54415403031878,0.258139941449556,"chr5",55167293,55167294,"+",0.415084059594001,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"HACD3","ENSG00000074696","PAS38688_ATTAAA_0.35",0.00973774734892902,0,11.6401709644979,1,0.000645426704872833,0.012615040263871,0.536299253705375,0.671234643445228,0.134935389739853,"chr15",65578344,65578345,"+",0.603766948575302,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"HCCS","ENSG00000004961","PAS51748_AATAAA_0.25",0.00902728249760793,0,11.8642483965073,1,0.000572218590721597,0.0116599239485209,0.309983991177365,0.593033588159849,0.283049596982485,"chrX",11123073,11123074,"+",0.451508789668607,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"HSBP1","ENSG00000230989","PAS40949_AATAAA_0.15",0.000183266777743902,0,20.8322816481013,1,5.01308387305782e-06,0.000249728701245557,0.22157664008305,0.362991772147056,0.141415132064006,"chr16",83812990,83812991,"+",0.292284206115053,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"HSPA4","ENSG00000170606","PAS15384_AATAAA_0.25",6.76827911857593e-05,0,23.0000496794992,1,1.61997211938561e-06,9.77416718491418e-05,0.151242305517164,0.37011219785618,0.218869892339016,"chr5",133106446,133106447,"+",0.260677251686672,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"HTT","ENSG00000197386","PAS12520_ATTAAA_0.15",2.38910163670217e-10,0,50.1961423440043,1,1.3912103665103e-12,3.75394930563364e-10,0.190654350663821,0.597833065451276,0.407178714787455,"chr4",3243955,3243956,"+",0.394243708057548,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"IFNAR1","ENSG00000142166","PAS50191_AATAAA_0.3",0.0429678698344572,0.0331560491998941,8.45258635551158,1,0.00364524686100887,0.0445407899469688,0.0764940533065994,0.2382134314621,0.161719378155501,"chr21",33359816,33359817,"+",0.15735374238435,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"JPT2","ENSG00000206053","PAS40081_AATAAA_0.15",1.6146926399926e-10,1.18728621081485e-11,51.6817565949718,1,6.52663908627835e-13,1.92120521466994e-10,0.237280983124632,0.527999452062144,0.290718468937512,"chr16",1702075,1702076,"+",0.382640217593388,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
"KCMF1","ENSG00000176407","PAS5910_AATAAA_0.2",0.000169752997963374,0,21.0162134968314,1,4.55413092905422e-06,0.000231616899711166,0.0317596527190624,0.180696977905926,0.148937325186863,"chr2",85055243,85055244,"+",0.106228315312494,2,"TUTR","distal pA","Tempus_EGFR_T_DMSO_vs_DMAi"
