"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ABCD1","ENSG00000101986","PAS52448_APA_0.1",0.870468903298114,NA,0.0630012832341151,1,0.801813672973086,0.897499514920637,0.826645399708005,0.848875724941353,0.0222303252333477,"chrX",153744753,153744754,"+",0.837760562324679,0,"ALE","distal pA"
"ABCD3","ENSG00000117528","PAS1169_AATAAA_0.15",0.447953800591719,NA,1.11971830790571,1,0.2899791176151,0.500710639446042,0.885799046713666,0.914740687559993,0.028941640846327,"chr1",94518661,94518662,"+",0.900269867136829,0,"ALE","distal pA"
"ACO2","ENSG00000100412","PAS51084_APA_0.15",0.168320574158962,NA,2.0878273039043,1,0.148477101646171,0.327543850649977,0.77349235146271,0.72218760360715,-0.05130474785556,"chr22",41528972,41528973,"+",0.74783997753493,0,"ALE","distal pA"
"ACTN4","ENSG00000130402","PAS46782_AATAAA_0.2",0.0522503790069443,NA,8.29202935929789,1,0.00398194647226662,0.0262688641857757,0.287639696196625,0.233601315888556,-0.0540383803080699,"chr19",38730529,38730530,"+",0.260620506042591,0,"ALE","distal pA"
"ADAL","ENSG00000168803","PAS38429_AATAAA_0.15",0.80982282801195,NA,0.134743115070506,1,0.713564030324617,0.843665749500134,0.388964470083081,0.434597183084199,0.0456327130011184,"chr15",43353895,43353896,"+",0.41178082658364,0,"ALE","distal pA"
"AGBL5","ENSG00000084693","PAS5344_AATAAA_0.35",0.45553758461206,NA,1.08744693446351,1,0.29703757868159,0.508535756905397,0.217712957583597,0.250926012183024,0.0332130545994267,"chr2",27070612,27070613,"+",0.23431948488331,0,"ALE","distal pA"
"ANKRD12","ENSG00000101745","PAS45162_AATAAA_0.4",0.000464342087782961,0.167039349231658,5.83761227070499,1,0.0156871008180693,0.0711206243583914,0.431732806630302,0.472456838805486,0.0407240321751839,"chr18",9256249,9256250,"+",0.452094822717894,0,"ALE","distal pA"
"ANKRD13D","ENSG00000172932","PAS30130_AATAAA_0.1",0.760322228822052,NA,0.210053386344498,1,0.646725563561207,0.799164436250237,0.540765517974643,0.561397998614611,0.020632480639968,"chr11",67302482,67302483,"+",0.551081758294627,0,"ALE","distal pA"
"AP5M1","ENSG00000053770","PAS36691_ATTAAA_0.25",0.941560632668106,NA,0.013848726454853,1,0.906320729356259,0.955246102661445,0.661627793802833,0.6679424056641,0.00631461186126725,"chr14",57290066,57290067,"+",0.664785099733467,0,"ALE","distal pA"
"ARHGAP5","ENSG00000100852","PAS36484_ATTAAA_0.25",0.0342317773953777,1,0.33646149633887,1,0.561878869407877,0.740267406472379,0.285724483389906,0.31341365220935,0.0276891688194443,"chr14",32157215,32157216,"+",0.299569067799628,0,"ALE","distal pA"
"ARID1B","ENSG00000049618","PAS18468_AATAAA_0.2",0.0437211700295446,1,0.239488917026392,1,0.624575489695614,0.782795637885635,0.776193653296269,0.76365644170301,-0.012537211593259,"chr6",157209256,157209257,"+",0.769925047499639,0,"ALE","distal pA"
"ARL2BP","ENSG00000102931","PAS40637_ATTAAA_0.25",0.69523556461657,NA,1.19216868839521,1,0.274892542250949,0.485772610488363,0.824350755707834,0.78433045369716,-0.0400203020106741,"chr16",57253597,57253598,"+",0.804340604702497,0,"ALE","distal pA"
"ARMC7","ENSG00000125449","PAS43368_AATAAA_0.35",0.498168320130166,NA,0.917190527612547,1,0.338213730860519,0.551291954655586,0.871924953721368,0.908412288165632,0.0364873344442637,"chr17",75130227,75130228,"+",0.8901686209435,0,"ALE","distal pA"
"ARMC8","ENSG00000114098","PAS10219_APA_0.3",0.838716707112256,NA,1.08445727363915,1,0.297702569065823,0.509459171859941,0.559406430628927,0.630337785475158,0.0709313548462315,"chr3",138296516,138296517,"+",0.594872108052042,0,"ALE","distal pA"
"ASPHD1","ENSG00000174939","PAS40452_AATAAA_0.35",0.223309105007503,NA,2.6235041228831,1,0.105291691979276,0.261910650178068,0.0795068409877547,0.150077304769847,0.070570463782092,"chr16",29919861,29919862,"+",0.114792072878801,0,"ALE","distal pA"
"ASRGL1","ENSG00000162174","PAS29915_AATAAA_0.25",0.719256269569404,NA,0.28186749254553,1,0.595479800384524,0.762653303544387,0.581061587331579,0.525977878498862,-0.0550837088327171,"chr11",62393409,62393410,"+",0.553519732915221,0,"ALE","distal pA"
"BLOC1S6","ENSG00000104164","PAS38502_AATAAA_0.3",0.752872201137504,NA,1.01184638019618,1,0.314460909474757,0.526793965909931,0.775682460215285,0.729509736192594,-0.0461727240226915,"chr15",45609705,45609706,"+",0.75259609820394,0,"ALE","distal pA"
"BLZF1","ENSG00000117475","PAS1824_AATAAA_0.35",0.999150733934752,NA,1.61431896685826e-05,1,0.996794221088296,1,0.147464799231741,0.147222469193517,-0.000242330038224159,"chr1",169396042,169396043,"+",0.147343634212629,0,"ALE","distal pA"
"BMERB1","ENSG00000166780","PAS40300_ATTAAA_0.2",0.475291035354113,NA,1.00433118995124,1,0.316264751379133,0.52763086706972,0.439736865801777,0.495202643583155,0.0554657777813778,"chr16",15588257,15588258,"+",0.467469754692466,0,"ALE","distal pA"
"BMP1","ENSG00000168487","PAS22638_AATAAA_0.25",0.197824099297003,NA,3.65441569149152,1,0.0559207668715013,0.171805637919276,0.576765323044677,0.642334652751176,0.0655693297064988,"chr8",22212323,22212324,"+",0.609549987897926,0,"ALE","distal pA"
"BRD3OS","ENSG00000235106","PAS25687_AATAAA_0.25",0.9430015838346,NA,0.0131303536822998,1,0.908771885568646,0.956132695531094,0.136362068064558,0.141991264965384,0.00562919690082631,"chr9",134030458,134030459,"+",0.139176666514971,0,"ALE","distal pA"
"BTD","ENSG00000169814","PAS9256_AATAAA_0.25",0.837019502460186,NA,0.0962991406209426,1,0.756316841647467,0.869077234252152,0.748175323948926,0.775341941684806,0.0271666177358793,"chr3",15645816,15645817,"+",0.761758632816866,0,"ALE","distal pA"
"BTN2A1","ENSG00000112763","PAS17475_AATAAA_0.2",0.782241267872419,NA,0.175482674862451,1,0.675284449790183,0.818415994102795,0.209560399011901,0.179409537943207,-0.0301508610686947,"chr6",26476618,26476619,"+",0.194484968477554,0,"ALE","distal pA"
"BZW2","ENSG00000136261","PAS20102_AATAAA_0.35",0.316166236184414,NA,1.85721722244853,1,0.17294631653369,0.361579706109127,0.829865125197308,0.781350503977152,-0.0485146212201558,"chr7",16706511,16706512,"+",0.80560781458723,0,"ALE","distal pA"
"CDK12","ENSG00000167258","PAS42735_AATAAA_0.4",0.624433969508035,NA,0.618801137432456,1,0.431493139912093,0.636423351382353,0.39743598578313,0.429629634438869,0.0321936486557384,"chr17",39533056,39533057,"+",0.413532810111,0,"ALE","distal pA"
"CDV3","ENSG00000091527","PAS10174_AATAAA_0.2",0.173504465406003,NA,4.18868254605331,1,0.0406947104938993,0.138468688408536,0.52825886695484,0.470820022006191,-0.057438844948649,"chr3",133590259,133590260,"+",0.499539444480515,0,"ALE","distal pA"
"CEP250","ENSG00000126001","PAS49006_AATAAA_0.2",0.564641162046656,NA,0.708427414877406,1,0.399966366859318,0.609484326720645,0.101275011295106,0.122720776086783,0.0214457647916768,"chr20",35517527,35517528,"+",0.111997893690944,0,"ALE","distal pA"
"CEP95","ENSG00000258890","PAS43252_AATAAA_0.3",0.882103324065131,NA,0.416117025275526,1,0.518880959871795,0.708666400016874,0.732076781077662,0.705460623128676,-0.0266161579489855,"chr17",64537941,64537942,"+",0.718768702103169,0,"ALE","distal pA"
"CHD2","ENSG00000173575","PAS39042_ATTAAA_0.3",0.334821170628873,NA,1.28267605372889,1,0.257402060727656,0.465310981510854,0.748393986892805,0.805121467327277,0.0567274804344722,"chr15",93027937,93027938,"+",0.776757727110041,0,"ALE","distal pA"
"CHPF2","ENSG00000033100","PAS21141_AATAAA_0.15",0.793239641429859,NA,0.157216444108826,1,0.691732306957114,0.829585434666616,0.272666506674292,0.242184916655892,-0.0304815900183995,"chr7",151240970,151240971,"+",0.257425711665092,0,"ALE","distal pA"
"CHPT1","ENSG00000111666","PAS33136_AATAAA_0.25",0.103094989582767,NA,0.121869432739913,1,0.727015717432598,0.850128691155084,0.751723639928684,0.73417730653229,-0.0175463333963946,"chr12",101729066,101729067,"+",0.742950473230487,0,"ALE","distal pA"
"CNOT3","ENSG00000088038","PAS47244_AATAAA_0.15",0.114185610270828,NA,4.12546348332307,1,0.0422424478846564,0.14229541174531,0.895624668119173,0.826311747978512,-0.0693129201406609,"chr19",54155679,54155680,"+",0.860968208048842,0,"ALE","distal pA"
"CNOT9","ENSG00000144580","PAS6974_AATAAA_0.2",0.00978494258826892,0.369897714464184,3.77232718249888,1,0.0521070882327767,0.164549870181099,0.682957571029806,0.750434567260598,0.0674769962307921,"chr2",218596429,218596430,"+",0.716696069145202,0,"ALE","distal pA"
"COQ4","ENSG00000167113","PAS25550_AATAAA_0.1",0.140440078072824,NA,3.66063370512393,1,0.0557124391736006,0.171532106578086,0.777501092622549,0.848434898131257,0.0709338055087086,"chr9",128334069,128334070,"+",0.812967995376903,0,"ALE","distal pA"
"COX10","ENSG00000006695","PAS42315_ATTAAA_0.25",0.645997787568221,NA,0.448353887680014,1,0.503117705157044,0.696132379702098,0.180604168986219,0.140575384848628,-0.0400287841375913,"chr17",14217920,14217921,"+",0.160589776917424,0,"ALE","distal pA"
"CPD","ENSG00000108582","PAS42534_AATAAA_0.15",0.65161476179026,NA,0.444520512595773,1,0.504948627617615,0.697817500138725,0.258215985708788,0.286324786324786,0.0281088006159986,"chr17",30467689,30467690,"+",0.272270386016787,0,"ALE","distal pA"
"CREM","ENSG00000095794","PAS27134_APA_0.15",0.893282492575256,NA,0.0425912690241148,1,0.836496808450668,0.917014665876936,0.242621899482393,0.225119245081782,-0.0175026544006117,"chr10",35212462,35212463,"+",0.233870572282088,0,"ALE","distal pA"
"CSNK1G2","ENSG00000133275","PAS46056_AATAAA_0.4",0.834993643801854,NA,0.0987526457383865,1,0.753331673747883,0.86708906194494,0.857368513971001,0.866606571812718,0.00923805784171738,"chr19",1981334,1981335,"+",0.86198754289186,0,"ALE","distal pA"
"CUL4A","ENSG00000139842","PAS35775_ATTAAA_0.05",0.672770890344582,NA,1.86489986783727,1,0.172060348825914,0.360236140623356,0.619861727453521,0.677633873985145,0.0577721465316239,"chr13",113264541,113264542,"+",0.648747800719333,0,"ALE","distal pA"
