"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"AGBL5","ENSG00000084693","PAS5344_AATAAA_0.35",0.00273800469815295,0,12.3624366335248,1,0.000438058599562902,0.00401183484183874,0.130402923030813,0.319763746570155,0.189360823539342,"chr2",27070612,27070613,"+",0.225083334800484,2,"ALE","distal pA","SUM149PT"
"ALG13","ENSG00000101901","PAS52279_AATAAA_0.3",1.8053739889646e-05,2.43689500788693e-05,20.1961586740565,1,6.98931456550095e-06,0.000116732756830716,0.335183382532368,0.73955765154353,0.404374269011162,"chrX",111760643,111760644,"+",0.537370517037949,2,"ALE","distal pA","SUM149PT"
"ANKHD1","ENSG00000131503","PAS15518_AATAAA_0.2",4.92349864894106e-07,0,31.0309802080212,1,2.53942588082488e-08,7.85308756981212e-07,0.594379295584264,0.857507571505182,0.263128275920918,"chr5",140539848,140539849,"+",0.725943433544723,2,"ALE","distal pA","SUM149PT"
"ARHGAP11A","ENSG00000198826","PAS38255_ATTAAA_0.4",6.79666684899445e-21,1.58149206867055e-05,23.6861131859496,1,1.13397843516122e-06,2.41505312960044e-05,0.591155764684256,0.446845344207837,-0.144310420476419,"chr15",32639037,32639038,"+",0.519000554446046,2,"ALE","distal pA","SUM149PT"
"ARHGEF7","ENSG00000102606","PAS35760_ATTAAA_0.2",0.000311852928238987,0,17.1486102516046,1,3.4566222628448e-05,0.000469137761024377,0.926918463457185,0.801421905011265,-0.12549655844592,"chr13",111305730,111305731,"+",0.864170184234225,2,"ALE","distal pA","SUM149PT"
"ARRDC1","ENSG00000197070","PAS25765_AATAAA_0.1",0.00696757404607667,0,10.3434154016104,1,0.00129937363885168,0.00993228890420201,0.816816827043889,0.712858835920575,-0.103957991123314,"chr9",137615358,137615359,"+",0.764837831482232,2,"ALE","distal pA","SUM149PT"
"ATP11A","ENSG00000068650","PAS35766_AATAAA_0.2",5.83008774686981e-09,1.72617592503417e-05,22.1854378061346,1,2.47544241676623e-06,4.83139301658481e-05,0.524974254823361,0.176677295244349,-0.348296959579012,"chr13",112887165,112887166,"+",0.350825775033855,2,"ALE","distal pA","SUM149PT"
"BAIAP2","ENSG00000175866","PAS43519_AATAAA_0.15",1.66125958310959e-29,0,138.064065154747,1,7.05632104476162e-32,2.81111378092047e-29,0.835171547120057,0.322604499206212,-0.512567047913844,"chr17",81116223,81116224,"+",0.578888023163134,2,"ALE","distal pA","SUM149PT"
"C6orf141","ENSG00000197261","PAS17900_AATAAA_0.25",0.0104194229855253,0.00201159552448977,11.8489123531617,1,0.000576950334491604,0.00509438870970585,0.58035598803884,0.85106383515742,0.27070784711858,"chr6",49561911,49561912,"+",0.71570991159813,2,"ALE","distal pA","SUM149PT"
"CAMTA1","ENSG00000171735","PAS113_AATAAA_0.15",0.00152355371654601,0,13.6703214013573,1,0.000217870646763355,0.00224585837930719,0.157856164484486,0.29392392398303,0.136067759498544,"chr1",6888198,6888199,"+",0.225890044233758,2,"ALE","distal pA","SUM149PT"
