"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"ABRAXAS2","ENSG00000165660","PAS27969_AATAAA_0.2",0.0274341979989741,0,7.87673154492978,1,0.00500749011837748,0.0364416330372594,0.904836068211989,0.6549525480285,-0.24988352018349,"chr10",124836666,124836667,"+",0.779894308120244,2,"TUTR"
"AGFG1","ENSG00000173744","PAS7048_AATAAA_0.2",0.0121752192992631,0.00688509800725538,10.0928948231576,1,0.00148842100892305,0.0142125184997404,0.423549508950763,0.25564515375287,-0.167904355197892,"chr2",227561215,227561216,"+",0.339597331351817,2,"TUTR"
"ASF1A","ENSG00000111875","PAS18247_AATAAA_0.35",0.0164699711484979,0,9.08007064417961,1,0.00258410066604726,0.0223376163865474,0.482020366070713,0.679162808221774,0.197142442151061,"chr6",118909164,118909165,"+",0.580591587146244,2,"TUTR"
"CREBL2","ENSG00000111269","PAS32205_ATTAAA_0.15",0.0484319415078741,0,6.57713525149177,1,0.0103297009188833,0.0623694820632658,0.383132516442987,0.583953152782941,0.200820636339954,"chr12",12645106,12645107,"+",0.483542834612964,2,"TUTR"
"DDA1","ENSG00000130311","PAS46437_AATAAA_0.25",0.00985680322561982,0.00128945084599455,13.2080208374864,1,0.000278753581594543,0.00377834361447026,0.208924317562049,0.344655096918441,0.135730779356392,"chr19",17323294,17323295,"+",0.276789707240245,2,"TUTR"
"DNAJA1","ENSG00000086061","PAS24901_APA_0.25",9.10944180212051e-05,4.17489089926036e-06,24.1255926568983,1,9.02528230952206e-07,3.30973159540909e-05,0.162210168172476,0.310457633123977,0.1482474649515,"chr9",33039904,33039905,"+",0.236333900648227,2,"TUTR"
"FAM210B","ENSG00000124098","PAS49249_AATAAA_0.3",0.00492910982315296,0,11.8572929366214,1,0.000574359735806896,0.00666647635104023,0.771568282121593,0.912181770737931,0.140613488616337,"chr20",56368659,56368660,"+",0.841875026429762,2,"TUTR"
"GALNT2","ENSG00000143641","PAS2406_AATAAA_0.1",2.10697539619367e-05,2.22106974162452e-06,25.3419538687485,1,4.80151025044747e-07,1.9070450180764e-05,0.717876538603043,0.849642162274699,0.131765623671656,"chr1",230282120,230282121,"+",0.783759350438871,2,"TUTR"
"GPAT4","ENSG00000158669","PAS22833_AATAAA_0.2",9.4598460237849e-12,5.01556555442849e-13,56.5707143523227,1,5.4213267080406e-14,1.20022149619677e-11,0.0712977238365535,0.28426383063573,0.212966106799177,"chr8",41625000,41625001,"+",0.177780777236142,2,"TUTR"
"IMPACT","ENSG00000154059","PAS45280_AATAAA_0.3",0.0142353870053179,0.00565166732569755,10.4571173747067,1,0.00122177787072133,0.0121214559705175,0.241498679384216,0.100113525248071,-0.141385154136145,"chr18",24451590,24451591,"+",0.170806102316144,2,"TUTR"
"LAMC1","ENSG00000135862","PAS1959_AATAAA_0.15",6.3471877231995e-09,2.92695888356049e-10,44.0728736766796,1,3.16375096618417e-11,3.46996722942493e-09,0.582027555441943,0.753258751985091,0.171231196543148,"chr1",183145590,183145591,"+",0.667643153713517,2,"TUTR"
"MARCHF7","ENSG00000136536","PAS6453_AATAAA_0.25",0.0208677341318879,0.00340226511361944,12.6893150032852,1,0.000367750965033526,0.00470209923740727,0.742543825366648,0.579115415175258,-0.16342841019139,"chr2",159768571,159768572,"+",0.660829620270953,2,"TUTR"
"OGT","ENSG00000147162","PAS52089_AATAAA_0.25",0.00235863162420584,0.000121466165407106,17.6711028960754,1,2.62585648417411e-05,0.000548813186508767,0.797387503244418,0.957121577972404,0.159734074727986,"chrX",71575889,71575890,"+",0.877254540608411,2,"TUTR"
"PAGR1","ENSG00000280789","PAS40447_None_0.1",0.0275451201643496,0,7.8672283324986,1,0.00503387531418914,0.0365169777798126,0.447216741389992,0.574957988605955,0.127741247215962,"chr16",29822488,29822489,"+",0.511087364997974,2,"TUTR"
"POLR2K","ENSG00000147669","PAS23228_AATAAA_0.05",1.23579973241623e-06,0,30.3347633111325,1,3.63551514773664e-08,2.02151551586937e-06,0.505735866945783,0.729877294104007,0.224141427158224,"chr8",100154002,100154003,"+",0.617806580524895,2,"TUTR"
"PRR12","ENSG00000126464","PAS47126_None_0.15",0.0268421492497557,0,7.93172386140668,1,0.004857549630221,0.0355558950669448,0.863033194322003,0.983060310341264,0.120027116019261,"chr19",49626437,49626438,"+",0.923046752331633,2,"TUTR"
"PRSS23","ENSG00000150687","PAS30370_AATAAA_0.25",0.0170521971927116,0,8.98566674515837,1,0.00272105486739057,0.0231038429969136,0.122649131416518,0.254625773447762,0.131976642031245,"chr11",86811228,86811229,"+",0.18863745243214,2,"TUTR"
"RAB8A","ENSG00000167461","PAS46399_None_0.25",0.0413493600597739,0,6.97089249580108,1,0.00828461660212542,0.053398540275983,0.169089297094904,0.289229637223363,0.120140340128459,"chr19",16134229,16134230,"+",0.229159467159133,2,"TUTR"
"RASSF8","ENSG00000123094","PAS32340_AATAAA_0.2",0.00985680322561982,0,10.2565749685814,1,0.00136198306215519,0.0132485821871971,0.586144682978108,0.447039661193592,-0.139105021784516,"chr12",26072867,26072868,"+",0.51659217208585,2,"TUTR"
"RBM33","ENSG00000184863","PAS21172_AATAAA_0.1",0.00181237528098795,0,14.0788930762171,1,0.000175299949175143,0.0026066055875483,0.700965311550704,0.882531197117832,0.181565885567128,"chr7",155781478,155781479,"+",0.791748254334268,2,"TUTR"
"TECPR2","ENSG00000196663","PAS37161_AATAAA_0.35",0.00094186824204938,0,15.6245041065282,1,7.7247049938525e-05,0.00134815836790525,0.158102478033533,0.575675202694066,0.417572724660533,"chr14",102502471,102502472,"+",0.3668888403638,2,"TUTR"
"TMEM14A","ENSG00000096092","PAS17914_AATAAA_0.2",0.0280389215471805,0,7.83290200367787,1,0.00513036652334257,0.0370148049405917,0.634462040873406,0.81823563794457,0.183773597071165,"chr6",52686584,52686585,"+",0.726348839408988,2,"TUTR"
"VASP","ENSG00000125753","PAS46981_AATAAA_0.35",0.000850564244081565,5.53334718310917e-05,19.1693304281343,1,1.19619941333093e-05,0.000287159919405046,0.741556240811829,0.604695830403765,-0.136860410408064,"chr19",45526979,45526980,"+",0.673126035607797,2,"TUTR"
"ABRAXAS2","ENSG00000165660","PAS27967_AATAAA_0.3",0.0274341979989741,0,7.87673154492978,1,0.00500749011837748,0.0364416330372594,0.0951639317880106,0.345047451971501,0.24988352018349,"chr10",124835653,124835654,"+",0.220105691879756,2,"TUTR"
"AGFG1","ENSG00000173744","PAS7046_ATTAAA_0.3",0.0121752192992631,0.0347525617899625,7.14607769092254,1,0.00751281144111069,0.0495035851512654,0.162142860658754,0.284645346759233,0.12250248610048,"chr2",227556666,227556667,"+",0.223394103708994,2,"TUTR"
"AGO1","ENSG00000092847","PAS617_AATAAA_0.2",9.9912077483108e-05,0.000751561021912054,15.5293008210047,1,8.1236259333039e-05,0.00139939406387101,0.226865291077166,0.422280394175339,0.195415103098173,"chr1",35923049,35923050,"+",0.324572842626252,2,"TUTR"
"AGO1","ENSG00000092847","PAS619_APA_0.15",9.9912077483108e-05,0.000511089388967596,16.2590983677615,1,5.52436714172686e-05,0.00101139064593177,0.145634710189256,0.0277668097531729,-0.117867900436083,"chr1",35924295,35924296,"+",0.0867007599712143,2,"TUTR"
"ASF1A","ENSG00000111875","PAS18246_APA_0.2",0.0164699711484979,0,9.08007064418143,1,0.00258410066604469,0.0223376163865474,0.517979633929287,0.320837191778226,-0.197142442151061,"chr6",118907797,118907798,"+",0.419408412853756,2,"TUTR"
"CACYBP","ENSG00000116161","PAS1879_APA_0.35",5.6572262544902e-05,0,21.8984685239066,1,2.8746324627229e-06,8.90316867664567e-05,0.76823933024203,0.636863117365791,-0.131376212876238,"chr1",175010362,175010363,"+",0.70255122380391,2,"TUTR"
"CACYBP","ENSG00000116161","PAS1880_AATAAA_0.35",5.6572262544902e-05,0,21.8984685239066,1,2.8746324627229e-06,8.90316867664567e-05,0.23176066975797,0.363136882634209,0.131376212876238,"chr1",175010799,175010800,"+",0.29744877619609,2,"TUTR"
"CHMP1B","ENSG00000255112","PAS45195_AATAAA_0.3",0.00970684650879464,0.00227443749141272,12.1469272147679,1,0.000491688069237874,0.00597371023144185,0.286006203778328,0.418668476913786,0.132662273135457,"chr18",11853124,11853125,"+",0.352337340346057,2,"TUTR"
"CHMP1B","ENSG00000255112","PAS45194_AATAAA_0.35",0.00970684650879464,0.0169245048911344,8.4458664761205,1,0.00365874074981065,0.028795421766943,0.451745700173693,0.338484197631964,-0.113261502541729,"chr18",11852696,11852697,"+",0.395114948902829,2,"TUTR"
"CHST12","ENSG00000136213","PAS19947_APA_0.35",0.00184097568554577,0,14.0407995127746,1,0.000178886872943605,0.00263698220226979,0.460532192536725,0.23380795621325,-0.226724236323476,"chr7",2434057,2434058,"+",0.347170074374987,2,"TUTR"
"CHST12","ENSG00000136213","PAS19948_APA_0.05",0.00184097568554577,0,14.0407995127755,1,0.000178886872943519,0.00263698220226979,0.539467807463275,0.76619204378675,0.226724236323475,"chr7",2434616,2434617,"+",0.652829925625013,2,"TUTR"
"CREBL2","ENSG00000111269","PAS32204_AATAAA_0.35",0.0484319415078741,0,6.57713525149154,1,0.0103297009188847,0.0623694820632658,0.616867483557013,0.416046847217059,-0.200820636339954,"chr12",12644311,12644312,"+",0.516457165387036,2,"TUTR"
"DDA1","ENSG00000130311","PAS46436_AATAAA_0.1",0.00985680322561982,0.00447037996722241,10.8908454300631,1,0.000966407080054767,0.0100202919705592,0.742900159389759,0.613260941209471,-0.129639218180287,"chr19",17320288,17320289,"+",0.678080550299615,2,"TUTR"
"DNAJA1","ENSG00000086061","PAS24899_AATAAA_0.15",9.10944180212051e-05,0.0013179736967778,13.1670188647331,1,0.00028491965363817,0.0038531837774257,0.667122168447574,0.538445483093922,-0.128676685353652,"chr9",33039065,33039066,"+",0.602783825770748,2,"TUTR"
"DR1","ENSG00000117505","PAS1153_AATAAA_0.2",7.40920425728692e-06,1.08003837977959e-06,28.8593920554267,1,7.7827592926692e-08,3.94249522643475e-06,0.110022755017053,0.276422306595723,0.16639955157867,"chr1",93367345,93367346,"+",0.193222530806388,2,"TUTR"
"DR1","ENSG00000117505","PAS1149_AATAAA_0.35",7.40920425728692e-06,0.000372757296658798,17.627967542503,1,2.68609002123939e-05,0.000559433255641914,0.425428479264582,0.264227352694341,-0.161201126570241,"chr1",93362588,93362589,"+",0.344827915979461,2,"TUTR"
"ENSG00000285816","ENSG00000285816","PAS30015_None_0.2",1.69057664489579e-10,8.84344155887252e-12,50.9326794902395,1,9.55887933152033e-13,1.50363687379376e-10,0.210108479678105,0.582784959293878,0.372676479615772,"chr11",65323542,65323543,"+",0.396446719485992,3,"TUTR"
"ENSG00000285816","ENSG00000285816","PAS30012_AATAAA_0.05",1.69057664489579e-10,0.000458025595891542,16.4668570717001,1,4.95080040132378e-05,0.000925646320776585,0.437461960309605,0.229028843631523,-0.208433116678082,"chr11",65322091,65322092,"+",0.333245401970564,3,"TUTR"
"ENSG00000286235","ENSG00000286235","PAS48783_AATAAA_0.25",0.00579675171844653,0,11.475025055885,1,0.000705376964179141,0.00783715762710188,0.326597741794819,0.536645924348079,0.21004818255326,"chr20",6038043,6038044,"+",0.431621833071449,2,"TUTR"
"ENSG00000286235","ENSG00000286235","PAS48782_AATAAA_0.2",0.00579675171844653,0,11.475025055885,1,0.000705376964179141,0.00783715762710188,0.673402258205181,0.463354075651921,-0.21004818255326,"chr20",6037390,6037391,"+",0.568378166928551,2,"TUTR"
"FAM210B","ENSG00000124098","PAS49248_APA_0.3",0.00492910982315296,0,11.8572929366226,1,0.000574359735806544,0.00666647635104023,0.228431717878407,0.0878182292620693,-0.140613488616337,"chr20",56366436,56366437,"+",0.158124973570238,2,"TUTR"
"FEM1A","ENSG00000141965","PAS46135_ATTAAA_0.15",0.00323881063831147,0,12.7660338667371,1,0.000352970448436441,0.00453250452315537,0.884721709966475,0.634563939007435,-0.25015777095904,"chr19",4795556,4795557,"+",0.759642824486955,2,"TUTR"
"FEM1A","ENSG00000141965","PAS46136_ATTAAA_0.35",0.00323881063831147,0,12.7660338667371,1,0.000352970448436441,0.00453250452315537,0.115278290033525,0.365436060992564,0.25015777095904,"chr19",4801167,4801168,"+",0.240357175513045,2,"TUTR"
"FYTTD1","ENSG00000122068","PAS10746_AATAAA_0.3",0.01656243951194,0.014916479244484,11.2269933470607,1,0.000806161403340174,0.00875355093272641,0.571829480725557,0.441900010950065,-0.129929469775492,"chr3",197784296,197784297,"+",0.506864745837811,2,"TUTR"
"FYTTD1","ENSG00000122068","PAS10743_ATTAAA_0.45",0.01656243951194,0.00335324299675976,14.0163690884629,1,0.000181226081282425,0.00266817463267413,0.186745014687832,0.310921294212413,0.124176279524581,"chr3",197782957,197782958,"+",0.248833154450122,2,"TUTR"
"GALNT2","ENSG00000143641","PAS2404_APA_0.2",2.10697539619367e-05,6.3245049969649e-07,27.7686583088307,1,1.36723196947982e-07,6.36002264401995e-06,0.27380895506329,0.139190275386318,-0.134618679676973,"chr1",230280077,230280078,"+",0.206499615224804,2,"TUTR"
"GATAD1","ENSG00000157259","PAS20647_ATTAAA_0.2",1.83946115022701e-05,4.80382967101329e-07,29.6435689423233,1,5.19246131143625e-08,2.78952535696657e-06,0.54827492886096,0.298428637776932,-0.249846291084028,"chr7",92458833,92458834,"+",0.423351783318946,2,"TUTR"
"GATAD1","ENSG00000157259","PAS20648_AATAAA_0.1",1.83946115022701e-05,0.00291716429924627,12.9771450636908,1,0.000315316399628803,0.00419213153525635,0.155172547481857,0.293192757562871,0.138020210081015,"chr7",92459429,92459430,"+",0.224182652522364,2,"TUTR"
"GHITM","ENSG00000165678","PAS27486_APA_0.2",1.80336316267949e-11,0,54.2024761427165,1,1.80858797238249e-13,3.27601048633828e-11,0.552204513523041,0.787633867705035,0.235429354181994,"chr10",84153173,84153174,"+",0.669919190614038,2,"TUTR"
"GHITM","ENSG00000165678","PAS27485_AATAAA_0.45",1.80336316267949e-11,0,54.2024761427219,1,1.80858797237747e-13,3.27601048633828e-11,0.447795486476959,0.212366132294965,-0.235429354181993,"chr10",84152543,84152544,"+",0.330080809385962,2,"TUTR"
"GNAI3","ENSG00000065135","PAS1300_None_0.25",1.89297851243521e-11,8.4386026959047e-13,56.910670853953,1,4.56064442557809e-14,1.0485096943805e-11,0.286552794429943,0.529850935738913,0.24329814130897,"chr1",109595845,109595846,"+",0.408201865084428,2,"TUTR"
"GNAI3","ENSG00000065135","PAS1296_ATTAAA_0.1",1.89297851243521e-11,4.0821069449111e-07,31.3040621568607,1,2.20617547167582e-08,1.27414626878669e-06,0.482692168472038,0.303300409948207,-0.17939175852383,"chr1",109593507,109593508,"+",0.392996289210122,2,"TUTR"
"GNL3L","ENSG00000130119","PAS51994_APA_0.1",0.0234828332313189,0.00156008357929119,14.9157638600736,1,0.000112419662128553,0.00179016983596794,0.593541545894986,0.320465798664404,-0.273075747230581,"chrX",54562948,54562949,"+",0.457003672279695,2,"TUTR"
"GNL3L","ENSG00000130119","PAS51993_AATAAA_0.25",0.0234828332313189,0.0411953392285621,8.82670613702112,1,0.00296853718532837,0.0247481604258024,0.269353647022708,0.469404028176023,0.200050381153314,"chrX",54561178,54561179,"+",0.369378837599366,2,"TUTR"
"GPAT4","ENSG00000158669","PAS22831_AATAAA_0.15",9.4598460237849e-12,8.74995430133775e-11,46.4376979024282,1,9.45782891943126e-12,1.17779525762292e-09,0.838371707984867,0.607032701793474,-0.231339006191394,"chr8",41621911,41621912,"+",0.72270220488917,2,"TUTR"
"HSPA4L","ENSG00000164070","PAS13208_ATTAAA_0.35",0.00843093742909622,0.00418720055297923,11.0121020747931,1,0.00090518933282591,0.00952600217775858,0.339828965509619,0.650569720250118,0.310740754740499,"chr4",127834070,127834071,"+",0.495199342879869,2,"TUTR"
"HSPA4L","ENSG00000164070","PAS13207_ATTAAA_0.4",0.00843093742909622,0.00262554199551657,11.8793749350726,1,0.000567589867539798,0.00662109395322067,0.480767421975911,0.174089163180769,-0.306678258795142,"chr4",127833368,127833369,"+",0.32742829257834,2,"TUTR"
"IMPACT","ENSG00000154059","PAS45279_APA_0.35",0.0142353870053179,0.0343668571584104,7.16609567329488,1,0.00742942978463519,0.0491499152976351,0.427785069296202,0.582667395264005,0.154882325967803,"chr18",24450862,24450863,"+",0.505226232280104,2,"TUTR"
"IPO9","ENSG00000198700","PAS2055_APA_0.3",2.52173188438029e-08,0.00663876686921086,13.1531661037079,1,0.000287033824966995,0.00386910213343185,0.4771495246618,0.334818156903437,-0.142331367758363,"chr1",201876959,201876960,"+",0.405983840782618,3,"TUTR"
"IPO9","ENSG00000198700","PAS2056_APA_0.3",2.52173188438029e-08,0.0024258691664075,15.0466740904317,1,0.00010488491604258,0.00171297700995771,0.174246715269539,0.304787052672752,0.130540337403213,"chr1",201877987,201877988,"+",0.239516883971146,3,"TUTR"
"KCMF1","ENSG00000176407","PAS5907_AATAAA_0.25",8.9141830448894e-08,3.48870439008317e-09,37.8751752069184,1,7.54188379402868e-10,6.13355243249067e-08,0.900922490051243,0.626549904868839,-0.274372585182405,"chr2",85053769,85053770,"+",0.763736197460041,2,"TUTR"
"KCMF1","ENSG00000176407","PAS5910_AATAAA_0.2",8.9141830448894e-08,3.29765200240454e-07,29.029385654778,1,7.12886659757611e-08,3.67351724888028e-06,0.045776322190192,0.237678298001889,0.191901975811697,"chr2",85055243,85055244,"+",0.14172731009604,2,"TUTR"
"LAMC1","ENSG00000135862","PAS1956_AATAAA_0.2",6.3471877231995e-09,5.93100035756689e-11,47.199762695669,1,6.41082053358579e-12,8.33058255206718e-10,0.363466531670016,0.195059785108461,-0.168406746561554,"chr1",183143010,183143011,"+",0.279263158389239,2,"TUTR"
"LONP2","ENSG00000102910","PAS40557_APA_0.35",6.31212579909429e-05,0.000326653719263267,17.1082813405533,1,3.5308012891171e-05,0.000696188556218546,0.150607270250215,0.317935359979991,0.167328089729775,"chr16",48353183,48353184,"+",0.234271315115103,2,"TUTR"
"LONP2","ENSG00000102910","PAS40556_APA_0.15",6.31212579909429e-05,0.00187466209625523,13.8065155503728,1,0.000202632297009982,0.00291512528369956,0.274914511783756,0.129475322366986,-0.14543918941677,"chr16",48351999,48352000,"+",0.202194917075371,2,"TUTR"
"MARCHF7","ENSG00000136536","PAS6451_AATAAA_0.3",0.0208677341318879,0.00691085292777903,11.3685185178001,1,0.000746994354796708,0.00826116328547146,0.177162842027227,0.318583301735113,0.141420459707886,"chr2",159767764,159767765,"+",0.24787307188117,2,"TUTR"
"MRPL57","ENSG00000173141","PAS35341_ATTAAA_0.3",0.000155017982914098,8.39149499169147e-06,22.7825286801353,1,1.81407402316486e-06,6.17245164368109e-05,0.878969088809958,0.668410448873755,-0.210558639936203,"chr13",21177354,21177355,"+",0.773689768841857,2,"TUTR"
"MRPL57","ENSG00000173141","PAS35342_AATAAA_0.3",0.000155017982914098,6.65609507177125e-05,18.8168336697947,1,1.43891513697751e-05,0.000329544644876747,0.0813944938199336,0.25127851206511,0.169884018245176,"chr13",21178003,21178004,"+",0.166336502942522,2,"TUTR"
"NSUN3","ENSG00000178694","PAS9848_None_0.2",0.0123410204857381,0.00293445638535043,11.6723128008484,1,0.000634371003741902,0.00724346260719622,0.637271662187185,0.317836029395476,-0.319435632791709,"chr3",94126785,94126786,"+",0.477553845791331,2,"TUTR"
