"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ABLIM3","ENSG00000173210","PAS15637_APA_0.15",0.000645553512052002,0,15.3687263404099,1,8.84400111787026e-05,0.000972778103322546,0.752455861725048,0.935968872189903,0.183513010464855,"chr5",149260435,149260436,"+",0.844212366957475,2,"MIXED","distal pA"
"AP2A2","ENSG00000183020","PAS29386_AATAAA_0.15",1.6162695466443e-07,0,33.1493553935588,1,8.53446630508965e-09,2.74872903481173e-07,0.105152134616916,0.291422784016734,0.186270649399818,"chr11",1012238,1012239,"+",0.198287459316825,2,"MIXED","distal pA"
"ARL4A","ENSG00000122644","PAS20096_AATAAA_0.3",6.43566188737355e-05,0.000290451727494791,15.3778138710186,1,8.80156749984215e-05,0.000970363207338983,0.196319014178692,0.406249550679998,0.209930536501306,"chr7",12690724,12690725,"+",0.301284282429345,2,"MIXED","distal pA"
"ASB1","ENSG00000065802","PAS7198_AATAAA_0.05",2.05175852263255e-07,0,32.61342686424,1,1.12435324594019e-08,3.49910330606585e-07,0.684208893921529,0.840045750441726,0.155836856520197,"chr2",238452248,238452249,"+",0.762127322181628,2,"MIXED","distal pA"
"ATG4B","ENSG00000168397","PAS7248_APA_0.2",9.52053544146344e-09,1.88902092801837e-10,42.9125227792192,1,5.72430584247992e-11,2.72946637296577e-09,0.282143775496031,0.532985220797573,0.250841445301542,"chr2",241673853,241673854,"+",0.407564498146802,2,"MIXED","distal pA"
"CDK16","ENSG00000102225","PAS51923_ATTAAA_0.35",2.21536219718103e-14,0,66.1873824867653,1,4.10028931432904e-16,4.25914158246696e-14,0.60181442229156,0.83248869373478,0.230674271443221,"chrX",47229992,47229993,"+",0.71715155801317,2,"MIXED","distal pA"
"CEP43","ENSG00000213066","PAS18532_AATAAA_0.1",0.000257781473915497,0.018920292749723,8.890417958846,1,0.00286671102268531,0.0177304268102599,0.261603503114519,0.431145761168005,0.169542258053487,"chr6",167042407,167042408,"+",0.346374632141262,3,"MIXED","distal pA"
"CGRRF1","ENSG00000100532","PAS36636_AATAAA_0.4",0.000654898782022863,0,15.3266169413382,1,9.04333103101795e-05,0.000986402275532104,0.111246907406996,0.294820853948024,0.183573946541028,"chr14",54539282,54539283,"+",0.20303388067751,2,"MIXED","distal pA"
"CNIH4","ENSG00000143771","PAS2312_AATAAA_0.2",3.50512226356158e-08,3.36436852749186e-09,37.2872192345585,1,1.01950561439147e-09,3.88129746643938e-08,0.0454487020651452,0.153173052476647,0.107724350411502,"chr1",224379448,224379449,"+",0.0993108772708962,2,"MIXED","distal pA"
"CTNND1","ENSG00000198561","PAS29864_ATTAAA_0.1",0.000331171438070326,0,16.7785763089223,1,4.20048693905204e-05,0.000519185481789056,0.145151031178616,0.27451034749559,0.129359316316974,"chr11",57819178,57819179,"+",0.209830689337103,2,"MIXED","distal pA"
"DCAF11","ENSG00000100897","PAS36417_AATAAA_0.05",3.57567061765695e-05,0,21.64359125585,1,3.28305086651137e-06,5.59116751804895e-05,0.161653399011814,0.358520748877617,0.196867349865803,"chr14",24125240,24125241,"+",0.260087073944715,2,"MIXED","distal pA"
"DENND3","ENSG00000105339","PAS23509_AATAAA_0.25",0.00171912488506126,0.000190899605681012,16.1718184755391,1,5.78483653578825e-05,0.000681194902881671,0.528037723767431,0.746004402059556,0.217966678292125,"chr8",141195798,141195799,"+",0.637021062913493,2,"MIXED","distal pA"
"DUSP22","ENSG00000112679","PAS17247_AATAAA_0.2",0.0127231682981824,0,8.89145754526987,1,0.00286507927019494,0.0177273247940858,0.925824818030433,0.776613914834365,-0.149210903196068,"chr6",351352,351353,"+",0.851219366432399,2,"MIXED","distal pA"
"MRPL42","ENSG00000198015","PAS33067_APA_0.15",1.31142179558091e-11,4.66485707221989e-05,21.930406883359,1,2.82718610437569e-06,4.87301253265195e-05,0.372441447042702,0.496273191108559,0.123831744065857,"chr12",93502654,93502655,"+",0.434357319075631,2,"MIXED","distal pA"
"NCOA1","ENSG00000084676","PAS5283_AATAAA_0.25",0.00445829820065497,0,11.17157239557,1,0.000830602026169165,0.00646229800618222,0.613526190011482,0.837950352768187,0.224424162756705,"chr2",24770524,24770525,"+",0.725738271389835,2,"MIXED","distal pA"
