"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ABCD3","ENSG00000117528","PAS1169_AATAAA_0.15",0.344587142313803,NA,2.47775990687319,1,0.115466601606466,0.393144958992364,0.920568559161244,0.864139557276374,-0.0564290018848708,"chr1",94518661,94518662,"+",0.892354058218809,0,"ALE","distal pA"
"ACTN4","ENSG00000130402","PAS46782_AATAAA_0.2",0.336988091898624,NA,2.53773539995746,1,0.111154107577618,0.384800784393792,0.287264838887316,0.33637333086292,0.0491084919756038,"chr19",38730529,38730530,"+",0.311819084875118,0,"ALE","distal pA"
"AGAP3","ENSG00000133612","PAS21139_AATAAA_0.05",0.832744610133749,NA,0.225416391525869,1,0.634943532134331,0.852403259098381,0.748431993166928,0.724908430127848,-0.0235235630390799,"chr7",151144433,151144434,"+",0.736670211647388,0,"ALE","distal pA"
"AGBL5","ENSG00000084693","PAS5344_AATAAA_0.35",0.832744610133749,NA,0.222485517437804,1,0.637152569931372,0.852403259098381,0.142637018260709,0.167670105924663,0.0250330876639543,"chr2",27070612,27070613,"+",0.155153562092686,0,"ALE","distal pA"
"ANKRD12","ENSG00000101745","PAS45162_AATAAA_0.4",0.941775572672997,NA,0.498179032473672,1,0.480301334080509,0.768402344089377,0.475675546297056,0.511220943376444,0.0355453970793878,"chr18",9256249,9256250,"+",0.49344824483675,0,"ALE","distal pA"
"ANKRD13D","ENSG00000172932","PAS30130_AATAAA_0.1",0.62892242848201,NA,0.900743547422962,1,0.342582416987439,0.675019391199997,0.651493800030023,0.719774894196145,0.0682810941661222,"chr11",67302482,67302483,"+",0.685634347113084,0,"ALE","distal pA"
"AP5M1","ENSG00000053770","PAS36691_ATTAAA_0.25",0.744228179685019,NA,0.471490123774856,1,0.492302439547132,0.775454175086888,0.696968438750283,0.749999789695765,0.0530313509454815,"chr14",57290066,57290067,"+",0.723484114223024,0,"ALE","distal pA"
"API5","ENSG00000166181","PAS29757_AATAAA_0.05",0.816043514904044,NA,0.108570929574171,1,0.741777014631176,0.903807890056586,0.853612196426494,0.864823213474023,0.0112110170475295,"chr11",43344528,43344529,"+",0.859217704950258,0,"ALE","distal pA"
"ARHGEF7","ENSG00000102606","PAS35760_ATTAAA_0.2",0.64911618143324,NA,0.834083648066553,1,0.361094351323396,0.692257850553675,0.914892379839656,0.868973273155139,-0.0459191066845177,"chr13",111305730,111305731,"+",0.891932826497397,0,"ALE","distal pA"
"ARL2BP","ENSG00000102931","PAS40637_ATTAAA_0.25",0.967902325222436,NA,0.0117407137247483,1,0.913714433539651,0.973759956928598,0.814291765405375,0.820381690229819,0.00608992482444393,"chr16",57253597,57253598,"+",0.817336727817597,0,"ALE","distal pA"
