gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition
ABI2,ENSG00000138443,PAS6853_AATAAA_0.2,0.0066783511350497725,0,12.639627052904302,1,3.776553114244348e-4,0.008531496965527813,0.43635656581463583,0.7084835251141041,0.27212695929946823,chr2,203432167,203432168,+,0.57242004546437,2,TUTR,distal pA,Tempus_EGFR_T_DMSO_vs_DMAi
ACO2,ENSG00000100412,PAS51084_APA_0.15,1.1268226765923429e-7,5.540057030115348e-7,29.334281472587463,1,6.090857018906406e-8,5.68909471939008e-6,0.9081276678403832,0.7234002392496758,-0.18472742859070743,chr22,41528972,41528973,+,0.8157639535450295,2,ALE,distal pA,Tempus_EGFR_T_DMSO_vs_DMAi
ACP1,ENSG00000143727,PAS5154_AATAAA_0.15,3.1448914674858705e-7,0,34.94507150736763,1,3.3913874320591956e-9,4.70627678786153e-7,0.4532580644813018,0.7076843067543622,0.25442624227306043,chr2,278279,278280,+,0.580471185617832,2,TUTR,distal pA,Tempus_EGFR_T_DMSO_vs_DMAi
ACSL5,ENSG00000197142,PAS27843_AATAAA_0.1,1.3568575324208927e-5,0,26.631105480022143,1,2.462471586982791e-7,1.8576435091080717e-5,0.5989211595854858,0.8130822838258457,0.21416112424035996,chr10,112428374,112428375,+,0.7060017217056658,2,TUTR,distal pA,Tempus_EGFR_T_DMSO_vs_DMAi
AIMP1,ENSG00000164022,PAS13116_AATAAA_0.2,6.111057303034224e-4,0.04169879103871263,8.036479826591403,1,0.004584454143656465,0.05359011739046799,0.1608355640497232,0.2832240141046052,0.12238845005488196,chr4,106349221,106349222,+,0.2220297890771642,2,MIXED,distal pA,Tempus_EGFR_T_DMSO_vs_DMAi
ALG13,ENSG00000101901,PAS52279_AATAAA_0.3,0.04242852027131341,0,8.089334426642267,1,0.00445265112789428,0.052174973529994007,0.1541917565323695,0.3985526046439609,0.24436084811159145,chrX,111760643,111760644,+,0.2763721805881652,2,ALE,distal pA,Tempus_EGFR_T_DMSO_vs_DMAi
AP2A2,ENSG00000183020,PAS29386_AATAAA_0.15,0.010601458599613948,0,11.438432331567128,1,7.19404607759179e-4,0.013622410058036384,0.10251956526998995,0.2471116607735417,0.1445920955035518,chr11,1012238,1012239,+,0.17481561302176585,2,MIXED,distal pA,Tempus_EGFR_T_DMSO_vs_DMAi
AP2B1,ENSG00000006125,PAS42660_AATAAA_0.35,5.582121301404309e-4,8.733863077996035e-5,19.588969904682926,1,9.60219559863846e-6,4.527947963357961e-4,0.8185920017397086,0.9296829862457678,0.11109098450605924,chr17,35726408,35726409,+,0.8741374939927382,2,TUTR,distal pA,Tempus_EGFR_T_DMSO_vs_DMAi
AP5Z1,ENSG00000242802,PAS19983_AATAAA_0.15,0.020873764733957054,0,9.85432260726975,1,0.0016943317477318722,0.02620818248004364,0.06118408102039952,0.16516455962312504,0.10398047860272552,chr7,4794394,4794395,+,0.11317432032176228,2,TUTR,distal pA,Tempus_EGFR_T_DMSO_vs_DMAi
ARHGAP11A,ENSG00000198826,PAS38255_ATTAAA_0.4,0.022629163148739924,0,9.616452350478312,1,0.001928418953232965,0.02816941610782711,0.8561233790929791,0.6256585267526888,-0.23046485234029024,chr15,32639037,32639038,+,0.740890952922834,2,ALE,distal pA,Tempus_EGFR_T_DMSO_vs_DMAi
ARMCX3,ENSG00000102401,PAS52204_AATAAA_0.3,0.03544404436394552,0,8.525612195821736,1,0.003501829360452954,0.04321065858128165,0.37529735971052486,0.6225295990943169,0.24723223938379207,chrX,101627841,101627842,+,0.4989134794024209,2,TUTR,distal pA,Tempus_EGFR_T_DMSO_vs_DMAi
ARPC5L,ENSG00000136950,PAS25478_AATAAA_0.3,0.01078851256736543,0.0012558958086714444,14.5282169191114,1,1.3807586744467748e-4,0.004089234684017064,0.11847507166032044,0.2315549101749785,0.11307983851465808,chr9,124877731,124877732,+,0.17501499091764947,2,TUTR,distal pA,Tempus_EGFR_T_DMSO_vs_DMAi
ATG4B,ENSG00000168397,PAS7248_APA_0.2,0.0015670660624379491,0,16.071317914009796,1,6.100099348785284e-5,0.002211058398287323,0.3986872889217956,0.6182864513800235,0.21959916245822783,chr2,241673853,241673854,+,0.5084868701509095,2,MIXED,distal pA,Tempus_EGFR_T_DMSO_vs_DMAi
ATP11A,ENSG00000068650,PAS35766_AATAAA_0.2,2.2299287522350635e-41,6.1636936319841705e-27,121.23862639832396,1,3.38824820906021e-28,6.582688620562176e-25,0.6494622580782695,0.09384532408030988,-0.5556169339979596,chr13,112887165,112887166,+,0.3716537910792897,2,ALE,distal pA,Tempus_EGFR_T_DMSO_vs_DMAi
BAIAP2,ENSG00000175866,PAS43519_AATAAA_0.15,5.4444886603754246e-6,0,28.667804218540823,1,8.592038916956309e-8,7.657162021955373e-6,0.862160919483212,0.5719747925373551,-0.290186126945857,chr17,81116223,81116224,+,0.7170678560102836,2,ALE,distal pA,Tempus_EGFR_T_DMSO_vs_DMAi
C6orf89,ENSG00000198663,PAS17744_ATTAAA_0.1,0.0014281123729019698,7.341598581348404e-5,21.24778953665009,1,4.035755138089996e-6,2.1077056672799043e-4,0.4169955562587749,0.6311879330565385,0.21419237679776365,chr6,36928961,36928962,+,0.5240917446576567,2,TUTR,distal pA,Tempus_EGFR_T_DMSO_vs_DMAi
CAPN5,ENSG00000149260,PAS30314_AATAAA_0.3,0.032749926767960603,0,8.716935254360578,1,0.0031526757488357657,0.04045586819576041,0.5334656902423733,0.6833061302621551,0.1498404400197818,chr11,77126149,77126150,+,0.6083859102522642,2,TUTR,distal pA,Tempus_EGFR_T_DMSO_vs_DMAi
CAST,ENSG00000153113,PAS15149_ATTAAA_0.25,5.941191652227064e-5,1.1678932685759594e-4,21.13516224832801,1,4.280022674598904e-6,2.2114968223964764e-4,0.3664645822910937,0.5583267043412123,0.19186212205011863,chr5,96774678,96774679,+,0.462395643316153,2,TUTR,distal pA,Tempus_EGFR_T_DMSO_vs_DMAi
CAV2,ENSG00000105971,PAS20897_AATAAA_0.25,0.0090736634712299,0.0022032422192041767,13.4713871930021,1,2.4222915508346807e-4,0.006175889796537558,0.22488808786977357,0.3968006457367073,0.17191255786693377,chr7,116508539,116508540,+,0.31084436680324046,2,TUTR,distal pA,Tempus_EGFR_T_DMSO_vs_DMAi
CBLL1,ENSG00000105879,PAS20864_AATAAA_0.25,0.02254473186675698,0,9.634689838712577,1,0.0019093644558379136,0.028102373218196204,0.6244388456142413,0.8684484110885728,0.2440095654743315,chr7,107761665,107761666,+,0.7464436283514071,2,TUTR,distal pA,Tempus_EGFR_T_DMSO_vs_DMAi
CD44,ENSG00000026508,PAS29733_ATTAAA_0.3,6.862791420574122e-4,0.0032061508587805524,12.76857601263282,1,3.5249107284857203e-4,0.00809479499208281,0.2999439868991709,0.4941907928973082,0.1942468059981373,chr11,35232400,35232401,+,0.39706738989823953,2,TUTR,distal pA,Tempus_EGFR_T_DMSO_vs_DMAi
CDC45,ENSG00000093009,PAS50702_AATAAA_0.1,5.963294633762172e-7,0,33.43415964275363,1,7.371774008070017e-9,9.422291146630544e-7,0.9663285233088352,0.5168425536059972,-0.44948596970283816,chr22,19520597,19520598,+,0.7415855384574161,2,ALE,distal pA,Tempus_EGFR_T_DMSO_vs_DMAi
