gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
ATP6V1A,ENSG00000114573.12,PAS10001_APA_0.2,0.0040727986204532945,6.848593571377199e-4,13.138476685103342,1,2.8929296475782893e-4,0.0020054089007101807,0.06257656500500047,0.01544659095588304,-0.04712997404911743,chr3,113811808,113811809,+
ATP6V1A,ENSG00000114573.12,PAS10002_AATAAA_0.15,0.0040727986204532945,1,0.014611973869250505,1,0.9037860854205778,0.9420445147550398,0.39532761046720094,0.39135365053440574,-0.003973959932795201,chr3,113812053,113812054,+
ATP6V1A,ENSG00000114573.12,PAS9999_APA_0.35,0.0040727986204532945,0.2948301277102368,2.3592775894503575,1,0.12453985019886663,0.2522655066874866,0.5420958245277986,0.5931997585097113,0.05110393398191271,chr3,113810425,113810426,+
QTRT2,ENSG00000151576.10,PAS10005_AATAAA_0.3,1,NA,NA,1,1,NA,NA,NA,NA,chr3,114086044,114086045,+
QTRT2,ENSG00000151576.10,PAS10006_AATAAA_0.3,1,NA,NA,1,1,NA,NA,NA,NA,chr3,114088343,114088344,+
SRSF11,ENSG00000116754.14,PAS1000_AATAAA_0.45,4.902934713397261e-10,1,0.5432048999664403,1,0.4611075385869026,0.6193534747626579,0.03743714689431218,0.030404640798209422,-0.007032506096102755,chr1,70222839,70222840,+
SRSF11,ENSG00000116754.14,PAS1001_AATAAA_0.45,4.902934713397261e-10,1,1.0870139885082608,1,0.29713376069325204,0.46658999353141445,0.04331443613535454,0.05498848093311388,0.01167404479775934,chr1,70228940,70228941,+
SRSF11,ENSG00000116754.14,PAS1002_AATAAA_0.1,4.902934713397261e-10,1,1.2830476977305807,1,0.25733313563954174,0.42159154147821665,0.03119843662695281,0.042209987670387826,0.011011551043435017,chr1,70229185,70229186,+
SRSF11,ENSG00000116754.14,PAS1003_None_0.25,4.902934713397261e-10,1,1.8651521553183557,1,0.17203134347874585,0.31597983577328775,0.3492837370956736,0.3835220004095136,0.03423826331384,chr1,70237533,70237534,+
SRSF11,ENSG00000116754.14,PAS1004_None_0.25,4.902934713397261e-10,1,0.010915784667304251,1,0.9167895241934664,0.9504637539275377,0.02069916976079257,0.01993765910306263,-7.615106577299399e-4,chr1,70243373,70243374,+
SRSF11,ENSG00000116754.14,PAS1005_APA_0.35,4.902934713397261e-10,2.5425949230266945e-4,18.949095711646805,1,1.3425289729097655e-5,1.3939378036363794e-4,0.16660224130166276,0.0902351221917811,-0.07636711910988166,chr1,70250046,70250047,+
