"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ABCD3","ENSG00000117528","PAS1169_AATAAA_0.15",1.40992783158205e-12,0,57.3739042629159,1,3.60356889930712e-14,2.88624461494505e-12,0.765026410707754,0.965749718334191,0.200723307626437,"chr1",94518661,94518662,"+",0.865388064520972,2,"ALE","distal pA"
"ADAMTSL1","ENSG00000178031","PAS24853_APA_0.2",2.89204978642133e-08,0.000128496748763217,18.3664575777948,1,1.82238016342472e-05,0.000267552528711874,0.486111094467636,0.238461366133883,-0.247649728333754,"chr9",18910946,18910947,"+",0.36228623030076,2,"ALE","distal pA"
"ADCY7","ENSG00000121281","PAS40571_ATTAAA_0.35",0.0112448297437067,0.00906358194977562,9.08947273106219,1,0.00257084978629024,0.0171733190307142,0.805178750034205,0.627216495931133,-0.177962254103072,"chr16",50318131,50318132,"+",0.716197622982669,2,"ALE","distal pA"
"AIG1","ENSG00000146416","PAS18369_AATAAA_0.2",0.000547942871168973,0.0318042997721357,8.06590944050004,1,0.0045105829971742,0.0269088209112395,0.622439798328233,0.487202158547786,-0.135237639780447,"chr6",143340301,143340302,"+",0.554820978438009,2,"ALE","distal pA"
"AKR1E2","ENSG00000165568","PAS26831_AATAAA_0.45",2.10407670536242e-07,0,32.3521654521765,1,1.28613803973896e-08,3.90402013976296e-07,0.946641744787366,0.709821357599803,-0.236820387187563,"chr10",4848056,4848057,"+",0.828231551193585,2,"ALE","distal pA"
"ANKDD1A","ENSG00000166839","PAS38680_AATAAA_0.3",0.000386479925345014,0,16.4981119860076,1,4.8698542872359e-05,0.00062284088943233,0.854138371546597,0.571441416020451,-0.282696955526146,"chr15",64958689,64958690,"+",0.712789893783524,2,"ALE","distal pA"
"ANKHD1","ENSG00000131503","PAS15518_AATAAA_0.2",3.93815718913157e-10,0,45.4896972901915,1,1.53443836859818e-11,7.90626699539807e-10,0.222900568278064,0.400575953279689,0.177675385001625,"chr5",140539848,140539849,"+",0.311738260778876,2,"ALE","distal pA"
"ANKRD13D","ENSG00000172932","PAS30130_AATAAA_0.1",0.000748259663532337,0,15.1010285208704,1,0.000101907750422098,0.00118275860407398,0.622315837186017,0.483407526226186,-0.13890831095983,"chr11",67302482,67302483,"+",0.552861681706102,2,"ALE","distal pA"
"ANTXR1","ENSG00000169604","PAS5779_AATAAA_0.1",2.71720563582774e-15,5.08928649387937e-13,56.0079703721085,1,7.21778164949648e-14,5.50832496732092e-12,0.858921430259787,0.551281991691206,-0.307639438568581,"chr2",69249167,69249168,"+",0.705101710975496,2,"ALE","distal pA"
"AP2A1","ENSG00000196961","PAS47137_AATAAA_0.2",0.000599015206160707,0,15.5715625246726,1,7.94404437839198e-05,0.00095346212164737,0.841582972773833,0.638908014379256,-0.202674958394577,"chr19",49807109,49807110,"+",0.740245493576545,2,"ALE","distal pA"
"ARAF","ENSG00000078061","PAS51930_None_0.05",8.65247045072385e-17,0,77.1396663191153,1,1.59285872462087e-18,1.9672413210413e-16,0.950434351999598,0.711020934002464,-0.239413417997134,"chrX",47571905,47571906,"+",0.830727643001031,2,"ALE","distal pA"
"ARMC9","ENSG00000135931","PAS7082_AATAAA_0.35",3.2677820335675e-06,0.0253900613420533,7.22193776309325,1,0.00720179219836258,0.0392447948727882,0.875940790177195,0.704780360397065,-0.17116042978013,"chr2",231345194,231345195,"+",0.79036057528713,2,"ALE","distal pA"
"ARMCX4","ENSG00000196440","PAS52200_ATTAAA_0.2",0.0110734282462805,0,9.262157258152,1,0.00233937304505872,0.0157966262504195,0.161613541809959,0.032101840747105,-0.129511701062854,"chrX",101533458,101533459,"+",0.0968576912785322,2,"ALE","distal pA"
