"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type","condition"
"CCND1","ENSG00000110092","PAS30199_AATAAA_0.05",2.26072512264375e-15,5.2699644954024e-05,21.9464700143471,1,2.80362111155408e-06,8.21311597817123e-05,0.746890851958187,0.624004609148302,-0.122886242809884,"chr11",69654472,69654473,"+",0.685447730553245,2,"iAPA","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ENSG00000258728","ENSG00000258728","PAS24936_AATAAA_0.45",0.0417543312922359,0,6.93177131005268,1,0.00846777838606543,0.055745186509713,0.209872060533228,0.333928134890226,0.124056074356998,"chr9",34661885,34661886,"+",0.271900097711727,2,"iAPA","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ENSG00000273154","ENSG00000273154","PAS49371_AATAAA_0.1",0.000829023595187859,0,15.8894807573779,1,6.71509112102166e-05,0.00120263580746171,0.270543655478069,0.448251641747485,0.177707986269416,"chr20",63739102,63739103,"+",0.359397648612777,2,"iAPA","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"MAP2K5","ENSG00000137764","PAS38730_AATAAA_0.25",0.002735617781649,0.00225224127170545,12.1946139115229,1,0.00047927694261892,0.00595149448218416,0.87383564640389,0.518073321326459,-0.355762325077431,"chr15",67807112,67807113,"+",0.695954483865174,2,"iAPA","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"NBDY","ENSG00000204272","PAS52026_AATAAA_0.25",1.42530327790471e-07,0,34.8026437761534,1,3.64877639143605e-09,2.23295297820304e-07,0.994275080001869,0.754967100454162,-0.239307979547706,"chrX",56817568,56817569,"+",0.874621090228015,2,"iAPA","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"PAPOLA","ENSG00000090060","PAS37098_AATAAA_0.25",0.000500459966162908,0.000320711546989127,18.91749951573,1,1.36494834398573e-05,0.000319251772592545,0.601674276776958,0.731288257126086,0.129613980349128,"chr14",96567108,96567109,"+",0.666481266951522,2,"iAPA","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"PXMP2","ENSG00000176894","PAS33655_AATAAA_0.25",0.00610931312061946,0,11.3305034517127,1,0.000762442277453309,0.00861345178841499,0.918119457693513,0.731211370592537,-0.186908087100976,"chr12",132704982,132704983,"+",0.824665414143025,2,"iAPA","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"RSAD1","ENSG00000136444","PAS43052_AATAAA_0.05",0.0184446008529486,0,8.80353780279665,1,0.00300646993903137,0.0249266678359423,0.793244581470617,0.677212315061225,-0.116032266409392,"chr17",50485973,50485974,"+",0.735228448265921,2,"iAPA","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"TBC1D22A","ENSG00000054611","PAS51192_AATAAA_0.4",1.39762031183922e-07,0.00101334523839452,13.6896481355872,1,0.000215639866730354,0.00313401199283188,0.677877545360692,0.31924252512901,-0.358635020231682,"chr22",47174078,47174079,"+",0.498560035244851,2,"iAPA","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
"ABR","ENSG00000159842","PAS43628_AATAAA_0.25",3.5833260097139e-16,0,76.5473152843551,1,2.14999560582834e-18,6.82348605412542e-16,0.957015288762968,0.667696909402021,-0.289318379360947,"chr17",1003526,1003527,"-",0.812356099082495,2,"iAPA","distal pA","Tempus_KRAS_T_DMSO_vs_DMAi"
