"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ACOT11","ENSG00000162390","PAS893_APA_0.3",0.923859772871948,NA,0.0339848760395398,1,0.853738990540478,0.936026336454042,0.123149336788983,0.132252660272976,0.00910332348399334,"chr1",54611073,54611074,"+",0.12770099853098,0,"ALE","distal pA"
"ACTN4","ENSG00000130402","PAS46782_AATAAA_0.2",0.113555462515978,NA,4.32607832136273,1,0.0375326261339318,0.140442290222568,0.344033673748783,0.392435668276362,0.0484019945275787,"chr19",38730529,38730530,"+",0.368234671012572,0,"ALE","distal pA"
"AGAP3","ENSG00000133612","PAS21139_AATAAA_0.05",0.223050164488085,NA,2.80649087767506,1,0.0938835336927941,0.264159970143983,0.76640298961723,0.703498021269358,-0.0629049683478713,"chr7",151144433,151144434,"+",0.734950505443294,0,"ALE","distal pA"
"AGBL5","ENSG00000084693","PAS5344_AATAAA_0.35",0.488245878665313,NA,1.10519753908738,1,0.293128284620331,0.54053266587987,0.157895472223081,0.197674802255348,0.0397793300322675,"chr2",27070612,27070613,"+",0.177785137239215,0,"ALE","distal pA"
"AIG1","ENSG00000146416","PAS18369_AATAAA_0.2",0.137481762791758,NA,1.51406531686644,1,0.218519801554018,0.45422043757554,0.680574564759035,0.728398762333387,0.047824197574352,"chr6",143340301,143340302,"+",0.704486663546211,0,"ALE","distal pA"
"ANKHD1","ENSG00000131503","PAS15518_AATAAA_0.2",0.196655053187355,NA,3.0888211453962,1,0.0788319001773032,0.234772406706998,0.784274585076739,0.85784913082585,0.0735745457491109,"chr5",140539848,140539849,"+",0.821061857951294,0,"ALE","distal pA"
"ANKRD12","ENSG00000101745","PAS45162_AATAAA_0.4",0.629545135763858,NA,1.94157637061471,1,0.163497476430878,0.378120265163635,0.506879548260286,0.46964835395157,-0.037231194308716,"chr18",9256249,9256250,"+",0.488263951105928,0,"ALE","distal pA"
"ANKRD13D","ENSG00000172932","PAS30130_AATAAA_0.1",0.662773248659371,NA,0.483013165913235,1,0.487060637075469,0.713881498034316,0.606590583911632,0.63724327985418,0.0306526959425477,"chr11",67302482,67302483,"+",0.621916931882906,0,"ALE","distal pA"
"AP5M1","ENSG00000053770","PAS36691_ATTAAA_0.25",0.775912566483578,NA,0.235679438192619,1,0.627344217311044,0.813804182405727,0.699676069008425,0.730979537517657,0.0313034685092324,"chr14",57290066,57290067,"+",0.715327803263041,0,"ALE","distal pA"
"ARHGEF10","ENSG00000104728","PAS22505_AATAAA_0.2",0.581952947485471,NA,0.735726555785959,1,0.391033263053261,0.633302222493917,0.39287762574681,0.333538025073742,-0.059339600673068,"chr8",1958639,1958640,"+",0.363207825410276,0,"ALE","distal pA"
"ARID1B","ENSG00000049618","PAS18468_AATAAA_0.2",0.416174800788719,NA,0.0483086646354423,1,0.826032899894573,0.924113059032382,0.770328588947031,0.763217004295839,-0.00711158465119177,"chr6",157209256,157209257,"+",0.766772796621435,0,"ALE","distal pA"
"ARL2BP","ENSG00000102931","PAS40637_ATTAAA_0.25",0.398221585708014,NA,1.52813392768394,1,0.216392725101104,0.450883573165383,0.882363111622993,0.920952396985825,0.0385892853628321,"chr16",57253597,57253598,"+",0.901657754304409,0,"ALE","distal pA"
"ARMC7","ENSG00000125449","PAS43368_AATAAA_0.35",0.513712804236098,NA,0.99484492930651,1,0.318561107521973,0.565272374604714,0.930032146104729,0.902059408646196,-0.0279727374585333,"chr17",75130227,75130228,"+",0.916045777375463,0,"ALE","distal pA"
"ATAT1","ENSG00000137343","PAS17578_AATAAA_0.4",0.970683979512037,NA,0.00571510352403948,1,0.939738686046347,0.975231481129287,0.712472922916921,0.71869865174826,0.00622572883133843,"chr6",30646818,30646819,"+",0.71558578733259,0,"ALE","distal pA"
"ATXN7","ENSG00000163635","PAS9770_ATTAAA_0.45",0.546943389574835,NA,0.0982494359518569,1,0.75394057923,0.887191022907305,0.301351786254576,0.317928217301883,0.0165764310473074,"chr3",64001877,64001878,"+",0.309640001778229,0,"ALE","distal pA"
"BCL2L13","ENSG00000099968","PAS50678_AATAAA_0.4",0.423632261155291,NA,0.139871019138809,1,0.70840927038239,0.86130335751528,0.694200529574258,0.710843072200001,0.0166425426257433,"chr22",17729108,17729109,"+",0.70252180088713,0,"ALE","distal pA"
"BFAR","ENSG00000103429","PAS40284_AATAAA_0.4",0.974369802934909,NA,0.0949866232222121,1,0.757930913807609,0.890142120887173,0.624024297839296,0.61209530580076,-0.0119289920385358,"chr16",14668888,14668889,"+",0.618059801820028,0,"ALE","distal pA"
"BLOC1S6","ENSG00000104164","PAS38502_AATAAA_0.3",0.897566083316694,NA,0.0570816996130361,1,0.811169348026761,0.91670916142913,0.856696376028117,0.846637283082974,-0.0100590929451428,"chr15",45609705,45609706,"+",0.851666829555545,0,"ALE","distal pA"
"BMERB1","ENSG00000166780","PAS40300_ATTAAA_0.2",0.810566563220615,NA,0.171602770718749,1,0.678691285351963,0.842281163675892,0.360813726005935,0.413397058561199,0.0525833325552634,"chr16",15588257,15588258,"+",0.387105392283567,0,"ALE","distal pA"
"BMP1","ENSG00000168487","PAS22638_AATAAA_0.25",0.43186943448157,NA,0.53216179270521,1,0.465699412320418,0.69570917017902,0.641167340835182,0.607259616612355,-0.0339077242228263,"chr8",22212323,22212324,"+",0.624213478723769,0,"ALE","distal pA"
"BMP2K","ENSG00000138756","PAS12979_AATAAA_0.25",0.857711969484975,NA,0.102784522404249,1,0.748513345644745,0.883902501123562,0.597390972790334,0.625503179512031,0.0281122067216972,"chr4",78916362,78916363,"+",0.611447076151182,0,"ALE","distal pA"
"BORCS7","ENSG00000166275","PAS27760_AATAAA_0.4",0.938614112778277,NA,0.104595577446162,1,0.746382943420643,0.883465875658409,0.252366098122247,0.239480532447595,-0.0128855656746524,"chr10",102864205,102864206,"+",0.245923315284921,0,"ALE","distal pA"
"BRD2","ENSG00000204256","PAS17651_AATAAA_0.3",0.443876887577032,NA,1.95470396104793,1,0.162080854638039,0.376534103057676,0.305961179888116,0.346559679545852,0.040598499657736,"chr6",32981307,32981308,"+",0.326260429716984,0,"ALE","distal pA"
"BTD","ENSG00000169814","PAS9256_AATAAA_0.25",0.703579486231005,NA,0.385172811402157,1,0.534847754238954,0.750475343667057,0.662837645815907,0.591503763660646,-0.0713338821552609,"chr3",15645816,15645817,"+",0.627170704738276,0,"ALE","distal pA"
"BUB3","ENSG00000154473","PAS27957_AATAAA_0.25",0.208546947335898,NA,3.97215231470909,1,0.0462586089584597,0.164254970267126,0.635282585226707,0.701176700013041,0.0658941147863342,"chr10",123165362,123165363,"+",0.668229642619874,0,"ALE","distal pA"
"BZW2","ENSG00000136261","PAS20102_AATAAA_0.35",0.349574356902,NA,1.81225177297892,1,0.178238344458864,0.399191450479837,0.861069986586948,0.818802006150549,-0.042267980436399,"chr7",16706511,16706512,"+",0.839935996368749,0,"ALE","distal pA"
"CASP10","ENSG00000003400","PAS6807_APA_0.35",0.739857142937516,NA,0.309070441173105,1,0.578251160666919,0.781399923690692,0.896119419907874,0.856414590610776,-0.0397048292970988,"chr2",201220085,201220086,"+",0.876267005259325,0,"ALE","distal pA"
"CDK12","ENSG00000167258","PAS42735_AATAAA_0.4",0.180461234110304,NA,0.357736400580961,1,0.549766076112002,0.761008489597857,0.460043822178273,0.434055887972563,-0.0259879342057103,"chr17",39533056,39533057,"+",0.447049855075418,0,"ALE","distal pA"
"CDYL","ENSG00000153046","PAS17295_AATAAA_0.25",0.522785581551445,NA,0.00898291652856642,1,0.924490963680322,0.968766996601089,0.356704900481954,0.361556314751412,0.00485141426945757,"chr6",4955542,4955543,"+",0.359130607616683,0,"ALE","distal pA"
"CEP250","ENSG00000126001","PAS49006_AATAAA_0.2",0.792528107973718,NA,0.204182065700024,1,0.651366170189835,0.827518292720952,0.0774379572376384,0.0924934556898991,0.0150554984522607,"chr20",35517527,35517528,"+",0.0849657064637687,0,"ALE","distal pA"
"CEP57L1","ENSG00000183137","PAS18180_AATAAA_0.2",0.863393535798622,NA,0.0969850529415552,1,0.755478133884368,0.888283412660858,0.561289125423644,0.624535279063029,0.0632461536393848,"chr6",109163902,109163903,"+",0.592912202243337,0,"ALE","distal pA"
