gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand
ATP6V1A,ENSG00000114573.12,PAS10001_APA_0.2,0.7417713602926652,NA,0.4649500183954842,1,0.495319616419383,0.7774333097265933,0.05914797281670139,0.04391365942626992,-0.015234313390431464,chr3,113811808,113811809,+
ATP6V1A,ENSG00000114573.12,PAS10002_AATAAA_0.15,0.7417713602926652,NA,0.7523622139278814,1,0.3857293689053966,0.7103270311937484,0.3001987159436746,0.26090454919803546,-0.039294166745639125,chr3,113812053,113812054,+
ATP6V1A,ENSG00000114573.12,PAS9999_APA_0.35,0.7417713602926652,NA,1.1950245355446896,1,0.2743183858619158,0.6109017024633417,0.640653311239624,0.6951817913756946,0.05452848013607059,chr3,113810425,113810426,+
SRSF11,ENSG00000116754.14,PAS1001_AATAAA_0.45,0.04219255619380892,1,0.8814300841586373,1,0.347810289905088,0.6800783325559632,0.03636004766399792,0.025416434209437653,-0.010943613454560266,chr1,70228940,70228941,+
SRSF11,ENSG00000116754.14,PAS1002_AATAAA_0.1,0.04219255619380892,1,0.047349861397378845,1,0.8277406029403872,0.9448030606949585,0.027313931310187986,0.02973094146215753,0.0024170101519695453,chr1,70229185,70229186,+
SRSF11,ENSG00000116754.14,PAS1003_None_0.25,0.04219255619380892,1,2.8476587459008442,1,0.09150710784361292,0.3447346976360918,0.47775564456339986,0.42127608531838784,-0.05647955924501202,chr1,70237533,70237534,+
SRSF11,ENSG00000116754.14,PAS1005_APA_0.35,0.04219255619380892,1,1.405499470126415,1,0.2358049459322787,0.5713754995417399,0.1912911696385857,0.16108158681032742,-0.03020958282825828,chr1,70250046,70250047,+
SRSF11,ENSG00000116754.14,PAS1006_ATTAAA_0.2,0.04219255619380892,1,0.001009614059512387,1,0.9746519425368622,0.9942481015727174,0.02302746658894084,0.022689698487670055,-3.377681012707856e-4,chr1,70251254,70251255,+
SRSF11,ENSG00000116754.14,PAS1007_AATAAA_0.25,0.04219255619380892,1,2.031642724687117,1,0.1540540162391208,0.4536164637001574,0.2205578524307019,0.261904844198299,0.041346991767597124,chr1,70251999,70252000,+
SRSF11,ENSG00000116754.14,PAS1008_AATAAA_0.3,0.04219255619380892,0.006827536685285659,14.370616648126088,1,1.5012679297471884e-4,0.004303218350720095,0.023693887804185798,0.07790040951372057,0.05420652170953477,chr1,70253046,70253047,+
NDUFB4,ENSG00000065518.8,PAS10034_AATAAA_0.4,0.882359901945331,NA,0.12769526954707544,1,0.7208337336775902,0.8941073852817996,0.13621782363154666,0.12668142518498227,-0.009536398446564398,chr3,120601181,120601182,+
NDUFB4,ENSG00000065518.8,PAS10035_AATAAA_0.2,0.882359901945331,NA,0.12769526954707544,1,0.7208337336775902,0.8941073852817996,0.8637821763684533,0.8733185748150177,0.009536398446564398,chr3,120602325,120602326,+
PARP14,ENSG00000173193.15,PAS10063_ATTAAA_0.2,0.49399161941354397,NA,1.5556406442094612,1,0.21230465705463725,0.5435968115937352,0.18026079901416728,0.11303188877028147,-0.0672289102438858,chr3,122729866,122729867,+
PARP14,ENSG00000173193.15,PAS10064_AATAAA_0.35,0.49399161941354397,NA,1.5556406442094612,1,0.21230465705463725,0.5435968115937352,0.81973920098583275,0.8869681112297186,0.06722891024388589,chr3,122730838,122730839,+
PLXNA1,ENSG00000114554.12,PAS10091_None_0.2,0.8928198583415692,NA,0.11157186571563216,1,0.7383616368519471,0.9031021090294103,0.42122494233068625,0.45015840444151384,0.02893346211082759,chr3,127035578,127035579,+
PLXNA1,ENSG00000114554.12,PAS10092_AATAAA_0.25,0.8928198583415692,NA,0.11157186571654165,1,0.7383616368509197,0.9031021090294103,0.5787750576693138,0.5498415955584862,-0.02893346211082759,chr3,127037384,127037385,+
RAB7A,ENSG00000075785.14,PAS10113_None_0.25,0.5713405603892412,NA,0.26084532626282453,1,0.6095399983164916,0.8402258469769263,0.04535433770233092,0.05565367757425463,0.010299339871923711,chr3,128813801,128813802,+
RAB7A,ENSG00000075785.14,PAS10114_ATTAAA_0.25,0.5713405603892412,NA,1.9343886412507345,1,0.16427910416983604,0.46982076645183635,0.3489913661242317,0.28939619231484726,-0.05959517380938445,chr3,128814095,128814096,+
RAB7A,ENSG00000075785.14,PAS10115_APA_0.25,0.5713405603892412,NA,0.666619596302553,1,0.4142326580146666,0.7298325383219602,0.1707278029861581,0.14360200473129084,-0.027125798254867273,chr3,128814391,128814392,+
RAB7A,ENSG00000075785.14,PAS10116_AATAAA_0.2,0.5713405603892412,NA,3.1083603913193656,1,0.07789133542628866,0.31500267790631475,0.4349264931872792,0.5113481253796073,0.07642163219232806,chr3,128814795,128814796,+
HMCES,ENSG00000183624.14,PAS10127_AATAAA_0.3,0.7322179590519671,NA,0.5165968880176024,1,0.47229697390374453,0.7645482180706112,0.6604969138367263,0.5915380771188639,-0.0689588367178624,chr3,129305260,129305261,+
HMCES,ENSG00000183624.14,PAS10128_AATAAA_0.2,0.7322179590519671,NA,0.5165968880176024,1,0.47229697390374453,0.7645482180706112,0.33950308616327374,0.40846192288113614,0.0689588367178624,chr3,129306182,129306183,+
ATP2C1,ENSG00000017260.20,PAS10142_AATAAA_0.25,0.8349877678152704,NA,0.7897066895903322,1,0.3741888308539446,0.7035005828205174,0.31892743091108544,0.2354866302385948,-0.08344080067249063,chr3,131001775,131001776,+
ATP2C1,ENSG00000017260.20,PAS10143_APA_0.3,0.8349877678152704,NA,0.2425290216386884,1,0.6223854594795443,0.8474701925125165,0.5365486563310338,0.5862370877591712,0.04968843142813739,chr3,131001991,131001992,+
ATP2C1,ENSG00000017260.20,PAS10146_ATTAAA_0.25,0.8349877678152704,NA,0.20604315509217486,1,0.6498865754896103,0.8583522883730933,0.1445239127578808,0.1782762820022341,0.03375236924435332,chr3,131016708,131016709,+
NUDT16,ENSG00000198585.12,PAS10151_APA_0.25,0.8544229300173024,NA,0.17674040349692177,1,0.6741895818127057,0.8716683805561848,0.633623534546622,0.6857851396105202,0.05216160506389822,chr3,131383639,131383640,+
NUDT16,ENSG00000198585.12,PAS10152_ATTAAA_0.15,0.8544229300173024,NA,0.17674040349692177,1,0.6741895818127057,0.8716683805561848,0.36637646545337804,0.31421486038947977,-0.052161605063898275,chr3,131386084,131386085,+
UBA5,ENSG00000081307.15,PAS10162_ATTAAA_0.45,0.5619025682580485,NA,1.2086101154470157,1,0.27160755975805184,0.6099539138792806,0.6619462335303085,0.5527634759898906,-0.10918275754041784,chr3,132676600,132676601,+
UBA5,ENSG00000081307.15,PAS10163_AATAAA_0.4,0.5619025682580485,NA,1.2086101154470157,1,0.27160755975805184,0.6099539138792806,0.3380537664696915,0.44723652401010944,0.10918275754041795,chr3,132677187,132677188,+
CDV3,ENSG00000091527.17,PAS10171_APA_0.35,0.6066375394567868,NA,0.8550625021402993,1,0.35512411421930085,0.6859008872228937,0.40479218933452427,0.3525876178253249,-0.05220457150919938,chr3,133575107,133575108,+
CDV3,ENSG00000091527.17,PAS10172_AATAAA_0.35,0.6066375394567868,NA,0.6261655881075967,1,0.4287652996329827,0.7412397438396146,0.15306730949871525,0.12135912144903616,-0.03170818804967909,chr3,133587271,133587272,+
CDV3,ENSG00000091527.17,PAS10174_AATAAA_0.2,0.6066375394567868,NA,2.212855249180393,1,0.13686515093744578,0.42679622970777575,0.4421405011667605,0.526053260725639,0.08391275955887845,chr3,133590259,133590260,+
SRPRB,ENSG00000144867.13,PAS10178_APA_0.15,0.2786679579821168,NA,4.9415551525153205,1,0.026218436783183315,0.16463212340778455,0.26775105172055763,0.16419060502244123,-0.1035604466981164,chr3,133819908,133819909,+
SRPRB,ENSG00000144867.13,PAS10180_APA_0.15,0.2786679579821168,NA,1.9616047051079022,1,0.1613418020871717,0.4656349905057581,0.6351700839481748,0.7109457663339578,0.07577568238578303,chr3,133820678,133820679,+
SRPRB,ENSG00000144867.13,PAS10181_AATAAA_0.1,0.2786679579821168,NA,0.6102541228804057,1,0.43469214443494264,0.7458879753295656,0.09707886433126767,0.12486362864360101,0.027784764312333343,chr3,133821490,133821491,+
TYW3,ENSG00000162623.16,PAS1017_APA_0.2,0.5935768429686558,NA,2.026699373718543,1,0.15455594674081968,0.45468094083595473,0.5685330221710981,0.4068137888806,-0.16171923329049814,chr1,74764178,74764179,+
TYW3,ENSG00000162623.16,PAS1018_AATAAA_0.25,0.5935768429686558,NA,0.31389714421868575,1,0.5752985300822402,0.8222217936502201,0.24022979322648874,0.2925884504726237,0.052358657246134976,chr1,74764397,74764398,+
TYW3,ENSG00000162623.16,PAS1019_AATAAA_0.25,0.5935768429686558,NA,1.4168431775980252,1,0.23392370015688205,0.5700995056737612,0.19123718460241312,0.30059776064677624,0.10936057604436311,chr1,74766673,74766674,+
RABGGTB,ENSG00000137955.16,PAS1023_AATAAA_0.45,0.5158368370098727,NA,1.4452543179377813,1,0.22929096647729744,0.5653595605955951,0.49952213472107876,0.6421847709762853,0.1426626362552066,chr1,75794798,75794799,+
RABGGTB,ENSG00000137955.16,PAS1024_AATAAA_0.35,0.5158368370098727,NA,1.4452543179377813,1,0.22929096647729744,0.5653595605955951,0.5004778652789212,0.35781522902371465,-0.1426626362552066,chr1,75795079,75795080,+
ZBTB38,ENSG00000177311.12,PAS10251_None_0.25,0.9804964167911087,NA,0.00491050343077859,1,0.9441339773467251,0.9837302859536724,0.3397622727489999,0.3463640631215468,0.0066017903725468785,chr3,141446143,141446144,+
ZBTB38,ENSG00000177311.12,PAS10252_ATTAAA_0.3,0.9804964167911087,NA,0.00491050343077859,1,0.9441339773467251,0.9837302859536724,0.6602377272510002,0.6536359368784532,-0.006601790372546934,chr3,141448698,141448699,+
RNF7,ENSG00000114125.14,PAS10255_AATAAA_0.25,0.08822447920576419,NA,6.166680119648845,1,0.013017867657662732,0.10725662970868174,0.968998626741895,0.8929494174065251,-0.07604920933536985,chr3,141745699,141745700,+
