"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","pA_type"
"ABCD3","ENSG00000117528","PAS1169_AATAAA_0.15",0.0103475221130587,0,9.32791492528213,1,0.00225689014333089,0.014615739842339,0.870099248617707,0.941300958896456,0.0712017102787493,"chr1",94518661,94518662,"+",0.905700103757081,0,"ALE","distal pA"
"ACSF3","ENSG00000176715","PAS41025_None_0.25",0.762969267106824,NA,0.208530483335039,1,0.647921642181171,0.797758925944867,0.737245248409199,0.775721584420746,0.0384763360115468,"chr16",89155760,89155761,"+",0.756483416414973,0,"ALE","distal pA"
"ACTN4","ENSG00000130402","PAS46782_AATAAA_0.2",0.247785863557797,NA,0.0712738904403523,1,0.789490947971109,0.888382632823506,0.395627556944598,0.398960137667615,0.00333258072301701,"chr19",38730529,38730530,"+",0.397293847306107,0,"ALE","distal pA"
"ANKDD1A","ENSG00000166839","PAS38680_AATAAA_0.3",0.659241244746164,NA,0.431985266244794,1,0.511016412820917,0.700835859318034,0.845881048098102,0.895330308735166,0.0494492606370642,"chr15",64958689,64958690,"+",0.870605678416634,0,"ALE","distal pA"
"ANKHD1","ENSG00000131503","PAS15518_AATAAA_0.2",0.84774743069677,NA,0.0915603503744933,1,0.76220278679299,0.872511364096339,0.223908197561402,0.231321381457072,0.00741318389566958,"chr5",140539848,140539849,"+",0.227614789509237,0,"ALE","distal pA"
"ANKRD12","ENSG00000101745","PAS45162_AATAAA_0.4",0.36622354204287,NA,0.309246160983093,1,0.578143139847327,0.750470346670042,0.486860715083642,0.504382739576288,0.0175220244926464,"chr18",9256249,9256250,"+",0.495621727329965,0,"ALE","distal pA"
"ANKRD13D","ENSG00000172932","PAS30130_AATAAA_0.1",0.561644941123182,NA,0.71768931474162,1,0.396902903308789,0.60807013463551,0.727991933451728,0.769407431808454,0.0414154983567254,"chr11",67302482,67302483,"+",0.748699682630091,0,"ALE","distal pA"
"AP5M1","ENSG00000053770","PAS36691_ATTAAA_0.25",0.520490996980393,NA,0.533995495816271,1,0.464931896879463,0.667501766824199,0.615784156016707,0.661825707555423,0.0460415515387159,"chr14",57290066,57290067,"+",0.638804931786065,0,"ALE","distal pA"
"API5","ENSG00000166181","PAS29757_AATAAA_0.05",0.100370466553599,NA,1.81087485416992,1,0.178403318529443,0.372992752578936,0.89383489029828,0.859794398307691,-0.0340404919905883,"chr11",43344528,43344529,"+",0.876814644302985,0,"ALE","distal pA"
"ARHGEF10","ENSG00000104728","PAS22505_AATAAA_0.2",0.616075472873269,NA,0.553786810198517,1,0.456774520442783,0.66099551524112,0.569541146209792,0.509305992885447,-0.0602351533243451,"chr8",1958639,1958640,"+",0.539423569547619,0,"ALE","distal pA"
