gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,sig_PAS_count,UTR_type,pA_type,condition
ABCC1,ENSG00000103222,PAS40309_APA_0.2,0.03856504272501431,0,6.452511807594419,1,0.01107955942980536,0.05027272418186251,0.7536231884057971,0.8686224901981484,0.1149993017923513,chr16,16143051,16143052,+,0.8111228393019727,2,TUTR,distal pA,JTE607
ABCC3,ENSG00000108846,PAS43065_AATAAA_0.3,1.482064146635223e-5,1.477211011308421e-6,28.14717717301028,1,1.1243153176482255e-7,2.538987794999779e-6,0.675,0.8157672614742744,0.14076726147427432,chr17,50691700,50691701,+,0.7453836307371372,2,ALE,distal pA,JTE607
ABI2,ENSG00000138443,PAS6853_AATAAA_0.2,2.8612356133117915e-10,4.9595613122613195e-12,50.03548959910677,1,1.5099022981833762e-12,9.272693717688536e-11,0.6316831683168317,0.8557649737530566,0.2240818054362249,chr2,203432167,203432168,+,0.7437240710349442,2,TUTR,distal pA,JTE607
ACP1,ENSG00000143727,PAS5154_AATAAA_0.15,1.8290039189711712e-8,1.1143009093569917e-7,30.469020612705208,1,3.3924079126643875e-8,8.68307103698197e-7,0.4791409528511479,0.5863308502292841,0.10718989737813622,chr2,278279,278280,+,0.532735901540216,2,TUTR,distal pA,JTE607
ACSL5,ENSG00000197142,PAS27843_AATAAA_0.1,5.155512566575935e-12,0,54.89755136413805,1,1.2697910920015553e-13,9.413654438233043e-12,0.568082788671024,0.8649336975703524,0.2968509088993284,chr10,112428374,112428375,+,0.7165082431206882,2,TUTR,distal pA,JTE607
ACVR2A,ENSG00000121989,PAS6369_AATAAA_0.25,0.005985769660248072,0.002620230274959868,11.246553453724571,1,7.977100120025912e-4,0.0057870518141692855,0.19318181818181815,0.451116320013804,0.2579345018319858,chr2,147930821,147930822,+,0.32214906909781105,2,TUTR,distal pA,JTE607
ADAL,ENSG00000168803,PAS38429_AATAAA_0.15,1.2488152579337566e-6,2.0750021794268864e-6,24.8129410300362,1,6.317192917257535e-7,1.201946071618898e-5,0.3125,0.6568391059374739,0.34433910593747385,chr15,43353895,43353896,+,0.4846695529687369,2,ALE,distal pA,JTE607
ADAM22,ENSG00000008277,PAS20615_AATAAA_0.15,0.0018817733449368688,0.0014138978283793902,12.395147938846094,1,4.304508899181527e-4,0.003443607119345221,0.25,0.5696426437750879,0.3196426437750879,chr7,88202887,88202888,+,0.40982132188754394,2,TUTR,distal pA,JTE607
AGAP1,ENSG00000157985,PAS7155_AATAAA_0.15,9.224172589280592e-11,1.1604978767813511e-8,37.005965650047074,1,1.177683737778113e-9,4.1901221783126436e-8,0.24414715719063543,0.4264350989671208,0.18228794177648536,chr2,236131791,236131792,+,0.3352911280788781,2,TUTR,distal pA,JTE607
AGFG1,ENSG00000173744,PAS7048_AATAAA_0.2,1.2830037112700944e-13,1.8768359124395142e-14,63.16120438856524,1,1.9046300529978544e-15,1.9157489743883285e-13,0.18876404494382024,0.4926679133307851,0.3039038683869648,chr2,227561215,227561216,+,0.34071597913730267,3,TUTR,distal pA,JTE607
