"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"AGFG1","ENSG00000173744","PAS7048_AATAAA_0.2",0.00287674379837502,0.000770834361157734,15.167588043958,1,9.83776371222715e-05,0.00308891859200189,0.209790073026192,0.361788244982886,0.151998171956694,"chr2",227561215,227561216,"+",0.285789159004539,2,"TUTR"
"B3GALT6","ENSG00000176022","PAS29_ATTAAA_0.25",0.039229796049363,0,8.10478669404984,1,0.00441485166549406,0.0533347733418534,0.37234049908902,0.568965492724252,0.196624993635232,"chr1",1235037,1235038,"+",0.470652995906636,2,"TUTR"
"CCDC97","ENSG00000142039","PAS46855_ATTAAA_0.35",0.0010760491395612,0.00801275688469395,10.7861435704142,1,0.00102262707641558,0.0186496359840008,0.802971591061614,0.602967592115767,-0.200003998945846,"chr19",41324869,41324870,"+",0.70296959158869,2,"TUTR"
"GATC","ENSG00000257218","PAS33401_AATAAA_0.4",2.78090157674855e-09,1.83566161648385e-05,24.4043533653021,1,7.80920266339714e-07,6.11552441516506e-05,0.402277429386914,0.261260304586148,-0.141017124800766,"chr12",120463745,120463746,"+",0.331768866986531,2,"TUTR"
"GID8","ENSG00000101193","PAS49352_APA_0.25",0.00171694275794416,0,15.555404977496,1,8.01222577319654e-05,0.00263374720292754,0.183278945583383,0.333260439630499,0.149981494047116,"chr20",62948472,62948473,"+",0.258269692606941,2,"TUTR"
"HSPA4L","ENSG00000164070","PAS13210_AATAAA_0.25",0.0467337759530093,0.048393448782393,7.49815957310557,1,0.00617620773451132,0.0662561269698221,0.2734436283538,0.140561452753044,-0.132882175600756,"chr4",127840730,127840731,"+",0.207002540553422,2,"TUTR"
"LAMC1","ENSG00000135862","PAS1959_AATAAA_0.15",0.000265386711847807,5.49578251915801e-06,25.9482165909558,1,3.50699271864721e-07,3.11257293755669e-05,0.453577703064578,0.609695167720765,0.156117464656186,"chr1",183145590,183145591,"+",0.531636435392672,2,"TUTR"
"MAK16","ENSG00000198042","PAS22766_AATAAA_0.3",0.0119483957947974,0,11.0503797870783,1,0.000886690330134121,0.0167916192959823,0.883627193208105,0.714156380956497,-0.169470812251608,"chr8",33501258,33501259,"+",0.798891787082301,2,"TUTR"
"MAP2K4","ENSG00000065559","PAS42307_AATAAA_0.25",0.0278619015386874,0,8.98198232258846,1,0.00272654693956608,0.0383300099328862,0.845354352631214,0.623807142938526,-0.221547209692688,"chr17",12143729,12143730,"+",0.73458074778487,2,"TUTR"
"POLR2K","ENSG00000147669","PAS23228_AATAAA_0.05",1.62176310547712e-14,0,71.360492629181,1,2.9757121201415e-17,2.47597846596523e-14,0.612838609936417,0.335421940756288,-0.277416669180129,"chr8",100154002,100154003,"+",0.474130275346353,2,"TUTR"
