"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"ABCE1","ENSG00000164163","PAS13298_AATAAA_0.3",0.793821071985888,NA,0.199143712299701,1,0.65541290631093,0.82301750259964,0.135489623487841,0.150648997698265,0.0151593742104237,"chr4",145129520,145129521,"+",0.143069310593053,0,"TUTR"
"ABHD2","ENSG00000140526","PAS38967_AATAAA_0.05",0.904877671697218,NA,0.501628093786167,1,0.478785624135699,0.700273854199123,0.58628925051411,0.547445793496885,-0.0388434570172242,"chr15",89202353,89202354,"+",0.566867522005497,0,"TUTR"
"ABRAXAS2","ENSG00000165660","PAS27969_AATAAA_0.2",0.887832562930456,NA,0.0635262386842896,1,0.801006961124885,0.903581857056563,0.796000845939722,0.776963023399944,-0.0190378225397781,"chr10",124836666,124836667,"+",0.786481934669833,0,"TUTR"
"ACADSB","ENSG00000196177","PAS27953_AATAAA_0.2",0.740927681127659,NA,0.293966762301466,1,0.587689677660465,0.778425164282733,0.294029083099129,0.253096245225711,-0.0409328378734183,"chr10",123058288,123058289,"+",0.27356266416242,0,"TUTR"
"ACER3","ENSG00000078124","PAS30308_APA_0.25",0.805951691881629,NA,0.178430234572488,1,0.67272575717153,0.832887362999563,0.73654937108446,0.772699903846055,0.0361505327615957,"chr11",77022926,77022927,"+",0.754624637465258,0,"TUTR"
"ACTR5","ENSG00000101442","PAS49071_AATAAA_0.3",0.58560745781645,NA,0.72558100093147,1,0.394319319028126,0.633612347505256,0.0877691549842958,0.1269464590351,0.0391773040508046,"chr20",38772510,38772511,"+",0.107357807009698,0,"TUTR"
"ADIPOR2","ENSG00000006831","PAS32053_AATAAA_0.25",0.971291912068918,NA,0.00386572583738598,1,0.950423501732455,0.977031021598377,0.773955164015031,0.776204903916301,0.00224973990126998,"chr12",1788670,1788671,"+",0.775080033965666,0,"TUTR"
"AFAP1L1","ENSG00000157510","PAS15640_ATTAAA_0.35",0.82509690826238,NA,0.0553894120250789,1,0.813937437401003,0.911774566160968,0.376925568817197,0.358036295585843,-0.018889273231354,"chr5",149341801,149341802,"+",0.36748093220152,0,"TUTR"
"AKAP9","ENSG00000127914","PAS20635_ATTAAA_0.3",0.284489163514571,NA,1.42043866682252,1,0.233331214172076,0.474278684883763,0.414745135862336,0.44447416404893,0.0297290281865938,"chr7",91995799,91995800,"+",0.429609649955633,0,"TUTR"
"ALDH1B1","ENSG00000137124","PAS25005_AATAAA_0.25",0.411122122903055,NA,0.0631510964940389,1,0.801583088078546,0.904156282905292,0.750062051434718,0.759242482959568,0.0091804315248506,"chr9",38398657,38398658,"+",0.754652267197143,0,"TUTR"
"ANKRD33B","ENSG00000164236","PAS14609_AATAAA_0.3",0.802756037672097,NA,0.18429622189575,1,0.667706839011146,0.829828245705658,0.645055383980796,0.59463276649698,-0.0504226174838168,"chr5",10657814,10657815,"+",0.619844075238888,0,"TUTR"
"APOBEC3F","ENSG00000128394","PAS51021_ATTAAA_0.3",0.0334260525743518,1,1.004739000462,1,0.316166519171625,0.562362004797979,0.297029429280691,0.225806451612903,-0.0712229776677875,"chr22",39055967,39055968,"+",0.261417940446797,1,"TUTR"
