gene_name,ensembl_ID,feature_id,chr,start,end,strand,pA_type,APA_and_gene_class_96hrs,log2FoldChange_24hrs,log2FoldChange_48hrs,log2FoldChange_72hrs,log2FoldChange_96hrs,prox_to_dist_shift_24hrs,prox_to_dist_shift_48hrs,prox_to_dist_shift_72hrs,prox_to_dist_shift_96hrs
ABI1,ENSG00000136754,PAS28369_AATAAA_0.3,chr10,26747814,26747815,-,proximal pA,up_not_lengthened,0.48741414120421633,0.7776984327532462,0.6774078009594836,0.8637732794369962,0.048475810782543705,-0.14565307084113388,-0.13861574799999998,-0.10014587937190561
ABI1,ENSG00000136754,PAS28368_AATAAA_0.35,chr10,26746894,26746895,-,distal pA,up_not_lengthened,0.48741414120421633,0.7776984327532462,0.6774078009594836,0.8637732794369962,0.048475810782543705,-0.14565307084113388,-0.13861574799999998,-0.10014587937190561
ACAP3,ENSG00000131584,PAS2560_APA_0.15,chr1,1292870,1292871,-,proximal pA,up_not_lengthened,-0.06742936668255424,0.11895402344509136,0.3921577160256378,0.7629908509805553,0.04392982908714166,0.04556696400742244,0.2381528680073139,-0.014775676104469726
ACAP3,ENSG00000131584,PAS2559_AATAAA_0.05,chr1,1292391,1292392,-,distal pA,up_not_lengthened,-0.06742936668255424,0.11895402344509136,0.3921577160256378,0.7629908509805553,0.04392982908714166,0.04556696400742244,0.2381528680073139,-0.014775676104469726
ACBD3,ENSG00000182827,PAS4928_ATTAAA_0.2,chr1,226144680,226144681,-,distal pA,up_not_lengthened,0.21327525642032852,0.6171145576599584,0.6881381036534516,0.8999330239371045,0.04480982978319964,0.07590122440809327,0.02019420847394996,-0.014522883947514054
ACBD3,ENSG00000182827,PAS4929_AATAAA_0.35,chr1,226144944,226144945,-,proximal pA,up_not_lengthened,0.21327525642032852,0.6171145576599584,0.6881381036534516,0.8999330239371045,0.04480982978319964,0.07590122440809327,0.02019420847394996,-0.014522883947514054
ADSS2,ENSG00000035687,PAS5096_ATTAAA_0.1,chr1,244408494,244408495,-,distal pA,up_not_lengthened,0.32761148257773054,0.3570247433506205,0.4004318274959027,0.6120172011740075,0.011248796649735882,-0.031388460345115166,0.020755357934449194,0.06653287152138748
ADSS2,ENSG00000035687,PAS5097_ATTAAA_0.2,chr1,244408848,244408849,-,proximal pA,up_not_lengthened,0.32761148257773054,0.3570247433506205,0.4004318274959027,0.6120172011740075,0.011248796649735882,-0.031388460345115166,0.020755357934449194,0.06653287152138748
AFF4,ENSG00000072364,PAS16732_AATAAA_0.4,chr5,132875400,132875401,-,distal pA,up_not_lengthened,0.1146828425656362,0.5602261588563598,0.6175053779418931,0.6631620014250992,0.016720003316403553,-0.06897352170304405,-0.073842913,-0.008450860077941602
AFF4,ENSG00000072364,PAS16733_AATAAA_0.35,chr5,132876468,132876469,-,proximal pA,up_not_lengthened,0.1146828425656362,0.5602261588563598,0.6175053779418931,0.6631620014250992,0.016720003316403553,-0.06897352170304405,-0.073842913,-0.008450860077941602
AGO3,ENSG00000126070,PAS629_AATAAA_0.25,chr1,36072032,36072033,+,proximal pA,up_not_lengthened,0.2987702211118234,0.5457108249610667,0.8356436063514187,0.950950310867332,0.057980487868398226,0.15367250576976627,-0.094614295,0.011385432512747935
