"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"C14orf119","ENSG00000179933","PAS36399_AATAAA_0.2",0.000647054547784928,0.00093762472328097,13.6606467642746,1,0.000218996056233857,0.0028564611080001,0.0548488367003588,0.159280808299561,0.104431971599202,"chr14",23100454,23100455,"+",0.10706482249996,2,"TUTR"
"CCDC134","ENSG00000100147","PAS51095_AATAAA_0.3",0.00856200808290874,0.0359961468565421,6.9445645699725,1,0.00840742997220992,0.0509460095132165,0.549954259286193,0.654843504419144,0.104889245132951,"chr22",41832161,41832162,"+",0.602398881852668,2,"TUTR"
"CDT1","ENSG00000167513","PAS41015_AATAAA_0.35",0.00875313973810103,0,10.3034688686121,1,0.001327803761823,0.0119777117713713,0.335256962518732,0.441722286920362,0.10646532440163,"chr16",88809253,88809254,"+",0.388489624719547,2,"TUTR"
"CHMP4B","ENSG00000101421","PAS48968_ATTAAA_0.1",0.018983195133441,0,8.53513147532794,1,0.00348356165594274,0.0257936266612352,0.483210916372885,0.596354244038065,0.11314332766518,"chr20",33854362,33854363,"+",0.539782580205475,2,"TUTR"
"FAM114A1","ENSG00000197712","PAS12718_ATTAAA_0.25",0.0137074368164673,0.00256594007627378,11.7781098174394,1,0.000599313076206043,0.00644273476433752,0.58188376514423,0.754582825666034,0.172699060521805,"chr4",38945738,38945739,"+",0.668233295405132,2,"TUTR"
"FOXK1","ENSG00000164916","PAS19978_AATAAA_0.05",1.91346296209495e-05,0.000876696392494282,13.7868418043304,1,0.000204765347695684,0.00270869828859399,0.904887300058229,0.757429034807499,-0.14745826525073,"chr7",4771440,4771441,"+",0.831158167432864,2,"TUTR"
"GATAD2A","ENSG00000167491","PAS46503_AATAAA_0.15",1.04360367610672e-15,0.000921239365678532,15.7648425858424,1,7.1723004922842e-05,0.00112959553091185,0.504747809049268,0.60797756392965,0.103229754880382,"chr19",19507339,19507340,"+",0.556362686489459,2,"TUTR"
"GPAT4","ENSG00000158669","PAS22833_AATAAA_0.2",1.01344873584505e-10,4.95494043185113e-07,29.433622767835,1,5.78649638019364e-08,2.27967713077425e-06,0.0415047037826857,0.144438531252909,0.102933827470223,"chr8",41625000,41625001,"+",0.0929716175177973,2,"TUTR"
"PAGR1","ENSG00000280789","PAS40447_None_0.1",0.0358153030925822,0,7.15032607934018,1,0.00749503586565167,0.0468890831724773,0.463595742319532,0.577837470386638,0.114241728067105,"chr16",29822488,29822489,"+",0.520716606353085,2,"TUTR"
"PARP14","ENSG00000173193","PAS10064_AATAAA_0.35",0.0118703181847436,0,9.60888766688117,1,0.0019363789770525,0.0163641582970168,0.843452839550347,0.9506481608864,0.107195321336052,"chr3",122730838,122730839,"+",0.897050500218373,2,"TUTR"
"PARVA","ENSG00000197702","PAS29510_ATTAAA_0.05",5.15013613012428e-09,1.35734917042327e-06,29.6097625396505,1,5.28381465552e-08,2.10620021947026e-06,0.109299231790427,0.223574076885304,0.114274845094877,"chr11",12535327,12535328,"+",0.166436654337866,2,"TUTR"
"POLR2K","ENSG00000147669","PAS23228_AATAAA_0.05",8.17629413241173e-08,0,35.5488988753896,1,2.48727608356339e-09,1.29770508560587e-07,0.406198675950696,0.609291629664528,0.203092953713832,"chr8",100154002,100154003,"+",0.507745152807612,2,"TUTR"
"RAB11FIP4","ENSG00000131242","PAS42586_AATAAA_0.25",1.19871929725467e-05,0,24.8541407607099,1,6.18360764956159e-07,1.85686867041168e-05,0.382296605034553,0.624188445173538,0.241891840138986,"chr17",31538210,31538211,"+",0.503242525104045,2,"TUTR"
"SEC24A","ENSG00000113615","PAS15401_AATAAA_0.35",0.0157043562606213,0,8.95717936944538,1,0.00276381280045706,0.0215880938570074,0.703900532739516,0.820341763460936,0.11644123072142,"chr5",134727902,134727903,"+",0.762121148100226,2,"TUTR"
"SERPINE1","ENSG00000106366","PAS20775_AATAAA_0.4",0.0055502845552226,0,11.3388205891524,1,0.000759035141626326,0.0077410127311672,0.625270281934415,0.751895348827831,0.126625066893416,"chr7",101139244,101139245,"+",0.688582815381123,2,"TUTR"
"SLC49A4","ENSG00000138463","PAS10068_AATAAA_0.25",0.0150488206657503,0,9.06288330537302,1,0.00260850321462271,0.0206132771574249,0.0882948792737153,0.266055824140841,0.177760944867126,"chr3",122881136,122881137,"+",0.177175351707278,2,"TUTR"
"SMCHD1","ENSG00000101596","PAS45121_AATAAA_0.2",0.0406556821761142,0.0141155085424466,8.63542410219839,1,0.00329688480452408,0.0247367042551548,0.509246461455641,0.306236147795636,-0.203010313660005,"chr18",2805015,2805016,"+",0.407741304625639,2,"TUTR"
"SRF","ENSG00000112658","PAS17829_AATAAA_0.05",0.00815319581810842,0,10.4621028072593,1,0.00121848496097466,0.0112162038676122,0.87512267231562,0.97707147616862,0.101948803853,"chr6",43181504,43181505,"+",0.92609707424212,2,"TUTR"
"TANGO6","ENSG00000103047","PAS40771_AATAAA_0.35",0.0498298857053507,0,6.36978241784027,1,0.0116079827663955,0.0642600045564532,0.218695515915279,0.082146412125806,-0.136549103789473,"chr16",69085179,69085180,"+",0.150420964020542,2,"TUTR"
"TIMP3","ENSG00000100234","PAS50927_APA_0.1",0.000313309179357167,8.55520886124003e-05,18.1910131155887,1,1.99819496473226e-05,0.000384638298553091,0.430584076637433,0.629397224978939,0.198813148341506,"chr22",32863039,32863040,"+",0.529990650808186,2,"TUTR"
"TMEM14A","ENSG00000096092","PAS17914_AATAAA_0.2",0.0188685050729809,0,8.54985260336525,1,0.00345550205195262,0.0256420643756374,0.540909119943997,0.687592918358825,0.146683798414828,"chr6",52686584,52686585,"+",0.614251019151411,2,"TUTR"
"TMEM167B","ENSG00000215717","PAS1276_AATAAA_0.2",0.00109362998726853,0,14.9516634052407,1,0.00011030077862605,0.00160096071060638,0.785917275837013,0.895139215077023,0.10922193924001,"chr1",109096932,109096933,"+",0.840528245457018,2,"TUTR"
"TSPAN9","ENSG00000011105","PAS32071_AATAAA_0.2",0.0133502776196272,0,9.33682507723995,1,0.00224594298868371,0.0183048417407014,0.706789433645391,0.917298739104358,0.210509305458968,"chr12",3286557,3286558,"+",0.812044086374875,2,"TUTR"
"TSR2","ENSG00000158526","PAS51989_AATAAA_0.25",0.00874276867064359,0,10.3081420730566,1,0.00132444556015058,0.0119777117713713,0.0842549027219095,0.2172928487412,0.133037946019291,"chrX",54448031,54448032,"+",0.150773875731555,2,"TUTR"
"UBE4B","ENSG00000130939","PAS163_AATAAA_0.2",0.0137482540300753,0.00254245640759628,11.7952257059515,1,0.000593828119699907,0.00640414954629277,0.643976087349098,0.822033327621378,0.17805724027228,"chr1",10181235,10181236,"+",0.733004707485238,2,"TUTR"
"UBR2","ENSG00000024048","PAS17796_AATAAA_0.25",0.0106927263831585,0,9.8451484552487,1,0.00170280248649737,0.014740531710467,0.561647964029732,0.78085270493906,0.219204740909328,"chr6",42693503,42693504,"+",0.671250334484396,2,"TUTR"
"XPOT","ENSG00000184575","PAS32838_AATAAA_0.3",6.97010575364184e-06,0,26.0004132625613,1,3.41344281758577e-07,1.10409723780192e-05,0.254025814092662,0.57790119990864,0.323875385815978,"chr12",64451122,64451123,"+",0.415963507000651,2,"TUTR"
