"gene_name","ensembl_ID","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type"
"ADCY7","ENSG00000121281","PAS40571_ATTAAA_0.35",0.002256086157984,0,11.9335449039418,1,0.000551321716752248,0.00315715022170016,0.92638401994878,0.707175612637261,-0.219208407311519,"chr16",50318131,50318132,"+",0.81677981629302,2,"TUTR"
"B3GALT6","ENSG00000176022","PAS29_ATTAAA_0.25",0.0134193573278103,0.00749403175267088,8.72242774255574,1,0.0031431921258443,0.013540581334288,0.389312925986216,0.68965517244258,0.300342246456364,"chr1",1235037,1235038,"+",0.539484049214398,2,"TUTR"
"BRK1","ENSG00000254999","PAS9174_AATAAA_0.25",8.92395175591773e-05,1.20836077933835e-05,20.8113469550044,1,5.06817986918956e-06,5.15254001640546e-05,0.120376650881898,0.245300449678662,0.124923798796764,"chr3",10127188,10127189,"+",0.18283855028028,2,"TUTR"
"CAV2","ENSG00000105971","PAS20897_AATAAA_0.25",0.0242245897927162,0,6.84740695834626,1,0.00887700199909631,0.031705664121275,0.528603045677575,0.793997247118508,0.265394201440934,"chr7",116508539,116508540,"+",0.661300146398041,2,"TUTR"
"CHMP4B","ENSG00000101421","PAS48968_ATTAAA_0.1",9.68917873637595e-07,0,28.4566042573924,1,9.58223415871176e-08,1.49526574096399e-06,0.411638434260493,0.578773335225191,0.167134900964698,"chr20",33854362,33854363,"+",0.495205884742842,2,"TUTR"
"CREBRF","ENSG00000164463","PAS15818_AATAAA_0.3",0.00225082952531903,0,11.9412598276159,1,0.000549043405182812,0.00315290224095652,0.51774940021611,0.781487744728125,0.263738344512015,"chr5",173139279,173139280,"+",0.649618572472118,2,"TUTR"
"DDA1","ENSG00000130311","PAS46437_AATAAA_0.25",5.69873882551578e-07,3.87597790862372e-08,31.8969931950198,1,1.62568609853975e-08,2.96441225361143e-07,0.12220860068863,0.389554231426091,0.267345630737461,"chr19",17323294,17323295,"+",0.25588141605736,2,"TUTR"
"DDI2","ENSG00000197312","PAS256_AATAAA_0.2",0.0496646902957857,0,5.34182203008515,1,0.0208197012961831,0.0628881654461742,0.858967006131624,0.977029956272997,0.118062950141373,"chr1",15669042,15669043,"+",0.917998481202311,2,"TUTR"
"DENR","ENSG00000139726","PAS33506_ATTAAA_0.3",1.53365480598275e-07,4.7996643226055e-08,32.828557911349,1,1.00655212063471e-08,1.90950226644908e-07,0.652229149925082,0.821521162520048,0.169292012594966,"chr12",122771059,122771060,"+",0.736875156222565,2,"TUTR"
"DNAJA1","ENSG00000086061","PAS24901_APA_0.25",2.00557581578166e-24,3.08497109249031e-23,100.324115562264,1,1.29391723526084e-23,1.4097972566842e-21,0.166642847184272,0.427310922040063,0.26066807485579,"chr9",33039904,33039905,"+",0.296976884612167,2,"TUTR"
"DOCK5","ENSG00000147459","PAS22687_ATTAAA_0.25",0.00133191562386686,0.000158798738580897,15.9049490476079,1,6.66043274401112e-05,0.00050595887121896,0.674592057839612,0.914796984240607,0.240204926400995,"chr8",25415707,25415708,"+",0.794694521040109,2,"TUTR"
"DPY19L4","ENSG00000156162","PAS23155_AATAAA_0.3",0.0145104418604543,0.00546942514984879,10.5738118018676,1,0.00114700968926189,0.0058283051152259,0.490305172978026,0.656107794948987,0.165802621970961,"chr8",94793832,94793833,"+",0.573206483963507,2,"TUTR"
"FAM114A1","ENSG00000197712","PAS12718_ATTAAA_0.25",0.000218500140645009,0,16.9043818273981,1,3.93107317054533e-05,0.000320347699527982,0.417587574537545,0.775747939826533,0.358160365288989,"chr4",38945738,38945739,"+",0.596667757182039,2,"TUTR"
"FAM210B","ENSG00000124098","PAS49249_AATAAA_0.3",1.44594744723841e-13,0,61.3198083821492,1,4.85174419382425e-15,2.34253625546526e-13,0.467330579064836,0.916678343683344,0.449347764618508,"chr20",56368659,56368660,"+",0.69200446137409,2,"TUTR"
