"gene_name","feature_id","twostep_gene_padj","twostep_feature_padj","lr","df","pvalue","adj_pvalue","pA_usage_control","pA_usage_treatment","change_in_usage","chr","start","end","strand","mean_usage","sig_PAS_count","UTR_type","internal_to_UTR_shift","is_significant","pA_type","condition"
"ADARB1","PAS50348_AATAAA_0.15",1.61794405205469e-173,6.99916159259984e-104,475.6200478549,1,1.91787585070619e-105,2.42961025416521e-102,0.721485246838052,0.246418502738874,-0.475066744099178,"chr21",45226558,45226559,"+",0.483951874788463,2,"iAPA",-0.711495478585669,TRUE,"distal pA","ADMAi"
"AEBP2","PAS32282_AATAAA_0.35",4.12655199300252e-26,7.57268070543129e-15,66.7306718019263,1,3.11254310775114e-16,3.01053875770389e-14,0.689359100616918,0.444006510738287,-0.24535258987863,"chr12",19520222,19520223,"+",0.566682805677602,2,"iAPA",-0.36163719227385,TRUE,"distal pA","ADMAi"
"ALMS1","PAS5834_AATAAA_0.45",0.000111025924146425,3.64921936789726e-05,19.1633876891004,1,1.19992938131662e-05,0.000172392789566609,0.787970948214478,0.465798202971799,-0.322172745242679,"chr2",73609913,73609914,"+",0.626884575593139,2,"iAPA",-0.599793032066075,TRUE,"distal pA","ADMAi"
"ATAD3B","PAS47_AATAAA_0.1",2.01809036837049e-08,0,37.1560238551356,1,1.09045371199537e-09,3.99387944583882e-08,0.617245953141437,0.805918928834788,0.188672975693351,"chr1",1496200,1496201,"+",0.711582440988113,2,"iAPA",0.377345951386703,TRUE,"distal pA","ADMAi"
"ATRNL1","PAS27894_APA_0.1",0.000239288988724945,0,17.237660905991,1,3.29832693598242e-05,0.000417348818409621,0.648310184389025,0.926707022946759,0.278396838557734,"chr10",115728145,115728146,"+",0.787508603667892,2,"iAPA",-0.556793677115468,TRUE,"distal pA","ADMAi"
"B4GALNT3","PAS32031_ATTAAA_0.05",1.67245335513495e-06,0,27.7941788852828,1,1.34931485335389e-07,3.16200703828393e-06,0.692702791184524,0.121304294620088,-0.571398496564436,"chr12",563508,563509,"+",0.407003542902306,2,"iAPA",-1.14279699312887,TRUE,"distal pA","ADMAi"
"BACE2","PAS50267_ATTAAA_0.35",3.76397370830612e-05,0.000409273983360912,16.6538613535713,1,4.4858897948013e-05,0.00054432981053051,0.377914440427076,0.233141031141454,-0.144773409285622,"chr21",41275855,41275856,"+",0.305527735784265,2,"iAPA",-0.264942959539745,TRUE,"distal pA","ADMAi"
"BICRAL","PAS17799_APA_0.35",0.0100435973166307,0.00180798765568905,11.7931234552836,1,0.000594499066897455,0.00489537463784597,0.246589916661221,0.415062486737498,0.168472570076277,"chr6",42868551,42868552,"+",0.330826201699359,2,"iAPA",0.325816156903205,TRUE,"distal pA","ADMAi"
"BLM","PAS39014_AATAAA_0.1",3.10511541836944e-08,1.04219753601043e-05,21.5613230274216,1,3.426934142672e-06,5.65103014522084e-05,0.571535930883202,0.324407091628875,-0.247128839254327,"chr15",90815460,90815461,"+",0.447971511256039,2,"iAPA",-0.573169828140238,TRUE,"distal pA","ADMAi"
"CACNG8","PAS47237_AATAAA_0.1",0.000328636002958076,0.00294563238900289,12.1752094104886,1,0.000484288623645979,0.00412107177483198,0.601768303952798,0.772602401981688,0.17083409802889,"chr19",53990213,53990214,"+",0.687185352967243,2,"iAPA",0.312840604668454,TRUE,"distal pA","ADMAi"
"CCDC97","PAS46855_ATTAAA_0.35",8.89778826511003e-06,0.016850514907103,8.95284554734826,1,0.00277037715315499,0.0175015671370918,0.821705394598027,0.702970281858774,-0.118735112739254,"chr19",41324869,41324870,"+",0.7623378382284,2,"iAPA",-0.229795031910074,TRUE,"distal pA","ADMAi"
"CDC45","PAS50702_AATAAA_0.1",6.82726480062589e-05,0,19.9142047995267,1,8.09962793405795e-06,0.000120966426621271,0.927539538728231,0.751312219680699,-0.176227319047532,"chr22",19520597,19520598,"+",0.839425879204465,2,"iAPA",-0.352454638095064,TRUE,"distal pA","ADMAi"
"CDH4","PAS49307_AATAAA_0.1",1.42835182245177e-21,1.15962758224946e-22,98.1837483829436,1,3.81306539027846e-23,7.26709524292361e-21,0.874748481409426,0.0324571611171638,-0.842291320292262,"chr20",61940615,61940616,"+",0.453602821263295,2,"iAPA",-1.60687535592207,TRUE,"distal pA","ADMAi"
"CEP55","PAS27603_AATAAA_0.25",5.40163945011286e-15,0,68.5999330323248,1,1.20608204453249e-16,1.20250846810425e-14,0.976675532611638,0.81810109116055,-0.158574441451088,"chr10",93529089,93529090,"+",0.897388311886094,2,"iAPA",-0.317148882902177,TRUE,"distal pA","ADMAi"
"CEP95","PAS43252_AATAAA_0.3",0.00266723835253966,0.00613172892113573,10.8126083060567,1,0.00100811172869819,0.00760178367970733,0.785376023429598,0.603222715145486,-0.182153308284112,"chr17",64537941,64537942,"+",0.694299369287542,2,"iAPA",-0.302938643126839,TRUE,"distal pA","ADMAi"
"CHD7","PAS22950_AATAAA_0.45",2.43372632724355e-06,0,27.0228977177637,1,2.01059558145307e-07,4.53215866181624e-06,0.977030666849675,0.69651035250246,-0.280520314347215,"chr8",60866895,60866896,"+",0.836770509676068,2,"iAPA",-0.561040628694429,TRUE,"distal pA","ADMAi"
"CHRNA5","PAS38877_APA_0.25",8.15664005584582e-07,2.42382275579196e-05,22.0498127443598,1,2.65665598270538e-06,4.52640373762208e-05,0.35010366429851,0.0859943039743464,-0.264109360324164,"chr15",78593568,78593569,"+",0.218048984136428,2,"iAPA",-0.48956585312043,TRUE,"distal pA","ADMAi"
